https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UST
1657152000000,2022-07-07 00:00:00,UST/USD,0.99951,0.99964,0.99878,0.99902,23962193.517088074,23985699.50260062
1657065600000,2022-07-06 00:00:00,UST/USD,0.99917,0.99998,0.99915,0.9995,27153737.662470166,27167321.32313173
1656979200000,2022-07-05 00:00:00,UST/USD,0.99955,1.0,0.9986,0.99916,30024893.261506964,30050135.37522215
1656892800000,2022-07-04 00:00:00,UST/USD,0.99967,0.9999,0.99947,0.99954,20358034.354652848,20367403.36019854
1656806400000,2022-07-03 00:00:00,UST/USD,0.9994,1.0003,0.9992,0.99968,6588761.913330735,6590870.99204819
1656720000000,2022-07-02 00:00:00,UST/USD,1.0,1.0006,0.9994,0.99941,32267000.38118853,32286049.15018714
1656633600000,2022-07-01 00:00:00,UST/USD,0.99968,1.0006,0.99936,1.0001,42509807.976286896,42505557.42054484
1656547200000,2022-06-30 00:00:00,UST/USD,0.99965,0.99998,0.99936,0.99968,42230940.18002388,42244458.40671403
1656460800000,2022-06-29 00:00:00,UST/USD,0.99983,0.99983,0.99958,0.99964,39267622.743649244,39281764.1787536
1656374400000,2022-06-28 00:00:00,UST/USD,0.99975,1.0004,0.99971,0.99982,45436778.711564004,45444958.80414875
1656288000000,2022-06-27 00:00:00,UST/USD,1.0005,1.0005,0.99958,0.99975,21783138.85902526,21788586.00552664
1656201600000,2022-06-26 00:00:00,UST/USD,0.99969,1.0005,0.99951,1.0005,30545368.485694397,30530103.43397741
1656115200000,2022-06-25 00:00:00,UST/USD,0.99969,1.0,0.9993,0.99969,42647181.08576436,42660405.81156595
1656028800000,2022-06-24 00:00:00,UST/USD,0.99867,0.9997,0.99857,0.99969,36530726.37153809,36542054.40840469
1655942400000,2022-06-23 00:00:00,UST/USD,0.9988,0.999,0.99845,0.99868,34523364.7464085,34568995.82089207
1655856000000,2022-06-22 00:00:00,UST/USD,0.99881,0.99989,0.99821,0.9988,54564026.13220557,54629581.63016176
1655769600000,2022-06-21 00:00:00,UST/USD,0.99899,0.99949,0.9988,0.99882,48014365.90218196,48071089.78813195
1655683200000,2022-06-20 00:00:00,UST/USD,0.99881,0.99973,0.99881,0.99899,25588633.845727082,25614504.4952673
1655596800000,2022-06-19 00:00:00,UST/USD,0.99985,1.0,0.9987,0.99882,79205900.1922517,79299473.57106555
1655510400000,2022-06-18 00:00:00,UST/USD,0.99801,1.0,0.99741,0.99985,123678786.0466673,123697340.64776446
1655424000000,2022-06-17 00:00:00,UST/USD,1.0001,1.0003,0.9974,0.99802,216949849.8537435,217380262.77403608
1655337600000,2022-06-16 00:00:00,UST/USD,1.0005,1.0007,0.99981,1.0001,72688597.55071002,72681329.41776824
1655251200000,2022-06-15 00:00:00,UST/USD,1.0002,1.0008,0.9998,1.0005,181250050.04806826,181159470.3129118
1655164800000,2022-06-14 00:00:00,UST/USD,1.0004,1.0005,0.99995,1.0002,120721078.34925188,120696938.96145959
1655078400000,2022-06-13 00:00:00,UST/USD,1.001,1.0027,0.99955,1.0004,279720894.2712016,279609050.65094125
1654992000000,2022-06-12 00:00:00,UST/USD,1.0004,1.001,1.0004,1.001,128831773.43273036,128703070.362368
1654905600000,2022-06-11 00:00:00,UST/USD,1.0003,1.0006,1.0001,1.0004,64242816.73886481,64217129.88691005
1654819200000,2022-06-10 00:00:00,UST/USD,1.0005,1.0007,1.0,1.0003,77636016.60941657,77612732.7895797
1654732800000,2022-06-09 00:00:00,UST/USD,1.0006,1.0008,1.0003,1.0004,29621526.17079719,29609682.297878042
1654646400000,2022-06-08 00:00:00,UST/USD,1.0004,1.0008,1.0003,1.0006,28035783.73604399,28018972.35263241
1654560000000,2022-06-07 00:00:00,UST/USD,1.0,1.0008,0.99977,1.0004,41030806.189013906,41014400.42884237
1654473600000,2022-06-06 00:00:00,UST/USD,1.0002,1.0005,0.99955,1.0,21467414.31549852,21467414.31549852
1654387200000,2022-06-05 00:00:00,UST/USD,1.0004,1.0004,0.9999,1.0002,29604336.915283695,29598417.23183733
1654300800000,2022-06-04 00:00:00,UST/USD,1.0005,1.0009,1.0001,1.0004,22419339.078744676,22410374.92877317
1654214400000,2022-06-03 00:00:00,UST/USD,1.0007,1.0009,1.0,1.0005,36127145.75200802,36109091.20640482
1654128000000,2022-06-02 00:00:00,UST/USD,1.0008,1.0025,1.0003,1.0006,57080357.25466724,57046129.57692109
1654041600000,2022-06-01 00:00:00,UST/USD,0.99989,1.0008,0.99967,1.0008,89185166.73535337,89113875.6348455
1653955200000,2022-05-31 00:00:00,UST/USD,0.99995,1.0003,0.99955,0.99989,50024884.12757621,50030387.47019793
1653868800000,2022-05-30 00:00:00,UST/USD,1.0002,1.0004,0.99955,0.99995,55046949.0289804,55049701.5140561
1653782400000,2022-05-29 00:00:00,UST/USD,1.0,1.0003,0.99998,1.0002,52202659.35785461,52192220.91367188
1653696000000,2022-05-28 00:00:00,UST/USD,0.99966,1.0,0.99955,1.0,42240725.25824958,42240725.25824958
1653609600000,2022-05-27 00:00:00,UST/USD,0.99964,1.0,0.99955,0.99967,57273935.34908696,57292841.98694266
1653523200000,2022-05-26 00:00:00,UST/USD,0.99956,0.99999,0.99954,0.99964,93453931.30977274,93487586.84103552
1653436800000,2022-05-25 00:00:00,UST/USD,0.99974,0.99999,0.99954,0.99956,43500205.802125655,43519354.31802559
1653350400000,2022-05-24 00:00:00,UST/USD,0.9996,0.99977,0.99954,0.99973,41572902.10903083,41584129.82408333
1653264000000,2022-05-23 00:00:00,UST/USD,0.99981,0.99998,0.99954,0.99959,43660375.917005196,43678284.01345071
1653177600000,2022-05-22 00:00:00,UST/USD,0.99983,1.0,0.99963,0.99982,31332331.59104329,31337972.42607998
1653091200000,2022-05-21 00:00:00,UST/USD,0.99989,1.0,0.99941,0.99982,30486857.677595377,30492346.29992936
1653004800000,2022-05-20 00:00:00,UST/USD,0.99999,1.0001,0.9995,0.99988,48932095.66506058,48937968.22124713
1652918400000,2022-05-19 00:00:00,UST/USD,0.99955,1.0,0.99942,1.0,69887288.87270762,69887288.87270762
1652832000000,2022-05-18 00:00:00,UST/USD,0.99988,0.9999,0.99938,0.99954,43460580.99625104,43480582.06400048
1652745600000,2022-05-17 00:00:00,UST/USD,0.99976,0.99998,0.99937,0.99988,49057857.03787524,49063744.68723771
1652659200000,2022-05-16 00:00:00,UST/USD,0.99981,1.0,0.99909,0.99976,114114436.29599975,114141830.33528022
1652572800000,2022-05-15 00:00:00,UST/USD,1.0002,1.0007,0.9998,0.99982,28202193.277760934,28207270.5864665
1652486400000,2022-05-14 00:00:00,UST/USD,1.0,1.0003,0.99889,1.0001,55824761.284144066,55819179.36620744
1652400000000,2022-05-13 00:00:00,UST/USD,1.0012,1.002,1.0,1.0,166269836.2634654,166269836.2634654
1652313600000,2022-05-12 00:00:00,UST/USD,1.0007,1.0036,0.99753,1.0012,373296059.4249172,372848641.0556504
1652227200000,2022-05-11 00:00:00,UST/USD,1.0011,1.0012,1.0001,1.0007,183953025.93786427,183824348.89363873
1652140800000,2022-05-10 00:00:00,UST/USD,1.0006,1.0012,1.0004,1.001,157347880.11130053,157190689.42187867
1652054400000,2022-05-09 00:00:00,UST/USD,1.0004,1.0007,1.0003,1.0006,143494382.0564427,143408337.0542102
1651968000000,2022-05-08 00:00:00,UST/USD,1.0004,1.0009,1.0003,1.0004,86242324.56110393,86207841.42453411
1651881600000,2022-05-07 00:00:00,UST/USD,1.0003,1.0005,1.0002,1.0003,35263416.12930181,35252840.27721865
1651795200000,2022-05-06 00:00:00,UST/USD,1.0003,1.0005,1.0,1.0003,55217623.02419096,55201062.70537935
1651708800000,2022-05-05 00:00:00,UST/USD,1.0002,1.0003,1.0,1.0003,44997957.717748314,44984462.37903461
1651622400000,2022-05-04 00:00:00,UST/USD,1.0002,1.0002,1.0001,1.0001,42718380.6142713,42714109.20335096
1651536000000,2022-05-03 00:00:00,UST/USD,1.0002,1.0003,1.0001,1.0002,29131611.270471185,29125786.11324854
1651449600000,2022-05-02 00:00:00,UST/USD,1.0004,1.0004,1.0001,1.0002,80317010.3246876,80300950.13466068
1651363200000,2022-05-01 00:00:00,UST/USD,1.0005,1.0006,1.0003,1.0004,30584452.08653115,30572223.19725225
1651276800000,2022-04-30 00:00:00,UST/USD,1.0003,1.0006,1.0002,1.0006,25801586.33298375,25786114.66418524
1651190400000,2022-04-29 00:00:00,UST/USD,1.0003,1.0006,1.0001,1.0003,34308962.69428752,34298673.09235982
1651104000000,2022-04-28 00:00:00,UST/USD,1.0003,1.0003,1.0,1.0002,24651524.796577256,24646595.47748176
1651017600000,2022-04-27 00:00:00,UST/USD,1.0004,1.0005,1.0002,1.0003,18321882.815253057,18316387.89888339
1650931200000,2022-04-26 00:00:00,UST/USD,1.0006,1.0006,1.0002,1.0003,30199307.526125446,30190250.45099015
1650844800000,2022-04-25 00:00:00,UST/USD,1.0005,1.0006,1.0004,1.0005,15386356.058675466,15378666.72531281
1650758400000,2022-04-24 00:00:00,UST/USD,1.0004,1.0005,1.0003,1.0005,5179631.914512819,5177043.39281641
1650672000000,2022-04-23 00:00:00,UST/USD,1.0004,1.0005,1.0003,1.0004,7430029.12337056,7427058.30005054
1650585600000,2022-04-22 00:00:00,UST/USD,1.0005,1.0006,1.0002,1.0004,11316001.328402564,11311476.73770748
1650499200000,2022-04-21 00:00:00,UST/USD,1.0004,1.0005,1.0002,1.0004,15403311.183569655,15397152.3226406
1650412800000,2022-04-20 00:00:00,UST/USD,1.0005,1.0005,1.0003,1.0003,10726099.918202715,10722883.05328673
1650326400000,2022-04-19 00:00:00,UST/USD,1.0004,1.0007,1.0003,1.0004,13123569.187286677,13118321.85854326
1650240000000,2022-04-18 00:00:00,UST/USD,1.0005,1.0007,1.0003,1.0005,17348155.48935695,17339485.74648371
1650153600000,2022-04-17 00:00:00,UST/USD,1.0006,1.0007,1.0004,1.0005,5422236.3756952835,5419526.61238909
1650067200000,2022-04-16 00:00:00,UST/USD,1.0005,1.0006,1.0004,1.0005,4427089.496344168,4424877.05781526
1649980800000,2022-04-15 00:00:00,UST/USD,1.0004,1.0006,1.0003,1.0005,5313273.0064025065,5310617.69755373
1649894400000,2022-04-14 00:00:00,UST/USD,1.0005,1.0005,1.0002,1.0004,23458436.055999897,23449056.43342653
1649808000000,2022-04-13 00:00:00,UST/USD,1.0005,1.0006,1.0003,1.0004,14160482.961535288,14154821.03312204
1649721600000,2022-04-12 00:00:00,UST/USD,1.0006,1.0007,1.0004,1.0005,29211797.985026035,29197199.38533337
1649635200000,2022-04-11 00:00:00,UST/USD,1.0007,1.0009,1.0005,1.0007,52600747.48162852,52563952.714728214
1649548800000,2022-04-10 00:00:00,UST/USD,1.0003,1.0008,1.0001,1.0007,32515705.676938456,32492960.6045153
1649462400000,2022-04-09 00:00:00,UST/USD,1.0003,1.0005,1.0,1.0003,12959523.757413046,12955637.06629316
1649376000000,2022-04-08 00:00:00,UST/USD,1.0001,1.0005,1.0001,1.0002,24071153.535251588,24066340.26719815
1649289600000,2022-04-07 00:00:00,UST/USD,1.0004,1.0007,1.0001,1.0002,11830899.084094582,11828533.3774191
1649203200000,2022-04-06 00:00:00,UST/USD,1.0001,1.0007,1.0,1.0004,56503103.30382476,56480511.09938501
1649116800000,2022-04-05 00:00:00,UST/USD,1.0003,1.0004,0.99999,1.0001,30521239.319635738,30518187.50088565
1649030400000,2022-04-04 00:00:00,UST/USD,0.99993,1.0003,0.99977,1.0003,53161760.67522269,53145816.93014365
1648944000000,2022-04-03 00:00:00,UST/USD,1.0002,1.0004,0.99985,0.9999,46270132.0592458,46274759.53519932
1648857600000,2022-04-02 00:00:00,UST/USD,1.0005,1.0006,1.0,1.0003,84626527.56696422,84601147.2227974
1648771200000,2022-04-01 00:00:00,UST/USD,1.0002,1.0007,1.0002,1.0005,17094281.029412184,17085738.16033202
1648684800000,2022-03-31 00:00:00,UST/USD,1.0001,1.0005,1.0001,1.0002,30995760.796320017,30989562.88374327
1648598400000,2022-03-30 00:00:00,UST/USD,1.0002,1.0007,1.0001,1.0001,49629767.90311903,49624805.42257677
1648512000000,2022-03-29 00:00:00,UST/USD,1.0,1.0004,1.0,1.0002,61727623.48519256,61715280.42910674
1648425600000,2022-03-28 00:00:00,UST/USD,0.99993,1.0003,0.9997,1.0,98129030.01460513,98129030.01460513
1648339200000,2022-03-27 00:00:00,UST/USD,1.0004,1.0005,0.9999,0.99995,66265988.212552585,66269301.67763647
1648252800000,2022-03-26 00:00:00,UST/USD,1.0004,1.0007,1.0004,1.0005,17314157.32149152,17305504.56920692
1648166400000,2022-03-25 00:00:00,UST/USD,1.0002,1.0006,1.0,1.0004,49870659.81474273,49850719.52693196
1648080000000,2022-03-24 00:00:00,UST/USD,1.0001,1.0003,1.0,1.0002,96848503.9180919,96829138.0904738
1647993600000,2022-03-23 00:00:00,UST/USD,1.0,1.0004,1.0,1.0001,35724017.15270984,35720445.10819902
1647907200000,2022-03-22 00:00:00,UST/USD,1.0,1.0003,1.0,1.0001,122919161.10016339,122906870.41312207
1647820800000,2022-03-21 00:00:00,UST/USD,1.0002,1.0007,1.0,1.0001,68578543.33216041,68571686.16354406
1647734400000,2022-03-20 00:00:00,UST/USD,1.0002,1.0005,1.0,1.0002,33987598.03839489,33980801.87801929
1647648000000,2022-03-19 00:00:00,UST/USD,1.0002,1.0004,1.0,1.0002,62114612.914201796,62102192.47570666
1647561600000,2022-03-18 00:00:00,UST/USD,1.0006,1.0009,1.0,1.0002,120027621.5052996,120003620.78114337
1647475200000,2022-03-17 00:00:00,UST/USD,1.0008,1.0008,1.0005,1.0006,28102425.54997744,28085574.20545417
1647388800000,2022-03-16 00:00:00,UST/USD,1.0007,1.0009,1.0004,1.0007,37870601.978962995,37844111.10119216
1647302400000,2022-03-15 00:00:00,UST/USD,1.0008,1.001,1.0006,1.0007,38697654.324629486,38670584.91518886
1647216000000,2022-03-14 00:00:00,UST/USD,1.0002,1.0009,1.0001,1.0009,83222041.51458186,83147209.02645805
1647129600000,2022-03-13 00:00:00,UST/USD,1.0003,1.0004,1.0001,1.0003,18410556.587599542,18405035.07707642
1647043200000,2022-03-12 00:00:00,UST/USD,1.0003,1.0004,1.0001,1.0004,9368116.381916896,9364370.63366343
1646956800000,2022-03-11 00:00:00,UST/USD,1.0008,1.0008,1.0001,1.0003,100468091.76193686,100437960.37382472
1646870400000,2022-03-10 00:00:00,UST/USD,1.0006,1.0015,1.0004,1.0007,111077087.92385611,110999388.35200971
1646784000000,2022-03-09 00:00:00,UST/USD,1.0005,1.0006,1.0,1.0006,29441506.424190793,29423852.11292304
1646697600000,2022-03-08 00:00:00,UST/USD,1.0006,1.0009,1.0003,1.0004,39518873.62284002,39503072.39388247
1646611200000,2022-03-07 00:00:00,UST/USD,1.0007,1.0007,1.0004,1.0006,48268067.88587041,48239124.41122368
1646524800000,2022-03-06 00:00:00,UST/USD,1.0007,1.0009,1.0005,1.0007,18926230.659449253,18912991.56535351
1646438400000,2022-03-05 00:00:00,UST/USD,1.0008,1.001,1.0006,1.0006,14625474.611017108,14616704.58826415
1646352000000,2022-03-04 00:00:00,UST/USD,1.0007,1.001,1.0005,1.0008,34849225.71834818,34821368.62344943
1646265600000,2022-03-03 00:00:00,UST/USD,1.0007,1.0009,1.0005,1.0007,44030979.11143751,44000178.98614721
1646179200000,2022-03-02 00:00:00,UST/USD,1.0008,1.0009,1.0006,1.0007,23262402.107019674,23246129.81614837
1646092800000,2022-03-01 00:00:00,UST/USD,1.0008,1.0009,1.0005,1.0008,43417654.569120035,43382948.2105516
1646006400000,2022-02-28 00:00:00,UST/USD,1.001,1.0011,1.0006,1.0009,48770103.18032752,48726249.55572737
1645920000000,2022-02-27 00:00:00,UST/USD,1.0009,1.0011,1.0008,1.0009,28141113.340042327,28115809.11184167
1645833600000,2022-02-26 00:00:00,UST/USD,1.0008,1.0011,1.0007,1.0009,13491305.410228249,13479174.15349011
1645747200000,2022-02-25 00:00:00,UST/USD,1.001,1.0012,1.0006,1.0009,72294986.34137064,72229979.3599467
1645660800000,2022-02-24 00:00:00,UST/USD,1.0011,1.0035,1.001,1.0011,217869688.25053036,217630294.9261116
1645574400000,2022-02-23 00:00:00,UST/USD,1.0013,1.0013,1.0009,1.0011,77643922.29993594,77558607.83132148
1645488000000,2022-02-22 00:00:00,UST/USD,1.0014,1.0019,1.0011,1.0013,49933935.27515194,49869105.43808243
1645401600000,2022-02-21 00:00:00,UST/USD,1.0012,1.002,1.0007,1.0014,96270701.25634153,96136110.70135961
1645315200000,2022-02-20 00:00:00,UST/USD,1.0008,1.0013,1.0008,1.0011,31949204.59393512,31914099.08494168
1645228800000,2022-02-19 00:00:00,UST/USD,1.0009,1.001,1.0007,1.0009,7550943.650616305,7544153.91209542
1645142400000,2022-02-18 00:00:00,UST/USD,1.0008,1.0012,1.0007,1.0009,37381428.52592353,37347815.49198075
1645056000000,2022-02-17 00:00:00,UST/USD,1.0007,1.0013,1.0006,1.001,37508790.96248197,37471319.642839134
1644969600000,2022-02-16 00:00:00,UST/USD,1.0008,1.0009,1.0006,1.0007,17220481.296413638,17208435.39163949
1644883200000,2022-02-15 00:00:00,UST/USD,1.0006,1.001,1.0006,1.0008,18380451.010959595,18365758.40423621
1644796800000,2022-02-14 00:00:00,UST/USD,1.0009,1.001,1.0006,1.0006,17562126.90930982,17551595.95173878
