https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZRX
1648684800000,2022-03-31 00:00:00,ZRX/USD,0.81972,0.8393,0.75571,0.77364,387622.58727860404,501037.41698801
1648598400000,2022-03-30 00:00:00,ZRX/USD,0.72918,0.85168,0.69481,0.81854,907107.3114486276,1108201.56797301
1648512000000,2022-03-29 00:00:00,ZRX/USD,0.69718,0.74706,0.69315,0.73138,255253.09848432627,349002.02149953
1648425600000,2022-03-28 00:00:00,ZRX/USD,0.72666,0.754,0.68769,0.69641,617348.3208187297,886472.51018614
1648339200000,2022-03-27 00:00:00,ZRX/USD,0.62553,0.82966,0.62333,0.72859,2016870.5645945314,2768183.15457875
1648252800000,2022-03-26 00:00:00,ZRX/USD,0.58493,0.63717,0.57807,0.62606,225320.2031113621,359901.93130269
1648166400000,2022-03-25 00:00:00,ZRX/USD,0.59014,0.60815,0.57086,0.58493,108530.99966479755,185545.2783492
1648080000000,2022-03-24 00:00:00,ZRX/USD,0.5895,0.59395,0.56737,0.59055,127951.78205792014,216665.45094898
1647993600000,2022-03-23 00:00:00,ZRX/USD,0.56175,0.59017,0.5531,0.5889,148501.30394830034,252167.26769961
1647907200000,2022-03-22 00:00:00,ZRX/USD,0.55,0.57462,0.54706,0.5615,100946.6090400899,179780.2476226
1647820800000,2022-03-21 00:00:00,ZRX/USD,0.54967,0.56156,0.52942,0.55078,133662.85036742207,242679.20107379
1647734400000,2022-03-20 00:00:00,ZRX/USD,0.54719,0.55633,0.53048,0.54967,70994.46780786786,129158.3455671
1647648000000,2022-03-19 00:00:00,ZRX/USD,0.53814,0.56026,0.53301,0.54767,100668.05294437282,183811.51595737
1647561600000,2022-03-18 00:00:00,ZRX/USD,0.51657,0.54156,0.5063,0.53773,132897.62096701583,247145.63250519
1647475200000,2022-03-17 00:00:00,ZRX/USD,0.5124,0.52334,0.50368,0.51649,17672.448372989173,34216.43860092
1647388800000,2022-03-16 00:00:00,ZRX/USD,0.49057,0.51404,0.4864,0.51191,112310.31821665372,219394.65573373
1647302400000,2022-03-15 00:00:00,ZRX/USD,0.49125,0.49427,0.47198,0.49163,19979.557906997925,40639.41969977
1647216000000,2022-03-14 00:00:00,ZRX/USD,0.47369,0.49166,0.47059,0.49101,56139.78658808731,114335.3222706
1647129600000,2022-03-13 00:00:00,ZRX/USD,0.49546,0.50578,0.47347,0.47511,76695.22393107117,161426.24640835
1647043200000,2022-03-12 00:00:00,ZRX/USD,0.48786,0.50166,0.48786,0.4951,11220.580811441492,22663.26158643
1646956800000,2022-03-11 00:00:00,ZRX/USD,0.5025,0.51047,0.48376,0.48871,29227.48331186867,59805.37192173
1646870400000,2022-03-10 00:00:00,ZRX/USD,0.52527,0.52704,0.48791,0.50267,114434.9858820377,227654.29781375
1646784000000,2022-03-09 00:00:00,ZRX/USD,0.49723,0.5358,0.49356,0.52346,81109.7102590151,154949.20387234
1646697600000,2022-03-08 00:00:00,ZRX/USD,0.47301,0.49957,0.46944,0.49818,33124.511115618414,66491.04965197
1646611200000,2022-03-07 00:00:00,ZRX/USD,0.47983,0.49581,0.45936,0.4728,129345.34631582974,273573.06750387
1646524800000,2022-03-06 00:00:00,ZRX/USD,0.50139,0.50502,0.47923,0.47923,39617.65996754257,82669.40710628
1646438400000,2022-03-05 00:00:00,ZRX/USD,0.49406,0.50675,0.48,0.50112,40589.04655690036,80996.66059407
1646352000000,2022-03-04 00:00:00,ZRX/USD,0.53562,0.53562,0.48812,0.4949,113967.24843527649,230283.38742226
1646265600000,2022-03-03 00:00:00,ZRX/USD,0.57156,0.57156,0.52436,0.5348,156076.42003586818,291840.72557193
1646179200000,2022-03-02 00:00:00,ZRX/USD,0.57399,0.62036,0.55112,0.57205,195915.38894487038,342479.48421444
1646092800000,2022-03-01 00:00:00,ZRX/USD,0.57549,0.589,0.56176,0.57375,75509.16450461606,131606.38693615
1646006400000,2022-02-28 00:00:00,ZRX/USD,0.52186,0.57563,0.51488,0.57448,87596.54015161113,152479.70364784
1645920000000,2022-02-27 00:00:00,ZRX/USD,0.54446,0.56294,0.51413,0.52239,92097.0962539054,176299.50085933
1645833600000,2022-02-26 00:00:00,ZRX/USD,0.53914,0.55973,0.53732,0.54504,42221.794249613486,77465.49656835
1645747200000,2022-02-25 00:00:00,ZRX/USD,0.51008,0.54607,0.49758,0.53916,59046.60405302997,109515.92116075
1645660800000,2022-02-24 00:00:00,ZRX/USD,0.52546,0.528,0.45218,0.51025,269700.4398269575,528565.29118463
1645574400000,2022-02-23 00:00:00,ZRX/USD,0.54376,0.57091,0.52436,0.52802,77643.31009444717,147046.15373366
1645488000000,2022-02-22 00:00:00,ZRX/USD,0.51944,0.54685,0.50217,0.54348,92732.54423544198,170627.33538574
1645401600000,2022-02-21 00:00:00,ZRX/USD,0.57446,0.59012,0.51784,0.52035,238358.08896412718,458072.62220453
1645315200000,2022-02-20 00:00:00,ZRX/USD,0.59472,0.59508,0.55116,0.57203,121713.8828225607,212775.34888478
1645228800000,2022-02-19 00:00:00,ZRX/USD,0.59567,0.60593,0.56306,0.59454,164328.59697449,276396.20038095
1645142400000,2022-02-18 00:00:00,ZRX/USD,0.62235,0.63844,0.58824,0.59646,267375.43171893404,448270.51557344
1645056000000,2022-02-17 00:00:00,ZRX/USD,0.67814,0.67836,0.61029,0.62237,226419.9803140853,363802.85089912
1644969600000,2022-02-16 00:00:00,ZRX/USD,0.64235,0.69299,0.63075,0.6766,500282.7917977342,739407.02305311
1644883200000,2022-02-15 00:00:00,ZRX/USD,0.595,0.65145,0.59101,0.64144,299923.91523892287,467579.06466532
1644796800000,2022-02-14 00:00:00,ZRX/USD,0.61055,0.61203,0.57591,0.59465,215474.8291265894,362355.72038441
1644710400000,2022-02-13 00:00:00,ZRX/USD,0.61701,0.62937,0.59254,0.6104,132807.82897089043,217575.08022754
1644624000000,2022-02-12 00:00:00,ZRX/USD,0.61718,0.63144,0.6,0.61832,37952.58450054234,61380.16641956
1644537600000,2022-02-11 00:00:00,ZRX/USD,0.67731,0.68102,0.60535,0.61609,229896.39132752002,373153.9082399
1644451200000,2022-02-10 00:00:00,ZRX/USD,0.70604,0.72413,0.66523,0.67929,484077.71769513894,712623.05892202
1644364800000,2022-02-09 00:00:00,ZRX/USD,0.6819,0.71308,0.66637,0.70638,222168.76860029763,314517.35411577
1644278400000,2022-02-08 00:00:00,ZRX/USD,0.68024,0.70321,0.64707,0.6819,365071.0422402607,535373.28382499
1644192000000,2022-02-07 00:00:00,ZRX/USD,0.65984,0.69347,0.64384,0.67947,673590.865466516,991347.4700377
1644105600000,2022-02-06 00:00:00,ZRX/USD,0.65293,0.66551,0.62748,0.65984,127894.3555394864,193826.3147725
