https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ENJ
1655510400000,2022-06-18 00:00:00,ENJ/USD,0.43159,0.43342,0.38,0.41555,14229.449255836716,34242.44797458
1655424000000,2022-06-17 00:00:00,ENJ/USD,0.43334,0.45639,0.433,0.45071,767.6137088401275,1703.12109525
1655337600000,2022-06-16 00:00:00,ENJ/USD,0.48133,0.48133,0.42855,0.42855,6518.384041716853,15210.32328017
1655251200000,2022-06-15 00:00:00,ENJ/USD,0.44827,0.48,0.40844,0.48,16739.5504188288,34874.06337256
1655164800000,2022-06-14 00:00:00,ENJ/USD,0.42001,0.49505,0.41931,0.44683,11919.55960254218,26675.82660641
1655078400000,2022-06-13 00:00:00,ENJ/USD,0.48,0.48532,0.41275,0.44258,70987.1636170448,160393.97084605
1654992000000,2022-06-12 00:00:00,ENJ/USD,0.53107,0.53899,0.48755,0.49013,6598.612752679157,13462.98482582
1654905600000,2022-06-11 00:00:00,ENJ/USD,0.59303,0.59559,0.52893,0.5372,21489.41550912869,40002.63497604
1654819200000,2022-06-10 00:00:00,ENJ/USD,0.62,0.62747,0.57208,0.58778,2246.5356265781365,3822.06884647
1654732800000,2022-06-09 00:00:00,ENJ/USD,0.61266,0.64,0.61266,0.62763,557.9744881462225,889.01819248
1654646400000,2022-06-08 00:00:00,ENJ/USD,0.62947,0.63213,0.61266,0.62332,19785.933801488343,31742.81877926
1654560000000,2022-06-07 00:00:00,ENJ/USD,0.65186,0.65186,0.61001,0.62547,2843.64344298576,4546.410608
1654473600000,2022-06-06 00:00:00,ENJ/USD,0.64171,0.66703,0.63396,0.65334,15668.379337285183,23981.96855739
1654387200000,2022-06-05 00:00:00,ENJ/USD,0.62337,0.7,0.61147,0.63771,12258.851405730413,19223.23847161
1654300800000,2022-06-04 00:00:00,ENJ/USD,0.61338,0.62378,0.61069,0.61932,419.7416208126336,677.74594848
1654214400000,2022-06-03 00:00:00,ENJ/USD,0.65039,0.65039,0.60374,0.61473,6356.486417714412,10340.28991218
1654128000000,2022-06-02 00:00:00,ENJ/USD,0.64141,0.65191,0.62397,0.64993,7687.387482408292,11828.02376011
1654041600000,2022-06-01 00:00:00,ENJ/USD,0.69676,0.69676,0.62423,0.62957,18727.799558852585,29746.96945352
1653955200000,2022-05-31 00:00:00,ENJ/USD,0.68,0.72745,0.67263,0.70175,24794.848958060542,35332.880595739996
1653868800000,2022-05-30 00:00:00,ENJ/USD,0.60642,0.67556,0.60642,0.67104,3920.4423839589986,5842.3378397100005
1653782400000,2022-05-29 00:00:00,ENJ/USD,0.58271,0.61575,0.58271,0.60953,6065.052174042065,9950.375164539999
1653696000000,2022-05-28 00:00:00,ENJ/USD,0.596,0.60282,0.58214,0.60114,18173.964398286094,30232.49891587
1653609600000,2022-05-27 00:00:00,ENJ/USD,0.63403,0.63477,0.5774,0.59036,27121.528029937126,45940.65998702
1653523200000,2022-05-26 00:00:00,ENJ/USD,0.7,0.7083,0.60734,0.62543,12615.67926644108,20171.20903449
1653436800000,2022-05-25 00:00:00,ENJ/USD,0.67727,0.69218,0.66,0.68426,4582.618005033054,6697.18821067
1653350400000,2022-05-24 00:00:00,ENJ/USD,0.68557,0.69227,0.64293,0.69078,16937.29777454615,24519.09113545
1653264000000,2022-05-23 00:00:00,ENJ/USD,0.72342,0.74299,0.66618,0.673,42048.37102814728,62479.005985359996
1653177600000,2022-05-22 00:00:00,ENJ/USD,0.6942,0.73296,0.68362,0.72081,6582.594566841398,9132.2187079
