https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GOT
1645142400000,2022-02-18 00:00:00,GOT/USD,0.061922,0.069355,0.059,0.064777,2616.4192952275084,40391.17735041
1645056000000,2022-02-17 00:00:00,GOT/USD,0.062017,0.06309349,0.058672,0.06186,1865.7766511556677,30161.27790423
1644969600000,2022-02-16 00:00:00,GOT/USD,0.064694,0.065637,0.06100398,0.062017,1727.9962214736893,27863.26686995
1644883200000,2022-02-15 00:00:00,GOT/USD,0.064074,0.0741,0.0579,0.064782,15423.247119910557,238079.20595089
1644796800000,2022-02-14 00:00:00,GOT/USD,0.068735,0.072309,0.061509,0.064102,5032.983036877467,78515.22630928
1644710400000,2022-02-13 00:00:00,GOT/USD,0.060669,0.071048,0.05703753,0.066593,2610.725033353239,39204.19613703
1644624000000,2022-02-12 00:00:00,GOT/USD,0.05891,0.06431,0.056484,0.061706,1900.7659943505769,30803.58464899
1644537600000,2022-02-11 00:00:00,GOT/USD,0.06044,0.06185,0.05891,0.05891,1743.2575537970267,29591.87835337
1644451200000,2022-02-10 00:00:00,GOT/USD,0.063107,0.063496,0.060429,0.060451,2477.6089514788637,40985.40886799
1644364800000,2022-02-09 00:00:00,GOT/USD,0.061874,0.063759,0.061288,0.063108,1987.3904180795637,31491.89354883
1644278400000,2022-02-08 00:00:00,GOT/USD,0.065348,0.07102796,0.061873,0.0635,4766.577941941256,75064.21955813
1644192000000,2022-02-07 00:00:00,GOT/USD,0.071637,0.071637,0.06421818,0.065347,1653.4173468461217,25302.11558061
1644105600000,2022-02-06 00:00:00,GOT/USD,0.068059,0.0718,0.065752,0.071638,2132.3854044190734,29766.12139394
1644019200000,2022-02-05 00:00:00,GOT/USD,0.066612,0.07000998,0.065122,0.065822,1696.678545297077,25776.769853499998
1643932800000,2022-02-04 00:00:00,GOT/USD,0.063099,0.067935,0.061873,0.066613,2043.3200520128757,30674.49374766
1643846400000,2022-02-03 00:00:00,GOT/USD,0.063928,0.067214,0.063099,0.063099,1964.0114939716905,31125.87353162
1643760000000,2022-02-02 00:00:00,GOT/USD,0.063964,0.067768,0.063928,0.063928,2002.823285456313,31329.35936454
1643673600000,2022-02-01 00:00:00,GOT/USD,0.064272,0.066811,0.063964,0.063964,2126.3255730839455,33242.53600594
1643587200000,2022-01-31 00:00:00,GOT/USD,0.067443,0.071019,0.064271,0.066176,3360.1726334314126,50776.30309223
1643500800000,2022-01-30 00:00:00,GOT/USD,0.068391,0.06965,0.066123,0.067408,2184.977032662218,32414.20948051
1643414400000,2022-01-29 00:00:00,GOT/USD,0.069079,0.069429,0.066499,0.068428,2083.8886083434227,30453.74128052
1643328000000,2022-01-28 00:00:00,GOT/USD,0.068898,0.06970545,0.06662,0.069109,2112.751615096178,30571.29483998
1643241600000,2022-01-27 00:00:00,GOT/USD,0.067723,0.07015353,0.06662,0.068899,1992.6624107798661,28921.49974281
1643155200000,2022-01-26 00:00:00,GOT/USD,0.068324,0.069712,0.067723,0.06775,1809.8224831707425,26713.24698407
1642982400000,2022-01-24 00:00:00,GOT/USD,0.073929,0.074848,0.068322,0.069711,5500.46736444769,78903.8654509
1642896000000,2022-01-23 00:00:00,GOT/USD,0.072431,0.073929,0.07036581,0.072897,8728.642451627346,119739.39190402
1642809600000,2022-01-22 00:00:00,GOT/USD,0.073898,0.073929,0.07032497,0.073927,9042.945919492315,122322.64151788
1642723200000,2022-01-21 00:00:00,GOT/USD,0.073927,0.073929,0.07242,0.073898,7357.915009251752,99568.52701361
1642636800000,2022-01-20 00:00:00,GOT/USD,0.073927,0.073928,0.07242,0.07392,6979.287743328701,94416.77141949
1642550400000,2022-01-19 00:00:00,GOT/USD,0.073488,0.073928,0.071956,0.073927,2491.722020760943,33705.16889311
1642464000000,2022-01-18 00:00:00,GOT/USD,0.071463,0.07382522,0.071463,0.07359417,573.3489610864881,7790.68452143
1642377600000,2022-01-17 00:00:00,GOT/USD,0.071386,0.073927,0.069989,0.071462,532.9026959185227,7457.14779769
1642291200000,2022-01-16 00:00:00,GOT/USD,0.073743,0.073917,0.069066,0.069988,748.398353829325,10693.23818125
1642204800000,2022-01-15 00:00:00,GOT/USD,0.073775,0.073927,0.072337,0.07242,540.2291535835379,7459.6679589
1642118400000,2022-01-14 00:00:00,GOT/USD,0.072432,0.073927,0.072389,0.073841,551.7419414463743,7472.0269423
1642032000000,2022-01-13 00:00:00,GOT/USD,0.073766,0.073928,0.072338,0.073837,557.5914767959814,7551.65400539
1641945600000,2022-01-12 00:00:00,GOT/USD,0.073863,0.073928,0.072141,0.073767,591.6161958735871,8020.06582718
1641859200000,2022-01-11 00:00:00,GOT/USD,0.071179,0.073927,0.071179,0.072207,515.605518686473,7140.65836673
1641772800000,2022-01-10 00:00:00,GOT/USD,0.073381,0.07391346,0.070637,0.071136,539.0681950092816,7577.99419435
1641686400000,2022-01-09 00:00:00,GOT/USD,0.072022,0.073927,0.072021,0.073548,593.3444836168541,8067.44552696
1641600000000,2022-01-08 00:00:00,GOT/USD,0.073518,0.073927,0.072018,0.072021,545.4797254836993,7573.89824473
1641513600000,2022-01-07 00:00:00,GOT/USD,0.073238,0.073859,0.071265,0.072071,572.0763621409538,7937.67759766
1641427200000,2022-01-06 00:00:00,GOT/USD,0.072961,0.07384565,0.070348,0.073214,538.4871345901805,7354.97493089
1641340800000,2022-01-05 00:00:00,GOT/USD,0.070373,0.073151,0.069872,0.07302,522.455065504209,7154.95844295
1641254400000,2022-01-04 00:00:00,GOT/USD,0.07108,0.072537,0.069551,0.072232,547.2900308338549,7576.83617834
1641168000000,2022-01-03 00:00:00,GOT/USD,0.073901,0.073928,0.069067,0.071082,1451.2008095157198,20415.86913024
1641081600000,2022-01-02 00:00:00,GOT/USD,0.073886,0.073927,0.071759,0.071768,545.2288535419665,7597.10251842
1640995200000,2022-01-01 00:00:00,GOT/USD,0.073895,0.073927,0.071298,0.071781,519.1032679825938,7231.76422706
1640908800000,2021-12-31 00:00:00,GOT/USD,0.069771,0.0739,0.069771,0.07378,543.3754295860211,7364.80658154
1640822400000,2021-12-30 00:00:00,GOT/USD,0.073852,0.0739,0.06959505,0.07258789,1035.721194558439,14268.51220718
1640736000000,2021-12-29 00:00:00,GOT/USD,0.072439,0.073928,0.072234,0.073853,567.4450144693978,7683.43891879
1640649600000,2021-12-28 00:00:00,GOT/USD,0.073855,0.073928,0.072253,0.073767,579.9239795042278,7861.56383619
1640563200000,2021-12-27 00:00:00,GOT/USD,0.072483,0.073929,0.07242,0.073856,497.165776006656,6731.555676
1640476800000,2021-12-26 00:00:00,GOT/USD,0.073922,0.073929,0.072428,0.073912,505.5983098758669,6840.5442942399995
1640390400000,2021-12-25 00:00:00,GOT/USD,0.073921,0.073928,0.072422,0.072427,520.1214065016154,7181.31921109
1640304000000,2021-12-24 00:00:00,GOT/USD,0.07385,0.073929,0.072441,0.072489,510.40365382994145,7041.11870532
1640217600000,2021-12-23 00:00:00,GOT/USD,0.072505,0.073929,0.072422,0.073928,359.87406023403673,4867.8993106
1640131200000,2021-12-22 00:00:00,GOT/USD,0.072457,0.073929,0.072457,0.072504,517.4303378272891,7136.57643478
1640044800000,2021-12-21 00:00:00,GOT/USD,0.073915,0.073928,0.072365,0.073836,494.51684656094534,6697.50320387
1639958400000,2021-12-20 00:00:00,GOT/USD,0.072999,0.073928,0.071097,0.073927,1727.8041350333272,23371.76045333
1639872000000,2021-12-19 00:00:00,GOT/USD,0.072175,0.073927,0.070192,0.07299842,544.2417069853598,7455.52721532
1639785600000,2021-12-18 00:00:00,GOT/USD,0.073479,0.073928,0.06962116,0.072215,752.1082104880057,10414.84747612
1639699200000,2021-12-17 00:00:00,GOT/USD,0.072423,0.073928,0.070806,0.073928,544.1752836096032,7360.88198801
1639612800000,2021-12-16 00:00:00,GOT/USD,0.07237,0.07309271,0.06936019,0.072424,306.22991616161386,4228.29333041
1639526400000,2021-12-15 00:00:00,GOT/USD,0.07392,0.073928,0.070951,0.070951,537.5642914215596,7576.5569396
1639440000000,2021-12-14 00:00:00,GOT/USD,0.073928,0.073929,0.07242,0.073921,286.4190948697355,3874.6647755
1639353600000,2021-12-13 00:00:00,GOT/USD,0.073927,0.073928,0.07234302,0.073928,546.9321828295797,7398.17366667
1639267200000,2021-12-12 00:00:00,GOT/USD,0.073927,0.073929,0.07242,0.073928,521.315894168309,7051.67046543
1639180800000,2021-12-11 00:00:00,GOT/USD,0.073747,0.073929,0.072259,0.072438,575.7000742035727,7947.48715044
1639094400000,2021-12-10 00:00:00,GOT/USD,0.071046,0.07392804,0.070994,0.073657,575.5609185189985,7814.06951843
1639008000000,2021-12-09 00:00:00,GOT/USD,0.070815,0.07373,0.069595,0.07371108,538.9138133597854,7311.1642559
1638921600000,2021-12-08 00:00:00,GOT/USD,0.073278,0.073706,0.069103,0.069594,1616.041355117013,23220.98679652
1638835200000,2021-12-07 00:00:00,GOT/USD,0.073246,0.073592,0.071806,0.073255,562.4332640862708,7677.74573867
1638748800000,2021-12-06 00:00:00,GOT/USD,0.073239,0.073619,0.070922,0.073247,579.6676257405653,7913.87532241
1638662400000,2021-12-05 00:00:00,GOT/USD,0.071752,0.073442,0.070438,0.071618,617.2058495731129,8618.02688672
1638576000000,2021-12-04 00:00:00,GOT/USD,0.07391,0.07391,0.069065,0.070437,2238.1475799637915,31775.16901577
1638489600000,2021-12-03 00:00:00,GOT/USD,0.072578,0.073928,0.072578,0.073911,614.7738178167396,8317.758084950001
