https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTG
1656720000000,2022-07-02 00:00:00,BTG/USD,15.024,15.71,15.015,15.067,382.44124320493,25.38270679
1656633600000,2022-07-01 00:00:00,BTG/USD,15.5,16.102,14.798,14.798,279.3977402657,18.88077715
1656547200000,2022-06-30 00:00:00,BTG/USD,16.062,16.062,11.02,15.04,31076.483014783997,2066.2555196
1656460800000,2022-06-29 00:00:00,BTG/USD,16.384,16.384,15.478,15.78,664.6686108828,42.12095126
1656374400000,2022-06-28 00:00:00,BTG/USD,17.465,17.75,16.382,16.382,1062.4032227785801,64.85186319
1656288000000,2022-06-27 00:00:00,BTG/USD,17.566,17.872,16.759,16.967,704.7558296438799,41.53685564
1656201600000,2022-06-26 00:00:00,BTG/USD,17.708,18.061,17.268,17.89,475.1280150873,26.55830157
1656115200000,2022-06-25 00:00:00,BTG/USD,17.669,17.793,17.204,17.297,840.97730640546,48.61983618
1656028800000,2022-06-24 00:00:00,BTG/USD,17.002,62.025,16.161,17.475,71709.19659751201,4103.53056352
1655942400000,2022-06-23 00:00:00,BTG/USD,16.55,17.014,16.373,16.958,1163.5862132457,68.61576915
1655856000000,2022-06-22 00:00:00,BTG/USD,17.008,17.376,16.205,16.376,2259.1271019332803,137.95353578
1655769600000,2022-06-21 00:00:00,BTG/USD,17.066,17.448,17.029,17.168,1293.01742265968,75.31555351
1655683200000,2022-06-20 00:00:00,BTG/USD,16.381,17.145,16.048,16.419,5460.20929814919,332.55431501
1655596800000,2022-06-19 00:00:00,BTG/USD,15.414,16.84,14.647,16.577,5923.891026509391,357.35603707
1655510400000,2022-06-18 00:00:00,BTG/USD,15.786,16.202,14.422,15.537,6514.94449437456,419.31804688
1655424000000,2022-06-17 00:00:00,BTG/USD,15.72,16.328,15.351,15.351,2036.0460584574603,132.63279646
1655337600000,2022-06-16 00:00:00,BTG/USD,16.63,16.63,15.213,15.213,2023.4349107761798,133.00696186
1655251200000,2022-06-15 00:00:00,BTG/USD,15.992,16.093,14.031,15.552,1997.05912356096,128.41172348
1655164800000,2022-06-14 00:00:00,BTG/USD,14.799,17.146,13.524,15.985,4164.28702354305,260.51216913
1655078400000,2022-06-13 00:00:00,BTG/USD,18.377,18.862,14.844,14.847,13255.146659787479,892.78282884
1654992000000,2022-06-12 00:00:00,BTG/USD,19.0,19.0,17.773,18.284,651.1871963564801,35.615138720000004
1654905600000,2022-06-11 00:00:00,BTG/USD,21.035,21.035,19.0,19.0,565.33418387,29.75443073
1654819200000,2022-06-10 00:00:00,BTG/USD,21.478,22.791,20.707,21.051,2482.24316682339,117.91568889
1654732800000,2022-06-09 00:00:00,BTG/USD,21.505,21.726,21.194,21.476,1421.34803160532,66.18308957
1654646400000,2022-06-08 00:00:00,BTG/USD,21.687,21.772,21.072,21.505,1486.72522034795,69.13393259
1654560000000,2022-06-07 00:00:00,BTG/USD,22.219,22.767,20.881,21.997,939.99814217347,42.73301551
1654473600000,2022-06-06 00:00:00,BTG/USD,22.05,23.256,13.513,22.03,56189.8721553656,2550.60699752
1654387200000,2022-06-05 00:00:00,BTG/USD,22.282,22.415,21.431,21.623,4954.36918933467,229.12496829
1654300800000,2022-06-04 00:00:00,BTG/USD,21.274,21.31,21.073,21.115,474.79967742314994,22.48636881
1654214400000,2022-06-03 00:00:00,BTG/USD,22.436,23.002,21.412,21.657,4090.83363381642,188.89198106
1654128000000,2022-06-02 00:00:00,BTG/USD,21.661,21.868,21.322,21.691,277.64149320705,12.79984755
1654041600000,2022-06-01 00:00:00,BTG/USD,23.068,23.926,21.334,21.516,1421.8618832787597,66.08393210999999
1653955200000,2022-05-31 00:00:00,BTG/USD,23.439,23.964,22.391,23.131,2584.1484482668398,111.71797364
1653868800000,2022-05-30 00:00:00,BTG/USD,22.5,24.793,22.5,23.805,8267.17769130825,347.28744765
1653782400000,2022-05-29 00:00:00,BTG/USD,21.456,24.134,21.456,22.4,3358.259867648,149.92231552
1653696000000,2022-05-28 00:00:00,BTG/USD,21.361,21.477,20.603,21.412,3315.7756615677195,154.85595281
1653609600000,2022-05-27 00:00:00,BTG/USD,21.54,22.684,20.994,21.38,5145.0062838048,240.64575696
1653523200000,2022-05-26 00:00:00,BTG/USD,23.31,23.544,20.4,21.422,5990.92096550872,279.66207476
1653436800000,2022-05-25 00:00:00,BTG/USD,24.819,25.255,22.706,23.164,2899.02937730064,125.15236476
1653350400000,2022-05-24 00:00:00,BTG/USD,24.534,27.268,22.223,24.99,17598.3344076267,704.21506233
1653264000000,2022-05-23 00:00:00,BTG/USD,19.125,31.964,19.125,24.761,63830.607191202944,2577.86871254
1653177600000,2022-05-22 00:00:00,BTG/USD,19.0,19.626,18.901,19.092,3008.1131010280797,157.55882574
1653091200000,2022-05-21 00:00:00,BTG/USD,18.306,18.82,18.009,18.553,3781.90885457503,203.84352151
1653004800000,2022-05-20 00:00:00,BTG/USD,18.763,19.098,17.757,18.009,6872.047123148371,381.58960093
1652918400000,2022-05-19 00:00:00,BTG/USD,18.092,18.928,17.832,18.83,10014.203708977298,531.82175831
1652832000000,2022-05-18 00:00:00,BTG/USD,19.981,20.329,17.907,18.0,5144.916958739999,285.82871993
1652745600000,2022-05-17 00:00:00,BTG/USD,19.269,19.821,19.142,19.717,1159.9295110123498,58.82890455
1652659200000,2022-05-16 00:00:00,BTG/USD,20.037,20.037,18.726,19.215,3958.4889469219497,206.01035373
1652572800000,2022-05-15 00:00:00,BTG/USD,19.091,19.917,18.805,19.917,8100.329996410921,406.70432276
1652486400000,2022-05-14 00:00:00,BTG/USD,18.539,19.248,17.662,19.248,15067.25839311264,782.79605118
1652400000000,2022-05-13 00:00:00,BTG/USD,17.666,19.463,17.666,18.323,12267.35006457223,669.50554301
1652313600000,2022-05-12 00:00:00,BTG/USD,19.273,19.454,11.243,17.039,30772.70608284136,1806.01596824
1652227200000,2022-05-11 00:00:00,BTG/USD,23.357,24.147,17.171,18.609,18228.704125125034,979.56387367
1652140800000,2022-05-10 00:00:00,BTG/USD,22.403,24.127,21.6,22.64,8952.6644605896,395.43570939
1652054400000,2022-05-09 00:00:00,BTG/USD,25.854,26.421,21.801,21.801,16627.088175887668,762.67548167
1651968000000,2022-05-08 00:00:00,BTG/USD,26.844,26.88,25.658,25.658,948.76399522414,36.97731683
1651881600000,2022-05-07 00:00:00,BTG/USD,28.05,28.05,26.587,26.587,236.51939009083,8.89605409
1651795200000,2022-05-06 00:00:00,BTG/USD,28.553,29.304,25.878,27.311,10102.303581687911,369.89870681
1651708800000,2022-05-05 00:00:00,BTG/USD,30.175,32.537,28.16,28.747,10565.449915878571,367.53226131
1651622400000,2022-05-04 00:00:00,BTG/USD,27.598,30.144,27.598,29.931,1535.87412031911,51.31382581
1651536000000,2022-05-03 00:00:00,BTG/USD,28.409,29.024,27.806,27.909,346.27714336593,12.40736477
1651449600000,2022-05-02 00:00:00,BTG/USD,28.516,29.054,27.793,29.054,371.14405401842,12.77428423
1651363200000,2022-05-01 00:00:00,BTG/USD,27.8,28.418,27.195,27.925,2653.4351056875003,95.02005750000001
1651276800000,2022-04-30 00:00:00,BTG/USD,29.751,29.889,28.0,28.0,6645.98123924,237.35647283
1651190400000,2022-04-29 00:00:00,BTG/USD,31.6,33.0,29.543,29.8,6378.785328114001,214.05319893
1651104000000,2022-04-28 00:00:00,BTG/USD,31.353,31.984,30.769,31.256,743.6240234047999,23.791400799999998
1651017600000,2022-04-27 00:00:00,BTG/USD,31.234,31.515,31.069,31.225,851.2291833055,27.26114278
1650931200000,2022-04-26 00:00:00,BTG/USD,33.426,34.517,30.911,30.911,6158.34899357695,199.22839745
1650844800000,2022-04-25 00:00:00,BTG/USD,33.297,34.321,31.113,33.194,9312.78403071982,280.55624603
1650758400000,2022-04-24 00:00:00,BTG/USD,33.016,33.016,32.626,33.005,330.05421209810004,10.00012762
1650672000000,2022-04-23 00:00:00,BTG/USD,34.0,34.657,33.673,34.089,2079.10273486278,60.99042902
1650585600000,2022-04-22 00:00:00,BTG/USD,34.606,35.489,34.03,34.167,1913.3655861658801,56.00039764
1650499200000,2022-04-21 00:00:00,BTG/USD,35.503,37.334,34.285,34.443,2910.27689628975,84.49545325
1650412800000,2022-04-20 00:00:00,BTG/USD,35.676,35.844,34.543,34.552,4371.42633767504,126.51731702
1650326400000,2022-04-19 00:00:00,BTG/USD,34.36,35.644,34.359,35.644,1052.31714617008,29.52298132
1650240000000,2022-04-18 00:00:00,BTG/USD,34.0,34.677,32.465,34.677,4840.2042894117,139.5796721
1650153600000,2022-04-17 00:00:00,BTG/USD,35.498,35.498,34.199,34.199,1112.6746764794098,32.53529859
1650067200000,2022-04-16 00:00:00,BTG/USD,35.741,36.202,35.555,35.704,398.09815827248,11.14995962
1649980800000,2022-04-15 00:00:00,BTG/USD,34.751,35.608,34.693,35.322,748.6858837857001,21.19602185
1649894400000,2022-04-14 00:00:00,BTG/USD,36.0,36.072,33.982,34.467,3185.31702422067,92.41642801
1649808000000,2022-04-13 00:00:00,BTG/USD,34.071,35.602,33.763,35.602,3941.3127367611196,110.70481256
1649721600000,2022-04-12 00:00:00,BTG/USD,33.478,34.964,33.125,34.088,1869.48027797016,54.84276807
1649635200000,2022-04-11 00:00:00,BTG/USD,36.201,36.239,32.509,33.085,18980.35370895625,573.68456125
1649548800000,2022-04-10 00:00:00,BTG/USD,36.924,37.771,36.833,37.484,2136.14362230708,56.98814487
1649462400000,2022-04-09 00:00:00,BTG/USD,36.656,36.931,36.264,36.931,377.707703159,10.227389
1649376000000,2022-04-08 00:00:00,BTG/USD,38.784,38.847,36.557,36.561,1197.67072215,32.75815
1649289600000,2022-04-07 00:00:00,BTG/USD,36.061,38.947,36.061,38.831,5716.747517282231,147.22122833
1649203200000,2022-04-06 00:00:00,BTG/USD,41.428,41.619,35.725,35.725,19169.74716045975,536.59194291
1649116800000,2022-04-05 00:00:00,BTG/USD,42.832,42.936,41.747,41.979,2454.99818553066,58.48157854
1649030400000,2022-04-04 00:00:00,BTG/USD,42.525,43.87,41.329,43.23,20254.856991401997,468.5370574
1648944000000,2022-04-03 00:00:00,BTG/USD,41.931,42.551,41.228,42.551,28736.23877471753,675.33639103
1648857600000,2022-04-02 00:00:00,BTG/USD,42.495,45.651,42.012,42.012,18967.158007604998,451.47000875
1648771200000,2022-04-01 00:00:00,BTG/USD,42.268,42.824,40.357,42.336,7811.60507862336,184.51448126
1648684800000,2022-03-31 00:00:00,BTG/USD,43.957,44.389,41.95,42.419,14508.378987980019,342.02548358
1648598400000,2022-03-30 00:00:00,BTG/USD,44.561,45.727,43.645,43.914,7096.66761852048,161.60376232
1648512000000,2022-03-29 00:00:00,BTG/USD,43.459,46.323,42.85,43.735,21445.14741857685,490.34291571
1648425600000,2022-03-28 00:00:00,BTG/USD,43.836,45.332,43.432,43.677,42220.99112474061,966.6641739300001
1648339200000,2022-03-27 00:00:00,BTG/USD,42.767,43.794,41.551,43.78,21684.7768006386,495.31239837
1648252800000,2022-03-26 00:00:00,BTG/USD,44.631,45.25,43.061,43.061,7904.428946580119,183.56352492
1648166400000,2022-03-25 00:00:00,BTG/USD,45.632,46.99,43.782,44.618,35116.48440775986,787.04747877
1648080000000,2022-03-24 00:00:00,BTG/USD,43.683,45.869,41.484,44.46,35571.4529405508,800.07766398
1647993600000,2022-03-23 00:00:00,BTG/USD,44.08,47.528,41.814,44.222,208339.69581314086,4711.22282604
1647907200000,2022-03-22 00:00:00,BTG/USD,37.164,44.0,37.164,43.171,33705.277809438616,780.73887122
1647820800000,2022-03-21 00:00:00,BTG/USD,36.271,41.221,36.271,36.901,62728.77239052914,1699.92066314
1647734400000,2022-03-20 00:00:00,BTG/USD,31.645,37.969,31.512,35.636,61306.11098686636,1720.34209751
1647648000000,2022-03-19 00:00:00,BTG/USD,30.276,32.2,30.276,32.2,13812.080841034001,428.94660997
1647561600000,2022-03-18 00:00:00,BTG/USD,29.639,30.147,29.172,30.138,10656.41356036992,353.58728384
1647475200000,2022-03-17 00:00:00,BTG/USD,29.969,29.971,29.321,29.67,38022.145279101904,1281.50135757
1647388800000,2022-03-16 00:00:00,BTG/USD,29.03,30.0,28.595,29.795,7620.6234735094995,255.76853409999998
1647302400000,2022-03-15 00:00:00,BTG/USD,29.201,29.43,28.369,28.895,3320.6982987111,114.92293818
1647216000000,2022-03-14 00:00:00,BTG/USD,28.392,29.956,28.378,29.292,12543.309922227121,428.21623386
1647129600000,2022-03-13 00:00:00,BTG/USD,30.129,30.406,28.595,28.595,3579.52847925855,125.18022309
1647043200000,2022-03-12 00:00:00,BTG/USD,30.335,30.355,29.977,29.988,2982.03532225452,99.44095379
1646956800000,2022-03-11 00:00:00,BTG/USD,30.775,31.285,29.287,30.307,6051.793577784129,199.68302959
1646870400000,2022-03-10 00:00:00,BTG/USD,31.111,33.369,30.771,30.771,54901.77297382206,1784.20502986
1646784000000,2022-03-09 00:00:00,BTG/USD,28.815,31.46,28.815,30.982,46165.0622850753,1490.06075415
1646697600000,2022-03-08 00:00:00,BTG/USD,28.538,28.942,28.448,28.579,7061.00135220231,247.06957389
1646611200000,2022-03-07 00:00:00,BTG/USD,28.645,29.53,28.134,28.538,19644.765586758,688.372191
1646524800000,2022-03-06 00:00:00,BTG/USD,29.94,30.049,28.492,28.629,44726.9538471255,1562.2953595
1646438400000,2022-03-05 00:00:00,BTG/USD,29.934,30.057,29.527,29.867,11941.13778964906,399.81041918
1646352000000,2022-03-04 00:00:00,BTG/USD,31.517,32.404,29.64,29.679,12133.59092345673,408.82748487000003
1646265600000,2022-03-03 00:00:00,BTG/USD,31.688,32.183,30.63,30.715,8508.8544635346,277.02602844
1646179200000,2022-03-02 00:00:00,BTG/USD,32.538,32.837,31.114,31.336,8798.61962802792,280.78311297
1646092800000,2022-03-01 00:00:00,BTG/USD,32.111,34.423,32.086,32.44,41834.264368537995,1289.58891395
1646006400000,2022-02-28 00:00:00,BTG/USD,29.387,32.149,28.833,31.807,5330.6423335850795,167.59337044
1645920000000,2022-02-27 00:00:00,BTG/USD,30.857,30.906,29.158,29.158,1698.47589509348,58.25076806
1645833600000,2022-02-26 00:00:00,BTG/USD,29.203,33.0,29.203,30.661,15460.227285210181,504.23101938
1645747200000,2022-02-25 00:00:00,BTG/USD,28.152,29.158,27.562,29.053,3810.66673976279,131.16259043
1645660800000,2022-02-24 00:00:00,BTG/USD,27.907,27.907,25.13,27.863,8553.10837972305,306.97011735
1645574400000,2022-02-23 00:00:00,BTG/USD,28.684,29.106,28.166,28.28,2408.9867437384,85.18340678
1645488000000,2022-02-22 00:00:00,BTG/USD,27.281,28.369,26.56,28.08,2934.7055109216,104.51230452
1645401600000,2022-02-21 00:00:00,BTG/USD,29.122,30.097,27.25,27.26,25029.626097743403,918.1814415900001
1645315200000,2022-02-20 00:00:00,BTG/USD,30.579,30.76,28.767,29.341,7395.85481695645,252.06553345
1645228800000,2022-02-19 00:00:00,BTG/USD,30.756,30.841,29.68,29.947,6295.01030562823,210.20503908999999
1645142400000,2022-02-18 00:00:00,BTG/USD,31.819,31.978,30.603,30.603,4475.66980184652,146.24938084000001
1645056000000,2022-02-17 00:00:00,BTG/USD,34.119,34.119,31.506,31.506,2268.4785992643597,72.00147906
1644969600000,2022-02-16 00:00:00,BTG/USD,34.348,34.656,33.193,33.499,4382.23614645572,130.81692428
1644883200000,2022-02-15 00:00:00,BTG/USD,32.27,33.823,32.27,33.823,8301.97717909308,245.45360196000001
1644796800000,2022-02-14 00:00:00,BTG/USD,33.154,33.625,31.785,32.31,19918.319677395302,616.47538463
1644710400000,2022-02-13 00:00:00,BTG/USD,33.235,33.752,32.899,32.899,3868.1485543278604,117.57647814
1644624000000,2022-02-12 00:00:00,BTG/USD,33.405,33.763,32.232,33.117,6035.01807694317,182.23323601
1644537600000,2022-02-11 00:00:00,BTG/USD,35.735,36.25,32.938,33.289,4352.59114023132,130.75163388
1644451200000,2022-02-10 00:00:00,BTG/USD,36.165,37.869,35.587,35.997,4658.27280848748,129.40725084
1644364800000,2022-02-09 00:00:00,BTG/USD,35.53,36.299,35.042,36.12,13575.779166768,375.8521364
1644278400000,2022-02-08 00:00:00,BTG/USD,36.322,38.151,34.08,35.253,39987.95311467036,1134.31348012
1644192000000,2022-02-07 00:00:00,BTG/USD,34.404,37.209,34.227,36.167,113230.4575202335,3130.76720547
1644105600000,2022-02-06 00:00:00,BTG/USD,33.689,34.712,32.908,34.165,9016.83454281395,263.92022663
1644019200000,2022-02-05 00:00:00,BTG/USD,32.536,33.452,32.259,32.875,81919.94715735875,2491.86151049
1643932800000,2022-02-04 00:00:00,BTG/USD,29.866,32.466,29.866,32.466,8254.11955567374,254.23888239000001
