https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ESS
1650758400000,2022-04-24 00:00:00,ESS/USD,0.00096405,0.0010482,0.00096405,0.0010479,42.636528993847044,40687.59327593
1650672000000,2022-04-23 00:00:00,ESS/USD,0.0010233,0.00106,0.00095801,0.001011,33771.94781115016,33404498.32952538
1650585600000,2022-04-22 00:00:00,ESS/USD,0.0010166,0.0010479,0.00099,0.0010241,4275.568927960239,4174952.57099916
1650499200000,2022-04-21 00:00:00,ESS/USD,0.0010165,0.0010489,0.0010101,0.0010434,5582.989703882173,5350766.44037011
1650412800000,2022-04-20 00:00:00,ESS/USD,0.0010398,0.00112,0.0010056,0.0010164,30769.899596030384,30273415.58051002
1650326400000,2022-04-19 00:00:00,ESS/USD,0.0010077,0.0010591,0.0010052,0.0010398,2477.0938788718327,2382279.16798599
1650240000000,2022-04-18 00:00:00,ESS/USD,0.0010046,0.0010391,0.0010011,0.0010303,2232.796061097318,2167131.96262964
1650153600000,2022-04-17 00:00:00,ESS/USD,0.001028,0.001099,0.00098642,0.0010045,31384.839349921243,31244240.26871204
1650067200000,2022-04-16 00:00:00,ESS/USD,0.0009998,0.0011073,0.00095939,0.0010281,40857.52444845582,39740807.75066221
1649980800000,2022-04-15 00:00:00,ESS/USD,0.0009994,0.0010631,0.00094902,0.000978,62662.410155599006,64071994.02412987
1649894400000,2022-04-14 00:00:00,ESS/USD,0.00096049,0.0010288,0.00095503,0.00099951,34369.358672891634,34386207.91476987
1649808000000,2022-04-13 00:00:00,ESS/USD,0.00096818,0.0010651,0.00094503,0.00098471,31762.338450500833,32255525.434392698
1649721600000,2022-04-12 00:00:00,ESS/USD,0.0010448,0.001058,0.00093403,0.00094516,36627.546496498995,38752747.15021689
1649635200000,2022-04-11 00:00:00,ESS/USD,0.0010287,0.0010629,0.00097715,0.0010449,26405.441818715484,25270783.63356827
1649548800000,2022-04-10 00:00:00,ESS/USD,0.0010091,0.00109,0.00097425,0.0010288,119383.94947417984,116041941.55732876
1649462400000,2022-04-09 00:00:00,ESS/USD,0.0010482,0.0010488,0.0009761,0.0010096,29303.695687317344,29025055.15780244
1649376000000,2022-04-08 00:00:00,ESS/USD,0.0010023,0.0010996,0.00097597,0.0010488,43917.3710741894,41873923.60239264
1649289600000,2022-04-07 00:00:00,ESS/USD,0.001066,0.001066,0.0009745,0.0010023,3551.456305690033,3543306.70027939
1649203200000,2022-04-06 00:00:00,ESS/USD,0.0010793,0.0010867,0.0010123,0.001066,6863.3842078268,6438446.72404015
1649116800000,2022-04-05 00:00:00,ESS/USD,0.0010489,0.00118,0.0010231,0.0010542,31965.653261940493,30322190.5349464
1649030400000,2022-04-04 00:00:00,ESS/USD,0.001079,0.0010819,0.0010421,0.0010489,2058.320629489133,1962361.1683565
1648944000000,2022-04-03 00:00:00,ESS/USD,0.0012581,0.0012889,0.00095942,0.001079,80597.79656037598,74696753.06800368
1648857600000,2022-04-02 00:00:00,ESS/USD,0.00115,0.001293,0.0011364,0.0012581,23712.85392205046,18848147.1441463
1648771200000,2022-04-01 00:00:00,ESS/USD,0.0011573,0.001255,0.0011203,0.0011499,12982.484314514908,11290098.54292974
1648684800000,2022-03-31 00:00:00,ESS/USD,0.0012888,0.001308,0.0011202,0.0011581,11683.637191356273,10088625.49983272
