https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MIM
1653609600000,2022-05-27 00:00:00,MIM/USD,0.99929,0.9998,0.9932,0.99899,1418.9077334580486,1420.34227916
1653523200000,2022-05-26 00:00:00,MIM/USD,0.9992,0.99931,0.99033,0.9992,89.06474008086398,89.13604892
1653436800000,2022-05-25 00:00:00,MIM/USD,0.99939,0.9996,0.99321,0.9992,2508.464875866424,2510.47325447
1653350400000,2022-05-24 00:00:00,MIM/USD,0.99923,0.99939,0.99228,0.9993,538.829141100003,539.20658571
1653264000000,2022-05-23 00:00:00,MIM/USD,0.99935,0.99941,0.98813,0.99923,114.3913020325683,114.47945121000001
1653177600000,2022-05-22 00:00:00,MIM/USD,0.9995,0.9997,0.99421,0.99935,27.9798513374545,27.99805007
1653091200000,2022-05-21 00:00:00,MIM/USD,0.99956,0.99958,0.98382,0.9995,52.673044652825,52.69939435
1653004800000,2022-05-20 00:00:00,MIM/USD,0.99919,0.99956,0.96558,0.98401,91.1220487458299,92.60276698999999
1652918400000,2022-05-19 00:00:00,MIM/USD,0.99935,0.99977,0.98059,0.99919,125.0708251461416,125.17221463999999
1652832000000,2022-05-18 00:00:00,MIM/USD,0.99909,0.9995,0.97382,0.99935,142.0341098701415,142.12649209
1652745600000,2022-05-17 00:00:00,MIM/USD,0.99799,0.99956,0.97377,0.99936,10.7928173333376,10.79972916
1652659200000,2022-05-16 00:00:00,MIM/USD,0.99131,0.99951,0.99131,0.99799,861.8965572284753,863.63245847
1652572800000,2022-05-15 00:00:00,MIM/USD,0.9972,0.99988,0.99121,0.9969,2472.211809247161,2479.89949769
1652486400000,2022-05-14 00:00:00,MIM/USD,0.99608,0.9983,0.99041,0.99718,3497.772255732691,3507.66386784
1652400000000,2022-05-13 00:00:00,MIM/USD,0.99995,1.0023,0.98921,0.99616,12937.931299699578,12987.80446886
1652313600000,2022-05-12 00:00:00,MIM/USD,1.0003,1.0559,0.98393,0.99637,17854.170601989532,17919.21736101
1652227200000,2022-05-11 00:00:00,MIM/USD,0.99768,1.0484,0.9776,0.99981,378160.4648016206,378232.32894412
1652140800000,2022-05-10 00:00:00,MIM/USD,0.99802,0.99913,0.99261,0.9975,972.6754344263251,975.11321747
1652054400000,2022-05-09 00:00:00,MIM/USD,0.99913,0.99913,0.98404,0.99541,3460.9626990956085,3476.92177002
1651968000000,2022-05-08 00:00:00,MIM/USD,0.99913,0.99913,0.9959,0.99913,210.0169354159525,210.19980925000002
1651881600000,2022-05-07 00:00:00,MIM/USD,0.99913,0.99913,0.9959,0.99734,42.3452046188752,42.45814328
1651795200000,2022-05-06 00:00:00,MIM/USD,0.99913,0.99913,0.99643,0.99913,311.88444908839784,312.15602483
1651708800000,2022-05-05 00:00:00,MIM/USD,0.99913,0.99913,0.9955,0.99674,206.9576216768132,207.63451018
1651622400000,2022-05-04 00:00:00,MIM/USD,0.99912,0.99913,0.9956,0.99702,937.7802439581169,940.5831818400001
1651536000000,2022-05-03 00:00:00,MIM/USD,0.99916,0.99916,0.9955,0.99722,809.0711102470318,811.32659819
1651449600000,2022-05-02 00:00:00,MIM/USD,0.99874,1.0012,0.9955,0.99916,3760.158877724073,3763.32006658
1651363200000,2022-05-01 00:00:00,MIM/USD,0.99996,1.0003,0.9977,0.99874,244.566662141826,244.8752049
1651276800000,2022-04-30 00:00:00,MIM/USD,0.99871,1.0003,0.9981,0.99971,1105.0225589685438,1105.34310847
1651190400000,2022-04-29 00:00:00,MIM/USD,0.99911,0.99911,0.9987,0.99871,878.1857413870916,879.32006427
1651104000000,2022-04-28 00:00:00,MIM/USD,0.99911,0.99911,0.9991,0.9991,3443.1733887973032,3446.27503633
1651017600000,2022-04-27 00:00:00,MIM/USD,0.99911,0.99911,0.9991,0.99911,3177.096323252558,3179.9264577999998
1650931200000,2022-04-26 00:00:00,MIM/USD,0.99911,0.99911,0.9991,0.99911,289.60421425946714,289.86219161
1650844800000,2022-04-25 00:00:00,MIM/USD,0.99983,1.0002,0.9991,0.9991,2238.8432934892053,2240.86006755
1650758400000,2022-04-24 00:00:00,MIM/USD,0.99977,1.0002,0.9991,0.99964,6.0330526188919995,6.0352253
1650672000000,2022-04-23 00:00:00,MIM/USD,0.99983,1.0001,0.9991,0.99978,54.379935481626006,54.391901700000005
1650585600000,2022-04-22 00:00:00,MIM/USD,0.99942,1.0003,0.9991,1.0,1177.2503264700001,1177.2503264700001
1650499200000,2022-04-21 00:00:00,MIM/USD,0.99921,1.0001,0.9991,0.9992,477.92651540980796,478.30916274
1650412800000,2022-04-20 00:00:00,MIM/USD,0.99911,1.0008,0.9991,0.99917,305.8838103889745,306.13790485
1650326400000,2022-04-19 00:00:00,MIM/USD,0.99911,0.99911,0.9991,0.99911,187.9835921585349,188.15104659
1650240000000,2022-04-18 00:00:00,MIM/USD,0.99911,0.99951,0.9991,0.9991,2733.2408850140428,2735.70301773
1650153600000,2022-04-17 00:00:00,MIM/USD,0.99911,1.0003,0.9991,0.99911,428.042955314919,428.4242529
