https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REQ
1656115200000,2022-06-25 00:00:00,REQ/USD,0.089331,0.11708,0.088064,0.09725,24970.079324299277,256761.7411239
1656028800000,2022-06-24 00:00:00,REQ/USD,0.085001,0.091923,0.083688,0.091016,35327.780108930434,388149.11783566
1655942400000,2022-06-23 00:00:00,REQ/USD,0.07992,0.084715,0.079812,0.084715,10811.572273779935,127622.87993602
1655856000000,2022-06-22 00:00:00,REQ/USD,0.080928,0.082685,0.078053,0.079176,27176.37961435764,343240.11839898
1655769600000,2022-06-21 00:00:00,REQ/USD,0.080289,0.085922,0.080289,0.081135,28186.769273407503,347405.79618423
1655683200000,2022-06-20 00:00:00,REQ/USD,0.079409,0.083033,0.077056,0.080637,25624.37832265746,317774.44997529
1655596800000,2022-06-19 00:00:00,REQ/USD,0.074771,0.082186,0.073648,0.080369,44984.26911491862,559721.64783584
1655510400000,2022-06-18 00:00:00,REQ/USD,0.080365,0.080657,0.068025,0.076322,85008.42772014298,1113812.89431806
1655424000000,2022-06-17 00:00:00,REQ/USD,0.083402,0.085679,0.080316,0.080316,24476.924541050226,304757.76359692
1655337600000,2022-06-16 00:00:00,REQ/USD,0.08666,0.08666,0.081655,0.08209,4814.379166643628,58647.57177054
1655251200000,2022-06-15 00:00:00,REQ/USD,0.08296,0.084924,0.078325,0.084924,63936.5755643065,752868.15934608
1655164800000,2022-06-14 00:00:00,REQ/USD,0.087137,0.09191,0.08296,0.08886,74227.47645013114,835330.59250654
1655078400000,2022-06-13 00:00:00,REQ/USD,0.10029,0.10068,0.084352,0.087693,160632.1112349427,1831755.22829579
1654992000000,2022-06-12 00:00:00,REQ/USD,0.10813,0.10961,0.10029,0.10029,182250.93682074462,1817239.37402278
1654905600000,2022-06-11 00:00:00,REQ/USD,0.11513,0.11706,0.10813,0.10813,117841.41752982809,1089812.42513482
1654819200000,2022-06-10 00:00:00,REQ/USD,0.12197,0.1228,0.11479,0.11507,60264.7570796406,523722.57825359
1654732800000,2022-06-09 00:00:00,REQ/USD,0.1202,0.12753,0.11985,0.12222,105400.8209989336,862386.0333737
1654646400000,2022-06-08 00:00:00,REQ/USD,0.12232,0.12755,0.11919,0.12051,107973.0703922542,895967.72377607
1654560000000,2022-06-07 00:00:00,REQ/USD,0.12311,0.12931,0.11856,0.12319,183976.86879832728,1493439.96102222
1654473600000,2022-06-06 00:00:00,REQ/USD,0.12348,0.13293,0.12311,0.12385,155308.49825105167,1254004.83044854
1654387200000,2022-06-05 00:00:00,REQ/USD,0.11958,0.1357,0.11958,0.12185,209116.12837833934,1716176.67934624
1654300800000,2022-06-04 00:00:00,REQ/USD,0.11847,0.12638,0.1166,0.1214,103848.6942360712,855425.81743057
1654214400000,2022-06-03 00:00:00,REQ/USD,0.12147,0.12193,0.11605,0.11883,60685.86095579986,510694.78209038
1654128000000,2022-06-02 00:00:00,REQ/USD,0.1168,0.12147,0.11587,0.12147,75677.33228520311,623012.53219069
1654041600000,2022-06-01 00:00:00,REQ/USD,0.1262,0.12768,0.11697,0.11755,86490.30992622144,735774.64845786
1653955200000,2022-05-31 00:00:00,REQ/USD,0.12983,0.12983,0.12444,0.12638,68941.53224305503,545509.82942756
1653868800000,2022-05-30 00:00:00,REQ/USD,0.12031,0.12923,0.12031,0.1289,1490.6911707430377,11564.71040142
1653782400000,2022-05-29 00:00:00,REQ/USD,0.12261,0.12281,0.12011,0.12186,1188.9234654217507,9756.470256210001
1653696000000,2022-05-28 00:00:00,REQ/USD,0.11673,0.13323,0.11673,0.12459,5398.118535106912,43327.06104107
1653609600000,2022-05-27 00:00:00,REQ/USD,0.11575,0.11758,0.11101,0.11411,10065.26912851113,88206.72271064
1653523200000,2022-05-26 00:00:00,REQ/USD,0.12828,0.13131,0.1139,0.11871,19066.05359899557,160610.34115909
1653436800000,2022-05-25 00:00:00,REQ/USD,0.12718,0.13506,0.12197,0.12574,12503.405501003615,99438.56768732
1653350400000,2022-05-24 00:00:00,REQ/USD,0.14316,0.14781,0.12733,0.12881,24232.097584427363,188122.79779852
1653264000000,2022-05-23 00:00:00,REQ/USD,0.1147,0.18488,0.1141,0.14528,50199.82963686429,345538.47492335003
1653177600000,2022-05-22 00:00:00,REQ/USD,0.11353,0.11565,0.11215,0.11348,1745.0082426556887,15377.23160606
1653091200000,2022-05-21 00:00:00,REQ/USD,0.11389,0.11545,0.11073,0.11274,3995.258400806983,35437.80735149
1653004800000,2022-05-20 00:00:00,REQ/USD,0.11376,0.1193,0.10994,0.10994,3430.678898855022,31205.01090463
1652918400000,2022-05-19 00:00:00,REQ/USD,0.10852,0.12073,0.10852,0.11294,10558.417308451284,93486.96040775
1652832000000,2022-05-18 00:00:00,REQ/USD,0.11751,0.11909,0.1073,0.10881,13910.9009244799,127845.79472916
1652745600000,2022-05-17 00:00:00,REQ/USD,0.11401,0.12197,0.11401,0.11982,19020.4098008859,158741.52729833
1652659200000,2022-05-16 00:00:00,REQ/USD,0.11401,0.11641,0.10765,0.11194,17448.56709674202,155874.28172898
1652572800000,2022-05-15 00:00:00,REQ/USD,0.11,0.12051,0.10725,0.11637,20068.769786192006,172456.55913201
1652486400000,2022-05-14 00:00:00,REQ/USD,0.11229,0.1144,0.10327,0.11055,32497.842671592607,293965.10783892
1652400000000,2022-05-13 00:00:00,REQ/USD,0.099229,0.12182,0.098175,0.11261,29214.671235834892,259432.29940356
1652313600000,2022-05-12 00:00:00,REQ/USD,0.12387,0.12577,0.092579,0.10056,59237.17768076002,589072.96818576
1652227200000,2022-05-11 00:00:00,REQ/USD,0.15704,0.18198,0.10844,0.11836,40326.05415557631,340706.77725225
