https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WOO
1659484800000,2022-08-03 00:00:00,WOO/USD,0.21133,0.21141,0.21133,0.21141,150.7837027221,713.2288100000001
1659398400000,2022-08-02 00:00:00,WOO/USD,0.21291,0.21291,0.20519,0.20519,175.7306110553506,856.42872974
1659312000000,2022-08-01 00:00:00,WOO/USD,0.22152,0.22262,0.20706,0.2101,1468.756592097938,6990.75008138
1659225600000,2022-07-31 00:00:00,WOO/USD,0.22819,0.23224,0.22131,0.23224,604.012540897148,2600.81183645
1659139200000,2022-07-30 00:00:00,WOO/USD,0.20979,0.24523,0.20979,0.226,11522.5052041277,50984.536301449996
1659052800000,2022-07-29 00:00:00,WOO/USD,0.20802,0.20802,0.20802,0.20802,10.5297577275204,50.61896802
1658966400000,2022-07-28 00:00:00,WOO/USD,0.20341,0.20341,0.19793,0.20276,37.9401872227008,187.11869808
1658880000000,2022-07-27 00:00:00,WOO/USD,0.20987,0.2228,0.20987,0.2228,101.02302251388,453.4246971
1658707200000,2022-07-25 00:00:00,WOO/USD,0.21164,0.21164,0.20987,0.20987,21.840057980377,104.0646971
1658620800000,2022-07-24 00:00:00,WOO/USD,0.192,0.192,0.192,0.192,5.4653245536,28.46523205
1658534400000,2022-07-23 00:00:00,WOO/USD,0.18988,0.18988,0.18988,0.18988,1.9779172995999998,10.41667
1658448000000,2022-07-22 00:00:00,WOO/USD,0.192,0.192,0.18984,0.18984,25.915615760747997,136.51293594999999
1658361600000,2022-07-21 00:00:00,WOO/USD,0.19893,0.19893,0.18654,0.18654,196.3949082,1052.83
1658275200000,2022-07-20 00:00:00,WOO/USD,0.20604,0.21746,0.19912,0.19912,377.3858146647968,1895.26825364
1658188800000,2022-07-19 00:00:00,WOO/USD,0.2053,0.21856,0.20263,0.21856,96.3009531987136,440.61563506
1658102400000,2022-07-18 00:00:00,WOO/USD,0.19531,0.2,0.19251,0.19838,219.5408475322062,1106.66825049
1657929600000,2022-07-16 00:00:00,WOO/USD,0.18719,0.19,0.18719,0.19,100.4812265026,528.84856054
1657670400000,2022-07-13 00:00:00,WOO/USD,0.16734,0.16734,0.154,0.16313,715.7093256934918,4387.35564086
1657584000000,2022-07-12 00:00:00,WOO/USD,0.16826,0.16826,0.16637,0.16729,74.56263470927769,445.70885712999996
1657497600000,2022-07-11 00:00:00,WOO/USD,0.2,0.2,0.17848,0.18092,22.705320286339198,125.49922776
1657411200000,2022-07-10 00:00:00,WOO/USD,0.20505,0.20505,0.1883,0.19887,92.28731904374429,464.05852589
1657324800000,2022-07-09 00:00:00,WOO/USD,0.22097,0.22097,0.18872,0.18872,3.7744,20.0
1657152000000,2022-07-07 00:00:00,WOO/USD,0.19101,0.19101,0.19054,0.19054,393.35689716799976,2064.43212537
1657065600000,2022-07-06 00:00:00,WOO/USD,0.18324,0.20571,0.18088,0.18698,902.7467216855468,4828.03894366
1656979200000,2022-07-05 00:00:00,WOO/USD,0.18081,0.18677,0.16555,0.18125,3750.6710899218747,20693.3577375
1656892800000,2022-07-04 00:00:00,WOO/USD,0.1619,0.181,0.15707,0.18099,1595.6147001852332,8816.03790367
1656806400000,2022-07-03 00:00:00,WOO/USD,0.1559,0.15783,0.154,0.154,606.02889552128,3935.25256832
1656720000000,2022-07-02 00:00:00,WOO/USD,0.15801,0.17312,0.154,0.1685,36517.43538527835,216720.6847791
1656633600000,2022-07-01 00:00:00,WOO/USD,0.16654,0.1711,0.158,0.158,694.2577744497,4394.03654715
1656547200000,2022-06-30 00:00:00,WOO/USD,0.171,0.1801,0.158,0.1621,119563.51403745549,737591.07981157
1656460800000,2022-06-29 00:00:00,WOO/USD,0.18878,0.18878,0.17298,0.173,65772.3863458549,380187.2043113
1656374400000,2022-06-28 00:00:00,WOO/USD,0.19231,0.19826,0.185,0.19437,108031.12556199002,555801.43829804
1656288000000,2022-06-27 00:00:00,WOO/USD,0.19978,0.20627,0.19,0.191,77309.14729737693,404759.93349412
1656201600000,2022-06-26 00:00:00,WOO/USD,0.20637,0.22431,0.197,0.197,50912.57344001883,258439.45908639
1656115200000,2022-06-25 00:00:00,WOO/USD,0.22,0.22377,0.20529,0.20889,41229.63863422156,197374.87976553
1656028800000,2022-06-24 00:00:00,WOO/USD,0.21433,0.24254,0.21433,0.23161,793.3901673496871,3425.54366111
1655942400000,2022-06-23 00:00:00,WOO/USD,0.19073,0.22476,0.19073,0.20774,47365.27387383903,228002.66618773
1655856000000,2022-06-22 00:00:00,WOO/USD,0.18348,0.19402,0.16807,0.19402,10291.452437311675,53043.25552681
1655769600000,2022-06-21 00:00:00,WOO/USD,0.17582,0.19438,0.17582,0.18438,16153.270351807696,87608.58201436
1655683200000,2022-06-20 00:00:00,WOO/USD,0.17312,0.17312,0.15891,0.16052,2961.1765033666643,18447.39909897
1655596800000,2022-06-19 00:00:00,WOO/USD,0.15444,0.23,0.15004,0.16805,11430.458848894674,68018.20201663
1655510400000,2022-06-18 00:00:00,WOO/USD,0.13276,0.13782,0.12463,0.12886,3919.045311994894,30413.20279369
1655424000000,2022-06-17 00:00:00,WOO/USD,0.13286,0.14235,0.13286,0.14129,3599.7357139519468,25477.63970523
1655337600000,2022-06-16 00:00:00,WOO/USD,0.13909,0.15835,0.13206,0.15835,5208.881551349296,32894.73666782
1655251200000,2022-06-15 00:00:00,WOO/USD,0.12786,0.15411,0.12786,0.15185,2047.56059948649,13484.1000954
1655164800000,2022-06-14 00:00:00,WOO/USD,0.12635,0.13951,0.1227,0.13053,2198.5870310489963,16843.53812188
1655078400000,2022-06-13 00:00:00,WOO/USD,0.11318,0.13505,0.10445,0.12485,9322.141581787462,74666.73273358
1654992000000,2022-06-12 00:00:00,WOO/USD,0.12338,0.12571,0.12151,0.12336,71.1839049910368,577.04203138
1654905600000,2022-06-11 00:00:00,WOO/USD,0.13954,0.13954,0.1324,0.1324,19.873870592072002,150.10476278000002
1654819200000,2022-06-10 00:00:00,WOO/USD,0.15125,0.15125,0.14968,0.14968,37.4686567589984,250.32507188
1654732800000,2022-06-09 00:00:00,WOO/USD,0.1748,0.1748,0.16075,0.16089,5224.1123047311885,32470.087045379998
1654646400000,2022-06-08 00:00:00,WOO/USD,0.17262,0.18326,0.17143,0.17143,247.4406136136445,1443.39155115
1654560000000,2022-06-07 00:00:00,WOO/USD,0.16739,0.17023,0.16638,0.17023,119.23706152342828,700.44681621
1654041600000,2022-06-01 00:00:00,WOO/USD,0.16581,0.16581,0.15767,0.15767,304.5164846622216,1931.35336248
1653955200000,2022-05-31 00:00:00,WOO/USD,0.17665,0.18121,0.16474,0.16474,948.0111487682603,5754.58995246
1653868800000,2022-05-30 00:00:00,WOO/USD,0.16328,0.17423,0.16328,0.17423,527.3599659838153,3026.80345511
