https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1656288000000,2022-06-27 00:00:00,OMG/USD,1.8957,2.054,1.8957,1.983,753615.2802556606,380037.96281173
1656201600000,2022-06-26 00:00:00,OMG/USD,2.0473,2.0851,1.8864,1.898,408774.30682629865,215371.07841217
1656115200000,2022-06-25 00:00:00,OMG/USD,2.0068,2.1183,1.9258,2.0509,709017.995723017,345710.66152568
1656028800000,2022-06-24 00:00:00,OMG/USD,1.9067,2.05,1.9004,2.0049,159525.12010326228,79567.61938414
1655942400000,2022-06-23 00:00:00,OMG/USD,1.795,1.9159,1.7949,1.9043,1308300.4855018351,687024.35829535
1655856000000,2022-06-22 00:00:00,OMG/USD,1.8849,1.8858,1.7728,1.795,607909.0383373476,338667.98793167
1655769600000,2022-06-21 00:00:00,OMG/USD,1.8686,1.9688,1.8248,1.886,309194.955085221,163942.18191157
1655683200000,2022-06-20 00:00:00,OMG/USD,1.8226,1.8947,1.7254,1.8702,486038.50746433326,259885.84507771
1655596800000,2022-06-19 00:00:00,OMG/USD,1.7163,1.8485,1.627,1.8182,1188232.9267460455,653521.57449458
1655510400000,2022-06-18 00:00:00,OMG/USD,1.846,1.8869,1.595,1.7185,976035.0598594323,567957.55592635
1655424000000,2022-06-17 00:00:00,OMG/USD,1.8077,1.9008,1.784,1.8467,1409787.819004581,763409.22673124
1655337600000,2022-06-16 00:00:00,OMG/USD,2.0284,2.0681,1.7671,1.8089,1148171.3559194033,634734.56571364
1655251200000,2022-06-15 00:00:00,OMG/USD,1.9251,2.0318,1.7373,2.0318,1397819.2573161551,687970.89148349
1655164800000,2022-06-14 00:00:00,OMG/USD,1.9071,1.9716,1.7579,1.9264,1648163.241995088,855566.4669825
1655078400000,2022-06-13 00:00:00,OMG/USD,2.153,2.1702,1.8532,1.9084,2230163.603330579,1168603.85837905
1654992000000,2022-06-12 00:00:00,OMG/USD,2.2952,2.33,2.1346,2.1491,2032465.3195347963,945728.5931482
1654905600000,2022-06-11 00:00:00,OMG/USD,2.4897,2.5704,2.2532,2.2819,1535194.233067566,672770.16217519
1654819200000,2022-06-10 00:00:00,OMG/USD,2.7286,2.7286,2.46,2.4874,1409310.5247044528,566579.77193232
1654732800000,2022-06-09 00:00:00,OMG/USD,2.6497,2.8188,2.5704,2.7286,2836256.9047368173,1039454.99697164
