https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AIX
1659484800000,2022-08-03 00:00:00,AIX/USD,0.0045385,0.0049217,0.0045281,0.0047965,2375.0941432979243,495172.34302052
1659398400000,2022-08-02 00:00:00,AIX/USD,0.0045275,0.004728,0.00447,0.0045573,1826.282131509807,400737.74636513
1659312000000,2022-08-01 00:00:00,AIX/USD,0.0048902,0.004892,0.0044375,0.0045318,8646.382261601544,1907935.53590219
1659225600000,2022-07-31 00:00:00,AIX/USD,0.0045736,0.0049951,0.0044362,0.0048907,1041.6618969621265,212988.30371156
1659139200000,2022-07-30 00:00:00,AIX/USD,0.0043108,0.004711,0.0042967,0.0045432,1275.5914535337283,280769.38139059
1659052800000,2022-07-29 00:00:00,AIX/USD,0.0044451,0.0049079,0.0042435,0.0043107,13339.734307405324,3094563.36729657
1658966400000,2022-07-28 00:00:00,AIX/USD,0.0044825,0.0046605,0.0042676,0.0044406,6022.895154880776,1356324.63065369
1658880000000,2022-07-27 00:00:00,AIX/USD,0.0041572,0.004511,0.0041136,0.0044831,4618.7069630830965,1030248.48053425
1658793600000,2022-07-26 00:00:00,AIX/USD,0.0041187,0.0042859,0.0040459,0.0041535,6071.574142206707,1461797.07287991
1658707200000,2022-07-25 00:00:00,AIX/USD,0.00427,0.0043824,0.0041105,0.0041175,5745.425634895884,1395367.48874217
1658620800000,2022-07-24 00:00:00,AIX/USD,0.0041904,0.0044569,0.0041904,0.00427,684.8927857737673,160396.43694936
1658534400000,2022-07-23 00:00:00,AIX/USD,0.004619,0.0072981,0.0041597,0.0041867,1330.4472508690542,317779.45658133
1658448000000,2022-07-22 00:00:00,AIX/USD,0.0046175,0.004719,0.0044504,0.0044504,2508.730342133334,563708.95697765
1658361600000,2022-07-21 00:00:00,AIX/USD,0.0046187,0.004656,0.0045168,0.0046167,1427.150428709147,309127.82479025
1658275200000,2022-07-20 00:00:00,AIX/USD,0.004865,0.0048941,0.004432,0.0046759,1992.603702937297,426143.35271013
1658188800000,2022-07-19 00:00:00,AIX/USD,0.0046391,0.0048429,0.0046391,0.004721,556.9435516543155,117971.52121464
1658102400000,2022-07-18 00:00:00,AIX/USD,0.00472,0.0047231,0.0039987,0.004618,1687.950238494864,365515.42626567
1658016000000,2022-07-17 00:00:00,AIX/USD,0.0045902,0.0047789,0.0044057,0.0044547,3663.0845139642765,822296.5663151899
1657929600000,2022-07-16 00:00:00,AIX/USD,0.004503,0.0046949,0.0042708,0.0045878,4760.567771757622,1037658.08704774
1657843200000,2022-07-15 00:00:00,AIX/USD,0.0043238,0.0047808,0.0043238,0.0045005,6165.820277730594,1370030.05837809
1657756800000,2022-07-14 00:00:00,AIX/USD,0.0043088,0.0046051,0.0040951,0.0043329,6948.739256135857,1603715.58451288
1657670400000,2022-07-13 00:00:00,AIX/USD,0.0042082,0.0045148,0.004003,0.0043001,10047.996814791559,2336689.1036933
1657584000000,2022-07-12 00:00:00,AIX/USD,0.0043749,0.0047089,0.004205,0.004225,6343.537498013657,1501428.9936127
1657497600000,2022-07-11 00:00:00,AIX/USD,0.0043348,0.005631,0.004196,0.0043332,18252.35943391793,4212212.55282884
1657411200000,2022-07-10 00:00:00,AIX/USD,0.0043284,0.004373,0.0041372,0.0043371,1890.2693488459258,435837.16050954
1657324800000,2022-07-09 00:00:00,AIX/USD,0.0044147,0.0044147,0.0041581,0.0043292,3045.8883769079766,703568.41377344
1657238400000,2022-07-08 00:00:00,AIX/USD,0.0044381,0.0045631,0.0042179,0.0044191,3659.251963064847,828053.66772982
1657152000000,2022-07-07 00:00:00,AIX/USD,0.0044464,0.0046256,0.0043481,0.0044379,2439.418138635944,549678.48275895
1657065600000,2022-07-06 00:00:00,AIX/USD,0.0042276,0.004467,0.0039132,0.0044472,5562.255387328393,1250732.00830374
1656979200000,2022-07-05 00:00:00,AIX/USD,0.0042292,0.0043657,0.0039618,0.0042257,6596.569471220837,1561059.5809501
1656892800000,2022-07-04 00:00:00,AIX/USD,0.0040275,0.0045288,0.0039216,0.004237,9376.465637697633,2212996.37425009
1656806400000,2022-07-03 00:00:00,AIX/USD,0.0040141,0.0041119,0.003908,0.0040387,2722.186219620441,674025.35955145
1656720000000,2022-07-02 00:00:00,AIX/USD,0.004187,0.0042179,0.0040001,0.004013,1032.6197056723397,257318.64083537
1656633600000,2022-07-01 00:00:00,AIX/USD,0.0043335,0.0046439,0.0041149,0.0041872,3132.3984979004936,748089.05662507
1656547200000,2022-06-30 00:00:00,AIX/USD,0.004697,0.004699,0.0042663,0.0043659,1089.5420398308852,249557.25963281
1656460800000,2022-06-29 00:00:00,AIX/USD,0.0049418,0.0049819,0.0046128,0.0046906,1278.530301330346,272572.86942616
1656374400000,2022-06-28 00:00:00,AIX/USD,0.0050994,0.0051424,0.0049112,0.0049257,1244.1474224068943,252582.86586818
1656288000000,2022-06-27 00:00:00,AIX/USD,0.0049277,0.0052292,0.0049064,0.0051074,1223.5084387125837,239556.0243397
1656201600000,2022-06-26 00:00:00,AIX/USD,0.0056111,0.0056227,0.0049145,0.0049228,6372.920226745344,1294572.24074619
1656115200000,2022-06-25 00:00:00,AIX/USD,0.005627,0.0058814,0.005295,0.0056082,5472.7465639821885,975847.25294786
1656028800000,2022-06-24 00:00:00,AIX/USD,0.0052835,0.0056766,0.005189,0.0056193,5018.63870410299,893107.45183617
1655942400000,2022-06-23 00:00:00,AIX/USD,0.0047862,0.005586,0.0047787,0.0052835,10520.756582127706,1991247.57871254
1655856000000,2022-06-22 00:00:00,AIX/USD,0.00468,0.0052359,0.0045466,0.004809,3445.4552659863234,716459.81825459
1655769600000,2022-06-21 00:00:00,AIX/USD,0.0044771,0.0048372,0.004469,0.004612,3174.147925096193,688236.75739293
1655683200000,2022-06-20 00:00:00,AIX/USD,0.00492,0.005066,0.00431,0.0044772,9178.180327611326,2049982.20486271
1655596800000,2022-06-19 00:00:00,AIX/USD,0.0042839,0.004984,0.0042786,0.0049091,9183.041262294728,1870616.05228957
1655510400000,2022-06-18 00:00:00,AIX/USD,0.0050906,0.0051681,0.003916,0.0042846,9599.598248320515,2240488.78502556
1655424000000,2022-06-17 00:00:00,AIX/USD,0.0049732,0.005229,0.0049232,0.0050926,4414.06319855232,866760.24006447
1655337600000,2022-06-16 00:00:00,AIX/USD,0.0056909,0.0058667,0.0049171,0.0049706,2376.4222864136436,478095.65976213
1655251200000,2022-06-15 00:00:00,AIX/USD,0.0049942,0.0059013,0.0045717,0.0056727,14732.083489825493,2597014.38289095
1655164800000,2022-06-14 00:00:00,AIX/USD,0.0048097,0.005391,0.0045654,0.0049889,11091.77054885811,2223289.81315683
1655078400000,2022-06-13 00:00:00,AIX/USD,0.0055955,0.005904,0.0046202,0.0048185,18335.554032251563,3805241.05681261
1654992000000,2022-06-12 00:00:00,AIX/USD,0.0053131,0.0075365,0.004979,0.0055992,14513.159138164277,2592005.84693604
1654905600000,2022-06-11 00:00:00,AIX/USD,0.0057997,0.0058936,0.0050687,0.0053976,9529.500119777933,1765506.91414294
1654819200000,2022-06-10 00:00:00,AIX/USD,0.0072325,0.008371,0.0053581,0.0057996,17331.036494936117,2988315.83125321
1654732800000,2022-06-09 00:00:00,AIX/USD,0.0047111,0.008168,0.0046661,0.007288,78293.54645109302,10742802.75124767
1654646400000,2022-06-08 00:00:00,AIX/USD,0.0044164,0.0049078,0.0042282,0.00471,5578.303772869914,1184353.24264754
1654560000000,2022-06-07 00:00:00,AIX/USD,0.004276,0.0045415,0.0038658,0.0044166,3986.6904705593765,902660.52405909
1654473600000,2022-06-06 00:00:00,AIX/USD,0.0042085,0.0044838,0.0040623,0.004281,9464.332628503567,2210776.13373127
1654387200000,2022-06-05 00:00:00,AIX/USD,0.0038431,0.008,0.0035702,0.0042074,10716.068848077186,2546957.46733783
1654300800000,2022-06-04 00:00:00,AIX/USD,0.003699,0.004067,0.003536,0.0038485,5258.773439439606,1366447.56124194
1654214400000,2022-06-03 00:00:00,AIX/USD,0.0037338,0.00382,0.003432,0.003699,4193.477785781706,1133678.7742043
1654128000000,2022-06-02 00:00:00,AIX/USD,0.003436,0.004073,0.003412,0.00379,7023.038925570563,1853044.57139065
1654041600000,2022-06-01 00:00:00,AIX/USD,0.004109,0.004151,0.00331,0.003467,2543.730333114093,733697.81745431
1653955200000,2022-05-31 00:00:00,AIX/USD,0.00404,0.0043523,0.003754,0.0040874,6811.770378175203,1666528.93726457
1653868800000,2022-05-30 00:00:00,AIX/USD,0.0033681,0.004379,0.00336,0.0040135,19966.420538273353,4974815.1334928
1653782400000,2022-05-29 00:00:00,AIX/USD,0.0034889,0.0037825,0.0028474,0.0034819,4384.837272255363,1259323.14892885
