https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MOB
1656633600000,2022-07-01 00:00:00,MOB/USD,1.1118,1.1467,1.0652,1.0652,1557.3561333181558,1462.03166853
1656547200000,2022-06-30 00:00:00,MOB/USD,1.1115,1.2813,1.0773,1.1157,9499.243514356116,8514.15569988
1656460800000,2022-06-29 00:00:00,MOB/USD,1.0476,1.144,1.0414,1.1082,3312.573853040838,2989.14803559
1656374400000,2022-06-28 00:00:00,MOB/USD,1.0647,1.0942,1.0447,1.0507,2212.6125225288283,2105.84612404
1656288000000,2022-06-27 00:00:00,MOB/USD,1.1153,1.13,1.061,1.0648,4927.714186837904,4627.83075398
1656201600000,2022-06-26 00:00:00,MOB/USD,1.1599,1.1954,1.105,1.1069,4966.116344567578,4486.50857762
1656115200000,2022-06-25 00:00:00,MOB/USD,1.1442,1.1666,1.1242,1.1578,1184.869116960214,1023.37978663
1656028800000,2022-06-24 00:00:00,MOB/USD,1.1552,1.1766,1.1203,1.1458,2339.803369885604,2042.06961938
1655942400000,2022-06-23 00:00:00,MOB/USD,1.0548,1.175,1.0548,1.1547,3063.716447986341,2653.25751103
1655856000000,2022-06-22 00:00:00,MOB/USD,1.0705,1.0924,1.0534,1.0546,2853.074611312768,2705.36185408
1655769600000,2022-06-21 00:00:00,MOB/USD,1.0722,1.2481,1.0674,1.0959,35041.641113594706,31975.217733
1655683200000,2022-06-20 00:00:00,MOB/USD,1.0962,1.1118,1.0465,1.0748,1632.3071158498838,1518.70777433
1655596800000,2022-06-19 00:00:00,MOB/USD,1.03,1.1422,0.98581,1.0965,7283.633552253585,6642.62065869
1655510400000,2022-06-18 00:00:00,MOB/USD,1.0414,1.0527,0.94505,1.0295,16395.348115676596,15925.54455141
1655424000000,2022-06-17 00:00:00,MOB/USD,1.0329,1.077,1.0254,1.0355,6473.769745815715,6251.82978833
1655337600000,2022-06-16 00:00:00,MOB/USD,1.1866,1.1866,0.9364,1.0314,13318.875046394676,12913.39446034
1655251200000,2022-06-15 00:00:00,MOB/USD,1.1937,1.2066,1.0371,1.1569,6510.12561946985,5627.2155065
1655164800000,2022-06-14 00:00:00,MOB/USD,1.3935,1.3994,1.1658,1.1943,12779.922763433178,10700.76426646
1655078400000,2022-06-13 00:00:00,MOB/USD,1.5853,1.5858,1.3194,1.3906,90405.78878022896,65012.07304777
