https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UDC
1655164800000,2022-06-14 00:00:00,UDC/USD,1.0013,1.0013,1.0002,1.001,4800777.074640486,4795981.09354694
1655078400000,2022-06-13 00:00:00,UDC/USD,1.0022,1.0057,1.0002,1.0012,13282238.990720289,13266319.40743137
1654992000000,2022-06-12 00:00:00,UDC/USD,1.0017,1.099,1.0002,1.0022,4953581.486743831,4942707.5301774405
1654905600000,2022-06-11 00:00:00,UDC/USD,1.0009,1.0021,1.0003,1.0017,3828660.592811012,3822162.91585406
1654819200000,2022-06-10 00:00:00,UDC/USD,1.0009,1.0014,1.0006,1.0009,255773.5229154015,255543.53373504
1654732800000,2022-06-09 00:00:00,UDC/USD,1.0013,1.0013,1.0006,1.0009,1720319.2878328515,1718772.39267944
1654646400000,2022-06-08 00:00:00,UDC/USD,1.0006,1.0013,1.0001,1.0012,1492396.330196851,1490607.60107556
1654560000000,2022-06-07 00:00:00,UDC/USD,1.0003,1.0009,1.0001,1.0006,1507109.6578365555,1506205.9342759901
1654473600000,2022-06-06 00:00:00,UDC/USD,1.0002,1.0005,1.0002,1.0002,1421861.656113489,1421577.34064536
1654387200000,2022-06-05 00:00:00,UDC/USD,1.0006,1.0014,1.0002,1.0002,1109375.8725692122,1109154.04176086
1654300800000,2022-06-04 00:00:00,UDC/USD,1.0006,1.0015,1.0003,1.0006,2077301.0815353396,2076055.44826638
1654214400000,2022-06-03 00:00:00,UDC/USD,1.0012,1.0017,1.0005,1.0006,466115.96418780624,465836.46231042
1654128000000,2022-06-02 00:00:00,UDC/USD,1.0003,1.0016,1.0003,1.0012,4805838.159829881,4800078.0661505
1654041600000,2022-06-01 00:00:00,UDC/USD,1.0005,1.0007,0.99956,1.0003,1139581.6929973864,1139239.92102108
1653955200000,2022-05-31 00:00:00,UDC/USD,1.0001,1.0005,0.99975,1.0001,2097002.3820183848,2096792.70274811
1653868800000,2022-05-30 00:00:00,UDC/USD,1.0008,1.0015,1.0001,1.0002,1420156.5705237708,1419872.59600457
1653782400000,2022-05-29 00:00:00,UDC/USD,1.0002,1.0012,1.0002,1.0002,718367.091308974,718223.44661965
1653696000000,2022-05-28 00:00:00,UDC/USD,1.0003,1.0005,1.0002,1.0002,439646.82883425016,439558.91705084
1653609600000,2022-05-27 00:00:00,UDC/USD,1.0008,1.0032,1.0002,1.0004,3211139.1846931083,3209855.24259607
1653523200000,2022-05-26 00:00:00,UDC/USD,1.0004,1.0054,1.0002,1.0008,2679943.753771829,2677801.51256178
1653436800000,2022-05-25 00:00:00,UDC/USD,1.0003,1.0009,1.0003,1.0004,857024.8997041453,856682.22681342
1653350400000,2022-05-24 00:00:00,UDC/USD,1.0004,1.0005,1.0003,1.0004,189339.88585384272,189264.18018177
1653264000000,2022-05-23 00:00:00,UDC/USD,1.0006,1.0008,1.0003,1.0004,275667.8518054916,275557.62875399
1653177600000,2022-05-22 00:00:00,UDC/USD,1.0007,1.0008,1.0002,1.0006,232117.64321054213,231978.45613686
1653091200000,2022-05-21 00:00:00,UDC/USD,1.0005,1.0008,1.0002,1.0008,151121.92824982834,151001.12734795
1653004800000,2022-05-20 00:00:00,UDC/USD,1.0006,1.0014,1.0003,1.0005,339069.73073587776,338900.28059558
1652918400000,2022-05-19 00:00:00,UDC/USD,1.0005,1.0011,1.0005,1.0006,1883872.1390768683,1882742.49358072
1652832000000,2022-05-18 00:00:00,UDC/USD,1.0004,1.0008,1.0003,1.0005,2189359.409011076,2188265.27637289
1652745600000,2022-05-17 00:00:00,UDC/USD,1.0007,1.001,1.0003,1.0005,2287293.3665952347,2286150.29144951
1652659200000,2022-05-16 00:00:00,UDC/USD,1.0007,1.001,1.0005,1.0007,431114.97109801177,430813.40171681
1652572800000,2022-05-15 00:00:00,UDC/USD,1.0013,1.0023,1.0006,1.0007,315807.72925873,315586.81848579
1652486400000,2022-05-14 00:00:00,UDC/USD,1.0015,1.0019,1.001,1.0013,1485119.6822587554,1483191.53326551
1652400000000,2022-05-13 00:00:00,UDC/USD,1.0034,1.0933,1.0009,1.0012,3738903.928735758,3734422.62158985
1652313600000,2022-05-12 00:00:00,UDC/USD,1.0022,1.1455,1.0005,1.0034,10914155.672588987,10877173.28342534
1652227200000,2022-05-11 00:00:00,UDC/USD,1.0006,1.0048,1.0002,1.0022,4042739.6375204856,4033865.13422519
1652140800000,2022-05-10 00:00:00,UDC/USD,1.0002,1.0008,1.0002,1.0006,3100301.006960327,3098441.94179525
1652054400000,2022-05-09 00:00:00,UDC/USD,1.0004,1.0006,0.99994,1.0002,1172957.4405127168,1172722.89593353
1651968000000,2022-05-08 00:00:00,UDC/USD,1.0002,1.0006,1.0001,1.0004,4195766.7428191705,4194089.1071763
1651881600000,2022-05-07 00:00:00,UDC/USD,1.0002,1.0004,1.0,1.0003,284290.11322770163,284204.85177217
1651795200000,2022-05-06 00:00:00,UDC/USD,1.0001,1.0005,1.0,1.0002,115121.89185232557,115098.87207791
1651708800000,2022-05-05 00:00:00,UDC/USD,1.0001,1.0005,0.99981,1.0001,412293.2546641261,412252.02946118
