https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume VET
1649808000000,2022-04-13 00:00:00,VET/USD,0.060049,0.063617,0.058888,0.06161,290304.31081996334,4711967.388735
1649721600000,2022-04-12 00:00:00,VET/USD,0.05777,0.061975,0.057392,0.060178,120668.14516478183,2005187.03122041
1649635200000,2022-04-11 00:00:00,VET/USD,0.064941,0.065624,0.057,0.057571,152078.0047854073,2641573.09731301
1649548800000,2022-04-10 00:00:00,VET/USD,0.066985,0.068452,0.064788,0.064864,46606.62611891009,718528.39971186
1649462400000,2022-04-09 00:00:00,VET/USD,0.064919,0.067445,0.064339,0.067181,57461.74385985133,855327.30771872
1649376000000,2022-04-08 00:00:00,VET/USD,0.070212,0.071936,0.06425,0.064738,119255.21637662277,1842120.80040506
1649289600000,2022-04-07 00:00:00,VET/USD,0.066168,0.0708,0.065,0.070372,69229.18237172661,983760.3360957
1649203200000,2022-04-06 00:00:00,VET/USD,0.075849,0.076083,0.065389,0.065702,608805.8686385042,9266169.50227549
1649116800000,2022-04-05 00:00:00,VET/USD,0.079063,0.080672,0.075868,0.075906,207083.47577400174,2728156.8752668
1649030400000,2022-04-04 00:00:00,VET/USD,0.082697,0.083061,0.074694,0.078971,329015.2343833793,4166279.19595015
1648944000000,2022-04-03 00:00:00,VET/USD,0.077176,0.082913,0.075175,0.082581,363385.26875342254,4400349.58105887
1648857600000,2022-04-02 00:00:00,VET/USD,0.080192,0.084508,0.0764,0.077074,755777.2155500324,9805864.69561762
1648771200000,2022-04-01 00:00:00,VET/USD,0.078385,0.082901,0.074783,0.081048,133038.24084933833,1641474.69214957
1648684800000,2022-03-31 00:00:00,VET/USD,0.085416,0.089251,0.076368,0.077891,519663.9718828281,6671681.8616121
1648598400000,2022-03-30 00:00:00,VET/USD,0.072268,0.087229,0.068908,0.084227,2687679.6871588575,31909953.90027969
1648512000000,2022-03-29 00:00:00,VET/USD,0.071163,0.075311,0.070685,0.072457,284169.9388388697,3921911.462507
1648425600000,2022-03-28 00:00:00,VET/USD,0.074488,0.081,0.070128,0.071049,451960.3788705933,6361248.9812748
1648339200000,2022-03-27 00:00:00,VET/USD,0.064364,0.079741,0.063573,0.07481,501564.1293000675,6704506.47373436
1648252800000,2022-03-26 00:00:00,VET/USD,0.055614,0.065477,0.055592,0.064219,129762.49656875248,2020624.68379689
1648166400000,2022-03-25 00:00:00,VET/USD,0.057535,0.058956,0.055241,0.055684,265867.51125500177,4774576.38199486
1648080000000,2022-03-24 00:00:00,VET/USD,0.05609,0.058385,0.054992,0.057622,100789.22344489417,1749144.83087873
1647993600000,2022-03-23 00:00:00,VET/USD,0.053264,0.056149,0.052698,0.056132,49325.62127023636,878743.3419482
1647907200000,2022-03-22 00:00:00,VET/USD,0.050601,0.053835,0.050489,0.053219,69691.66178372747,1309525.9547103
1647820800000,2022-03-21 00:00:00,VET/USD,0.049892,0.051877,0.048838,0.050656,28515.704948956172,562928.47735621
1647734400000,2022-03-20 00:00:00,VET/USD,0.051361,0.05279,0.049,0.049948,80227.56601520373,1606221.79096668
1647648000000,2022-03-19 00:00:00,VET/USD,0.049632,0.05168,0.049543,0.051258,61548.10588357401,1200751.21705049
1647561600000,2022-03-18 00:00:00,VET/USD,0.048379,0.04982,0.047221,0.049546,107496.37297422366,2169627.67880805
1647475200000,2022-03-17 00:00:00,VET/USD,0.0483,0.04978,0.047659,0.048405,54839.73371036021,1132935.31061585
1647388800000,2022-03-16 00:00:00,VET/USD,0.045884,0.048672,0.045523,0.048429,113525.99128953849,2344173.76550287
1647302400000,2022-03-15 00:00:00,VET/USD,0.045954,0.046669,0.044299,0.045863,79159.40288513686,1725997.05394625
1647216000000,2022-03-14 00:00:00,VET/USD,0.044586,0.046136,0.044308,0.045867,38011.564410218496,828734.48035011
1647129600000,2022-03-13 00:00:00,VET/USD,0.045938,0.047131,0.044138,0.044482,40338.306549548644,906845.61282201
1647043200000,2022-03-12 00:00:00,VET/USD,0.04623,0.047468,0.04623,0.046323,8427.485002844018,181928.73956445
1646956800000,2022-03-11 00:00:00,VET/USD,0.046946,0.048415,0.045466,0.046198,32110.513336204345,695062.84549557
1646870400000,2022-03-10 00:00:00,VET/USD,0.048473,0.048829,0.045419,0.047052,84224.59368406092,1790032.17045101
1646784000000,2022-03-09 00:00:00,VET/USD,0.046562,0.049889,0.046532,0.048522,77342.95126763586,1593976.98503021
1646697600000,2022-03-08 00:00:00,VET/USD,0.045928,0.04757,0.045513,0.046637,21224.93890727633,455109.43901358
1646611200000,2022-03-07 00:00:00,VET/USD,0.047531,0.048902,0.044946,0.046018,70674.57442261007,1535802.82547286
1646524800000,2022-03-06 00:00:00,VET/USD,0.05032,0.050812,0.04736,0.047608,63394.7536817229,1331598.75822809
1646438400000,2022-03-05 00:00:00,VET/USD,0.049151,0.050901,0.047811,0.050421,41111.33612437989,815361.37967077
1646352000000,2022-03-04 00:00:00,VET/USD,0.054684,0.055087,0.048284,0.048977,114123.16522805652,2330137.9265381
1646265600000,2022-03-03 00:00:00,VET/USD,0.053057,0.057195,0.051771,0.054672,86847.16325321402,1588512.64364234
1646179200000,2022-03-02 00:00:00,VET/USD,0.052875,0.054102,0.051301,0.053084,78242.50866566844,1473937.69621107
1646092800000,2022-03-01 00:00:00,VET/USD,0.052137,0.054451,0.051385,0.052857,48240.54084004403,912661.34740988
1646006400000,2022-02-28 00:00:00,VET/USD,0.045542,0.052228,0.044548,0.052228,71801.48066731571,1374769.86802703
1645920000000,2022-02-27 00:00:00,VET/USD,0.048326,0.049184,0.044688,0.045589,63644.745936985986,1396054.88027783
1645833600000,2022-02-26 00:00:00,VET/USD,0.047559,0.049234,0.047332,0.048306,41762.17670127978,864533.94405001
1645747200000,2022-02-25 00:00:00,VET/USD,0.044758,0.048201,0.043546,0.047498,45812.59029985226,964516.19646832
1645660800000,2022-02-24 00:00:00,VET/USD,0.045476,0.046042,0.039082,0.044671,183494.03835717772,4107676.97963282
1645574400000,2022-02-23 00:00:00,VET/USD,0.0474,0.049985,0.045527,0.045543,91670.74071386964,2012839.31040708
1645488000000,2022-02-22 00:00:00,VET/USD,0.045421,0.047432,0.043853,0.047304,115692.32048910452,2445719.61121902
1645401600000,2022-02-21 00:00:00,VET/USD,0.049274,0.051678,0.045,0.045307,128424.60393252077,2834542.21053084
1645315200000,2022-02-20 00:00:00,VET/USD,0.052607,0.052761,0.04828,0.049144,104337.49350911398,2123097.29588788
1645228800000,2022-02-19 00:00:00,VET/USD,0.053144,0.054578,0.051544,0.05267,88162.02207581319,1673856.50419239
1645142400000,2022-02-18 00:00:00,VET/USD,0.054549,0.056079,0.05286,0.053275,141173.65559196586,2649904.3752598
1645056000000,2022-02-17 00:00:00,VET/USD,0.060573,0.061508,0.054434,0.054587,80655.10205955208,1477551.46938927
1644969600000,2022-02-16 00:00:00,VET/USD,0.061145,0.061958,0.058391,0.060373,76056.27142761524,1259772.93537865
1644883200000,2022-02-15 00:00:00,VET/USD,0.05628,0.061094,0.055698,0.061094,97928.29792660045,1602911.87230498
1644796800000,2022-02-14 00:00:00,VET/USD,0.056487,0.057289,0.054369,0.05625,91875.17894209763,1633336.51452618
1644710400000,2022-02-13 00:00:00,VET/USD,0.057529,0.058479,0.055204,0.056353,88972.1357528103,1578835.8339895
1644624000000,2022-02-12 00:00:00,VET/USD,0.057935,0.059136,0.055685,0.057607,58562.04023062023,1016578.54480567
1644537600000,2022-02-11 00:00:00,VET/USD,0.062906,0.064639,0.056822,0.058001,96649.31023101819,1666338.6877988
1644451200000,2022-02-10 00:00:00,VET/USD,0.067069,0.068372,0.062946,0.062946,100728.74557349797,1600240.61216754
1644364800000,2022-02-09 00:00:00,VET/USD,0.064576,0.06825,0.063227,0.066872,103079.71365015302,1541448.04477439
1644278400000,2022-02-08 00:00:00,VET/USD,0.067794,0.069287,0.062179,0.06428,98715.95925600393,1535718.09670199
1644192000000,2022-02-07 00:00:00,VET/USD,0.061414,0.06794,0.060088,0.067872,179555.2541830188,2645498.20519535
1644105600000,2022-02-06 00:00:00,VET/USD,0.059252,0.061477,0.058066,0.061477,243243.44897297112,3956657.75774633
1644019200000,2022-02-05 00:00:00,VET/USD,0.058656,0.061212,0.057748,0.059206,69431.4871704053,1172710.31940015
1643932800000,2022-02-04 00:00:00,VET/USD,0.052316,0.058669,0.052115,0.058658,112708.62913036055,1921453.66583178
1643846400000,2022-02-03 00:00:00,VET/USD,0.05199,0.052541,0.050671,0.052541,81532.84745786629,1551794.74044777
1643760000000,2022-02-02 00:00:00,VET/USD,0.054676,0.056386,0.051683,0.052345,68324.79547542206,1305278.35467422
1643673600000,2022-02-01 00:00:00,VET/USD,0.053835,0.055445,0.053491,0.054595,63571.04835251713,1164411.54597522
1643587200000,2022-01-31 00:00:00,VET/USD,0.052727,0.054,0.050438,0.053875,71114.09847901377,1319983.26643181
1643500800000,2022-01-30 00:00:00,VET/USD,0.054512,0.055556,0.051619,0.052611,117594.65431519541,2235172.38439101
1643414400000,2022-01-29 00:00:00,VET/USD,0.053812,0.055582,0.053401,0.054552,119767.27873725732,2195469.98711793
1643328000000,2022-01-28 00:00:00,VET/USD,0.052378,0.05408,0.050781,0.053888,72041.00106268511,1336865.37007655
1643241600000,2022-01-27 00:00:00,VET/USD,0.053349,0.054381,0.050101,0.052441,103320.28364644376,1970219.55428851
1643155200000,2022-01-26 00:00:00,VET/USD,0.053654,0.058718,0.05168,0.05337,100399.32868105677,1881194.09183168
1643068800000,2022-01-25 00:00:00,VET/USD,0.051397,0.054245,0.049616,0.053463,153129.978144221,2864223.44694875
1642982400000,2022-01-24 00:00:00,VET/USD,0.05314,0.05314,0.04398,0.051381,715070.7455755937,13917026.63583024
1642896000000,2022-01-23 00:00:00,VET/USD,0.051667,0.054652,0.05011,0.05315,453436.24359339965,8531255.75904797
1642809600000,2022-01-22 00:00:00,VET/USD,0.057381,0.059051,0.044985,0.05161,796644.1955307466,15435849.55494568
1642723200000,2022-01-21 00:00:00,VET/USD,0.06758,0.068856,0.055626,0.057539,643082.6728838789,11176465.92543977
1642636800000,2022-01-20 00:00:00,VET/USD,0.070844,0.07476,0.067252,0.06765,194150.61722844088,2869927.82303682
1642550400000,2022-01-19 00:00:00,VET/USD,0.074187,0.07464,0.070269,0.070726,187347.2741282281,2648916.58128875
1642464000000,2022-01-18 00:00:00,VET/USD,0.075368,0.07605,0.072214,0.074201,167011.17932621212,2250794.18506775
1642377600000,2022-01-17 00:00:00,VET/USD,0.078543,0.07859,0.07382,0.075252,154838.96198116412,2057605.93713342
1642291200000,2022-01-16 00:00:00,VET/USD,0.078523,0.079647,0.077268,0.078449,75283.49163873155,959648.83731764
1642204800000,2022-01-15 00:00:00,VET/USD,0.079201,0.080075,0.077658,0.078572,66414.0878368937,845264.0614582
1642118400000,2022-01-14 00:00:00,VET/USD,0.077452,0.079744,0.075427,0.079064,154018.8757108585,1948027.87249391
1642032000000,2022-01-13 00:00:00,VET/USD,0.082367,0.083152,0.076861,0.077441,150733.1653731162,1946425.8645048
1641945600000,2022-01-12 00:00:00,VET/USD,0.076934,0.08253,0.076815,0.08253,204524.43895561917,2478182.95111619
1641859200000,2022-01-11 00:00:00,VET/USD,0.073371,0.076862,0.07218,0.07667,160545.52835830807,2093981.06636635
1641772800000,2022-01-10 00:00:00,VET/USD,0.076566,0.077614,0.069131,0.073113,288362.10955021187,3944060.69440745
1641686400000,2022-01-09 00:00:00,VET/USD,0.075436,0.078824,0.074595,0.076702,383331.54376878263,4997673.38229489
1641600000000,2022-01-08 00:00:00,VET/USD,0.078563,0.080598,0.0721,0.075468,351345.1800306856,4655551.7574427
1641513600000,2022-01-07 00:00:00,VET/USD,0.082738,0.08286,0.076383,0.0785,368202.3099547366,4690475.2860476
1641427200000,2022-01-06 00:00:00,VET/USD,0.084556,0.084854,0.080582,0.082647,582719.5602093983,7050704.32331964
1641340800000,2022-01-05 00:00:00,VET/USD,0.085884,0.095642,0.078657,0.08449,936197.589475878,11080572.72429729
1641254400000,2022-01-04 00:00:00,VET/USD,0.086037,0.089795,0.08388,0.085839,357631.8096942357,4166309.13331045
1641168000000,2022-01-03 00:00:00,VET/USD,0.086973,0.088716,0.08454,0.0858,201221.56974370225,2345239.74060259
1641081600000,2022-01-02 00:00:00,VET/USD,0.08666,0.088668,0.08474,0.087135,87151.79718853456,1000192.77200361
1640995200000,2022-01-01 00:00:00,VET/USD,0.082869,0.086891,0.082869,0.086731,41415.872312213396,477520.98225794
1640908800000,2021-12-31 00:00:00,VET/USD,0.084899,0.08717,0.08114,0.08265,155013.74668134048,1875544.42445663
1640822400000,2021-12-30 00:00:00,VET/USD,0.082395,0.086498,0.080864,0.084741,372485.56551994185,4395576.70454611
1640736000000,2021-12-29 00:00:00,VET/USD,0.087585,0.09016,0.082051,0.082572,181187.9860724401,2194302.98493969
1640649600000,2021-12-28 00:00:00,VET/USD,0.097473,0.097479,0.087377,0.087572,397148.50411268347,4535108.3007432
1640563200000,2021-12-27 00:00:00,VET/USD,0.09457,0.1029,0.09457,0.097707,505233.3076685885,5170901.85624969
1640476800000,2021-12-26 00:00:00,VET/USD,0.094661,0.095133,0.0915,0.09447,121347.07135928243,1284503.77219522
1640390400000,2021-12-25 00:00:00,VET/USD,0.091833,0.095323,0.091199,0.095216,107434.56372671368,1128324.69045868
1640304000000,2021-12-24 00:00:00,VET/USD,0.093067,0.095948,0.090807,0.091674,316259.6888340331,3449829.7099944702
1640217600000,2021-12-23 00:00:00,VET/USD,0.086942,0.094172,0.08486,0.092885,359722.9149038201,3872777.25040448
1640131200000,2021-12-22 00:00:00,VET/USD,0.083474,0.088927,0.082757,0.086938,316950.15064512467,3645703.26721485
1640044800000,2021-12-21 00:00:00,VET/USD,0.079763,0.083745,0.078628,0.083425,193961.57583412164,2324981.43043598
1639958400000,2021-12-20 00:00:00,VET/USD,0.080154,0.081088,0.076174,0.07955,111545.8290633265,1402210.29620775
