https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FIL
1653177600000,2022-05-22 00:00:00,FIL/USD,8.1859,8.4936,8.0288,8.4524,79524.8846735634,9408.55670266
1653091200000,2022-05-21 00:00:00,FIL/USD,7.9277,8.3278,7.7845,8.1698,92751.40948950565,11352.95961829
1653004800000,2022-05-20 00:00:00,FIL/USD,8.1819,8.3286,7.7138,7.9105,123464.36812735019,15607.65667497
1652918400000,2022-05-19 00:00:00,FIL/USD,7.611,8.2972,7.3669,8.1982,485119.0004409335,59173.8430925
1652832000000,2022-05-18 00:00:00,FIL/USD,8.5694,8.715,7.4909,7.5863,222567.6769696006,29338.10645105
1652745600000,2022-05-17 00:00:00,FIL/USD,8.2937,8.8693,8.19,8.5625,108248.21762175125,12642.12760546
1652659200000,2022-05-16 00:00:00,FIL/USD,9.1642,9.1642,8.213,8.2812,187212.61225973576,22606.94250347
1652572800000,2022-05-15 00:00:00,FIL/USD,8.8267,9.2503,8.4957,9.1613,232869.2199842625,25418.7964573
1652486400000,2022-05-14 00:00:00,FIL/USD,8.744,9.1107,8.036,8.7972,383137.1610940688,43552.17126973
1652400000000,2022-05-13 00:00:00,FIL/USD,8.1098,9.4591,7.9126,8.7487,579390.2234996415,66225.86481416
1652313600000,2022-05-12 00:00:00,FIL/USD,8.6122,9.0844,6.5682,8.1279,1160056.8081643563,142725.280597
1652227200000,2022-05-11 00:00:00,FIL/USD,11.355,11.548,8.2258,8.566,790861.8150267862,92325.68468676
1652140800000,2022-05-10 00:00:00,FIL/USD,10.976,12.509,10.588,11.382,930393.437201547,81742.52655082999
1652054400000,2022-05-09 00:00:00,FIL/USD,13.151,13.294,10.87,11.014,805286.148604607,73114.77652121
1651968000000,2022-05-08 00:00:00,FIL/USD,13.267,13.444,12.873,13.135,372452.7469410864,28355.74776864
1651881600000,2022-05-07 00:00:00,FIL/USD,13.884,13.943,12.814,13.269,324519.7765391173,24456.98820854
1651795200000,2022-05-06 00:00:00,FIL/USD,13.99,14.147,13.367,13.882,254896.9235431654,18361.68589131
1651708800000,2022-05-05 00:00:00,FIL/USD,15.718,15.862,13.337,13.993,950162.557673614,67902.70547228
1651622400000,2022-05-04 00:00:00,FIL/USD,14.63,15.942,14.59,15.711,462554.25258722313,29441.42655383
1651536000000,2022-05-03 00:00:00,FIL/USD,14.634,14.978,14.25,14.629,232758.8907475135,15910.78616088
1651449600000,2022-05-02 00:00:00,FIL/USD,15.133,15.289,14.113,14.616,897337.9608018688,61394.22282443
1651363200000,2022-05-01 00:00:00,FIL/USD,14.234,15.663,13.902,15.14,1501867.8881823646,99198.67161046
1651276800000,2022-04-30 00:00:00,FIL/USD,17.32,18.021,11.769,14.235,2936412.5927193193,206281.17967821
1651190400000,2022-04-29 00:00:00,FIL/USD,18.088,18.195,17.025,17.306,201320.89946762595,11633.01164149
1651104000000,2022-04-28 00:00:00,FIL/USD,17.691,18.505,17.539,18.088,225105.02029190562,12444.9922762
1651017600000,2022-04-27 00:00:00,FIL/USD,17.299,18.036,17.247,17.709,165839.4282100798,9364.69751031
1650931200000,2022-04-26 00:00:00,FIL/USD,18.651,18.738,17.01,17.308,351861.3770346467,20329.40703921
1650844800000,2022-04-25 00:00:00,FIL/USD,18.938,18.938,17.442,18.648,668795.8112115386,35864.21124043
1650758400000,2022-04-24 00:00:00,FIL/USD,18.909,19.36,18.7,18.911,325611.2643660255,17218.08811623
1650672000000,2022-04-23 00:00:00,FIL/USD,19.311,19.561,18.863,18.923,203348.99898184647,10746.1289955
1650585600000,2022-04-22 00:00:00,FIL/USD,18.837,19.514,18.732,19.274,660525.2569344029,34270.27378512
1650499200000,2022-04-21 00:00:00,FIL/USD,19.571,20.241,18.523,18.853,280266.9118754524,14865.90526046
1650412800000,2022-04-20 00:00:00,FIL/USD,20.422,20.712,19.411,19.598,997691.5560128903,50907.82508485
1650326400000,2022-04-19 00:00:00,FIL/USD,19.63,21.132,19.421,20.414,383100.3038946989,18766.54765821
1650240000000,2022-04-18 00:00:00,FIL/USD,19.716,19.923,18.304,19.649,1370622.6675339595,69755.33958644
1650153600000,2022-04-17 00:00:00,FIL/USD,21.683,21.776,19.609,19.712,523671.8268572313,26566.14381378
1650067200000,2022-04-16 00:00:00,FIL/USD,19.045,22.148,18.896,21.678,967224.3144110499,44617.78367059
1649980800000,2022-04-15 00:00:00,FIL/USD,18.696,19.177,18.668,19.07,211423.72210698522,11086.71851636
1649894400000,2022-04-14 00:00:00,FIL/USD,19.426,19.784,18.476,18.682,530910.6568529361,28418.29872888
1649808000000,2022-04-13 00:00:00,FIL/USD,19.477,19.602,18.77,19.4,490496.312754924,25283.31509046
1649721600000,2022-04-12 00:00:00,FIL/USD,18.321,19.721,18.277,19.48,816374.0126825337,41908.31687282
1649635200000,2022-04-11 00:00:00,FIL/USD,21.031,21.095,18.004,18.288,755791.1220323909,41327.16109101
1649548800000,2022-04-10 00:00:00,FIL/USD,21.746,21.867,20.854,20.997,93449.78279663814,4450.62546062
1649462400000,2022-04-09 00:00:00,FIL/USD,21.385,21.725,21.173,21.725,768623.1507861831,35379.66171628
1649376000000,2022-04-08 00:00:00,FIL/USD,22.488,22.928,21.017,21.319,583345.9382925655,27362.72518845
1649289600000,2022-04-07 00:00:00,FIL/USD,21.744,22.702,21.461,22.501,458307.7965264921,20368.33014206
1649203200000,2022-04-06 00:00:00,FIL/USD,24.889,24.894,21.582,21.753,1278254.7529736478,58762.22833511
1649116800000,2022-04-05 00:00:00,FIL/USD,25.266,26.514,24.535,24.94,1556521.6296808082,62410.65074903
1649030400000,2022-04-04 00:00:00,FIL/USD,25.442,25.76,23.698,25.268,1143489.5840742686,45254.45559895
1648944000000,2022-04-03 00:00:00,FIL/USD,23.922,25.84,23.657,25.454,859183.9705153677,33754.37929266
1648857600000,2022-04-02 00:00:00,FIL/USD,25.528,26.728,23.784,23.905,1248587.11052502,52231.211484
1648771200000,2022-04-01 00:00:00,FIL/USD,24.459,26.127,22.901,25.546,1279090.705461539,50070.09729357
1648684800000,2022-03-31 00:00:00,FIL/USD,25.889,27.489,24.102,24.433,1220115.990358582,49937.21566564
1648598400000,2022-03-30 00:00:00,FIL/USD,26.336,26.62,24.763,25.89,1683749.7076033386,65034.75116274
1648512000000,2022-03-29 00:00:00,FIL/USD,25.295,28.1,24.89,26.415,2417202.5847085677,91508.71038079
1648425600000,2022-03-28 00:00:00,FIL/USD,23.623,27.801,23.544,25.281,2924866.066321962,115694.239402
1648339200000,2022-03-27 00:00:00,FIL/USD,19.416,24.072,18.988,23.733,1250512.3154649134,52690.86569186
1648252800000,2022-03-26 00:00:00,FIL/USD,18.825,19.418,18.655,19.418,107055.26375932305,5513.19722728
1648166400000,2022-03-25 00:00:00,FIL/USD,19.664,19.664,18.437,18.857,215178.92010252192,11411.08978642
1648080000000,2022-03-24 00:00:00,FIL/USD,19.318,19.786,18.949,19.63,366891.8264114025,18690.36303675
1647993600000,2022-03-23 00:00:00,FIL/USD,18.297,19.559,18.297,19.312,481123.4503361148,24913.18611931
1647907200000,2022-03-22 00:00:00,FIL/USD,17.815,18.666,17.763,18.304,248783.33197917053,13591.74672089
1647820800000,2022-03-21 00:00:00,FIL/USD,17.647,17.968,17.377,17.841,127187.92688414824,7128.96849303
1647734400000,2022-03-20 00:00:00,FIL/USD,18.226,18.282,17.249,17.619,196534.54036734524,11154.69324975
1647648000000,2022-03-19 00:00:00,FIL/USD,17.617,18.397,17.564,18.207,441194.3997551427,24232.13048581
1647561600000,2022-03-18 00:00:00,FIL/USD,17.444,17.864,17.099,17.623,160793.8324694106,9124.0896822
1647475200000,2022-03-17 00:00:00,FIL/USD,17.43,17.795,17.262,17.456,403998.28031691536,23143.80615931
1647388800000,2022-03-16 00:00:00,FIL/USD,16.821,17.462,16.759,17.446,492830.4013008176,28248.90526773
1647302400000,2022-03-15 00:00:00,FIL/USD,17.499,17.499,16.467,16.824,147410.1414655661,8761.89618792
1647216000000,2022-03-14 00:00:00,FIL/USD,17.245,17.701,17.071,17.475,36262.48369971601,2075.10636336
1647129600000,2022-03-13 00:00:00,FIL/USD,17.712,18.084,17.049,17.271,80107.6611532007,4638.27578908
1647043200000,2022-03-12 00:00:00,FIL/USD,17.393,18.446,17.393,17.72,258024.75801431556,14561.21659223
1646956800000,2022-03-11 00:00:00,FIL/USD,17.891,18.084,17.192,17.386,103174.34810745309,5934.33498835
1646870400000,2022-03-10 00:00:00,FIL/USD,18.815,18.88,17.386,17.897,86404.33136148308,4827.86675764
1646784000000,2022-03-09 00:00:00,FIL/USD,18.097,19.293,17.976,18.846,355586.14384612255,18867.99022849
1646697600000,2022-03-08 00:00:00,FIL/USD,17.826,18.314,17.694,18.033,125565.58358052334,6963.10007101
1646611200000,2022-03-07 00:00:00,FIL/USD,18.445,18.9,17.14,17.847,247003.43204036233,13840.05334456
1646524800000,2022-03-06 00:00:00,FIL/USD,19.096,19.269,18.358,18.464,155550.88871677662,8424.54986551
1646438400000,2022-03-05 00:00:00,FIL/USD,18.771,19.202,18.295,19.109,106239.19893003642,5559.64199749
