https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FET
1654128000000,2022-06-02 00:00:00,FET/USD,0.15282,0.16478,0.15063,0.16378,752.0102378330677,4591.58772642
1654041600000,2022-06-01 00:00:00,FET/USD,0.16992,0.17382,0.1511,0.153,2881.8327667635003,18835.5082795
1653955200000,2022-05-31 00:00:00,FET/USD,0.16738,0.17332,0.16194,0.16965,11922.046860395645,70274.36994044
1653868800000,2022-05-30 00:00:00,FET/USD,0.15921,0.17393,0.15872,0.16744,3864.3545057942556,23079.04028783
1653782400000,2022-05-29 00:00:00,FET/USD,0.15687,0.16892,0.15507,0.15951,2784.0663396136306,17453.86709055
1653696000000,2022-05-28 00:00:00,FET/USD,0.13985,0.16595,0.13874,0.15739,6949.64885554921,44155.59346559
1653609600000,2022-05-27 00:00:00,FET/USD,0.14352,0.15116,0.13519,0.13967,7106.026177091947,50877.2547941
1653523200000,2022-05-26 00:00:00,FET/USD,0.15908,0.16234,0.13999,0.14328,2767.4200541148766,19314.76866356
1653436800000,2022-05-25 00:00:00,FET/USD,0.16371,0.16575,0.15712,0.15935,812.4407288091859,5098.46707756
1653350400000,2022-05-24 00:00:00,FET/USD,0.16445,0.16812,0.15406,0.16365,13501.160912815758,82500.21944892
1653264000000,2022-05-23 00:00:00,FET/USD,0.17322,0.17891,0.1627,0.16449,9672.359152346926,58802.11047691
1653177600000,2022-05-22 00:00:00,FET/USD,0.17287,0.1757,0.16727,0.17347,1738.7311456233392,10023.23828687
1653091200000,2022-05-21 00:00:00,FET/USD,0.16784,0.17352,0.165,0.173,780.29720357827,4510.38845999
1653004800000,2022-05-20 00:00:00,FET/USD,0.18006,0.18244,0.16592,0.16793,5241.673592134424,31213.44364994
1652918400000,2022-05-19 00:00:00,FET/USD,0.16763,0.18332,0.16124,0.18041,15140.068740930597,83920.34111707
1652832000000,2022-05-18 00:00:00,FET/USD,0.18981,0.19281,0.16735,0.16744,16144.168815559879,96417.63506665001
1652745600000,2022-05-17 00:00:00,FET/USD,0.18426,0.20004,0.17854,0.18993,67942.6973945466,357724.93757988
1652659200000,2022-05-16 00:00:00,FET/USD,0.18072,0.18689,0.1668,0.18423,16421.707612442056,89136.98970006
1652572800000,2022-05-15 00:00:00,FET/USD,0.17242,0.18414,0.16944,0.18103,29505.99741059407,162989.54543774
1652486400000,2022-05-14 00:00:00,FET/USD,0.15914,0.18736,0.14563,0.1735,52951.595905434086,305196.51818694
1652400000000,2022-05-13 00:00:00,FET/USD,0.1417,0.18824,0.13966,0.159,66026.79674608074,415262.87261686
1652313600000,2022-05-12 00:00:00,FET/USD,0.13505,0.18068,0.1268,0.14207,72718.28674028422,511848.29126687
1652227200000,2022-05-11 00:00:00,FET/USD,0.19819,0.20191,0.12281,0.13331,28510.93378096016,213869.43050754
1652140800000,2022-05-10 00:00:00,FET/USD,0.19571,0.22257,0.18881,0.19832,22142.412801994702,111649.92336625
1652054400000,2022-05-09 00:00:00,FET/USD,0.24324,0.24717,0.19456,0.19456,22308.642281300174,114662.01830438
1651968000000,2022-05-08 00:00:00,FET/USD,0.25718,0.26025,0.24158,0.24225,3093.9084944735323,12771.55209277
1651881600000,2022-05-07 00:00:00,FET/USD,0.25987,0.26917,0.2507,0.25758,6228.680556976194,24181.53799587
1651795200000,2022-05-06 00:00:00,FET/USD,0.26956,0.27024,0.25642,0.2603,5607.754809170346,21543.42992382
1651708800000,2022-05-05 00:00:00,FET/USD,0.2891,0.29651,0.25724,0.26928,38316.856707332125,142293.73405872
1651622400000,2022-05-04 00:00:00,FET/USD,0.26775,0.30518,0.2672,0.28869,56905.21639359455,197115.30151233
1651536000000,2022-05-03 00:00:00,FET/USD,0.26293,0.28834,0.25986,0.26829,31363.040893046196,116899.77596275
1651449600000,2022-05-02 00:00:00,FET/USD,0.27048,0.27798,0.25473,0.26343,29597.649569781886,112354.89340539
1651363200000,2022-05-01 00:00:00,FET/USD,0.25857,0.27395,0.25221,0.27048,12290.841781065135,45440.85248841
1651276800000,2022-04-30 00:00:00,FET/USD,0.28504,0.28742,0.25869,0.25869,5824.985047756167,22517.24089743
1651190400000,2022-04-29 00:00:00,FET/USD,0.30927,0.30927,0.27818,0.28548,7280.677192594245,25503.28286603
1651104000000,2022-04-28 00:00:00,FET/USD,0.31351,0.32095,0.30347,0.30866,10104.601156160763,32736.9959054
1651017600000,2022-04-27 00:00:00,FET/USD,0.30385,0.33621,0.30214,0.31323,19366.44031808324,61828.17839314
1650931200000,2022-04-26 00:00:00,FET/USD,0.336,0.34524,0.29982,0.30346,20989.22812313012,69166.37488674
1650844800000,2022-04-25 00:00:00,FET/USD,0.34463,0.35331,0.32085,0.33634,101156.35007477208,300756.22903839
1650758400000,2022-04-24 00:00:00,FET/USD,0.31934,0.35848,0.31717,0.34175,87562.97323968407,256219.38036484
1650672000000,2022-04-23 00:00:00,FET/USD,0.3215,0.3369,0.31549,0.31911,36898.02974772945,115627.93315073
1650585600000,2022-04-22 00:00:00,FET/USD,0.32313,0.33207,0.31704,0.32198,8316.58589204305,25829.51081447
1650499200000,2022-04-21 00:00:00,FET/USD,0.33674,0.34839,0.31769,0.32363,8493.586405731357,26244.74370649
1650412800000,2022-04-20 00:00:00,FET/USD,0.34868,0.3545,0.33028,0.33647,4992.245463287636,14837.11909914
1650326400000,2022-04-19 00:00:00,FET/USD,0.34383,0.35254,0.3376,0.34822,2926.4649139981475,8404.06901958
1650240000000,2022-04-18 00:00:00,FET/USD,0.3284,0.34827,0.30914,0.34335,17586.542584358904,51220.45313633
1650153600000,2022-04-17 00:00:00,FET/USD,0.33524,0.35348,0.32816,0.32947,6594.789308002613,20016.35750752
