https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CTK
1659484800000,2022-08-03 00:00:00,CTK/USD,1.1034,1.1497,1.1031,1.1275,483.44437732112505,428.77550095000004
1659398400000,2022-08-02 00:00:00,CTK/USD,1.0215,1.1498,1.0215,1.1391,41286.21343476315,36244.59084783
1659312000000,2022-08-01 00:00:00,CTK/USD,0.96095,1.0215,0.9422,0.98008,258.206224286608,263.4542326
1659225600000,2022-07-31 00:00:00,CTK/USD,1.0016,1.0016,0.96095,1.0015,128.788653810255,128.59576017
1659139200000,2022-07-30 00:00:00,CTK/USD,0.81392,1.0215,0.81392,1.0016,3202.487736356,3197.37194125
1659052800000,2022-07-29 00:00:00,CTK/USD,0.82244,0.82244,0.78912,0.81392,206.47403289791038,253.67853462
1658966400000,2022-07-28 00:00:00,CTK/USD,0.80806,0.82244,0.80448,0.81391,306.7896607594889,376.93315079
1658880000000,2022-07-27 00:00:00,CTK/USD,0.80474,0.82244,0.78912,0.81397,105.14571012419418,129.17639486
1658793600000,2022-07-26 00:00:00,CTK/USD,0.80474,0.83882,0.80474,0.8301,51.908847612513,62.53324613
1658707200000,2022-07-25 00:00:00,CTK/USD,0.83882,0.83882,0.83882,0.83882,38.250192,45.6
1658448000000,2022-07-22 00:00:00,CTK/USD,0.82076,0.82076,0.82076,0.82076,96.3229523290248,117.35824398
1658361600000,2022-07-21 00:00:00,CTK/USD,0.83881,0.85551,0.80474,0.82076,48.865098077034396,59.536402939999995
1658275200000,2022-07-20 00:00:00,CTK/USD,0.8056,0.83881,0.78903,0.80474,295.429284005667,367.11146955
1658188800000,2022-07-19 00:00:00,CTK/USD,0.82243,0.82244,0.79092,0.82244,238.5622488845144,290.06644726
1658102400000,2022-07-18 00:00:00,CTK/USD,0.80139,0.82244,0.79091,0.79723,219.7646838176118,275.66032866
1658016000000,2022-07-17 00:00:00,CTK/USD,0.80635,0.80635,0.80635,0.80635,40.89669534283549,50.718292729999995
1657756800000,2022-07-14 00:00:00,CTK/USD,0.78903,0.80635,0.75856,0.80635,170.474111474521,211.41453646
1657584000000,2022-07-12 00:00:00,CTK/USD,0.83881,0.83881,0.78903,0.82221,216.82364466524493,263.70835269
1657497600000,2022-07-11 00:00:00,CTK/USD,0.93428,0.93428,0.80474,0.83881,990.2445891937361,1180.53503081
1657411200000,2022-07-10 00:00:00,CTK/USD,0.94411,0.94411,0.90578,0.90579,29.6135426830776,32.69360744
1657324800000,2022-07-09 00:00:00,CTK/USD,0.92545,0.94412,0.90579,0.9058,164.66761700715202,181.79246744
1657238400000,2022-07-08 00:00:00,CTK/USD,0.88817,0.9255,0.88813,0.88814,21.8263620866126,24.57536209
1657152000000,2022-07-07 00:00:00,CTK/USD,0.9058,0.92569,0.88809,0.92568,294.768818324568,318.4349001
1657065600000,2022-07-06 00:00:00,CTK/USD,0.77299,0.94412,0.77299,0.90578,1470.0881123283518,1623.0079183999999
1656979200000,2022-07-05 00:00:00,CTK/USD,0.80638,0.80638,0.77298,0.806,24.90040542756,30.89380326
1656892800000,2022-07-04 00:00:00,CTK/USD,0.80638,0.80638,0.78019,0.78879,66.9310170398925,84.85277074999999
1656720000000,2022-07-02 00:00:00,CTK/USD,0.80637,0.80638,0.80637,0.80638,78.1704772,96.94
1656633600000,2022-07-01 00:00:00,CTK/USD,0.77097,0.80637,0.77097,0.80637,209.68956661489233,260.04137879
1656547200000,2022-06-30 00:00:00,CTK/USD,0.785,0.80637,0.75853,0.80637,1757.018428375925,2178.92335823
1656460800000,2022-06-29 00:00:00,CTK/USD,0.77304,0.793,0.75856,0.786,1843.9174629623399,2345.95097069
1656374400000,2022-06-28 00:00:00,CTK/USD,0.81295,0.81295,0.7586,0.77997,1825.3905293231635,2340.33428122
1656288000000,2022-06-27 00:00:00,CTK/USD,0.82176,0.8388,0.78906,0.81387,1590.5624539172868,1954.32004364
1656201600000,2022-06-26 00:00:00,CTK/USD,0.8555,0.87099,0.82076,0.82176,1948.2631507637761,2370.8420351
1656115200000,2022-06-25 00:00:00,CTK/USD,0.86598,0.87253,0.83201,0.85,1915.6095688040002,2253.65831624
1656028800000,2022-06-24 00:00:00,CTK/USD,0.8555,0.87253,0.82427,0.86799,2145.0697440512176,2471.30697825
1655942400000,2022-06-23 00:00:00,CTK/USD,0.78903,0.8555,0.77236,0.8555,1982.5336438998552,2317.39759661
1655856000000,2022-06-22 00:00:00,CTK/USD,0.80748,0.83881,0.78903,0.79198,830.7809306716948,1048.99231126
1655769600000,2022-06-21 00:00:00,CTK/USD,0.812,0.83881,0.79202,0.83881,395.92157982536247,472.00388625
1655683200000,2022-06-20 00:00:00,CTK/USD,0.80893,0.82244,0.78132,0.813,1632.96322080612,2008.56484724
1655596800000,2022-06-19 00:00:00,CTK/USD,0.794,0.82243,0.78903,0.80894,1358.8779657012185,1679.82540819
1655510400000,2022-06-18 00:00:00,CTK/USD,0.77696,0.82243,0.73001,0.806,2585.3824803549605,3207.6705711600002
1655424000000,2022-06-17 00:00:00,CTK/USD,0.75857,0.80638,0.75856,0.774,1417.32213745698,1831.16555227
1655337600000,2022-06-16 00:00:00,CTK/USD,0.80638,0.80638,0.75853,0.79999,1415.9713568887905,1769.98632094
1655251200000,2022-06-15 00:00:00,CTK/USD,0.80982,0.82241,0.75853,0.80401,2720.4948144460063,3383.65793267
1655164800000,2022-06-14 00:00:00,CTK/USD,0.78799,0.82243,0.762,0.814,2070.58663992004,2543.71823086
1655078400000,2022-06-13 00:00:00,CTK/USD,0.84566,0.92298,0.74374,0.78599,5919.030048870027,7530.66839129
1654992000000,2022-06-12 00:00:00,CTK/USD,0.76903,0.85551,0.73022,0.84567,3123.7517392598224,3693.81879369
1654905600000,2022-06-11 00:00:00,CTK/USD,0.792,0.80475,0.75853,0.76902,1865.2726835783376,2425.51908088
1654819200000,2022-06-10 00:00:00,CTK/USD,0.85886,0.85886,0.77403,0.78048,1845.1626042362686,2364.13822806
1654732800000,2022-06-09 00:00:00,CTK/USD,0.82697,0.88499,0.82697,0.86,2165.2465344068,2517.72852838
1654646400000,2022-06-08 00:00:00,CTK/USD,0.80499,0.85244,0.80491,0.82698,1947.374811555373,2354.80279034
1654560000000,2022-06-07 00:00:00,CTK/USD,0.79814,0.82244,0.77364,0.82001,2917.690791992508,3558.11611077
1654473600000,2022-06-06 00:00:00,CTK/USD,0.79343,0.82244,0.79304,0.80819,2982.498515977739,3690.34325589
1654387200000,2022-06-05 00:00:00,CTK/USD,0.79815,0.80638,0.79201,0.79342,1063.9935655972902,1341.02186181
1654214400000,2022-06-03 00:00:00,CTK/USD,0.79904,0.80798,0.786,0.80638,707.9376603754436,877.92065822
1654128000000,2022-06-02 00:00:00,CTK/USD,0.80477,0.83859,0.78903,0.80699,2638.919057193532,3270.07652783
1654041600000,2022-06-01 00:00:00,CTK/USD,0.90099,0.90698,0.80474,0.80476,2304.201514172602,2863.21575895
