https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICP
1655769600000,2022-06-21 00:00:00,ICP/USD,5.7715,6.2565,5.6666,5.8834,45126.88291020055,7670.2047982799995
1655683200000,2022-06-20 00:00:00,ICP/USD,5.4761,5.8807,5.258,5.7712,50489.86052211519,8748.58963857
1655596800000,2022-06-19 00:00:00,ICP/USD,5.1329,5.5254,4.9134,5.486,26398.753492736556,4812.02214596
1655510400000,2022-06-18 00:00:00,ICP/USD,5.4451,5.5255,4.6001,5.1397,38982.65270749649,7584.61636039
1655424000000,2022-06-17 00:00:00,ICP/USD,5.322,5.5405,5.235,5.4386,18984.29286882649,3490.65804965
1655337600000,2022-06-16 00:00:00,ICP/USD,5.9894,6.0259,5.265,5.318,61667.29418397262,11595.95603309
1655251200000,2022-06-15 00:00:00,ICP/USD,5.5617,6.0344,5.0301,6.0056,56086.49734871233,9339.0331272
1655164800000,2022-06-14 00:00:00,ICP/USD,5.433,5.8964,5.1757,5.6026,53125.27434425477,9482.25365799
1655078400000,2022-06-13 00:00:00,ICP/USD,5.6512,6.0738,5.2105,5.4442,118258.46604240034,21721.918012269998
1654992000000,2022-06-12 00:00:00,ICP/USD,5.9696,6.4384,5.4762,5.6438,222886.46111038182,39492.26781785
1654905600000,2022-06-11 00:00:00,ICP/USD,6.1018,6.6888,5.5645,5.9428,597769.3134405226,100587.14973422
1654819200000,2022-06-10 00:00:00,ICP/USD,6.3858,6.5438,6.0637,6.0955,79813.90431406013,13093.90604775
1654732800000,2022-06-09 00:00:00,ICP/USD,6.5178,6.9625,6.2977,6.413,55098.30086953995,8591.65770615
1654646400000,2022-06-08 00:00:00,ICP/USD,6.8371,6.9866,6.5041,6.5097,75969.03745033644,11670.12880015
1654560000000,2022-06-07 00:00:00,ICP/USD,7.5644,7.5644,6.7597,6.8266,98736.98256543824,14463.56642625
1654473600000,2022-06-06 00:00:00,ICP/USD,7.3508,8.0433,7.3387,7.5845,43130.24663987694,5686.63018523
1654387200000,2022-06-05 00:00:00,ICP/USD,7.7614,8.2476,7.2805,7.3508,209270.08237914255,28469.02138259
1654300800000,2022-06-04 00:00:00,ICP/USD,7.9598,7.9716,7.5141,7.7471,61024.54836052989,7877.0828259
1654214400000,2022-06-03 00:00:00,ICP/USD,9.4625,9.6208,7.8308,7.9143,156696.64623137555,19799.1794892
1654128000000,2022-06-02 00:00:00,ICP/USD,7.6337,9.7732,7.5065,9.4643,292086.91899718926,30861.96749862
1654041600000,2022-06-01 00:00:00,ICP/USD,8.2621,8.4246,7.432,7.625,64740.318820169996,8490.53361576
1653955200000,2022-05-31 00:00:00,ICP/USD,8.0997,8.7091,7.9783,8.2753,111148.19549555834,13431.31916614
1653868800000,2022-05-30 00:00:00,ICP/USD,7.14,8.3195,7.0592,8.1093,177325.35161791398,21866.91226344
1653782400000,2022-05-29 00:00:00,ICP/USD,7.2425,7.4094,6.9774,7.1292,69688.65135077805,9775.10118257
1653696000000,2022-05-28 00:00:00,ICP/USD,6.968,7.4331,6.7432,7.2272,33203.15029999267,4594.19281326
1653609600000,2022-05-27 00:00:00,ICP/USD,7.3423,7.5005,6.8329,6.9389,39955.74252595039,5758.22429001
1653523200000,2022-05-26 00:00:00,ICP/USD,7.7784,7.9087,6.9401,7.3042,53652.97978831653,7345.49708227
1653436800000,2022-05-25 00:00:00,ICP/USD,7.9011,8.0551,7.6278,7.7709,28724.065016165325,3696.36271425
1653350400000,2022-05-24 00:00:00,ICP/USD,7.7848,7.9133,7.3467,7.9133,71103.99369749516,8985.37824896
1653264000000,2022-05-23 00:00:00,ICP/USD,8.1758,8.8266,7.5884,7.7526,80916.73153917278,10437.36701741
1653177600000,2022-05-22 00:00:00,ICP/USD,8.0007,8.3578,7.8579,8.2196,54027.81943189395,6573.04728112
1653091200000,2022-05-21 00:00:00,ICP/USD,7.758,8.2162,7.653,8.0007,31959.933432543516,3994.64214788
1653004800000,2022-05-20 00:00:00,ICP/USD,8.163,8.4518,7.56,7.7791,120909.45120177063,15542.85858284
1652918400000,2022-05-19 00:00:00,ICP/USD,7.5124,8.3151,7.3153,8.1993,48979.31344327346,5973.59694648
1652832000000,2022-05-18 00:00:00,ICP/USD,8.6131,8.756,7.4465,7.4927,84636.67696488484,11295.88492331
1652745600000,2022-05-17 00:00:00,ICP/USD,8.134,8.7217,8.1156,8.6236,76531.99591755723,8874.71542251
1652659200000,2022-05-16 00:00:00,ICP/USD,9.1783,9.1783,8.0034,8.0781,85602.95040428333,10596.91640414
1652572800000,2022-05-15 00:00:00,ICP/USD,8.5377,9.234,8.0523,9.2115,126600.44304499576,13743.73804972
1652486400000,2022-05-14 00:00:00,ICP/USD,9.3703,9.4116,7.6732,8.526,391160.3438069838,45878.5296513
1652400000000,2022-05-13 00:00:00,ICP/USD,7.2585,10.473,7.1395,9.4012,651222.7437866167,69270.17229573
1652313600000,2022-05-12 00:00:00,ICP/USD,7.449,8.0218,6.0684,7.2155,284556.9503136689,39436.89977322
1652227200000,2022-05-11 00:00:00,ICP/USD,10.601,10.853,7.04,7.4293,557820.9119832645,75083.91261401
1652140800000,2022-05-10 00:00:00,ICP/USD,10.003,12.159,9.6467,10.561,939742.4783153638,88982.33863416
1652054400000,2022-05-09 00:00:00,ICP/USD,11.939,12.155,9.8246,9.893,516826.1070829997,52241.59578318
1651968000000,2022-05-08 00:00:00,ICP/USD,12.071,12.305,11.718,11.922,97713.7436798076,8196.0865358
1651881600000,2022-05-07 00:00:00,ICP/USD,12.476,12.537,11.693,12.061,102475.24572953458,8496.41370778
1651795200000,2022-05-06 00:00:00,ICP/USD,12.723,12.806,12.219,12.463,80169.52686870104,6432.60265335
1651708800000,2022-05-05 00:00:00,ICP/USD,14.279,15.281,12.248,12.721,511111.9227615346,40178.59623941
1651622400000,2022-05-04 00:00:00,ICP/USD,12.838,14.411,12.788,14.282,100973.76170021361,7070.00151941
1651536000000,2022-05-03 00:00:00,ICP/USD,12.938,13.549,12.543,12.826,83499.3728353169,6510.16473065
1651449600000,2022-05-02 00:00:00,ICP/USD,13.04,13.224,12.362,12.947,143389.69668776818,11075.12911777
1651363200000,2022-05-01 00:00:00,ICP/USD,12.437,13.377,12.159,13.072,133643.44569326082,10223.6418064
1651276800000,2022-04-30 00:00:00,ICP/USD,14.137,14.367,11.342,12.429,452402.8188497644,36398.97166705
1651190400000,2022-04-29 00:00:00,ICP/USD,15.121,15.225,13.71,14.15,96166.228478309,6796.19989246
1651104000000,2022-04-28 00:00:00,ICP/USD,15.269,15.556,14.937,15.152,23689.66498456752,1563.46785801
1651017600000,2022-04-27 00:00:00,ICP/USD,15.003,15.577,14.777,15.296,58293.34998651968,3811.01921983
1650931200000,2022-04-26 00:00:00,ICP/USD,16.192,16.403,14.574,15.007,70032.0310021616,4666.6243088
1650844800000,2022-04-25 00:00:00,ICP/USD,16.248,16.258,15.054,16.157,92291.4515901751,5712.1651043
1650758400000,2022-04-24 00:00:00,ICP/USD,16.511,16.664,16.053,16.22,39208.379608376796,2417.28604244
1650672000000,2022-04-23 00:00:00,ICP/USD,16.586,17.171,16.466,16.466,91817.18392504971,5576.16809942
1650585600000,2022-04-22 00:00:00,ICP/USD,16.422,16.989,16.25,16.608,45023.733184847995,2710.9665935
1650499200000,2022-04-21 00:00:00,ICP/USD,17.051,17.773,16.145,16.469,57786.90373940826,3508.8289355399997
1650412800000,2022-04-20 00:00:00,ICP/USD,17.42,17.818,16.752,17.085,35154.0515461968,2057.59739808
1650326400000,2022-04-19 00:00:00,ICP/USD,16.983,17.691,16.806,17.424,52369.95615949152,3005.62190998
1650240000000,2022-04-18 00:00:00,ICP/USD,16.418,17.117,15.777,16.964,64245.79132143151,3787.1841146799998
1650153600000,2022-04-17 00:00:00,ICP/USD,17.576,17.925,16.363,16.443,114903.17649979498,6987.96913579
1650067200000,2022-04-16 00:00:00,ICP/USD,16.806,17.726,16.576,17.562,57210.53760997525,3257.63225202
1649980800000,2022-04-15 00:00:00,ICP/USD,16.492,16.948,16.392,16.825,17553.476014544,1043.29723712
1649894400000,2022-04-14 00:00:00,ICP/USD,16.984,17.327,16.131,16.503,42877.06968333039,2598.13789513
1649808000000,2022-04-13 00:00:00,ICP/USD,16.59,17.146,16.256,16.971,27926.12543302935,1645.52032485
1649721600000,2022-04-12 00:00:00,ICP/USD,16.148,17.062,16.001,16.6,86809.929486866,5229.51382451
1649635200000,2022-04-11 00:00:00,ICP/USD,17.339,17.51,15.634,16.076,229825.13185262974,14296.16396197
1649548800000,2022-04-10 00:00:00,ICP/USD,18.343,18.454,17.3,17.3,116548.53285977802,6736.90941386
1649462400000,2022-04-09 00:00:00,ICP/USD,18.09,18.445,17.832,18.365,105266.25545323144,5731.89520573
1649376000000,2022-04-08 00:00:00,ICP/USD,19.211,19.575,17.775,18.006,206789.29106767764,11484.46579294
1649289600000,2022-04-07 00:00:00,ICP/USD,18.714,19.463,18.357,19.298,102203.18821720855,5296.05079372
1649203200000,2022-04-06 00:00:00,ICP/USD,21.061,21.149,18.639,18.745,406705.8874799626,21696.76646999
1649116800000,2022-04-05 00:00:00,ICP/USD,21.897,22.854,20.9,21.045,268204.470347396,12744.33216191
1649030400000,2022-04-04 00:00:00,ICP/USD,22.656,23.475,20.788,21.889,505985.7511053438,23115.98296429
1648944000000,2022-04-03 00:00:00,ICP/USD,21.02,22.809,20.667,22.558,242905.52012436208,10768.04327176
1648857600000,2022-04-02 00:00:00,ICP/USD,21.569,22.483,20.958,21.036,302836.9591192685,14396.12849968
1648771200000,2022-04-01 00:00:00,ICP/USD,20.968,21.817,20.039,21.576,368236.2159310503,17066.93622224
1648684800000,2022-03-31 00:00:00,ICP/USD,21.732,23.283,20.109,20.98,718483.7948692755,34246.12940273
1648598400000,2022-03-30 00:00:00,ICP/USD,22.136,22.436,21.141,21.789,304550.67895022826,13977.26738034
1648512000000,2022-03-29 00:00:00,ICP/USD,21.826,23.275,21.393,22.164,604934.7298201902,27293.57200055
1648425600000,2022-03-28 00:00:00,ICP/USD,21.84,23.482,21.229,21.773,1200221.5056149892,55124.30559018
1648339200000,2022-03-27 00:00:00,ICP/USD,19.425,21.967,18.966,21.936,524740.8722301389,23921.44749408
1648252800000,2022-03-26 00:00:00,ICP/USD,18.77,19.576,18.605,19.408,115187.5846169944,5935.05691555
1648166400000,2022-03-25 00:00:00,ICP/USD,19.384,20.011,18.664,18.76,186770.77840947683,9955.79842268
1648080000000,2022-03-24 00:00:00,ICP/USD,18.997,19.791,18.71,19.422,147680.56504385965,7603.77741962
1647993600000,2022-03-23 00:00:00,ICP/USD,18.045,19.524,17.772,18.976,468212.7729303661,24673.94461058
1647907200000,2022-03-22 00:00:00,ICP/USD,16.957,18.441,16.823,18.021,242016.3050652927,13429.682318699999
1647820800000,2022-03-21 00:00:00,ICP/USD,16.788,17.161,16.296,16.976,87970.92951828975,5182.07643251
1647734400000,2022-03-20 00:00:00,ICP/USD,17.561,17.732,16.619,16.76,95211.091316526,5680.85270385
1647648000000,2022-03-19 00:00:00,ICP/USD,16.892,17.677,16.79,17.584,177697.02595808686,10105.60884657
1647561600000,2022-03-18 00:00:00,ICP/USD,16.555,17.068,16.193,16.862,123640.67149073514,7332.50335018
1647475200000,2022-03-17 00:00:00,ICP/USD,16.5,17.188,16.322,16.587,147928.34098802833,8918.330077049999
1647388800000,2022-03-16 00:00:00,ICP/USD,15.878,16.483,15.614,16.483,151730.6447801488,9205.28088213
1647302400000,2022-03-15 00:00:00,ICP/USD,16.195,16.425,15.362,15.85,110548.991264789,6974.69976434
1647216000000,2022-03-14 00:00:00,ICP/USD,15.724,16.211,15.58,16.211,46799.12392077883,2886.87458644
1647129600000,2022-03-13 00:00:00,ICP/USD,16.057,16.45,15.463,15.769,50746.18077150414,3218.09758206
1647043200000,2022-03-12 00:00:00,ICP/USD,16.039,16.636,16.033,16.077,50421.34998043638,3136.24121294
1646956800000,2022-03-11 00:00:00,ICP/USD,16.585,16.923,15.947,16.009,65677.77071637349,4102.55298372
1646870400000,2022-03-10 00:00:00,ICP/USD,17.458,17.524,16.125,16.624,79102.51611729727,4758.33229772
1646784000000,2022-03-09 00:00:00,ICP/USD,16.886,17.901,16.784,17.486,77053.34041464752,4406.57328232
1646697600000,2022-03-08 00:00:00,ICP/USD,16.47,17.123,16.346,16.876,37186.85452316089,2203.53487338
1646611200000,2022-03-07 00:00:00,ICP/USD,16.645,17.314,15.898,16.474,101100.71795480512,6136.98664288
1646524800000,2022-03-06 00:00:00,ICP/USD,17.679,17.769,16.61,16.61,50743.2508583847,3054.98199027
1646438400000,2022-03-05 00:00:00,ICP/USD,17.573,17.913,16.868,17.69,92069.76714751321,5204.62222428
1646352000000,2022-03-04 00:00:00,ICP/USD,19.934,19.954,17.388,17.636,115546.78486229095,6551.75690986
1646265600000,2022-03-03 00:00:00,ICP/USD,19.285,20.742,18.906,19.877,231745.04244906013,11658.95469382
1646179200000,2022-03-02 00:00:00,ICP/USD,19.316,19.848,18.862,19.318,88067.33554779472,4558.82262904
1646092800000,2022-03-01 00:00:00,ICP/USD,20.186,20.453,19.081,19.351,159956.3667027137,8266.05171323
1646006400000,2022-02-28 00:00:00,ICP/USD,17.208,20.2,16.937,20.146,140795.53127818723,6988.75862594
1645920000000,2022-02-27 00:00:00,ICP/USD,17.741,18.8,16.906,17.241,79207.26403978499,4594.122385
1645833600000,2022-02-26 00:00:00,ICP/USD,17.678,18.206,17.485,17.723,35154.01201608492,1983.52491204
1645747200000,2022-02-25 00:00:00,ICP/USD,16.569,17.977,16.388,17.692,104864.38312271876,5927.22038903
1645660800000,2022-02-24 00:00:00,ICP/USD,17.292,17.476,14.755,16.61,594542.0635603701,35794.224175819996
1645574400000,2022-02-23 00:00:00,ICP/USD,17.9,18.552,17.136,17.298,85618.15299138922,4949.5983923799995
1645488000000,2022-02-22 00:00:00,ICP/USD,17.812,18.189,16.843,17.922,288432.21265012183,16093.75140331
1645401600000,2022-02-21 00:00:00,ICP/USD,18.718,19.447,17.723,17.762,169273.39801602048,9530.086590249999
1645315200000,2022-02-20 00:00:00,ICP/USD,20.021,20.021,18.32,18.698,145662.35572807517,7790.263970909999
1645228800000,2022-02-19 00:00:00,ICP/USD,19.605,20.441,19.188,20.008,183256.42622738646,9159.15764831
1645142400000,2022-02-18 00:00:00,ICP/USD,19.873,20.38,19.243,19.686,128992.27416383832,6552.48776612
1645056000000,2022-02-17 00:00:00,ICP/USD,22.108,22.446,19.553,19.823,197800.7074077335,9978.34371224
1644969600000,2022-02-16 00:00:00,ICP/USD,21.731,22.556,20.769,22.037,294034.5007510009,13342.7644757
1644883200000,2022-02-15 00:00:00,ICP/USD,20.817,21.85,20.58,21.747,122900.924157988,5651.3967056599995
1644796800000,2022-02-14 00:00:00,ICP/USD,19.791,21.249,19.218,20.795,196759.23990086123,9461.85332536
1644710400000,2022-02-13 00:00:00,ICP/USD,20.057,20.801,19.546,19.86,93612.7119864984,4713.63101644
