https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume B2M
1659484800000,2022-08-03 00:00:00,B2M/USD,0.010265,0.010682,0.010257,0.010682,1021.4846027618253,95626.71810165
1659398400000,2022-08-02 00:00:00,B2M/USD,0.010981,0.010981,0.010089,0.010768,1576.4414757898232,146400.58281852
1659312000000,2022-08-01 00:00:00,B2M/USD,0.011331,0.011398,0.010475,0.010979,1563.4232207875107,142401.24062187
1659225600000,2022-07-31 00:00:00,B2M/USD,0.01131,0.01232,0.010917,0.011126,2564.05441225055,230456.08594738
1659139200000,2022-07-30 00:00:00,B2M/USD,0.010804,0.01151,0.010791,0.011349,1668.0250361487072,146975.50763492
1659052800000,2022-07-29 00:00:00,B2M/USD,0.010686,0.011046,0.010686,0.011046,1677.9870598811985,151909.02225975
1658966400000,2022-07-28 00:00:00,B2M/USD,0.010528,0.010946,0.010528,0.010781,758.3198948884702,70338.54882557
1658880000000,2022-07-27 00:00:00,B2M/USD,0.01018,0.010705,0.0099,0.010551,2084.8331159774348,197595.78390460002
1658793600000,2022-07-26 00:00:00,B2M/USD,0.010149,0.01029,0.01006,0.0101,1464.834156537671,145033.08480571
1658620800000,2022-07-24 00:00:00,B2M/USD,0.01028,0.01032,0.01028,0.01032,803.74299336,77882.073
1658534400000,2022-07-23 00:00:00,B2M/USD,0.01033,0.01035,0.010299,0.010299,1154.4973534950002,112098.005
1658448000000,2022-07-22 00:00:00,B2M/USD,0.01037,0.01041,0.0103,0.0103,1998.3288260589081,194012.50738436
1658361600000,2022-07-21 00:00:00,B2M/USD,0.0102,0.01022,0.01017,0.01019,1246.1279955621624,122289.30280296
1658275200000,2022-07-20 00:00:00,B2M/USD,0.010298,0.010298,0.01022,0.01022,1091.6035698052772,106810.52542126
1658188800000,2022-07-19 00:00:00,B2M/USD,0.0101,0.01041,0.01009,0.01009,1215.7166574249459,120487.28022051
1658102400000,2022-07-18 00:00:00,B2M/USD,0.01016,0.01018,0.0099,0.01004,1221.217734077112,121635.2324778
