https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XTZ
1651968000000,2022-05-08 00:00:00,XTZ/USD,2.5184,2.6385,2.5184,2.5626,1285036.7688621697,501458.19435814
1651881600000,2022-05-07 00:00:00,XTZ/USD,2.5075,2.6419,2.4272,2.5122,1243320.4866208537,494913.01911506
1651795200000,2022-05-06 00:00:00,XTZ/USD,2.4878,2.5302,2.4022,2.5072,1207321.311843987,481541.6846857
1651708800000,2022-05-05 00:00:00,XTZ/USD,2.7071,2.8755,2.4067,2.4906,2357843.825429633,946697.11131038
1651622400000,2022-05-04 00:00:00,XTZ/USD,2.4886,2.7486,2.48,2.7017,1039240.9302617318,384661.85374458
1651536000000,2022-05-03 00:00:00,XTZ/USD,2.4956,2.5849,2.4246,2.4911,566271.8256770887,227317.98228778
1651449600000,2022-05-02 00:00:00,XTZ/USD,2.5722,2.6109,2.3945,2.4966,768673.0232734279,307887.93690356
1651363200000,2022-05-01 00:00:00,XTZ/USD,2.5336,2.6069,2.4726,2.5729,531349.9385720998,206517.91308333
1651276800000,2022-04-30 00:00:00,XTZ/USD,2.6874,2.7524,2.4366,2.5388,706309.1818551447,278205.91691159
1651190400000,2022-04-29 00:00:00,XTZ/USD,2.8054,2.8224,2.6416,2.6894,658483.6977096573,244844.09076733
1651104000000,2022-04-28 00:00:00,XTZ/USD,2.8221,2.8568,2.7395,2.8074,559011.8166315065,199120.82946196
1651017600000,2022-04-27 00:00:00,XTZ/USD,2.747,2.853,2.7029,2.8215,798793.4621699223,283109.50280699
1650931200000,2022-04-26 00:00:00,XTZ/USD,2.9558,2.9742,2.7384,2.7479,1063018.183354899,386847.47747549
1650844800000,2022-04-25 00:00:00,XTZ/USD,2.9626,2.9684,2.797,2.954,785915.0260761508,266051.12595672
1650758400000,2022-04-24 00:00:00,XTZ/USD,3.0043,3.0452,2.936,2.9618,621706.9545013531,209908.48622505
1650672000000,2022-04-23 00:00:00,XTZ/USD,3.0817,3.0975,2.9924,3.0066,273214.04364135675,90871.43073284
1650585600000,2022-04-22 00:00:00,XTZ/USD,3.0324,3.1533,2.9815,3.0838,914412.0768482736,296521.20009348
1650499200000,2022-04-21 00:00:00,XTZ/USD,3.1478,3.238,2.9737,3.0325,520416.9173777993,171613.16319136
1650412800000,2022-04-20 00:00:00,XTZ/USD,3.228,3.2696,3.1,3.1483,664167.0623489142,210960.53817899
1650326400000,2022-04-19 00:00:00,XTZ/USD,3.179,3.2653,3.1305,3.2332,332669.61251660873,102891.7519846
1650240000000,2022-04-18 00:00:00,XTZ/USD,3.0856,3.1901,2.9327,3.1748,511692.8099583445,161173.24239585
1650153600000,2022-04-17 00:00:00,XTZ/USD,3.2843,3.2973,3.0805,3.0922,249569.2265271893,80709.27706073
1650067200000,2022-04-16 00:00:00,XTZ/USD,3.1968,3.2912,3.1594,3.2842,244392.73206353324,74414.69218182
1649980800000,2022-04-15 00:00:00,XTZ/USD,3.0974,3.238,3.0944,3.1963,400939.7703095735,125438.71673797
1649894400000,2022-04-14 00:00:00,XTZ/USD,3.1784,3.2784,3.067,3.0974,514175.6817685996,166002.35092936
1649808000000,2022-04-13 00:00:00,XTZ/USD,3.0666,3.1986,3.0363,3.1775,496034.49854017183,156108.41810863
