https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATO
1654214400000,2022-06-03 00:00:00,ATO/USD,9.623,9.6929,8.9613,9.1975,76520.86365712035,8319.74598066
1654128000000,2022-06-02 00:00:00,ATO/USD,9.339,9.6931,9.2038,9.6381,134254.05244670194,13929.51436971
1654041600000,2022-06-01 00:00:00,ATO/USD,10.338,10.494,9.1056,9.3386,437530.2317280408,46851.80131155
1653955200000,2022-05-31 00:00:00,ATO/USD,10.495,10.814,10.074,10.321,1103518.650616399,106919.74136386
1653868800000,2022-05-30 00:00:00,ATO/USD,9.6026,10.607,9.501,10.505,994233.1642093181,94643.8043036
1653782400000,2022-05-29 00:00:00,ATO/USD,9.3955,9.6665,9.1596,9.601,407184.0646410598,42410.58896376
1653696000000,2022-05-28 00:00:00,ATO/USD,9.2751,9.67,9.168,9.4088,284915.54414747,30281.8153375
1653609600000,2022-05-27 00:00:00,ATO/USD,9.6641,9.8987,9.0653,9.2523,773960.0932318295,83650.56183131
1653523200000,2022-05-26 00:00:00,ATO/USD,10.763,10.898,9.1922,9.5945,784776.5917810997,81794.42303206
1653436800000,2022-05-25 00:00:00,ATO/USD,11.088,11.383,10.619,10.734,319820.67157023854,29795.10635087
1653350400000,2022-05-24 00:00:00,ATO/USD,11.134,11.361,10.459,11.106,693413.2413458806,62435.91224076
1653264000000,2022-05-23 00:00:00,ATO/USD,11.398,12.323,10.962,11.133,1159987.2188380337,104193.58832642
1653177600000,2022-05-22 00:00:00,ATO/USD,11.058,11.58,10.933,11.411,431277.62565427274,37794.90190643
1653091200000,2022-05-21 00:00:00,ATO/USD,11.212,11.487,10.796,11.046,374849.23787758435,33935.2922214
1653004800000,2022-05-20 00:00:00,ATO/USD,10.841,12.202,10.772,11.206,1237482.6852176941,110430.36634104
1652918400000,2022-05-19 00:00:00,ATO/USD,10.118,10.951,9.8281,10.84,793338.9249229608,73186.24768662
