https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AXS
1657324800000,2022-07-09 00:00:00,AXS/USD,14.93,15.524,14.93,15.178,50169.64398359471,3305.4186311500002
1657238400000,2022-07-08 00:00:00,AXS/USD,15.356,15.705,14.511,14.88,45336.829170168,3046.82991735
1657152000000,2022-07-07 00:00:00,AXS/USD,14.821,15.482,14.58,15.315,66845.1801390621,4364.68691734
1657065600000,2022-07-06 00:00:00,AXS/USD,14.51,14.983,14.079,14.792,52177.2395862664,3527.3958617
1656979200000,2022-07-05 00:00:00,AXS/USD,14.925,15.437,13.94,14.492,50453.22768297424,3481.45374572
1656892800000,2022-07-04 00:00:00,AXS/USD,14.145,14.996,13.718,14.972,39243.3557544044,2621.1164677
1656806400000,2022-07-03 00:00:00,AXS/USD,13.905,14.521,13.523,14.18,60981.722437075194,4300.54460064
1656720000000,2022-07-02 00:00:00,AXS/USD,14.042,14.238,13.524,13.914,38944.4954802642,2798.9431853
1656633600000,2022-07-01 00:00:00,AXS/USD,14.477,15.024,13.745,13.998,101727.49683636395,7267.28795802
1656547200000,2022-06-30 00:00:00,AXS/USD,14.342,14.652,13.113,14.52,130514.380417278,8988.59369265
1656460800000,2022-06-29 00:00:00,AXS/USD,15.283,15.646,14.13,14.389,65009.86807299512,4518.02544117
1656374400000,2022-06-28 00:00:00,AXS/USD,15.92,16.807,15.184,15.243,178454.31887155058,11707.29638992
1656288000000,2022-06-27 00:00:00,AXS/USD,16.193,16.91,15.46,15.88,91802.8008073084,5781.03279643
1656201600000,2022-06-26 00:00:00,AXS/USD,17.833,17.903,16.132,16.132,89224.37724083269,5530.89370449
1656115200000,2022-06-25 00:00:00,AXS/USD,17.005,18.498,16.913,17.879,256517.3451993548,14347.4101012
1656028800000,2022-06-24 00:00:00,AXS/USD,14.737,17.7,14.737,17.089,311425.23598686734,18223.72496851
1655942400000,2022-06-23 00:00:00,AXS/USD,13.984,14.797,13.984,14.705,48762.057998025,3316.018905
1655856000000,2022-06-22 00:00:00,AXS/USD,14.856,14.978,13.727,13.926,142429.71047907096,10227.61097796
1655769600000,2022-06-21 00:00:00,AXS/USD,14.46,15.975,14.149,14.92,221613.0660869016,14853.42265998
1655683200000,2022-06-20 00:00:00,AXS/USD,13.751,15.139,13.075,14.502,84581.88573969265,5832.42902632
1655596800000,2022-06-19 00:00:00,AXS/USD,12.913,14.222,12.411,13.741,106966.4936765061,7784.4766521
1655510400000,2022-06-18 00:00:00,AXS/USD,13.84,14.027,11.917,12.943,90083.8728217575,6960.0458025
1655424000000,2022-06-17 00:00:00,AXS/USD,13.594,14.197,13.444,13.823,81778.80248973091,5916.13994717
1655337600000,2022-06-16 00:00:00,AXS/USD,15.842,16.298,13.236,13.646,198878.17330432206,14574.10034474
1655251200000,2022-06-15 00:00:00,AXS/USD,14.016,15.867,12.53,15.851,324195.9616647235,20452.7134985
1655164800000,2022-06-14 00:00:00,AXS/USD,13.348,15.282,12.355,14.08,447666.75410617597,31794.51378595
1655078400000,2022-06-13 00:00:00,AXS/USD,14.59,14.6,12.218,13.479,387597.187900969,28755.63379338
1654992000000,2022-06-12 00:00:00,AXS/USD,16.213,16.422,14.401,14.401,182177.28672669255,12650.32197255
1654905600000,2022-06-11 00:00:00,AXS/USD,17.977,18.696,15.991,16.258,227334.39251857618,13982.9248689
1654819200000,2022-06-10 00:00:00,AXS/USD,19.467,19.559,17.789,18.029,160191.84383103164,8885.23178385
1654732800000,2022-06-09 00:00:00,AXS/USD,19.478,19.974,19.261,19.426,32523.88659413322,1674.24516597
1654646400000,2022-06-08 00:00:00,AXS/USD,19.691,19.974,19.14,19.464,74500.33487349816,3827.59632519
1654560000000,2022-06-07 00:00:00,AXS/USD,20.679,20.679,19.111,19.75,212410.0137690925,10754.93740603
1654473600000,2022-06-06 00:00:00,AXS/USD,20.014,22.69,20.014,20.692,273168.7326379707,13201.65922279
1654387200000,2022-06-05 00:00:00,AXS/USD,20.514,20.566,19.772,20.058,38887.46066847816,1938.75065652
1654300800000,2022-06-04 00:00:00,AXS/USD,20.054,21.106,20.0,20.571,81725.77066288872,3972.86328632
1654214400000,2022-06-03 00:00:00,AXS/USD,20.979,21.544,19.43,19.956,71436.33085734132,3579.69186497
1654128000000,2022-06-02 00:00:00,AXS/USD,20.865,21.452,19.777,21.02,179203.1417045492,8525.36354446
1654041600000,2022-06-01 00:00:00,AXS/USD,23.796,23.796,20.309,20.893,191795.67575613922,9179.90119926
1653955200000,2022-05-31 00:00:00,AXS/USD,24.337,28.147,22.636,23.881,962309.0323049818,40296.01073259
1653868800000,2022-05-30 00:00:00,AXS/USD,18.428,24.611,18.211,24.39,348592.6172799432,14292.44023288
1653782400000,2022-05-29 00:00:00,AXS/USD,18.49,18.531,17.652,18.493,30722.997538184987,1661.33118143
1653696000000,2022-05-28 00:00:00,AXS/USD,18.264,18.643,17.872,18.531,34692.01598148804,1872.10706284
1653609600000,2022-05-27 00:00:00,AXS/USD,19.525,19.823,17.921,18.184,284024.5799059437,15619.47755752
1653523200000,2022-05-26 00:00:00,AXS/USD,20.895,21.781,18.704,19.599,93874.47341500683,4789.75832517
1653436800000,2022-05-25 00:00:00,AXS/USD,21.238,21.473,20.323,20.855,37521.0118421683,1799.13746546
1653350400000,2022-05-24 00:00:00,AXS/USD,21.008,21.396,20.255,21.251,95005.03655625533,4470.61486783
1653264000000,2022-05-23 00:00:00,AXS/USD,21.649,23.513,20.747,20.965,415807.6490810949,19833.41994186
1653177600000,2022-05-22 00:00:00,AXS/USD,21.075,21.816,20.695,21.745,74685.2816468703,3434.59561494
1653091200000,2022-05-21 00:00:00,AXS/USD,20.712,21.317,20.238,21.051,209344.79363849206,9944.64840808
