https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ALG
1649721600000,2022-04-12 00:00:00,ALG/USD,0.69395,0.74431,0.68668,0.72577,1125622.7498701003,1550935.90237968
1649635200000,2022-04-11 00:00:00,ALG/USD,0.74986,0.76094,0.68249,0.69389,1347905.91520747,1942535.43819261
1649548800000,2022-04-10 00:00:00,ALG/USD,0.78889,0.7915,0.7479,0.75173,534946.1624587789,711620.07962803
1649462400000,2022-04-09 00:00:00,ALG/USD,0.75904,0.78922,0.75884,0.78806,1005350.9575757277,1275728.95157187
1649376000000,2022-04-08 00:00:00,ALG/USD,0.7982,0.80958,0.75216,0.7593,1188546.412638725,1565318.59955054
1649289600000,2022-04-07 00:00:00,ALG/USD,0.76681,0.80795,0.75161,0.79947,1563552.118913367,1955735.82362486
1649203200000,2022-04-06 00:00:00,ALG/USD,0.83432,0.83657,0.76529,0.76682,2090651.4307804871,2726391.37057
1649116800000,2022-04-05 00:00:00,ALG/USD,0.88245,0.9,0.83147,0.83391,1240717.7895059118,1487831.76782376
1649030400000,2022-04-04 00:00:00,ALG/USD,0.93594,0.93594,0.85198,0.88271,1536205.820102608,1740329.00964372
1648944000000,2022-04-03 00:00:00,ALG/USD,0.9078,0.94723,0.88837,0.93512,1026759.4891246496,1097997.57156798
1648857600000,2022-04-02 00:00:00,ALG/USD,0.93948,0.97629,0.89921,0.90614,1242332.2629700971,1371015.80657525
1648771200000,2022-04-01 00:00:00,ALG/USD,0.9298,0.96252,0.89013,0.93978,2171000.5118351937,2310115.67796207
1648684800000,2022-03-31 00:00:00,ALG/USD,0.92638,0.98844,0.91038,0.92949,2782500.128035179,2993577.26068616
1648598400000,2022-03-30 00:00:00,ALG/USD,0.92122,0.95548,0.88256,0.92641,1986680.8465243923,2144494.17269286
1648512000000,2022-03-29 00:00:00,ALG/USD,0.90667,0.96293,0.89922,0.92319,1776804.0505477383,1924635.2869374
1648425600000,2022-03-28 00:00:00,ALG/USD,0.94843,0.97352,0.89244,0.90676,1960641.2264303823,2162249.35642329
1648339200000,2022-03-27 00:00:00,ALG/USD,0.91202,0.94977,0.89603,0.94949,1159917.988775139,1221622.12216573
1648252800000,2022-03-26 00:00:00,ALG/USD,0.8887,0.92,0.87594,0.91286,1518645.0552727894,1663612.22451722
1648166400000,2022-03-25 00:00:00,ALG/USD,0.89097,0.95016,0.88188,0.88979,2378430.1394822905,2673024.1287071
1648080000000,2022-03-24 00:00:00,ALG/USD,0.83909,0.90765,0.82056,0.89108,1411917.579941531,1584501.48128286
1647993600000,2022-03-23 00:00:00,ALG/USD,0.8262,0.83899,0.80495,0.83873,792146.7444969176,944459.77191339
1647907200000,2022-03-22 00:00:00,ALG/USD,0.82815,0.85167,0.80401,0.82594,1147426.9412824141,1389237.64593362
1647820800000,2022-03-21 00:00:00,ALG/USD,0.74059,0.82905,0.73069,0.82853,1440194.5238956967,1738252.71733757
1647734400000,2022-03-20 00:00:00,ALG/USD,0.76601,0.77697,0.73519,0.74124,589439.227379936,795206.98745337
1647648000000,2022-03-19 00:00:00,ALG/USD,0.75783,0.77969,0.75209,0.76493,518016.96242980054,677208.32289203
1647561600000,2022-03-18 00:00:00,ALG/USD,0.74233,0.76311,0.7264,0.75597,395735.3698937472,523480.25701251
1647475200000,2022-03-17 00:00:00,ALG/USD,0.73641,0.76121,0.72168,0.74184,442941.11223606614,597084.4282272
1647388800000,2022-03-16 00:00:00,ALG/USD,0.71706,0.73835,0.6972,0.73756,457449.9289993726,620220.63154099
1647302400000,2022-03-15 00:00:00,ALG/USD,0.7083,0.72783,0.6791,0.7166,503693.02174781874,702892.85758836
1647216000000,2022-03-14 00:00:00,ALG/USD,0.67975,0.71341,0.67281,0.70711,565350.4834600337,799522.68170445
1647129600000,2022-03-13 00:00:00,ALG/USD,0.70533,0.71684,0.67558,0.68125,167080.48789968263,245255.76205458
1647043200000,2022-03-12 00:00:00,ALG/USD,0.70227,0.72489,0.70171,0.70461,121246.3809644805,172075.87312766
1646956800000,2022-03-11 00:00:00,ALG/USD,0.7306,0.7315,0.69941,0.7018,267556.42577781435,381243.1259302
1646870400000,2022-03-10 00:00:00,ALG/USD,0.7677,0.78144,0.72372,0.73107,609669.7018824046,833941.62239239
1646784000000,2022-03-09 00:00:00,ALG/USD,0.74026,0.77962,0.73985,0.76772,516182.8288178841,672358.18894634
1646697600000,2022-03-08 00:00:00,ALG/USD,0.72839,0.75968,0.72512,0.7403,541086.0866943034,730901.10319371
1646611200000,2022-03-07 00:00:00,ALG/USD,0.74498,0.77237,0.72044,0.73117,754944.4181849757,1032515.58212861
1646524800000,2022-03-06 00:00:00,ALG/USD,0.77448,0.78225,0.74435,0.74601,751434.0547363694,1007270.75338986
1646438400000,2022-03-05 00:00:00,ALG/USD,0.76029,0.77819,0.74285,0.77483,217650.8900620533,280901.47524238
1646352000000,2022-03-04 00:00:00,ALG/USD,0.79635,0.81048,0.7534,0.75912,377557.245083956,497361.74133728
