https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1651449600000,2022-05-02 00:00:00,ZEC/USD,124.27,125.84,115.74,124.84,413461.64980448,3311.932472
1651363200000,2022-05-01 00:00:00,ZEC/USD,114.04,126.18,111.08,124.39,596278.0501728161,4793.61725358
1651276800000,2022-04-30 00:00:00,ZEC/USD,128.4,133.55,109.0,114.03,681185.7256410486,5973.74134562
1651190400000,2022-04-29 00:00:00,ZEC/USD,147.05,147.71,126.0,128.65,948717.3309672875,7374.40599275
1651104000000,2022-04-28 00:00:00,ZEC/USD,148.69,152.07,144.99,146.87,283289.4372491061,1928.84481003
1651017600000,2022-04-27 00:00:00,ZEC/USD,145.65,151.55,143.67,149.35,434535.6701191855,2909.51235433
1650931200000,2022-04-26 00:00:00,ZEC/USD,166.02,170.77,143.14,146.36,1706149.3799781918,11657.21084981
1650844800000,2022-04-25 00:00:00,ZEC/USD,161.0,166.82,146.91,165.66,444426.9997328436,2682.76590446
1650758400000,2022-04-24 00:00:00,ZEC/USD,153.0,163.56,152.91,161.0,424696.59239511,2637.86703351
1650672000000,2022-04-23 00:00:00,ZEC/USD,157.23,158.36,152.67,153.12,235039.6467245376,1535.00291748
1650585600000,2022-04-22 00:00:00,ZEC/USD,159.73,169.83,156.86,157.03,430429.37572557334,2741.06461011
1650499200000,2022-04-21 00:00:00,ZEC/USD,156.8,170.7,156.8,159.73,690594.1267873605,4323.50921422
1650412800000,2022-04-20 00:00:00,ZEC/USD,158.78,162.04,154.89,156.82,777569.7462740865,4958.35828513
1650326400000,2022-04-19 00:00:00,ZEC/USD,156.22,163.92,153.44,159.07,1490069.4536726403,9367.38199329
1650240000000,2022-04-18 00:00:00,ZEC/USD,137.44,157.49,133.27,156.22,2967760.1183702545,18997.31224152
1650153600000,2022-04-17 00:00:00,ZEC/USD,144.28,145.98,137.28,137.61,907514.1296195536,6594.82689935
1650067200000,2022-04-16 00:00:00,ZEC/USD,146.43,147.82,141.46,144.0,575402.5609056,3995.8511174
1649980800000,2022-04-15 00:00:00,ZEC/USD,144.14,149.62,143.83,146.71,177457.11803989048,1209.57752055
1649894400000,2022-04-14 00:00:00,ZEC/USD,152.44,155.72,141.73,144.34,210369.5683151258,1457.45855837
1649808000000,2022-04-13 00:00:00,ZEC/USD,147.28,152.9,144.34,152.9,314857.44866930204,2059.23772838
1649721600000,2022-04-12 00:00:00,ZEC/USD,143.09,149.72,141.48,147.5,465990.794157975,3159.25962141
1649635200000,2022-04-11 00:00:00,ZEC/USD,160.98,163.68,142.06,142.47,543339.3144805821,3813.71035643
1649548800000,2022-04-10 00:00:00,ZEC/USD,169.73,169.99,160.67,160.96,414279.08930640324,2573.80149917
1649462400000,2022-04-09 00:00:00,ZEC/USD,165.67,174.42,161.57,169.5,899487.008110275,5306.70801245
1649376000000,2022-04-08 00:00:00,ZEC/USD,172.66,183.87,164.43,165.42,1546791.5977040646,9350.69276813
1649289600000,2022-04-07 00:00:00,ZEC/USD,160.98,174.35,158.9,172.73,4807054.689383009,27829.87720363
1649203200000,2022-04-06 00:00:00,ZEC/USD,165.47,177.47,158.48,161.22,1172859.654548727,7274.90171535
1649116800000,2022-04-05 00:00:00,ZEC/USD,173.85,178.7,165.0,165.79,563914.7967603103,3401.38003957
1649030400000,2022-04-04 00:00:00,ZEC/USD,179.53,180.0,163.26,173.7,882024.7605191818,5077.86275486
1648944000000,2022-04-03 00:00:00,ZEC/USD,177.83,182.37,173.8,179.76,736481.9406923832,4097.0290425700005
1648857600000,2022-04-02 00:00:00,ZEC/USD,186.14,191.68,177.29,177.81,667477.4202182676,3753.88009796
1648771200000,2022-04-01 00:00:00,ZEC/USD,178.47,193.63,171.17,186.13,1142954.5890843135,6140.62531072
1648684800000,2022-03-31 00:00:00,ZEC/USD,191.69,196.16,176.79,178.19,565937.8249094257,3176.03583203
1648598400000,2022-03-30 00:00:00,ZEC/USD,195.95,198.89,186.82,191.69,681315.6700105662,3554.25775998
1648512000000,2022-03-29 00:00:00,ZEC/USD,192.05,200.0,189.24,195.92,597619.892049164,3050.32611295
1648425600000,2022-03-28 00:00:00,ZEC/USD,210.31,211.48,190.13,192.01,984271.650871254,5126.14786142
1648339200000,2022-03-27 00:00:00,ZEC/USD,205.14,211.03,195.64,210.28,1368671.1915982394,6508.80346014
1648252800000,2022-03-26 00:00:00,ZEC/USD,195.15,216.24,195.15,205.0,2142264.6760074003,10450.07159028
1648166400000,2022-03-25 00:00:00,ZEC/USD,192.91,200.65,188.64,194.94,1222227.7262331569,6269.76365155
1648080000000,2022-03-24 00:00:00,ZEC/USD,182.2,196.97,177.63,192.92,1677129.9219744522,8693.39582197
1647993600000,2022-03-23 00:00:00,ZEC/USD,174.53,187.56,171.79,181.94,619050.649884194,3402.4989001
1647907200000,2022-03-22 00:00:00,ZEC/USD,181.56,184.41,173.38,174.75,1411003.9634968725,8074.41466951
1647820800000,2022-03-21 00:00:00,ZEC/USD,173.55,184.59,165.94,181.73,2442144.1572825224,13438.31044562
1647734400000,2022-03-20 00:00:00,ZEC/USD,179.73,181.11,169.6,173.86,1044462.791219623,6007.49333498
1647648000000,2022-03-19 00:00:00,ZEC/USD,172.0,183.0,167.16,179.93,3207675.467185509,17827.3521213
1647561600000,2022-03-18 00:00:00,ZEC/USD,152.68,172.58,147.46,171.47,3021079.00858325,17618.70303017
1647475200000,2022-03-17 00:00:00,ZEC/USD,154.09,166.46,148.55,152.75,1091375.05687418,7144.84488952
1647388800000,2022-03-16 00:00:00,ZEC/USD,136.56,154.2,135.72,153.86,816446.0820301493,5306.42195522
1647302400000,2022-03-15 00:00:00,ZEC/USD,149.69,149.94,135.66,136.53,904846.5907822413,6627.45616921
1647216000000,2022-03-14 00:00:00,ZEC/USD,154.73,156.4,143.42,149.69,2529948.7235076358,16901.25408182
1647129600000,2022-03-13 00:00:00,ZEC/USD,151.58,158.9,144.75,154.73,2129620.739549671,13763.46370807
1647043200000,2022-03-12 00:00:00,ZEC/USD,154.01,159.57,143.67,151.09,932199.9657968984,6169.83232376
1646956800000,2022-03-11 00:00:00,ZEC/USD,157.12,158.3,145.97,153.31,2728357.080283073,17796.34127117
1646870400000,2022-03-10 00:00:00,ZEC/USD,141.58,160.64,130.84,156.92,5012569.140185007,31943.46890253
1646784000000,2022-03-09 00:00:00,ZEC/USD,138.45,146.54,135.94,141.37,6064266.953907389,42896.42041386
1646697600000,2022-03-08 00:00:00,ZEC/USD,109.64,141.5,108.93,138.34,2381998.925992652,17218.43954021
1646611200000,2022-03-07 00:00:00,ZEC/USD,107.46,113.89,103.8,109.91,458774.36874784186,4174.09124509
