https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMN
1659484800000,2022-08-03 00:00:00,OMN/USD,2.38,2.47,2.38,2.47,33.72364606,13.653298
1659225600000,2022-07-31 00:00:00,OMN/USD,2.0,2.0,2.0,2.0,14.001998,7.000999
1659139200000,2022-07-30 00:00:00,OMN/USD,1.84,2.0,1.823,1.823,217.467390912,119.29094400000001
1659052800000,2022-07-29 00:00:00,OMN/USD,2.2,2.2,2.2,2.2,14.974509396000002,6.80659518
1658966400000,2022-07-28 00:00:00,OMN/USD,2.138,2.2,1.8,2.2,2140.6668382000003,973.030381
1658793600000,2022-07-26 00:00:00,OMN/USD,2.138,2.138,2.138,2.138,28.486972836,13.324122000000001
1658707200000,2022-07-25 00:00:00,OMN/USD,2.13,2.7041,2.13,2.7041,148.80040357000001,55.0277
1658620800000,2022-07-24 00:00:00,OMN/USD,2.6654,2.6654,1.95,2.61,4925.9607669,1887.34129
1658448000000,2022-07-22 00:00:00,OMN/USD,2.6654,2.6654,2.6654,2.6654,3.2223593185999997,1.208959
1658188800000,2022-07-19 00:00:00,OMN/USD,2.7249,2.7249,1.8902,2.7041,88.532778010838,32.74020118
1658102400000,2022-07-18 00:00:00,OMN/USD,1.3327,2.9,1.32,1.6733,2278.765431907821,1361.8391393699999
1658016000000,2022-07-17 00:00:00,OMN/USD,1.8,2.5955,1.3164,2.4698,953.510614809056,386.06794672
1657584000000,2022-07-12 00:00:00,OMN/USD,2.5897,2.6317,2.5897,2.6317,51.4067014416,19.533648
1657497600000,2022-07-11 00:00:00,OMN/USD,2.6478,2.6478,1.8,1.92,120.50977343999999,62.765507
1657411200000,2022-07-10 00:00:00,OMN/USD,2.6,2.6489,2.6,2.6489,9.319786452899999,3.518361
1657238400000,2022-07-08 00:00:00,OMN/USD,1.8813,1.8813,1.8813,1.8813,1.8606245129999999,0.98901
1656633600000,2022-07-01 00:00:00,OMN/USD,2.36,2.6597,2.36,2.6597,34.7135985109,13.051697
