https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PLU
1655078400000,2022-06-13 00:00:00,PLU/USD,8.367,8.3731,6.98,6.98,14688.4684794566,2104.36511167
1654992000000,2022-06-12 00:00:00,PLU/USD,8.4389,8.7576,7.951,8.3673,13091.575083477517,1564.61165292
1654905600000,2022-06-11 00:00:00,PLU/USD,9.1897,9.3335,8.2281,8.4711,16372.865113194908,1932.79091419
1654819200000,2022-06-10 00:00:00,PLU/USD,9.5496,9.7778,8.6874,9.0523,10787.443351722764,1191.67983294
1654732800000,2022-06-09 00:00:00,PLU/USD,9.9113,11.3,8.827,9.5497,31119.549011346942,3258.69388686
1654646400000,2022-06-08 00:00:00,PLU/USD,8.3104,12.047,7.7331,9.7589,37213.30671862261,3813.26857726
1654560000000,2022-06-07 00:00:00,PLU/USD,8.4452,8.495,7.9767,8.3104,17160.39432244413,2064.93000607
1654473600000,2022-06-06 00:00:00,PLU/USD,8.4712,8.9193,8.103,8.4344,11075.924345685991,1313.18461843
1654387200000,2022-06-05 00:00:00,PLU/USD,8.1793,8.8,8.0969,8.4711,11081.455522924776,1308.14835416
1654300800000,2022-06-04 00:00:00,PLU/USD,8.1696,8.373,7.9767,8.1794,7752.436846766804,947.80018666
1654214400000,2022-06-03 00:00:00,PLU/USD,8.1161,8.2,7.854,8.2,24805.225964038,3025.02755659
1654128000000,2022-06-02 00:00:00,PLU/USD,7.9492,8.637,7.8501,8.0716,44927.29914888901,5566.09583588
1654041600000,2022-06-01 00:00:00,PLU/USD,8.762,8.9091,7.6431,7.8501,16967.860373378575,2161.48334077
1653955200000,2022-05-31 00:00:00,PLU/USD,8.4951,9.289,8.4004,8.6474,19653.386810702632,2272.75097841
1653868800000,2022-05-30 00:00:00,PLU/USD,8.2122,9.0549,8.1679,8.5397,28719.81589806581,3363.09424196
1653782400000,2022-05-29 00:00:00,PLU/USD,8.0488,8.5143,7.9768,8.2316,19629.54779567444,2384.6576359
1653696000000,2022-05-28 00:00:00,PLU/USD,7.7077,8.0931,7.6587,8.0749,7356.625837477475,911.04853775
1653609600000,2022-05-27 00:00:00,PLU/USD,7.8392,8.0554,7.6431,7.7081,4738.84416004339,614.7875819
1653523200000,2022-05-26 00:00:00,PLU/USD,8.1204,8.2153,7.8395,7.8395,7907.014214344715,1008.61205617
1653436800000,2022-05-25 00:00:00,PLU/USD,8.1997,8.4031,8.1077,8.1747,8194.055759798572,1002.36776393
1653350400000,2022-05-24 00:00:00,PLU/USD,8.6617,8.9069,8.0706,8.1998,14516.197709045677,1770.31119162
1653264000000,2022-05-23 00:00:00,PLU/USD,9.3935,9.6275,8.617,8.66,8951.312696643201,1033.63887952
1653177600000,2022-05-22 00:00:00,PLU/USD,9.262,9.6307,9.2617,9.3935,11450.36776890799,1218.96713354
1653091200000,2022-05-21 00:00:00,PLU/USD,9.0929,9.4794,9.0409,9.262,10227.9181674505,1104.28829275
1653004800000,2022-05-20 00:00:00,PLU/USD,9.0306,10.47,8.8915,9.0931,27428.662175429447,3016.42588066
1652918400000,2022-05-19 00:00:00,PLU/USD,9.2357,9.4794,9.0009,9.2149,21823.5072945444,2368.28476647
1652832000000,2022-05-18 00:00:00,PLU/USD,9.2595,9.3475,9.1606,9.2358,10366.768870106544,1122.45488968
1652745600000,2022-05-17 00:00:00,PLU/USD,9.5459,10.566,9.0223,9.2595,17968.70570309064,1940.56976112
1652659200000,2022-05-16 00:00:00,PLU/USD,10.113,10.249,9.3683,9.5464,17299.260876459248,1812.12403382
1652572800000,2022-05-15 00:00:00,PLU/USD,8.7006,19.0,8.7006,10.181,52524.535086060016,5159.07426442
1652486400000,2022-05-14 00:00:00,PLU/USD,9.0001,9.777,8.62,8.76,8510.5855973748,971.52803623
1652400000000,2022-05-13 00:00:00,PLU/USD,7.7481,9.626,7.3831,9.0001,11902.269212696296,1322.45966297
