https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1656028800000,2022-06-24 00:00:00,GRT/USD,0.11252,0.11871,0.11016,0.11548,34304.77231656818,297062.45511403
1655942400000,2022-06-23 00:00:00,GRT/USD,0.10613,0.11429,0.106,0.11141,25190.545253458535,226106.68031109
1655856000000,2022-06-22 00:00:00,GRT/USD,0.10953,0.11052,0.10349,0.10484,25008.050253676924,238535.38967643
1655769600000,2022-06-21 00:00:00,GRT/USD,0.10356,0.11807,0.10334,0.10939,34047.68824978511,311250.46393441
1655683200000,2022-06-20 00:00:00,GRT/USD,0.1032,0.10803,0.09844,0.10416,22231.287364871594,213434.01847995
1655596800000,2022-06-19 00:00:00,GRT/USD,0.09917,0.10387,0.09255,0.10311,25208.031904590815,244477.08180187
1655510400000,2022-06-18 00:00:00,GRT/USD,0.09953,0.09953,0.09,0.097869,11186.945361751925,114305.29955095
1655424000000,2022-06-17 00:00:00,GRT/USD,0.09858,0.10092,0.09595,0.09836,6423.011634145822,65301.05362084
1655337600000,2022-06-16 00:00:00,GRT/USD,0.11261,0.11308,0.09482,0.09604,8373.231667371629,87184.83618671
1655251200000,2022-06-15 00:00:00,GRT/USD,0.10431,0.11253,0.09104,0.11253,7570.607808918361,67276.35127449
1655164800000,2022-06-14 00:00:00,GRT/USD,0.10189,0.1148,0.097751,0.10626,15025.023944647746,141398.68195603
1655078400000,2022-06-13 00:00:00,GRT/USD,0.11,0.11308,0.09683,0.10423,25145.874596090584,241253.71386444
1654992000000,2022-06-12 00:00:00,GRT/USD,0.12434,0.12434,0.11083,0.11314,21593.880540095688,190859.82446611
1654905600000,2022-06-11 00:00:00,GRT/USD,0.13791,0.1408,0.12115,0.12278,12763.082973767501,103950.83054054
1654819200000,2022-06-10 00:00:00,GRT/USD,0.14541,0.14581,0.13615,0.13823,5093.068248191365,36844.88351437
1654732800000,2022-06-09 00:00:00,GRT/USD,0.14923,0.15099,0.14433,0.14821,5675.748567776281,38295.31453867
1654646400000,2022-06-08 00:00:00,GRT/USD,0.15226,0.15599,0.14815,0.14888,7146.252040915652,48000.08087665
