https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume HMT
1659484800000,2022-08-03 00:00:00,HMT/USD,0.18763,0.19011,0.1875,0.18883,858.7504451785026,4547.74371222
1659398400000,2022-08-02 00:00:00,HMT/USD,0.18862,0.18895,0.18776,0.18776,68.7424237490232,366.11857557
1659312000000,2022-08-01 00:00:00,HMT/USD,0.18688,0.18979,0.18617,0.18898,1026.0380289633079,5429.34717411
1659225600000,2022-07-31 00:00:00,HMT/USD,0.18797,0.18797,0.18618,0.18631,368.6102945825957,1978.47831347
1659139200000,2022-07-30 00:00:00,HMT/USD,0.18724,0.18842,0.18654,0.18842,155.234551109026,823.8751253
1659052800000,2022-07-29 00:00:00,HMT/USD,0.18645,0.18772,0.18645,0.18743,207.9636933585534,1109.55393138
1658966400000,2022-07-28 00:00:00,HMT/USD,0.19022,0.19081,0.18624,0.1867,1458.217908257119,7810.48692157
1658880000000,2022-07-27 00:00:00,HMT/USD,0.18917,0.19096,0.18907,0.19072,106.0352569618816,555.97345303
1658793600000,2022-07-26 00:00:00,HMT/USD,0.19159,0.19194,0.18902,0.18938,210.65651872083836,1112.3482876799999
1658707200000,2022-07-25 00:00:00,HMT/USD,0.19052,0.19271,0.19029,0.19194,492.81293307278764,2567.53638154
1658620800000,2022-07-24 00:00:00,HMT/USD,0.18947,0.191,0.18947,0.19068,343.63916147558757,1802.17726807
1658534400000,2022-07-23 00:00:00,HMT/USD,0.19004,0.19014,0.18935,0.18963,164.12842060370278,865.51927756
1658448000000,2022-07-22 00:00:00,HMT/USD,0.19114,0.19158,0.19014,0.19045,221.5121474321405,1163.09870009
1658361600000,2022-07-21 00:00:00,HMT/USD,0.19133,0.19171,0.19009,0.1904,243.830816094544,1280.62403411
1658275200000,2022-07-20 00:00:00,HMT/USD,0.19438,0.19523,0.19112,0.19166,1256.386790543577,6555.28952595
1658188800000,2022-07-19 00:00:00,HMT/USD,0.19319,0.19438,0.192,0.19407,237.20556781875297,1222.2680879
1658102400000,2022-07-18 00:00:00,HMT/USD,0.19146,0.19326,0.19134,0.19209,702.5268654064303,3657.27974078
1658016000000,2022-07-17 00:00:00,HMT/USD,0.19111,0.19173,0.19061,0.19139,265.4870233374425,1387.15201075
1657929600000,2022-07-16 00:00:00,HMT/USD,0.19141,0.19265,0.19045,0.19083,1304.137073843107,6834.0254354300005
1657843200000,2022-07-15 00:00:00,HMT/USD,0.19204,0.19204,0.19077,0.19104,162.87164446100158,852.55257779
1657756800000,2022-07-14 00:00:00,HMT/USD,0.19249,0.19249,0.19151,0.19173,275.8761410164221,1438.87832377
1657670400000,2022-07-13 00:00:00,HMT/USD,0.19153,0.19206,0.19102,0.19206,85.9281936507522,447.40286187
1657584000000,2022-07-12 00:00:00,HMT/USD,0.19237,0.19237,0.19137,0.19169,44.6758139708774,233.06283046
1657497600000,2022-07-11 00:00:00,HMT/USD,0.19252,0.19269,0.19204,0.19204,94.86139811040239,493.96687206
1657411200000,2022-07-10 00:00:00,HMT/USD,0.19243,0.19252,0.19189,0.19222,97.5575665719662,507.53078021
1657324800000,2022-07-09 00:00:00,HMT/USD,0.19244,0.19267,0.19205,0.19267,95.03320531347691,493.24339707
