https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume VSY
1659571200000,2022-08-04 00:00:00,VSY/USD,0.001696,0.001696,0.001689,0.001694,15.344987621939358,9058.43425144
1659484800000,2022-08-03 00:00:00,VSY/USD,0.0016963,0.0017965,0.001661,0.001698,3204.8747564760433,1887440.96376681
1659398400000,2022-08-02 00:00:00,VSY/USD,0.0017141,0.0017399,0.001611,0.001694,3801.306373554467,2243982.51095305
1659312000000,2022-08-01 00:00:00,VSY/USD,0.0017729,0.0017781,0.00167,0.001714,1424.902074125408,831331.43181179
1659225600000,2022-07-31 00:00:00,VSY/USD,0.001665,0.0018354,0.0016441,0.0017455,6204.4105008568995,3554517.61721965
1659139200000,2022-07-30 00:00:00,VSY/USD,0.001549,0.0019481,0.001527,0.001664,35978.22604687446,21621530.07624667
1659052800000,2022-07-29 00:00:00,VSY/USD,0.0015423,0.001578,0.00148,0.0015518,5217.464814421282,3362201.83942601
1658966400000,2022-07-28 00:00:00,VSY/USD,0.0015239,0.001582,0.0014491,0.001525,2192.5004379794714,1437705.20523244
1658880000000,2022-07-27 00:00:00,VSY/USD,0.001434,0.001531,0.001383,0.0015241,2507.940906418253,1645522.54210239
1658793600000,2022-07-26 00:00:00,VSY/USD,0.001475,0.001491,0.0013743,0.001409,4149.2417726459025,2944813.18143783
1658707200000,2022-07-25 00:00:00,VSY/USD,0.0016383,0.0016475,0.001422,0.001475,30155.78703150393,20444601.3772908
1658620800000,2022-07-24 00:00:00,VSY/USD,0.0015982,0.001661,0.0015605,0.0016064,4393.598692721406,2735058.94716223
1658534400000,2022-07-23 00:00:00,VSY/USD,0.0014711,0.0016316,0.001402,0.0015757,13869.616455626297,8802193.60006746
1658448000000,2022-07-22 00:00:00,VSY/USD,0.0015199,0.0015844,0.001469,0.0014985,2633.3059168078134,1757294.57244432
1658361600000,2022-07-21 00:00:00,VSY/USD,0.0016522,0.0016744,0.0014211,0.0015199,38051.73970999616,25035686.36752165
1658275200000,2022-07-20 00:00:00,VSY/USD,0.0016692,0.0017712,0.0016352,0.0016786,3414.000067016231,2033837.761835
1658188800000,2022-07-19 00:00:00,VSY/USD,0.001669,0.001688,0.00159,0.0016483,5349.011127603684,3245168.43269046
1658102400000,2022-07-18 00:00:00,VSY/USD,0.0015311,0.001663,0.0015127,0.001663,7123.188855923574,4283336.65419337
1658016000000,2022-07-17 00:00:00,VSY/USD,0.0015128,0.0015898,0.0014758,0.0015311,2433.798474573938,1589575.12544833
1657929600000,2022-07-16 00:00:00,VSY/USD,0.0015187,0.0015649,0.0014618,0.0014929,4496.0609442354325,3011629.00678909
1657843200000,2022-07-15 00:00:00,VSY/USD,0.00151,0.001573,0.0014561,0.0015187,4805.619897803987,3164298.34582471
1657756800000,2022-07-14 00:00:00,VSY/USD,0.0014572,0.0015457,0.0014244,0.00151,9601.763237358427,6358783.60089962
1657670400000,2022-07-13 00:00:00,VSY/USD,0.0014504,0.0015091,0.0014,0.0014573,2660.201489631137,1825431.61300428
1657584000000,2022-07-12 00:00:00,VSY/USD,0.0015759,0.0015759,0.0014266,0.0014503,1868.0034529284244,1288011.75820756
1657497600000,2022-07-11 00:00:00,VSY/USD,0.0016,0.0016019,0.0015062,0.001556,2927.326697701878,1881315.35842023
1657411200000,2022-07-10 00:00:00,VSY/USD,0.0016882,0.0017089,0.001594,0.0016019,1624.7974022541116,1014293.90239972
1657324800000,2022-07-09 00:00:00,VSY/USD,0.00169,0.0017477,0.001649,0.0016882,6268.494981779014,3713123.4342963
1657238400000,2022-07-08 00:00:00,VSY/USD,0.0016626,0.0017227,0.0015802,0.00169,4426.225815152221,2619068.52967587
1657152000000,2022-07-07 00:00:00,VSY/USD,0.001577,0.001683,0.0015606,0.0016625,3043.637848662225,1830759.60821788
1657065600000,2022-07-06 00:00:00,VSY/USD,0.0016102,0.001694,0.001558,0.0015766,37204.60858986474,23598001.13526877
1656979200000,2022-07-05 00:00:00,VSY/USD,0.0016736,0.0017296,0.001589,0.0016077,10307.482567474968,6411322.11698387
1656892800000,2022-07-04 00:00:00,VSY/USD,0.001772,0.0017759,0.0015705,0.0016737,36653.98353507124,21899972.23819755
1656806400000,2022-07-03 00:00:00,VSY/USD,0.0019948,0.002037,0.0017317,0.0017511,16664.550414525595,9516618.3624725
1656720000000,2022-07-02 00:00:00,VSY/USD,0.001997,0.0020539,0.0019361,0.0019771,4623.181944510598,2338365.25441839
1656633600000,2022-07-01 00:00:00,VSY/USD,0.002005,0.002097,0.0018385,0.0020008,29210.725287747333,14599522.83473977
1656547200000,2022-06-30 00:00:00,VSY/USD,0.0024,0.002427,0.0019147,0.002015,58036.05846793009,28802014.12800501
1656460800000,2022-06-29 00:00:00,VSY/USD,0.002705,0.002705,0.0023768,0.002427,14339.352748503386,5908262.36032278
1656374400000,2022-06-28 00:00:00,VSY/USD,0.00278,0.002835,0.0026651,0.002699,2983.0264426388853,1105233.95429377
1656288000000,2022-06-27 00:00:00,VSY/USD,0.0030464,0.003128,0.0027353,0.002746,8004.2837663614655,2914888.4801025
1656201600000,2022-06-26 00:00:00,VSY/USD,0.003064,0.0031602,0.0029501,0.0029951,5578.124346051386,1862416.72934172
1656115200000,2022-06-25 00:00:00,VSY/USD,0.00289,0.0031079,0.0028602,0.003071,6395.646899638974,2082594.23628752
1656028800000,2022-06-24 00:00:00,VSY/USD,0.0028402,0.002895,0.002793,0.00289,5683.394295546688,1966572.42060439
1655942400000,2022-06-23 00:00:00,VSY/USD,0.0027129,0.002895,0.0027002,0.0028402,4169.292706913585,1467957.43500936
1655856000000,2022-06-22 00:00:00,VSY/USD,0.0027789,0.002874,0.0026174,0.0027478,3313.3375187738015,1205814.65855368
1655769600000,2022-06-21 00:00:00,VSY/USD,0.0027765,0.0029,0.0027062,0.00278,6861.8528063616695,2468292.37638909
1655683200000,2022-06-20 00:00:00,VSY/USD,0.0027823,0.0029258,0.0026044,0.0027764,2600.48736684104,936640.02551543
1655596800000,2022-06-19 00:00:00,VSY/USD,0.0026501,0.0028256,0.0025279,0.0027351,6465.194655554899,2363787.30414058
1655510400000,2022-06-18 00:00:00,VSY/USD,0.0029727,0.0029984,0.002534,0.0026924,31252.198341487558,11607561.41044702
1655424000000,2022-06-17 00:00:00,VSY/USD,0.00322,0.0035062,0.002901,0.002967,19954.973048992168,6725639.71991647
1655337600000,2022-06-16 00:00:00,VSY/USD,0.0032718,0.0033615,0.0030211,0.0032049,4354.165629850287,1358596.40857758
1655251200000,2022-06-15 00:00:00,VSY/USD,0.0032641,0.0032939,0.003021,0.003272,5038.578960875965,1539907.99537774
1655164800000,2022-06-14 00:00:00,VSY/USD,0.0032601,0.003353,0.0030211,0.0032114,4383.461085419238,1364968.88753168
1655078400000,2022-06-13 00:00:00,VSY/USD,0.0037069,0.0037451,0.00326,0.003327,7620.651392429341,2290547.45789881
1654992000000,2022-06-12 00:00:00,VSY/USD,0.0038548,0.0039283,0.0035717,0.0036782,3957.58720565524,1075957.58948813
1654905600000,2022-06-11 00:00:00,VSY/USD,0.0044361,0.0045368,0.0038048,0.0039067,13288.451974098221,3401451.85811509
1654819200000,2022-06-10 00:00:00,VSY/USD,0.0046621,0.0047408,0.0043179,0.0044362,6840.644015527029,1542005.32336843
1654732800000,2022-06-09 00:00:00,VSY/USD,0.0046224,0.0047199,0.0045001,0.0046621,3465.6386136936276,743364.28083774
1654646400000,2022-06-08 00:00:00,VSY/USD,0.0047858,0.0047858,0.0045001,0.0046225,7717.692959238752,1669592.85218794
1654560000000,2022-06-07 00:00:00,VSY/USD,0.0051023,0.0051769,0.0045036,0.0047859,5506.228255336332,1150510.51115492
1654473600000,2022-06-06 00:00:00,VSY/USD,0.0049,0.0052998,0.0048515,0.0051022,6700.17776925821,1313193.8711258299
1654387200000,2022-06-05 00:00:00,VSY/USD,0.004634,0.0049998,0.0045306,0.0048657,9396.535661631884,1931178.58923318
1654300800000,2022-06-04 00:00:00,VSY/USD,0.004688,0.004814,0.0045352,0.004666,5966.683979775185,1278757.81821157
1654214400000,2022-06-03 00:00:00,VSY/USD,0.00459,0.004791,0.0045004,0.00468,9722.545939675063,2077467.08112715
1654128000000,2022-06-02 00:00:00,VSY/USD,0.0044393,0.0046338,0.0043676,0.0045879,10517.499432959643,2292443.04212377
1654041600000,2022-06-01 00:00:00,VSY/USD,0.0047094,0.0048326,0.0043152,0.0044394,2788.6743434844866,628164.69421194
1653955200000,2022-05-31 00:00:00,VSY/USD,0.0046143,0.0048999,0.0046121,0.0047122,2815.7024099971686,597534.57196154
1653868800000,2022-05-30 00:00:00,VSY/USD,0.0044404,0.0047141,0.0044394,0.0046727,5028.29195027969,1076099.88877516
1653782400000,2022-05-29 00:00:00,VSY/USD,0.0043694,0.0046103,0.0043067,0.0044394,3186.5334020199225,717784.70109022
1653696000000,2022-05-28 00:00:00,VSY/USD,0.0044398,0.0046819,0.0043128,0.0043747,2137.7281556242406,488657.08634289
