https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1656288000000,2022-06-27 00:00:00,XLM/USD,0.12026,0.12418,0.11665,0.11884,323957.5612043334,2725997.65402502
1656201600000,2022-06-26 00:00:00,XLM/USD,0.1268,0.1281,0.11992,0.12037,179238.87857996675,1489066.03455983
1656115200000,2022-06-25 00:00:00,XLM/USD,0.1278,0.13013,0.1225,0.1268,206028.77851667948,1624832.63814416
1656028800000,2022-06-24 00:00:00,XLM/USD,0.11772,0.12997,0.11772,0.1278,632066.9194957409,4945750.54378514
1655942400000,2022-06-23 00:00:00,XLM/USD,0.11287,0.119,0.11263,0.11785,552288.5024953114,4686368.28591694
1655856000000,2022-06-22 00:00:00,XLM/USD,0.11438,0.11618,0.10923,0.11274,511468.85243226273,4536711.48157054
1655769600000,2022-06-21 00:00:00,XLM/USD,0.11283,0.1192,0.1115,0.11389,677263.9797186138,5946650.09850394
1655683200000,2022-06-20 00:00:00,XLM/USD,0.11468,0.11774,0.11006,0.113,699305.4831494512,6188544.09866771
1655596800000,2022-06-19 00:00:00,XLM/USD,0.10787,0.1165,0.10423,0.11462,1342013.4761892282,11708370.93168058
1655510400000,2022-06-18 00:00:00,XLM/USD,0.11143,0.11317,0.10019,0.10771,756838.3636252384,7026630.4300922705
1655424000000,2022-06-17 00:00:00,XLM/USD,0.10924,0.1162,0.10718,0.11155,1042889.8399331709,9349079.69460485
1655337600000,2022-06-16 00:00:00,XLM/USD,0.12138,0.12309,0.10676,0.10911,773086.2650379176,7085384.15395397
1655251200000,2022-06-15 00:00:00,XLM/USD,0.11291,0.12226,0.10396,0.12135,1099007.161132627,9056507.30228782
1655164800000,2022-06-14 00:00:00,XLM/USD,0.10685,0.11539,0.10011,0.11286,816739.5291955676,7236749.32833216
1655078400000,2022-06-13 00:00:00,XLM/USD,0.11906,0.11938,0.10371,0.10699,1772464.6021754316,16566638.02388477
1654992000000,2022-06-12 00:00:00,XLM/USD,0.1255,0.12694,0.11749,0.11885,628365.8577932708,5287049.70797872
1654905600000,2022-06-11 00:00:00,XLM/USD,0.13292,0.1357,0.12256,0.12541,762458.7932321951,6079728.83527785
1654819200000,2022-06-10 00:00:00,XLM/USD,0.13987,0.14123,0.13161,0.13312,597691.2970801564,4489868.51772954
1654732800000,2022-06-09 00:00:00,XLM/USD,0.13988,0.14262,0.13844,0.14004,170142.02219818186,1214953.02912155
1654646400000,2022-06-08 00:00:00,XLM/USD,0.14042,0.14386,0.13621,0.14006,490402.0303509384,3501371.05776766
1654560000000,2022-06-07 00:00:00,XLM/USD,0.14515,0.1454,0.13441,0.14029,884389.3663612407,6304008.59905368
1654473600000,2022-06-06 00:00:00,XLM/USD,0.14359,0.15069,0.14227,0.14496,373550.1545121789,2576918.8363147
1654387200000,2022-06-05 00:00:00,XLM/USD,0.14345,0.14784,0.1411,0.1436,525656.4318688626,3660560.1105074
1654300800000,2022-06-04 00:00:00,XLM/USD,0.14649,0.1477,0.14069,0.14352,837725.1617450198,5836992.48707511
1654214400000,2022-06-03 00:00:00,XLM/USD,0.14321,0.151,0.13972,0.14631,931229.9761913465,6364773.2635592
1654128000000,2022-06-02 00:00:00,XLM/USD,0.13696,0.1441,0.13525,0.14311,486475.697442816,3399313.0979164
1654041600000,2022-06-01 00:00:00,XLM/USD,0.1508,0.15081,0.133,0.13718,871322.8987071925,6351675.89085284
1653955200000,2022-05-31 00:00:00,XLM/USD,0.14352,0.15387,0.14109,0.15066,1225500.5735275357,8134213.28506263
1653868800000,2022-05-30 00:00:00,XLM/USD,0.13116,0.14377,0.13097,0.14361,784752.4359999758,5464469.29879518
1653782400000,2022-05-29 00:00:00,XLM/USD,0.12282,0.13148,0.1217,0.13108,526184.9164284721,4014227.31483424
1653696000000,2022-05-28 00:00:00,XLM/USD,0.12037,0.12377,0.11945,0.12275,244280.30547260775,1990063.58837155
1653609600000,2022-05-27 00:00:00,XLM/USD,0.12416,0.12479,0.11851,0.12039,337283.8718350232,2801593.75226367
1653523200000,2022-05-26 00:00:00,XLM/USD,0.13222,0.13379,0.1206,0.12445,374502.77566769446,3009262.96237601
1653436800000,2022-05-25 00:00:00,XLM/USD,0.13298,0.13455,0.12833,0.13208,290505.839749751,2199468.80488909
1653350400000,2022-05-24 00:00:00,XLM/USD,0.12856,0.13321,0.12436,0.13297,344578.41069794237,2591399.64426519
1653264000000,2022-05-23 00:00:00,XLM/USD,0.13543,0.13835,0.12798,0.12876,443843.55928260705,3447060.88290313
1653177600000,2022-05-22 00:00:00,XLM/USD,0.13064,0.13675,0.12998,0.13553,433153.43152866175,3195996.69098105
1653091200000,2022-05-21 00:00:00,XLM/USD,0.12651,0.13119,0.12347,0.13059,630178.7464344674,4825627.89213927
1653004800000,2022-05-20 00:00:00,XLM/USD,0.13068,0.13414,0.12448,0.12641,478924.4418744187,3788659.45632797
1652918400000,2022-05-19 00:00:00,XLM/USD,0.1276,0.13386,0.12296,0.1306,723737.4491319337,5541634.37313885
1652832000000,2022-05-18 00:00:00,XLM/USD,0.1419,0.14326,0.12758,0.12774,692359.9066593419,5420071.29058511
1652745600000,2022-05-17 00:00:00,XLM/USD,0.13638,0.1423,0.13351,0.1418,479108.04240470694,3378759.11427861
1652659200000,2022-05-16 00:00:00,XLM/USD,0.1452,0.1452,0.13376,0.13641,1304113.7700775536,9560250.49540029
1652572800000,2022-05-15 00:00:00,XLM/USD,0.13834,0.14514,0.13426,0.14495,597924.0867707089,4125036.8180111
1652486400000,2022-05-14 00:00:00,XLM/USD,0.13237,0.14021,0.12736,0.13827,1069301.5205910844,7733431.11731456
1652400000000,2022-05-13 00:00:00,XLM/USD,0.12077,0.14,0.11991,0.13223,1034432.0281217175,7822975.33178339
1652313600000,2022-05-12 00:00:00,XLM/USD,0.12662,0.13091,0.10479,0.12057,1590262.4525346947,13189536.80463378
1652227200000,2022-05-11 00:00:00,XLM/USD,0.14849,0.15116,0.11743,0.12595,2307649.454962607,18321948.82860347
1652140800000,2022-05-10 00:00:00,XLM/USD,0.14083,0.15644,0.13642,0.14865,1211162.1860094725,8147744.27184307
1652054400000,2022-05-09 00:00:00,XLM/USD,0.16193,0.16518,0.13972,0.14021,1150493.9114217514,8205505.39492013
1651968000000,2022-05-08 00:00:00,XLM/USD,0.16762,0.16822,0.15948,0.16189,651463.5808442411,4024112.55077053
1651881600000,2022-05-07 00:00:00,XLM/USD,0.17161,0.17362,0.16463,0.16752,827264.710705812,4938304.14700222
1651795200000,2022-05-06 00:00:00,XLM/USD,0.17111,0.17305,0.16474,0.17167,482068.47969552665,2808111.37470453
1651708800000,2022-05-05 00:00:00,XLM/USD,0.18477,0.18757,0.16717,0.1712,1007315.4698018063,5883852.04323485
1651622400000,2022-05-04 00:00:00,XLM/USD,0.17215,0.18491,0.17159,0.18465,580401.1956822731,3143250.45048618
1651536000000,2022-05-03 00:00:00,XLM/USD,0.17368,0.17732,0.16963,0.17224,266978.57599282294,1550038.17924305
1651449600000,2022-05-02 00:00:00,XLM/USD,0.1757,0.17775,0.17064,0.17356,488952.41870348935,2817195.31403255
1651363200000,2022-05-01 00:00:00,XLM/USD,0.16908,0.17668,0.1686,0.17565,249061.88748519614,1417944.13598176
1651276800000,2022-04-30 00:00:00,XLM/USD,0.17804,0.18157,0.16695,0.16891,540522.2243334814,3200060.53125026
1651190400000,2022-04-29 00:00:00,XLM/USD,0.1859,0.18784,0.17634,0.17791,413838.5695217809,2326111.90782857
1651104000000,2022-04-28 00:00:00,XLM/USD,0.18439,0.18869,0.18274,0.18584,919766.6895437718,4949239.61226739
1651017600000,2022-04-27 00:00:00,XLM/USD,0.1804,0.18683,0.17981,0.18452,849633.3482332161,4604559.65875361
1650931200000,2022-04-26 00:00:00,XLM/USD,0.19228,0.19278,0.1777,0.18045,289236.2169226845,1602860.71999271
1650844800000,2022-04-25 00:00:00,XLM/USD,0.18973,0.1936,0.17892,0.19232,987296.664069169,5133614.10185716
1650758400000,2022-04-24 00:00:00,XLM/USD,0.19159,0.194,0.18921,0.18971,374147.62101447955,1972208.21788245
1650672000000,2022-04-23 00:00:00,XLM/USD,0.1955,0.1975,0.19103,0.1914,157406.93799288134,822397.79515612
1650585600000,2022-04-22 00:00:00,XLM/USD,0.1965,0.19817,0.19412,0.1953,611113.5327152774,3129101.55000142
1650499200000,2022-04-21 00:00:00,XLM/USD,0.20025,0.20425,0.19366,0.19647,870883.0913099808,4432651.76011595
1650412800000,2022-04-20 00:00:00,XLM/USD,0.20402,0.20772,0.1995,0.20015,509578.31644689536,2545982.09566273
1650326400000,2022-04-19 00:00:00,XLM/USD,0.20532,0.20608,0.20032,0.20404,709473.1295420234,3477127.66880035
1650240000000,2022-04-18 00:00:00,XLM/USD,0.19656,0.20631,0.18993,0.20521,1035691.4252970726,5046983.21376674
1650153600000,2022-04-17 00:00:00,XLM/USD,0.20557,0.20691,0.19625,0.19679,138369.4488494177,703132.52121255
