https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1658188800000,2022-07-19 00:00:00,UTK/USD,0.13679,0.14475,0.13305,0.14112,2468.8026714764446,17494.34999629
1658102400000,2022-07-18 00:00:00,UTK/USD,0.12464,0.14181,0.12464,0.13726,5597.7072477971915,40781.78091066
1658016000000,2022-07-17 00:00:00,UTK/USD,0.132,0.14018,0.12443,0.12443,2917.2692428313167,23445.0634319
1657929600000,2022-07-16 00:00:00,UTK/USD,0.12166,0.13621,0.11854,0.13218,4429.073380346493,33507.89363252
1657843200000,2022-07-15 00:00:00,UTK/USD,0.12183,0.12521,0.12053,0.12195,1150.8115434182641,9436.74902352
1657756800000,2022-07-14 00:00:00,UTK/USD,0.11835,0.12439,0.11695,0.12165,1798.6823210738714,14785.71575071
1657670400000,2022-07-13 00:00:00,UTK/USD,0.11301,0.11881,0.10889,0.11854,2166.738151481529,18278.54016772
1657584000000,2022-07-12 00:00:00,UTK/USD,0.11792,0.11978,0.11278,0.11301,1902.4546492512357,16834.39208257
1657497600000,2022-07-11 00:00:00,UTK/USD,0.12462,0.12519,0.11736,0.11743,7331.704628364655,62434.68132815
1657411200000,2022-07-10 00:00:00,UTK/USD,0.13207,0.13207,0.12461,0.12496,3172.4670321875874,25387.86037282
1657324800000,2022-07-09 00:00:00,UTK/USD,0.12417,0.13662,0.12417,0.13212,2571.8559038464496,19466.06042875
1657238400000,2022-07-08 00:00:00,UTK/USD,0.12697,0.12928,0.12256,0.12408,1691.6567604325223,13633.59736003
1657152000000,2022-07-07 00:00:00,UTK/USD,0.11974,0.13015,0.11943,0.12685,4973.48377599934,39207.59776113
1657065600000,2022-07-06 00:00:00,UTK/USD,0.11861,0.1219,0.11748,0.1196,1263.200010497412,10561.87299747
1656979200000,2022-07-05 00:00:00,UTK/USD,0.12156,0.12299,0.11506,0.1185,1770.603521081895,14941.80186567
1656892800000,2022-07-04 00:00:00,UTK/USD,0.11683,0.12223,0.11513,0.12166,1450.960233047787,11926.35404445
1656806400000,2022-07-03 00:00:00,UTK/USD,0.11307,0.12478,0.11144,0.11751,6056.773473976381,51542.62168306
1656720000000,2022-07-02 00:00:00,UTK/USD,0.11318,0.11473,0.11058,0.11311,1218.4666365554824,10772.40417784
1656633600000,2022-07-01 00:00:00,UTK/USD,0.11289,0.12273,0.10959,0.11343,3431.207368596302,30249.55804105
1656547200000,2022-06-30 00:00:00,UTK/USD,0.11557,0.13691,0.10579,0.11315,1930.840130401606,17064.42890324
1656460800000,2022-06-29 00:00:00,UTK/USD,0.12096,0.12342,0.11341,0.11561,2943.6416534829427,25461.82556425
1656374400000,2022-06-28 00:00:00,UTK/USD,0.12287,0.12858,0.11944,0.12097,2575.487727105766,21290.30112512
1656288000000,2022-06-27 00:00:00,UTK/USD,0.11942,0.12672,0.1192,0.12268,2325.257563952287,18953.84385354
1656201600000,2022-06-26 00:00:00,UTK/USD,0.12803,0.12923,0.11914,0.11914,1532.740620916225,12865.03794625
1656115200000,2022-06-25 00:00:00,UTK/USD,0.12697,0.13562,0.11308,0.12801,1996.7996006718572,15598.7782257
1656028800000,2022-06-24 00:00:00,UTK/USD,0.12547,0.13161,0.12417,0.12687,2093.5918388048835,16501.86678336
1655942400000,2022-06-23 00:00:00,UTK/USD,0.1183,0.12611,0.1183,0.12611,1291.068089381516,10237.63452051
1655856000000,2022-06-22 00:00:00,UTK/USD,0.1187,0.14502,0.11484,0.11871,1780.417223246682,14998.0391142
1655769600000,2022-06-21 00:00:00,UTK/USD,0.12194,0.13913,0.11894,0.13186,1910.6164216257043,14489.73473097
1655683200000,2022-06-20 00:00:00,UTK/USD,0.11655,0.12587,0.11237,0.12272,8118.308259536675,66153.09859466
1655596800000,2022-06-19 00:00:00,UTK/USD,0.10709,0.11894,0.10181,0.1165,2024.3702967342203,17376.56907068
1655510400000,2022-06-18 00:00:00,UTK/USD,0.11966,0.12277,0.101,0.10731,2298.5213838901377,21419.45190467
1655424000000,2022-06-17 00:00:00,UTK/USD,0.11676,0.12708,0.10482,0.11979,2843.979675397225,23741.37803988
1655337600000,2022-06-16 00:00:00,UTK/USD,0.13392,0.1376,0.11517,0.11638,4518.66506807485,38826.8179075
1655251200000,2022-06-15 00:00:00,UTK/USD,0.11879,0.13504,0.10664,0.1344,6087.1423786024325,45291.237936030004
1655164800000,2022-06-14 00:00:00,UTK/USD,0.11375,0.12551,0.11,0.11986,8410.947383263047,70173.0968068
1655078400000,2022-06-13 00:00:00,UTK/USD,0.12853,0.13195,0.10954,0.11399,13008.951756603377,114123.62274413
1654992000000,2022-06-12 00:00:00,UTK/USD,0.15718,0.15787,0.12914,0.13017,31140.50805725102,239229.53105363
1654905600000,2022-06-11 00:00:00,UTK/USD,0.18342,0.18425,0.15624,0.15718,17201.491649192933,109438.17056364
1654819200000,2022-06-10 00:00:00,UTK/USD,0.19333,0.19861,0.17589,0.18342,24372.70920336204,132879.234562
1654732800000,2022-06-09 00:00:00,UTK/USD,0.1837,0.19425,0.17883,0.19333,20748.578254608492,107322.08273216
1654646400000,2022-06-08 00:00:00,UTK/USD,0.18846,0.19752,0.18315,0.1837,15097.604865834799,82186.19959627
1654560000000,2022-06-07 00:00:00,UTK/USD,0.18636,0.19861,0.17615,0.18853,21805.88016658351,115662.65404224
1654473600000,2022-06-06 00:00:00,UTK/USD,0.19969,0.20775,0.18342,0.18694,22973.82384113704,122894.10421064
1654387200000,2022-06-05 00:00:00,UTK/USD,0.19157,0.21883,0.19147,0.19951,22755.484777183625,114056.86320076
1654300800000,2022-06-04 00:00:00,UTK/USD,0.18875,0.19173,0.18383,0.19149,7667.005596088429,40038.67353955
1654214400000,2022-06-03 00:00:00,UTK/USD,0.18153,0.19537,0.17775,0.1887,27300.679207867583,144677.68525632
1654128000000,2022-06-02 00:00:00,UTK/USD,0.16542,0.1848,0.16417,0.18153,18031.665231508567,99331.59935828
1654041600000,2022-06-01 00:00:00,UTK/USD,0.18538,0.18678,0.16542,0.16592,9189.143435563927,55382.97634742
1653955200000,2022-05-31 00:00:00,UTK/USD,0.18509,0.20026,0.1818,0.18538,30218.489796353882,163008.36010548
1653868800000,2022-05-30 00:00:00,UTK/USD,0.15996,0.19439,0.15961,0.18482,40974.12955935146,221697.48706499
1653782400000,2022-05-29 00:00:00,UTK/USD,0.15532,0.16019,0.1521,0.16019,6660.929952409783,41581.43424939
1653696000000,2022-05-28 00:00:00,UTK/USD,0.14931,0.15648,0.14718,0.15533,8070.992798331124,51960.29613295
1653609600000,2022-05-27 00:00:00,UTK/USD,0.1579,0.15817,0.14761,0.14923,9821.374054634955,65813.67053967
1653523200000,2022-05-26 00:00:00,UTK/USD,0.15394,0.16717,0.14651,0.1579,47772.41624995105,302548.55129798
1653436800000,2022-05-25 00:00:00,UTK/USD,0.1627,0.16319,0.15279,0.15394,8241.97269185824,53540.16299765
1653350400000,2022-05-24 00:00:00,UTK/USD,0.15722,0.16927,0.15722,0.1627,19260.739048144653,118381.92408201999
1653264000000,2022-05-23 00:00:00,UTK/USD,0.14819,0.16878,0.14771,0.15741,21794.368787677697,138456.06243363
1653177600000,2022-05-22 00:00:00,UTK/USD,0.14753,0.14996,0.14313,0.14829,2107.4850123744086,14211.91592403
1653091200000,2022-05-21 00:00:00,UTK/USD,0.13544,0.16699,0.13334,0.14727,7872.4887465261,53456.160429999996
1653004800000,2022-05-20 00:00:00,UTK/USD,0.14157,0.1651,0.12658,0.13568,1030.0283420318463,7591.60039823
1652918400000,2022-05-19 00:00:00,UTK/USD,0.12758,0.14507,0.12374,0.14223,3991.5798089202785,28064.260767210002
1652832000000,2022-05-18 00:00:00,UTK/USD,0.14318,0.14519,0.12591,0.12711,1808.0945854247898,14224.64468118
1652745600000,2022-05-17 00:00:00,UTK/USD,0.13795,0.1651,0.10598,0.14292,5456.435172553242,38178.247778850004
1652659200000,2022-05-16 00:00:00,UTK/USD,0.13691,0.14256,0.12544,0.13802,15168.706020600399,109902.2317099
1652572800000,2022-05-15 00:00:00,UTK/USD,0.12264,0.13711,0.11865,0.13711,9179.613437979573,66950.72159565
1652486400000,2022-05-14 00:00:00,UTK/USD,0.12525,0.13675,0.11106,0.12295,5423.640564167891,44112.57067237
1652400000000,2022-05-13 00:00:00,UTK/USD,0.098496,0.16842,0.0958,0.12507,5483.001606453923,43839.46275249
1652313600000,2022-05-12 00:00:00,UTK/USD,0.11029,0.19474,0.093183,0.098502,5940.144221131383,60304.80823873
1652227200000,2022-05-11 00:00:00,UTK/USD,0.15806,0.16243,0.10632,0.10893,7771.009465875903,71339.47916897
1652140800000,2022-05-10 00:00:00,UTK/USD,0.15253,0.19193,0.14622,0.15734,9329.38757750761,59294.44246541
