https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume VEE
1659484800000,2022-08-03 00:00:00,VEE/USD,0.001745,0.00181,0.0015654,0.0015654,865.7715254540215,553067.28341256
1659398400000,2022-08-02 00:00:00,VEE/USD,0.00175,0.00175,0.00175,0.00175,40.25,23000.0
1659312000000,2022-08-01 00:00:00,VEE/USD,0.0016764,0.00177,0.0015538,0.00177,158.90919711469112,89779.20740943
1659225600000,2022-07-31 00:00:00,VEE/USD,0.001784,0.001784,0.0015538,0.0017798,975.1164639802762,547879.797719
1659139200000,2022-07-30 00:00:00,VEE/USD,0.0017859,0.0017859,0.0017859,0.0017859,8.929499999999999,5000.0
1659052800000,2022-07-29 00:00:00,VEE/USD,0.0015618,0.0017871,0.0015601,0.0016773,3515.6446843591093,2096014.23976576
1658966400000,2022-07-28 00:00:00,VEE/USD,0.0015602,0.0015618,0.0015539,0.0015539,2558.5324207921612,1646523.21307173
1658880000000,2022-07-27 00:00:00,VEE/USD,0.0015602,0.0015602,0.0015602,0.0015602,2504.121,1605000.0
1658793600000,2022-07-26 00:00:00,VEE/USD,0.0015586,0.0015602,0.0015538,0.0015602,1347.8242939039026,863879.17824888
1658707200000,2022-07-25 00:00:00,VEE/USD,0.0015586,0.0015586,0.0015586,0.0015586,327.0742033188517,209851.27891624
1658620800000,2022-07-24 00:00:00,VEE/USD,0.001938,0.001938,0.001557,0.0015586,5416.980691993926,3475542.59719872
1658534400000,2022-07-23 00:00:00,VEE/USD,0.0017004,0.00194,0.00167,0.00194,911.295074036609,469739.72888485
1658448000000,2022-07-22 00:00:00,VEE/USD,0.0018497,0.00185,0.0018497,0.00185,83.2939487383985,45023.75607481
1658361600000,2022-07-21 00:00:00,VEE/USD,0.0018497,0.0018497,0.0018497,0.0018497,2.330622,1260.0
1658275200000,2022-07-20 00:00:00,VEE/USD,0.001562,0.00185,0.001562,0.0018497,1654.3112362749837,894367.32241714
1658188800000,2022-07-19 00:00:00,VEE/USD,0.0015604,0.001562,0.0015604,0.001562,3006.4587212309107,1924749.50142824
1658102400000,2022-07-18 00:00:00,VEE/USD,0.0015604,0.0015604,0.0015604,0.0015604,936.24,600000.0
1658016000000,2022-07-17 00:00:00,VEE/USD,0.00143,0.00185,0.00143,0.0015604,26262.300663156075,16830492.606483
1657929600000,2022-07-16 00:00:00,VEE/USD,0.0014663,0.00169,0.00142,0.00142,160778.23717505223,113224110.68665649
1657843200000,2022-07-15 00:00:00,VEE/USD,0.00194,0.0020881,0.00194,0.0020881,77.39067830432391,37062.72606883
1657756800000,2022-07-14 00:00:00,VEE/USD,0.00194,0.00194,0.00194,0.00194,9.700000000000001,5000.0
1657670400000,2022-07-13 00:00:00,VEE/USD,0.00195,0.0021,0.0014,0.0020881,766.9760442616542,367308.10031208
1657584000000,2022-07-12 00:00:00,VEE/USD,0.00195,0.00195,0.00195,0.00195,9.75,5000.0
1657497600000,2022-07-11 00:00:00,VEE/USD,0.00195,0.00195,0.0014,0.0014,127.332595349974,90951.85382141
1657411200000,2022-07-10 00:00:00,VEE/USD,0.00195,0.00195,0.00195,0.00195,4.875,2500.0
1657238400000,2022-07-08 00:00:00,VEE/USD,0.0023001,0.0023001,0.0023001,0.0023001,4.600199999999999,2000.0
1657152000000,2022-07-07 00:00:00,VEE/USD,0.0017287,0.00234,0.0017287,0.00234,486.168425627859,207764.28445635
1657065600000,2022-07-06 00:00:00,VEE/USD,0.0014,0.0014,0.0013652,0.0013652,24.241570861594,17756.790845
1656979200000,2022-07-05 00:00:00,VEE/USD,0.001887,0.001887,0.001887,0.001887,100.011,53000.0
1656892800000,2022-07-04 00:00:00,VEE/USD,0.00165,0.001902,0.00165,0.001902,606.395114208191,318819.72355846
1656806400000,2022-07-03 00:00:00,VEE/USD,0.0011882,0.0011882,0.0011882,0.0011882,1.54466,1300.0
1656633600000,2022-07-01 00:00:00,VEE/USD,0.0011,0.0011878,0.0010759,0.001161,150.29304613699497,129451.374795
1656547200000,2022-06-30 00:00:00,VEE/USD,0.00168,0.00168,0.0016627,0.00168,16.815944473440002,10009.490758
1656460800000,2022-06-29 00:00:00,VEE/USD,0.001345,0.0016,0.0010065,0.0016,428.06627336099206,267541.42085062
1656374400000,2022-06-28 00:00:00,VEE/USD,0.0012102,0.0013465,0.00117,0.0012361,239.87038950042248,194054.19424029
1656288000000,2022-06-27 00:00:00,VEE/USD,0.0012102,0.0012102,0.0012102,0.0012102,39.58885398965374,32712.65409821
1656201600000,2022-06-26 00:00:00,VEE/USD,0.0013701,0.0013701,0.0013701,0.0013701,34.2525,25000.0
1656115200000,2022-06-25 00:00:00,VEE/USD,0.00135,0.00135,0.00135,0.00135,25.265815475148003,18715.41887048
1656028800000,2022-06-24 00:00:00,VEE/USD,0.00128,0.00135,0.0012101,0.00135,350.43237449777706,259579.53666502002
1655942400000,2022-06-23 00:00:00,VEE/USD,0.00127,0.00135,0.00122,0.00128,350.3581174883969,273717.27928781003
1655856000000,2022-06-22 00:00:00,VEE/USD,0.00122,0.00122,0.00122,0.00122,1.976753811895,1620.29000975
1655769600000,2022-06-21 00:00:00,VEE/USD,0.00127,0.00127,0.00127,0.00127,3.4290000000000003,2700.0
1655683200000,2022-06-20 00:00:00,VEE/USD,0.0011899,0.00127,0.0011,0.00122,463.22360437049616,379691.47899221
1655596800000,2022-06-19 00:00:00,VEE/USD,0.00119,0.00119,0.0010001,0.0011897,150.12725554662057,126189.169998
1655510400000,2022-06-18 00:00:00,VEE/USD,0.0013,0.0013,0.00115,0.00119,355.1836466509891,298473.65264789
1655251200000,2022-06-15 00:00:00,VEE/USD,0.00117,0.0017,0.00098572,0.0011,817.8350520211411,743486.41092831
1655164800000,2022-06-14 00:00:00,VEE/USD,0.0013,0.00178,0.0012,0.0012,99.6654378096,83054.531508
1655078400000,2022-06-13 00:00:00,VEE/USD,0.00145,0.00178,0.00121,0.00178,1422.3708285032583,799084.73511419
1654992000000,2022-06-12 00:00:00,VEE/USD,0.001698,0.0018083,0.0014001,0.00145,116.6551031386,80451.795268
1654646400000,2022-06-08 00:00:00,VEE/USD,0.0014022,0.0014022,0.0014022,0.0014022,14.007978,9990.0
1654560000000,2022-06-07 00:00:00,VEE/USD,0.0017,0.0017,0.0017,0.0017,1.3912155921,818.362113
1654387200000,2022-06-05 00:00:00,VEE/USD,0.0017,0.0017,0.0017,0.0017,2.21,1300.0
1654214400000,2022-06-03 00:00:00,VEE/USD,0.001763,0.001763,0.0014,0.0014,120.299449914,85928.17851
1653955200000,2022-05-31 00:00:00,VEE/USD,0.001733,0.001763,0.001733,0.001763,17.63,10000.0
1653868800000,2022-05-30 00:00:00,VEE/USD,0.0017,0.001763,0.0017,0.001763,19.393,11000.0
1653782400000,2022-05-29 00:00:00,VEE/USD,0.00179,0.00179,0.0013433,0.001773,18.910818,10666.0
1653696000000,2022-05-28 00:00:00,VEE/USD,0.0018,0.0018107,0.001333,0.00179,319.38374682569696,178426.67420429998
1653609600000,2022-05-27 00:00:00,VEE/USD,0.001523,0.001523,0.0013286,0.0013286,449.9615689636131,338673.46753245
1653523200000,2022-05-26 00:00:00,VEE/USD,0.001598,0.0019937,0.0015231,0.0015231,600.266121639365,394108.14893268
1653436800000,2022-05-25 00:00:00,VEE/USD,0.0019235,0.0019235,0.0019235,0.0019235,0.8764444498683901,455.65087074
1653350400000,2022-05-24 00:00:00,VEE/USD,0.0017028,0.0017028,0.0017027,0.0017027,108.89889523957959,63956.595548
1653264000000,2022-05-23 00:00:00,VEE/USD,0.0017031,0.0017031,0.0017031,0.0017031,0.5518044,324.0
1653177600000,2022-05-22 00:00:00,VEE/USD,0.001598,0.0020202,0.001598,0.0019347,79.59775214831397,41142.16785461
1653091200000,2022-05-21 00:00:00,VEE/USD,0.0019201,0.00227,0.001598,0.001844,604.6281963733041,327889.47742586996
