https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LEO
1650153600000,2022-04-17 00:00:00,LEO/USD,5.8526,5.896,5.7507,5.8959,157358.89003987663,26689.54528399
1650067200000,2022-04-16 00:00:00,LEO/USD,5.8036,5.9093,5.7626,5.8604,164475.2689031008,28065.53629498
1649980800000,2022-04-15 00:00:00,LEO/USD,5.7755,5.9544,5.7502,5.8038,308712.5873069522,53191.45858006
1649894400000,2022-04-14 00:00:00,LEO/USD,5.7116,5.834,5.6579,5.7525,189613.7305583713,32961.96967551
1649808000000,2022-04-13 00:00:00,LEO/USD,5.7001,5.8339,5.65,5.7116,393234.9097077712,68848.46797881
1649721600000,2022-04-12 00:00:00,LEO/USD,5.5695,6.0,5.5,5.711,484111.5170224261,84768.25722683
1649635200000,2022-04-11 00:00:00,LEO/USD,5.9849,6.0218,5.5611,5.5691,334473.0974299354,60058.73434306
1649548800000,2022-04-10 00:00:00,LEO/USD,5.8799,6.018,5.8386,5.985,149827.59511687487,25033.85047901
1649462400000,2022-04-09 00:00:00,LEO/USD,5.8798,5.88,5.8225,5.8799,96796.85642752756,16462.33038445
1649376000000,2022-04-08 00:00:00,LEO/USD,5.8647,5.9902,5.75,5.8799,284404.0430579143,48368.85713327
1649289600000,2022-04-07 00:00:00,LEO/USD,5.8444,5.9062,5.7935,5.8648,125476.03644998044,21394.76818476
1649203200000,2022-04-06 00:00:00,LEO/USD,5.7502,6.1333,5.7502,5.8226,216419.39150977612,37168.85781434
1649116800000,2022-04-05 00:00:00,LEO/USD,6.0579,6.13,5.7502,5.7502,152329.97231626775,26491.24766378
1649030400000,2022-04-04 00:00:00,LEO/USD,6.0279,6.0946,5.9078,6.0201,243537.63072153513,40454.08393906
1648944000000,2022-04-03 00:00:00,LEO/USD,6.1057,6.1502,5.9156,6.0109,119010.72505675067,19799.15238263
1648857600000,2022-04-02 00:00:00,LEO/USD,6.0102,6.1185,5.9156,6.1057,100572.29692221673,16471.87004311
1648771200000,2022-04-01 00:00:00,LEO/USD,5.834,6.0911,5.75,6.0102,193967.77881260708,32273.09886736
1648684800000,2022-03-31 00:00:00,LEO/USD,6.0877,6.1495,5.7901,5.834,182850.04025113475,31342.13922714
1648598400000,2022-03-30 00:00:00,LEO/USD,5.9997,6.2148,5.8888,6.0877,208673.47955410442,34277.88484224
1648512000000,2022-03-29 00:00:00,LEO/USD,6.1529,6.2403,5.9503,5.9997,152755.14717017452,25460.46421824
1648425600000,2022-03-28 00:00:00,LEO/USD,6.1508,6.25,5.997,6.1415,307277.7052133138,50033.00581508
1648339200000,2022-03-27 00:00:00,LEO/USD,5.7862,6.1555,5.7611,6.1368,171020.15849108886,27867.97003179
1648252800000,2022-03-26 00:00:00,LEO/USD,5.9358,5.9902,5.762,5.7949,151075.61054182297,26070.44306922
1648166400000,2022-03-25 00:00:00,LEO/USD,6.0222,6.0499,5.75,5.9358,258818.2203010355,43602.92130817
1648080000000,2022-03-24 00:00:00,LEO/USD,6.0468,6.1509,5.92,6.0183,229895.36332687072,38199.38576124
1647993600000,2022-03-23 00:00:00,LEO/USD,6.1887,6.2405,5.9586,6.0468,141872.9629339793,23462.48642819
1647907200000,2022-03-22 00:00:00,LEO/USD,6.1941,6.25,6.007,6.1887,242888.82040948706,39247.1472861
1647820800000,2022-03-21 00:00:00,LEO/USD,6.0637,6.2163,6.0421,6.1969,133161.92581403998,21488.47420711
1647734400000,2022-03-20 00:00:00,LEO/USD,6.0554,6.1065,5.9597,6.0638,108928.59659467962,17963.75154106
1647648000000,2022-03-19 00:00:00,LEO/USD,6.0889,6.247,6.0031,6.054,159820.15539521625,26399.10065993
1647561600000,2022-03-18 00:00:00,LEO/USD,6.2395,6.25,5.9814,6.0844,335875.4579292137,55202.7246613
1647475200000,2022-03-17 00:00:00,LEO/USD,5.9995,6.2427,5.9995,6.2395,122867.42473996973,19691.8703005
1647388800000,2022-03-16 00:00:00,LEO/USD,5.905,6.25,5.75,6.0499,523463.58846394916,86524.33733846
