https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MNA
1655856000000,2022-06-22 00:00:00,MNA/USD,0.83,0.88753,0.79709,0.83289,50290.96859652094,60381.28515953
1655769600000,2022-06-21 00:00:00,MNA/USD,0.8321,0.90312,0.81414,0.85049,20803.860951312286,24461.02946691
1655683200000,2022-06-20 00:00:00,MNA/USD,0.82779,0.84828,0.79018,0.82994,21027.278223492915,25335.90165975
1655596800000,2022-06-19 00:00:00,MNA/USD,0.77879,0.83654,0.74831,0.82648,23021.51625627782,27854.89819025
1655510400000,2022-06-18 00:00:00,MNA/USD,0.83788,0.8537,0.727,0.7785,32433.789339751587,41661.90024374
1655424000000,2022-06-17 00:00:00,MNA/USD,0.80981,0.87485,0.80562,0.83738,69329.84049400878,82793.76208413
1655337600000,2022-06-16 00:00:00,MNA/USD,0.92086,0.9364,0.799,0.81001,65943.52182736102,81410.75027143
1655251200000,2022-06-15 00:00:00,MNA/USD,0.81809,0.92606,0.75643,0.92128,104096.91460488328,112991.61449818
1655164800000,2022-06-14 00:00:00,MNA/USD,0.82539,0.877,0.76547,0.82005,237420.21677568843,289519.19611693
1655078400000,2022-06-13 00:00:00,MNA/USD,0.79482,0.9124,0.74536,0.82194,528216.4235673166,642645.96389921
1654992000000,2022-06-12 00:00:00,MNA/USD,0.81808,0.88285,0.75753,0.79467,83681.09971497035,105302.9555853
1654905600000,2022-06-11 00:00:00,MNA/USD,0.88934,0.91625,0.79944,0.8139,89039.92250427649,109399.09387428
1654819200000,2022-06-10 00:00:00,MNA/USD,0.9719,0.98107,0.88496,0.88986,119495.49730420118,134285.72731014
1654732800000,2022-06-09 00:00:00,MNA/USD,0.98087,1.0047,0.96704,0.97366,97412.79367973833,100048.05956878
1654646400000,2022-06-08 00:00:00,MNA/USD,1.0241,1.037,0.9734,0.97936,8942.688549943801,9131.15560156
1654560000000,2022-06-07 00:00:00,MNA/USD,1.0133,1.0278,0.93941,1.0236,56241.58322203945,54944.88396057
1654473600000,2022-06-06 00:00:00,MNA/USD,0.97592,1.0619,0.97592,1.0169,11639.027571412727,11445.59698241
1654387200000,2022-06-05 00:00:00,MNA/USD,0.9819,0.99463,0.95836,0.97787,12529.029194810435,12812.571399890001
1654300800000,2022-06-04 00:00:00,MNA/USD,0.98108,0.99169,0.94773,0.98267,20946.606724507383,21316.01323385
1654214400000,2022-06-03 00:00:00,MNA/USD,1.0394,1.0398,0.96076,0.9795,16816.426447517086,17168.37820063
1654128000000,2022-06-02 00:00:00,MNA/USD,0.98138,1.0389,0.96121,1.0385,26062.078328728123,25095.886691120002
1654041600000,2022-06-01 00:00:00,MNA/USD,1.0906,1.0909,0.97309,0.98314,140525.1645372434,142935.04947133
1653955200000,2022-05-31 00:00:00,MNA/USD,1.0844,1.1254,1.0458,1.0886,72721.58613992583,66802.85333449
1653868800000,2022-05-30 00:00:00,MNA/USD,0.97193,1.0998,0.95986,1.0855,70687.09626579289,65119.38854518
1653782400000,2022-05-29 00:00:00,MNA/USD,0.95393,0.97512,0.91735,0.97512,70555.20593684178,72355.40850033
1653696000000,2022-05-28 00:00:00,MNA/USD,0.92924,0.96815,0.92272,0.95587,63857.59177145586,66805.7285734
1653609600000,2022-05-27 00:00:00,MNA/USD,0.99612,1.0125,0.90437,0.92711,91945.35619188262,99174.16077044
1653523200000,2022-05-26 00:00:00,MNA/USD,1.0563,1.1084,0.93836,0.98868,133045.7493742266,134569.0712609
1653436800000,2022-05-25 00:00:00,MNA/USD,1.0391,1.0739,1.0009,1.0554,84630.18678959321,80187.7835793
1653350400000,2022-05-24 00:00:00,MNA/USD,1.0316,1.0553,0.97034,1.0408,99759.81535338085,95849.16924806
1653264000000,2022-05-23 00:00:00,MNA/USD,1.0995,1.161,1.0211,1.0299,140891.02326974858,136800.68285246
1653177600000,2022-05-22 00:00:00,MNA/USD,1.0931,1.1272,1.073,1.1016,110595.61959469755,100395.44262409
1653091200000,2022-05-21 00:00:00,MNA/USD,1.0668,1.1147,1.0397,1.0951,28826.872774198357,26323.50723605
1653004800000,2022-05-20 00:00:00,MNA/USD,1.1191,1.1504,1.0225,1.0655,142201.0943913061,133459.49731704
1652918400000,2022-05-19 00:00:00,MNA/USD,1.0354,1.1659,0.97774,1.1192,440122.00020101166,393246.9622954
1652832000000,2022-05-18 00:00:00,MNA/USD,1.2193,1.233,1.0328,1.0328,122001.46394359256,118126.90157203
1652745600000,2022-05-17 00:00:00,MNA/USD,1.1771,1.2474,1.1448,1.2173,150640.24771591247,123749.48469228
1652659200000,2022-05-16 00:00:00,MNA/USD,1.3283,1.3283,1.1591,1.1673,267359.93808209134,229041.32449421
1652572800000,2022-05-15 00:00:00,MNA/USD,1.3377,1.3554,1.1942,1.3359,876470.9617810234,656090.24760912
1652486400000,2022-05-14 00:00:00,MNA/USD,1.0252,1.3429,1.01,1.3396,1188747.5368898707,887389.9200432
1652400000000,2022-05-13 00:00:00,MNA/USD,0.71349,1.175,0.70298,1.0244,1153114.2456058245,1125648.42405879
1652313600000,2022-05-12 00:00:00,MNA/USD,0.77566,0.83533,0.628,0.70874,548570.2450346109,774007.7391351
1652227200000,2022-05-11 00:00:00,MNA/USD,1.1143,1.1522,0.75179,0.76853,543709.5138855176,707466.87037008
1652140800000,2022-05-10 00:00:00,MNA/USD,1.0682,1.2242,1.027,1.1133,272661.5129725907,244912.88329524
1652054400000,2022-05-09 00:00:00,MNA/USD,1.3341,1.3578,1.0559,1.0559,213444.90431511126,202144.99887784
1651968000000,2022-05-08 00:00:00,MNA/USD,1.3741,1.389,1.3162,1.3293,75314.31962873955,56657.12753234
