https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRA
1656892800000,2022-07-04 00:00:00,XRA/USD,0.011507,0.012321,0.01089,0.011923,1165.3126987778403,97736.53432675
1656806400000,2022-07-03 00:00:00,XRA/USD,0.011272,0.011823,0.010975,0.011235,1377.3110543012751,122591.10407666
1656720000000,2022-07-02 00:00:00,XRA/USD,0.011617,0.011698,0.010943,0.011148,1365.4690245682532,122485.56015144
1656633600000,2022-07-01 00:00:00,XRA/USD,0.011301,0.01215,0.011056,0.011386,1609.393530363597,141348.4569088
1656547200000,2022-06-30 00:00:00,XRA/USD,0.010743,0.011922,0.0099779,0.011637,4389.247637641806,377180.3418099
1656460800000,2022-06-29 00:00:00,XRA/USD,0.011389,0.011389,0.010616,0.011024,1192.9500891314158,108213.90503732
1656374400000,2022-06-28 00:00:00,XRA/USD,0.011657,0.012364,0.011178,0.0114,1054.721564207064,92519.43545676
1656288000000,2022-06-27 00:00:00,XRA/USD,0.011725,0.012147,0.011452,0.011661,1079.0515765478544,92535.08074332
1656201600000,2022-06-26 00:00:00,XRA/USD,0.012222,0.012701,0.011698,0.011743,1446.4924311246784,123179.12212592
1656115200000,2022-06-25 00:00:00,XRA/USD,0.011951,0.012287,0.011476,0.012157,1224.7756099321991,100746.53367872
1656028800000,2022-06-24 00:00:00,XRA/USD,0.011343,0.012461,0.010959,0.012014,1613.1607259476853,134273.40818609
1655942400000,2022-06-23 00:00:00,XRA/USD,0.010435,0.011706,0.010399,0.011307,996.9977070826261,88175.26373774
1655856000000,2022-06-22 00:00:00,XRA/USD,0.010698,0.011069,0.0095915,0.0104,4656.0889635934955,447700.86188399
1655769600000,2022-06-21 00:00:00,XRA/USD,0.010216,0.011911,0.0087,0.01018,33614.53283743985,3302016.97813751
1655683200000,2022-06-20 00:00:00,XRA/USD,0.011051,0.0111,0.0087047,0.010188,7494.053981973255,735576.55889019
1655596800000,2022-06-19 00:00:00,XRA/USD,0.0098049,0.0111,0.0089581,0.011051,3131.5586520601028,283373.32839201
1655510400000,2022-06-18 00:00:00,XRA/USD,0.010578,0.010578,0.0085969,0.009449,1902.352181969365,201328.41379716
1655424000000,2022-06-17 00:00:00,XRA/USD,0.009902,0.011111,0.009848,0.010579,4286.633255570525,405202.12265531
1655337600000,2022-06-16 00:00:00,XRA/USD,0.01135,0.01135,0.009543,0.009902,4071.8863136282666,411218.57338197
1655251200000,2022-06-15 00:00:00,XRA/USD,0.010968,0.012345,0.0095101,0.011055,8203.984066004752,742106.20226185
1655164800000,2022-06-14 00:00:00,XRA/USD,0.010656,0.013566,0.01026,0.010969,6983.863479316909,636690.99091229
1655078400000,2022-06-13 00:00:00,XRA/USD,0.012945,0.013587,0.010512,0.011175,45900.769772315376,4107451.43376424
1654992000000,2022-06-12 00:00:00,XRA/USD,0.010852,0.0155,0.00991,0.012902,80170.08692284668,6213772.04486488
1654905600000,2022-06-11 00:00:00,XRA/USD,0.009866,0.012062,0.0094,0.010283,67225.76871626932,6537563.8156442
1654819200000,2022-06-10 00:00:00,XRA/USD,0.0097645,0.012369,0.0094,0.009915,45533.836877292604,4592419.25136587
1654732800000,2022-06-09 00:00:00,XRA/USD,0.010101,0.01079,0.0094,0.0097749,36552.901398321126,3739465.5084268
1654646400000,2022-06-08 00:00:00,XRA/USD,0.0098102,0.01088,0.0094,0.010147,8963.44259130879,883358.8835428
1654560000000,2022-06-07 00:00:00,XRA/USD,0.01042,0.01188,0.0094,0.010258,81521.88508436247,7947151.9871673295
1654473600000,2022-06-06 00:00:00,XRA/USD,0.010162,0.012922,0.0092142,0.010052,59838.18573959346,5952863.68280874
1654387200000,2022-06-05 00:00:00,XRA/USD,0.0096311,0.013903,0.00905,0.010393,35791.54867982465,3443813.0164365103
1654300800000,2022-06-04 00:00:00,XRA/USD,0.010878,0.010878,0.0096651,0.009835,3538.227000725135,359758.71893494
1654214400000,2022-06-03 00:00:00,XRA/USD,0.0096566,0.011269,0.0096562,0.010849,1708.7444644928855,157502.48543579
1654128000000,2022-06-02 00:00:00,XRA/USD,0.010193,0.010721,0.0096341,0.0096565,2405.4034531546467,249096.82112097
1654041600000,2022-06-01 00:00:00,XRA/USD,0.0098889,0.010311,0.0098851,0.010216,2689.415130905826,263255.20075429
1653955200000,2022-05-31 00:00:00,XRA/USD,0.010218,0.010482,0.0095141,0.0098888,5009.543474765467,506587.60160641
1653868800000,2022-05-30 00:00:00,XRA/USD,0.0097912,0.010376,0.0097652,0.010247,1956.9080251862038,190973.75087208
1653782400000,2022-05-29 00:00:00,XRA/USD,0.010088,0.010367,0.009645,0.0097911,3032.2908787701786,309698.69358603
1653696000000,2022-05-28 00:00:00,XRA/USD,0.010032,0.010342,0.00973,0.010089,2090.5157684788933,207207.43071453
1653609600000,2022-05-27 00:00:00,XRA/USD,0.010446,0.010516,0.0097051,0.010031,4628.575518132738,461427.12771735
1653523200000,2022-05-26 00:00:00,XRA/USD,0.010832,0.011406,0.010194,0.010447,4918.115392092661,470768.20064063
1653436800000,2022-05-25 00:00:00,XRA/USD,0.010968,0.011289,0.010678,0.010833,2146.1221669696083,198109.68032582
1653350400000,2022-05-24 00:00:00,XRA/USD,0.010724,0.01125,0.010128,0.010967,4178.215733957932,380980.73620479
1653264000000,2022-05-23 00:00:00,XRA/USD,0.011852,0.012316,0.010128,0.010725,11895.947105957344,1109179.21733868
1653177600000,2022-05-22 00:00:00,XRA/USD,0.012387,0.01242,0.0116,0.011853,4440.089182281218,374596.23574464
1653091200000,2022-05-21 00:00:00,XRA/USD,0.012171,0.012459,0.011751,0.012388,4895.8335437721435,395207.74489604
1653004800000,2022-05-20 00:00:00,XRA/USD,0.012678,0.013302,0.011666,0.01217,9231.3254740817,758531.26327705
1652918400000,2022-05-19 00:00:00,XRA/USD,0.012456,0.01304,0.012133,0.012677,5403.349675233232,426232.52151402
1652832000000,2022-05-18 00:00:00,XRA/USD,0.012316,0.01304,0.012237,0.012455,2838.7761195482753,227922.61096333
1652745600000,2022-05-17 00:00:00,XRA/USD,0.012397,0.01304,0.012133,0.012316,2438.599044357791,198002.52065263
1652659200000,2022-05-16 00:00:00,XRA/USD,0.012231,0.01304,0.012181,0.012398,5716.855909386899,461111.13965050003
1652572800000,2022-05-15 00:00:00,XRA/USD,0.012128,0.013644,0.011725,0.012231,15052.869796810308,1230714.56109969
1652486400000,2022-05-14 00:00:00,XRA/USD,0.012514,0.013476,0.011311,0.012129,6381.115339528959,526103.9936951901
1652400000000,2022-05-13 00:00:00,XRA/USD,0.014158,0.014423,0.012513,0.012514,8295.30394732675,662881.8880715
1652313600000,2022-05-12 00:00:00,XRA/USD,0.014522,0.014891,0.012585,0.014176,4982.513776199842,351475.29459649
1652227200000,2022-05-11 00:00:00,XRA/USD,0.014788,0.0153,0.013288,0.014522,6514.944207780029,448625.82342515
1652140800000,2022-05-10 00:00:00,XRA/USD,0.014713,0.014789,0.013641,0.014789,3702.124073447339,250329.57424081
1652054400000,2022-05-09 00:00:00,XRA/USD,0.013554,0.014968,0.013041,0.014784,6509.154242544159,440283.70147079
1651968000000,2022-05-08 00:00:00,XRA/USD,0.013955,0.014817,0.012869,0.013497,4884.631884661848,361905.007384
1651881600000,2022-05-07 00:00:00,XRA/USD,0.014476,0.01549,0.013532,0.013988,5564.81847059675,397828.02906754
1651795200000,2022-05-06 00:00:00,XRA/USD,0.014584,0.0155,0.012534,0.014476,4199.93485666625,290130.89642624
1651708800000,2022-05-05 00:00:00,XRA/USD,0.01541,0.0155,0.01391,0.014569,3128.9593069470593,214768.29617318
1651622400000,2022-05-04 00:00:00,XRA/USD,0.014703,0.0155,0.013287,0.0155,4059.8877054608447,261928.23906199
1651536000000,2022-05-03 00:00:00,XRA/USD,0.01364,0.015345,0.01225,0.014726,3276.102923915792,222470.65896481
1651449600000,2022-05-02 00:00:00,XRA/USD,0.014711,0.01529,0.013658,0.013658,3148.6918165869943,230538.2791468
1651363200000,2022-05-01 00:00:00,XRA/USD,0.014915,0.01529,0.012362,0.014712,3448.11399778557,234374.25216052
1651276800000,2022-04-30 00:00:00,XRA/USD,0.014292,0.015181,0.013952,0.014915,4390.473371099739,294366.30044249
1651190400000,2022-04-29 00:00:00,XRA/USD,0.014528,0.01546,0.013913,0.014186,6231.244065500359,439253.07102075
1651104000000,2022-04-28 00:00:00,XRA/USD,0.014253,0.015423,0.013913,0.014528,3499.716149243387,240894.55873096
1651017600000,2022-04-27 00:00:00,XRA/USD,0.015154,0.01546,0.013771,0.014253,4295.30491643704,301361.46189834
1650931200000,2022-04-26 00:00:00,XRA/USD,0.014783,0.0155,0.014241,0.015104,5061.484888707835,335108.90417822
1650844800000,2022-04-25 00:00:00,XRA/USD,0.015086,0.0155,0.014174,0.014916,5722.7141314022765,383662.78703421
1650758400000,2022-04-24 00:00:00,XRA/USD,0.01457,0.0151,0.014439,0.015087,3034.947884800709,201163.11293171
1650672000000,2022-04-23 00:00:00,XRA/USD,0.015099,0.0151,0.014231,0.014723,3866.3438649451828,262605.7097701
1650585600000,2022-04-22 00:00:00,XRA/USD,0.015056,0.0151,0.014025,0.014679,4076.7723665045223,277728.20808669
1650499200000,2022-04-21 00:00:00,XRA/USD,0.014199,0.0151,0.014099,0.015058,3107.9395131009533,206397.89567678
1650412800000,2022-04-20 00:00:00,XRA/USD,0.012857,0.014352,0.01115,0.014198,3764.5874795078043,265149.13928073
1650326400000,2022-04-19 00:00:00,XRA/USD,0.012819,0.013964,0.012766,0.012856,2017.9881285887582,156968.58498668
1650240000000,2022-04-18 00:00:00,XRA/USD,0.014199,0.0145,0.012766,0.012818,2672.2332620419506,208475.05555016
1650153600000,2022-04-17 00:00:00,XRA/USD,0.014098,0.0145,0.012766,0.0142,2677.805201272668,188577.83107554
1650067200000,2022-04-16 00:00:00,XRA/USD,0.014491,0.0145,0.014072,0.014097,2845.226182348285,201832.03393263
1649980800000,2022-04-15 00:00:00,XRA/USD,0.013892,0.0145,0.013867,0.014492,2803.8360272265013,193474.74656545
1649894400000,2022-04-14 00:00:00,XRA/USD,0.014987,0.015402,0.013412,0.013892,3945.684654556062,284025.6733772
1649808000000,2022-04-13 00:00:00,XRA/USD,0.013683,0.015403,0.013447,0.01521,3715.918249519394,244307.57722021
1649721600000,2022-04-12 00:00:00,XRA/USD,0.013721,0.013798,0.013426,0.013684,3613.521232128396,264069.07571824
1649635200000,2022-04-11 00:00:00,XRA/USD,0.013797,0.013798,0.013426,0.013722,2370.898171815258,172780.80249346
1649548800000,2022-04-10 00:00:00,XRA/USD,0.013116,0.013827,0.012963,0.013589,2644.1784210502597,194582.2666164
1649462400000,2022-04-09 00:00:00,XRA/USD,0.012977,0.013227,0.012803,0.013117,2458.3044564904067,187413.62022493
1649376000000,2022-04-08 00:00:00,XRA/USD,0.01408,0.014106,0.012798,0.012861,2766.267426060088,215089.60625613
1649289600000,2022-04-07 00:00:00,XRA/USD,0.011799,0.014384,0.0112,0.014092,8311.937435000887,589833.76632138
1649203200000,2022-04-06 00:00:00,XRA/USD,0.013213,0.015402,0.011591,0.011799,10943.689320422474,927509.90087486
1649116800000,2022-04-05 00:00:00,XRA/USD,0.013009,0.013432,0.013008,0.013212,2508.585544356315,189871.74874026
1649030400000,2022-04-04 00:00:00,XRA/USD,0.01298,0.013166,0.012857,0.013126,2385.896404040875,181768.73411861
1648944000000,2022-04-03 00:00:00,XRA/USD,0.012993,0.013166,0.012847,0.012979,2721.944553131434,209719.12729266
1648857600000,2022-04-02 00:00:00,XRA/USD,0.012867,0.013136,0.012725,0.012994,2296.999151919648,176773.83037707
1648771200000,2022-04-01 00:00:00,XRA/USD,0.012427,0.013434,0.012416,0.012709,6461.963977016756,508455.73821833
1648684800000,2022-03-31 00:00:00,XRA/USD,0.01196,0.0138,0.01196,0.012427,7123.690619881101,573242.98864417
1648598400000,2022-03-30 00:00:00,XRA/USD,0.013246,0.0138,0.01196,0.012,8004.557623749841,667046.46864582
1648512000000,2022-03-29 00:00:00,XRA/USD,0.01441,0.014629,0.013069,0.013266,10767.511166079768,811662.2317262
1648425600000,2022-03-28 00:00:00,XRA/USD,0.015138,0.0155,0.014288,0.014571,3375.287494444117,231644.19013411
1648339200000,2022-03-27 00:00:00,XRA/USD,0.015359,0.016,0.014944,0.015137,3922.4228309912596,259128.15161467
1648252800000,2022-03-26 00:00:00,XRA/USD,0.015487,0.016,0.01525,0.015359,4342.712330722561,282747.07537747
1648166400000,2022-03-25 00:00:00,XRA/USD,0.015262,0.016,0.01526,0.015487,5053.999850114701,326338.20947341
1648080000000,2022-03-24 00:00:00,XRA/USD,0.015511,0.016,0.01526,0.015261,6014.080038604723,394081.64855545
1647993600000,2022-03-23 00:00:00,XRA/USD,0.015448,0.015676,0.01538,0.015526,3354.0880654429025,216030.40483337
1647907200000,2022-03-22 00:00:00,XRA/USD,0.014758,0.015529,0.014758,0.015448,7307.819577568122,473059.2683563
1647820800000,2022-03-21 00:00:00,XRA/USD,0.012592,0.014833,0.01209,0.014758,2947.6651192633694,199733.37303587
1647734400000,2022-03-20 00:00:00,XRA/USD,0.012167,0.013142,0.012167,0.012993,2363.2158850263518,181883.77472688
1647648000000,2022-03-19 00:00:00,XRA/USD,0.01124,0.0124,0.011134,0.012166,2161.247369170881,177646.50412386
1647561600000,2022-03-18 00:00:00,XRA/USD,0.011852,0.012,0.011003,0.011233,2203.414019544035,196155.43661925
1647475200000,2022-03-17 00:00:00,XRA/USD,0.011022,0.012,0.011001,0.011844,2299.2093783212404,194124.39871
1647388800000,2022-03-16 00:00:00,XRA/USD,0.011493,0.012,0.011001,0.011021,2229.4109205509453,202287.53475646
1647302400000,2022-03-15 00:00:00,XRA/USD,0.011,0.011636,0.011,0.011494,2154.00695994248,187402.72837502
1647216000000,2022-03-14 00:00:00,XRA/USD,0.011079,0.011972,0.011,0.011,2127.5365552477297,193412.41411343
1647129600000,2022-03-13 00:00:00,XRA/USD,0.011,0.012,0.011,0.011078,2124.827277867832,191806.03699836
1647043200000,2022-03-12 00:00:00,XRA/USD,0.011516,0.011529,0.011,0.011,2584.5572181603898,234959.74710549
