https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CCD
1652313600000,2022-05-12 00:00:00,CCD/USD,0.02722,0.028788,0.026541,0.02772,527091.4640876576,19014843.58180583
1652227200000,2022-05-11 00:00:00,CCD/USD,0.02929,0.02949,0.0265,0.0272,461073.18983670574,16951220.21458477
1652140800000,2022-05-10 00:00:00,CCD/USD,0.026471,0.02936,0.02641,0.02929,468385.4602882284,15991309.67184119
1652054400000,2022-05-09 00:00:00,CCD/USD,0.02828,0.02828,0.02605,0.02647,371193.1875706322,14023165.37856563
1651968000000,2022-05-08 00:00:00,CCD/USD,0.02909,0.029101,0.02825,0.02829,376379.445038775,13304328.20921792
1651881600000,2022-05-07 00:00:00,CCD/USD,0.029533,0.02979,0.02884,0.0291,359836.21556366107,12365505.68947289
1651795200000,2022-05-06 00:00:00,CCD/USD,0.0316,0.0316,0.0295,0.02952,475952.61676726094,16123056.1235522
1651708800000,2022-05-05 00:00:00,CCD/USD,0.03244,0.032695,0.0315,0.0316,433287.54547328,13711631.18586329
1651622400000,2022-05-04 00:00:00,CCD/USD,0.03322,0.033316,0.032191,0.03244,425601.79928862804,13119660.89052491
1651536000000,2022-05-03 00:00:00,CCD/USD,0.03366,0.03366,0.0332,0.03322,363116.344091402,10930654.54820596
1651449600000,2022-05-02 00:00:00,CCD/USD,0.03383,0.034101,0.0336,0.03366,407965.91479128296,12120199.48874875
1651363200000,2022-05-01 00:00:00,CCD/USD,0.03321,0.0343,0.03319,0.03383,420499.79745480436,12429790.05187125
1651276800000,2022-04-30 00:00:00,CCD/USD,0.03482,0.034901,0.03317,0.03321,392371.6498383322,11814864.49377694
1651190400000,2022-04-29 00:00:00,CCD/USD,0.03569,0.03582,0.034731,0.03482,593472.248120758,17044004.82828139
1651104000000,2022-04-28 00:00:00,CCD/USD,0.03599,0.03625,0.03535,0.03568,652610.7004446476,18290658.64474909
1651017600000,2022-04-27 00:00:00,CCD/USD,0.0359,0.03614,0.035601,0.03599,579364.9263063567,16097941.82568371
1650931200000,2022-04-26 00:00:00,CCD/USD,0.03576,0.03607,0.0357,0.0359,640199.24949804,17832848.17543287
1650844800000,2022-04-25 00:00:00,CCD/USD,0.03634,0.03634,0.0355,0.03576,626512.7753605482,17519932.19688334
1650758400000,2022-04-24 00:00:00,CCD/USD,0.03649,0.03659,0.03607,0.03634,512743.5003871999,14109617.51203082
1650672000000,2022-04-23 00:00:00,CCD/USD,0.03843,0.03843,0.03618,0.03649,534395.9901727024,14644998.36044676
1650585600000,2022-04-22 00:00:00,CCD/USD,0.03919,0.0392,0.0383,0.03843,580926.3886039801,15116481.61863076
1650499200000,2022-04-21 00:00:00,CCD/USD,0.04008,0.04008,0.03915,0.03919,681109.6584914871,17379679.98192108
1650412800000,2022-04-20 00:00:00,CCD/USD,0.0393,0.0412,0.03922,0.04005,671478.9156420531,16766015.37183653
1650326400000,2022-04-19 00:00:00,CCD/USD,0.038572,0.03944,0.038512,0.03929,265071.5095096573,6746538.80146748
1650240000000,2022-04-18 00:00:00,CCD/USD,0.038991,0.04082,0.037044,0.038558,83590.66172946816,2167920.06145205
1650153600000,2022-04-17 00:00:00,CCD/USD,0.040711,0.04082,0.039031,0.039031,76795.2266187515,1967544.4292678
1650067200000,2022-04-16 00:00:00,CCD/USD,0.04226,0.04226,0.04053,0.040545,205034.62849914702,5056964.57020957
1649980800000,2022-04-15 00:00:00,CCD/USD,0.04332,0.04332,0.04221,0.04226,555578.5200210653,13146675.81687329
1649894400000,2022-04-14 00:00:00,CCD/USD,0.04388,0.04391,0.04327,0.04332,426943.6205374058,9855577.57473236
