https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNG
1656028800000,2022-06-24 00:00:00,PNG/USD,0.043653,0.056467,0.043653,0.056255,3483.9396408831562,61931.19973128
1655942400000,2022-06-23 00:00:00,PNG/USD,0.038263,0.043366,0.038263,0.043223,1341.507274873459,31036.88487318
1655856000000,2022-06-22 00:00:00,PNG/USD,0.038562,0.038562,0.037927,0.037927,162.9435236204519,4296.24076833
1655769600000,2022-06-21 00:00:00,PNG/USD,0.03578,0.039526,0.03578,0.039526,717.0987758880889,18142.4575188
1655683200000,2022-06-20 00:00:00,PNG/USD,0.033206,0.03578,0.033206,0.03578,702.5960301329684,19636.55757778
1655596800000,2022-06-19 00:00:00,PNG/USD,0.031339,0.033206,0.030568,0.033206,315.577813578078,9503.63830567
1655510400000,2022-06-18 00:00:00,PNG/USD,0.034333,0.034901,0.031339,0.032122,733.1737382838031,22824.66030396
1655424000000,2022-06-17 00:00:00,PNG/USD,0.034972,0.034972,0.034972,0.034972,3.5378671888011204,101.16284996
1655337600000,2022-06-16 00:00:00,PNG/USD,0.037919,0.037919,0.034619,0.035191,927.3773517368527,26352.68539504
1655251200000,2022-06-15 00:00:00,PNG/USD,0.034619,0.037919,0.032938,0.037919,1620.5860991362242,42738.10224785
1655164800000,2022-06-14 00:00:00,PNG/USD,0.031332,0.035191,0.030568,0.035191,904.4875460897007,25702.24051859
1655078400000,2022-06-13 00:00:00,PNG/USD,0.036386,0.036386,0.030569,0.030569,1057.3703245731988,34589.62754991
1654992000000,2022-06-12 00:00:00,PNG/USD,0.040315,0.040315,0.036689,0.036689,1110.7032783372595,30273.46829669
1654905600000,2022-06-11 00:00:00,PNG/USD,0.044869,0.044869,0.040315,0.040615,1436.818442626361,35376.54666075
1654819200000,2022-06-10 00:00:00,PNG/USD,0.05156,0.05156,0.044869,0.044869,1570.5685347969568,35003.42184575
1654732800000,2022-06-09 00:00:00,PNG/USD,0.051926,0.051926,0.051128,0.051128,192.17400577759997,3758.6841999999997
1654646400000,2022-06-08 00:00:00,PNG/USD,0.054636,0.054636,0.051926,0.051926,568.3498930028603,10945.38175486
1654560000000,2022-06-07 00:00:00,PNG/USD,0.05878,0.05878,0.053737,0.054636,1993.799284757411,36492.40948747
1654473600000,2022-06-06 00:00:00,PNG/USD,0.056322,0.061351,0.056322,0.059368,1574.3293691456531,26518.14730403
1654300800000,2022-06-04 00:00:00,PNG/USD,0.053253,0.056002,0.053253,0.056002,589.4941336813183,10526.30501913
1654214400000,2022-06-03 00:00:00,PNG/USD,0.055482,0.055482,0.052815,0.052815,473.3736974097873,8962.86466742
1654128000000,2022-06-02 00:00:00,PNG/USD,0.055374,0.056001,0.055374,0.055482,63.085857392982895,1137.05088845
1654041600000,2022-06-01 00:00:00,PNG/USD,0.058966,0.058966,0.054826,0.055374,834.6830474865392,15073.55523326
1653955200000,2022-05-31 00:00:00,PNG/USD,0.061018,0.061018,0.058384,0.058384,666.3987965059192,11414.06543755
1653868800000,2022-05-30 00:00:00,PNG/USD,0.061107,0.062684,0.061018,0.061628,565.153501377171,9170.40146325
1653782400000,2022-05-29 00:00:00,PNG/USD,0.058481,0.061107,0.058481,0.061107,477.1893713222315,7809.07868693
1653696000000,2022-05-28 00:00:00,PNG/USD,0.057398,0.059066,0.055388,0.059066,1109.5231617325426,18784.46418807
1653609600000,2022-05-27 00:00:00,PNG/USD,0.062806,0.062897,0.057398,0.057398,1233.674686644587,21493.3392565
1653523200000,2022-05-26 00:00:00,PNG/USD,0.071702,0.071702,0.061226,0.06342,2067.1774382212425,32595.04002241
1653436800000,2022-05-25 00:00:00,PNG/USD,0.071564,0.072419,0.071564,0.071702,70.54691062380644,983.89041622
1653350400000,2022-05-24 00:00:00,PNG/USD,0.071321,0.071824,0.06667,0.071564,1280.6825867943433,17895.62610802
1653264000000,2022-05-23 00:00:00,PNG/USD,0.075619,0.075619,0.070656,0.070656,715.5598865701786,10127.37611201
1653177600000,2022-05-22 00:00:00,PNG/USD,0.071824,0.076117,0.071824,0.076117,678.2726591633187,8910.92212204
1653091200000,2022-05-21 00:00:00,PNG/USD,0.071079,0.071824,0.071079,0.071824,65.9180497320728,917.77191095
1653004800000,2022-05-20 00:00:00,PNG/USD,0.073553,0.07366,0.070422,0.071079,556.8691912035031,7834.51077257
