https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICE
1659571200000,2022-08-04 00:00:00,ICE/USD,0.31473,0.32316,0.31455,0.31559,1311.2402298714035,4154.88523043
1659484800000,2022-08-03 00:00:00,ICE/USD,0.31873,0.33073,0.30827,0.31473,1271.8398108194415,4041.05045855
1659398400000,2022-08-02 00:00:00,ICE/USD,0.32783,0.33767,0.3104,0.32466,2220.8845167833183,6840.64719024
1659312000000,2022-08-01 00:00:00,ICE/USD,0.33528,0.33962,0.32479,0.33066,1441.8005241015883,4360.37175377
1659225600000,2022-07-31 00:00:00,ICE/USD,0.33577,0.34353,0.32764,0.33353,5546.194582224913,16628.77277074
1659139200000,2022-07-30 00:00:00,ICE/USD,0.34465,0.35746,0.32939,0.33544,11694.211590310308,34862.30500331
1659052800000,2022-07-29 00:00:00,ICE/USD,0.34111,0.36682,0.33336,0.34438,10554.722286508128,30648.476353179998
1658966400000,2022-07-28 00:00:00,ICE/USD,0.33817,0.35777,0.32986,0.34204,19058.617952455872,55720.43606729
1658880000000,2022-07-27 00:00:00,ICE/USD,0.31216,0.34998,0.30044,0.33821,1431.1910486336299,4231.663903
1658793600000,2022-07-26 00:00:00,ICE/USD,0.33265,0.33265,0.29864,0.31239,8603.084175375878,27539.56328748
1658707200000,2022-07-25 00:00:00,ICE/USD,0.3512,0.35151,0.3135,0.31699,2671.375978476241,8427.3194059
1658620800000,2022-07-24 00:00:00,ICE/USD,0.33665,0.35266,0.32285,0.35121,15360.53098341057,43736.02967857
1658534400000,2022-07-23 00:00:00,ICE/USD,0.33328,0.41097,0.31976,0.33712,9338.41518266684,27700.56710568
1658448000000,2022-07-22 00:00:00,ICE/USD,0.34905,0.36506,0.31729,0.31906,4406.4996652408245,13810.88091657
1658361600000,2022-07-21 00:00:00,ICE/USD,0.34415,0.35559,0.30502,0.34836,19681.418869947214,56497.35580993
1658275200000,2022-07-20 00:00:00,ICE/USD,0.34036,0.35984,0.32204,0.33123,14031.673145406896,42362.32571146
1658188800000,2022-07-19 00:00:00,ICE/USD,0.3374,0.34501,0.31142,0.34047,30705.70885704994,90186.23919009
