https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FTM
1657065600000,2022-07-06 00:00:00,FTM/USD,0.25805,0.2653,0.25133,0.26188,381198.62090046756,1455623.26600148
1656979200000,2022-07-05 00:00:00,FTM/USD,0.2643,0.27295,0.247,0.2589,97451.86888209355,376407.37304787
1656892800000,2022-07-04 00:00:00,FTM/USD,0.25742,0.26622,0.24996,0.26473,50041.837309084854,189029.71823777
1656806400000,2022-07-03 00:00:00,FTM/USD,0.24576,0.26666,0.24313,0.25695,107122.13968203968,416898.77284312
1656720000000,2022-07-02 00:00:00,FTM/USD,0.24522,0.24903,0.237,0.24557,32390.37120523739,131898.73032226
1656633600000,2022-07-01 00:00:00,FTM/USD,0.25252,0.26232,0.24466,0.24707,102945.82923153485,416666.6500649
1656547200000,2022-06-30 00:00:00,FTM/USD,0.26016,0.26251,0.23671,0.2535,222575.9915856717,878011.80112691
1656460800000,2022-06-29 00:00:00,FTM/USD,0.27044,0.27853,0.25416,0.25966,86144.2755669451,331757.97414675
1656374400000,2022-06-28 00:00:00,FTM/USD,0.27605,0.29282,0.26864,0.27086,64084.11216058708,236594.96478102
1656288000000,2022-06-27 00:00:00,FTM/USD,0.27876,0.29512,0.27247,0.275,115146.25111375377,418713.64041365
1656201600000,2022-06-26 00:00:00,FTM/USD,0.30689,0.31509,0.27775,0.27843,150969.32972969706,542216.46277232
1656115200000,2022-06-25 00:00:00,FTM/USD,0.30108,0.31671,0.28839,0.306,105679.86393693383,345359.03247364
1656028800000,2022-06-24 00:00:00,FTM/USD,0.27283,0.30743,0.27029,0.3002,195558.84528651478,651428.53193376
1655942400000,2022-06-23 00:00:00,FTM/USD,0.25236,0.27465,0.25199,0.27308,98221.71404865774,359681.09729258
1655856000000,2022-06-22 00:00:00,FTM/USD,0.26993,0.27489,0.25112,0.25158,155307.30447367474,617327.7067878
1655769600000,2022-06-21 00:00:00,FTM/USD,0.25219,0.29497,0.24907,0.26891,155262.98838065416,577379.00554332
1655683200000,2022-06-20 00:00:00,FTM/USD,0.24225,0.26766,0.23457,0.2528,326620.50664038176,1292011.49778632
1655596800000,2022-06-19 00:00:00,FTM/USD,0.21992,0.24385,0.21189,0.2426,316568.8153955968,1304900.31078152
1655510400000,2022-06-18 00:00:00,FTM/USD,0.24077,0.24687,0.20499,0.21969,507722.5593338708,2311086.34591411
1655424000000,2022-06-17 00:00:00,FTM/USD,0.22277,0.24692,0.22123,0.24099,441491.79158693907,1831992.16393601
1655337600000,2022-06-16 00:00:00,FTM/USD,0.25627,0.26095,0.22035,0.22223,353194.1061334048,1589317.85147552
1655251200000,2022-06-15 00:00:00,FTM/USD,0.23367,0.25651,0.20981,0.25644,812447.1558491653,3168176.39934942
1655164800000,2022-06-14 00:00:00,FTM/USD,0.238,0.25738,0.22194,0.23378,961399.319488199,4112410.46919411
1655078400000,2022-06-13 00:00:00,FTM/USD,0.223,0.2464,0.19488,0.24015,1912664.0583512294,7964455.79159371
1654992000000,2022-06-12 00:00:00,FTM/USD,0.27728,0.28175,0.22337,0.2234,1517303.1026451911,6791867.06645117
1654905600000,2022-06-11 00:00:00,FTM/USD,0.30759,0.31763,0.27414,0.27721,637172.0012134523,2298517.37388064
1654819200000,2022-06-10 00:00:00,FTM/USD,0.33547,0.33982,0.30456,0.30713,296761.4568556332,966240.5393665
1654732800000,2022-06-09 00:00:00,FTM/USD,0.33794,0.3512,0.32913,0.33595,242517.6241485956,721886.06682124
1654646400000,2022-06-08 00:00:00,FTM/USD,0.35138,0.36072,0.33616,0.33841,224696.41141147315,663976.86655676
1654560000000,2022-06-07 00:00:00,FTM/USD,0.36344,0.36439,0.33661,0.3509,357556.5839185342,1018970.0311158
1654473600000,2022-06-06 00:00:00,FTM/USD,0.35012,0.38662,0.35012,0.36494,343628.4028877612,941602.46311109
1654387200000,2022-06-05 00:00:00,FTM/USD,0.35511,0.35901,0.34174,0.35168,246548.72070571638,701059.82912226
1654300800000,2022-06-04 00:00:00,FTM/USD,0.35626,0.35795,0.34119,0.35481,280839.9258564215,791522.0141947
1654214400000,2022-06-03 00:00:00,FTM/USD,0.37958,0.3839,0.34945,0.35561,330291.1705476501,928801.69440581
1654128000000,2022-06-02 00:00:00,FTM/USD,0.36733,0.38319,0.35414,0.3797,857806.8146156475,2259169.90944337
1654041600000,2022-06-01 00:00:00,FTM/USD,0.4046,0.41091,0.36005,0.36656,660220.5341609868,1801125.4205614
1653955200000,2022-05-31 00:00:00,FTM/USD,0.41503,0.42934,0.38932,0.40374,821129.3700939581,2033807.32672997
1653868800000,2022-05-30 00:00:00,FTM/USD,0.36931,0.42362,0.36224,0.41525,2088488.4008149318,5029472.36800706
1653782400000,2022-05-29 00:00:00,FTM/USD,0.37231,0.37663,0.35304,0.36888,594219.1425716872,1610873.84128087
1653696000000,2022-05-28 00:00:00,FTM/USD,0.3438,0.37707,0.34296,0.37155,817150.3124915318,2199301.06981976
1653609600000,2022-05-27 00:00:00,FTM/USD,0.37759,0.38162,0.33651,0.34336,1205909.5985848375,3512085.27080859
1653523200000,2022-05-26 00:00:00,FTM/USD,0.40275,0.41583,0.34229,0.37743,1460411.1614067042,3869356.33470234
1653436800000,2022-05-25 00:00:00,FTM/USD,0.42243,0.4362,0.39934,0.40207,698418.7829003124,1737057.68373744
1653350400000,2022-05-24 00:00:00,FTM/USD,0.43559,0.45401,0.39666,0.42296,1399679.2523229544,3309247.3338447
1653264000000,2022-05-23 00:00:00,FTM/USD,0.4351,0.52118,0.41896,0.43418,2495967.38717336,5748692.6785512
1653177600000,2022-05-22 00:00:00,FTM/USD,0.41279,0.45653,0.40283,0.43518,1921255.7112649858,4414852.96030375
1653091200000,2022-05-21 00:00:00,FTM/USD,0.35239,0.46197,0.34921,0.41225,2529569.6604107437,6136008.87910429
1653004800000,2022-05-20 00:00:00,FTM/USD,0.34945,0.36476,0.32281,0.35153,1107773.5009302376,3151291.49981577
1652918400000,2022-05-19 00:00:00,FTM/USD,0.31927,0.35609,0.30316,0.35052,685288.2552312748,1955061.78030148
1652832000000,2022-05-18 00:00:00,FTM/USD,0.35888,0.37295,0.31597,0.31762,617890.6918374964,1945377.15457936
1652745600000,2022-05-17 00:00:00,FTM/USD,0.33553,0.3805,0.33552,0.35799,828882.271541634,2315378.28302923
1652659200000,2022-05-16 00:00:00,FTM/USD,0.39516,0.39516,0.33141,0.33522,963679.7496370568,2874768.06168205
1652572800000,2022-05-15 00:00:00,FTM/USD,0.37744,0.40084,0.34663,0.39483,1694265.9049565888,4291127.58644629
1652486400000,2022-05-14 00:00:00,FTM/USD,0.33227,0.38702,0.29408,0.37685,2397119.8518705796,6360938.97272278
1652400000000,2022-05-13 00:00:00,FTM/USD,0.29915,0.43633,0.28845,0.33004,1978617.8396473653,5995084.9583304
1652313600000,2022-05-12 00:00:00,FTM/USD,0.30653,0.33228,0.23532,0.29638,3065834.612864068,10344269.56226489
1652227200000,2022-05-11 00:00:00,FTM/USD,0.53254,0.5508,0.27296,0.30565,2721774.740279382,8904874.00713032
1652140800000,2022-05-10 00:00:00,FTM/USD,0.54044,0.61479,0.51831,0.53276,1548187.4516929092,2905975.39547434
1652054400000,2022-05-09 00:00:00,FTM/USD,0.67718,0.69,0.53827,0.53979,1336368.914116428,2475720.02837479
1651968000000,2022-05-08 00:00:00,FTM/USD,0.68257,0.70816,0.6614,0.67694,578027.4122108065,853882.78460544
1651881600000,2022-05-07 00:00:00,FTM/USD,0.72435,0.73066,0.66438,0.68285,311229.65302185784,455780.41007814
1651795200000,2022-05-06 00:00:00,FTM/USD,0.74215,0.74745,0.69597,0.725,635934.1752096144,877150.58649602
1651708800000,2022-05-05 00:00:00,FTM/USD,0.86221,0.87244,0.71492,0.74363,1237003.4400859638,1663466.29383694
1651622400000,2022-05-04 00:00:00,FTM/USD,0.75242,0.86667,0.74761,0.8612,1495419.7106044262,1736437.19299167
1651536000000,2022-05-03 00:00:00,FTM/USD,0.77334,0.81334,0.74311,0.7509,989561.3980126897,1317833.7967941
1651449600000,2022-05-02 00:00:00,FTM/USD,0.78598,0.80518,0.7244,0.77377,1506046.1547585179,1946374.44558269
1651363200000,2022-05-01 00:00:00,FTM/USD,0.68388,0.79103,0.6561,0.7849,1856855.0656188373,2365721.8315949
1651276800000,2022-04-30 00:00:00,FTM/USD,0.8345,0.85395,0.6531,0.6843,1148128.7364044585,1677814.90048876
1651190400000,2022-04-29 00:00:00,FTM/USD,0.97019,0.98018,0.8,0.83501,1001341.9465264711,1199197.55036044
1651104000000,2022-04-28 00:00:00,FTM/USD,0.9884,1.0162,0.96498,0.97041,480024.7348318243,494661.77680756
1651017600000,2022-04-27 00:00:00,FTM/USD,0.97012,1.0161,0.9636,0.98761,273985.06855825725,277422.33124235
1650931200000,2022-04-26 00:00:00,FTM/USD,1.0742,1.0843,0.96,0.969,421883.4499427988,435380.23729907
1650844800000,2022-04-25 00:00:00,FTM/USD,1.0733,1.074,0.98719,1.074,734480.0660690528,683873.43209409
1650758400000,2022-04-24 00:00:00,FTM/USD,1.0915,1.1006,1.0671,1.0718,122328.2488008585,114133.46594594
1650672000000,2022-04-23 00:00:00,FTM/USD,1.1125,1.1223,1.0822,1.0904,185780.50652433318,170378.30752415
1650585600000,2022-04-22 00:00:00,FTM/USD,1.1106,1.1489,1.1,1.1136,383732.933122616,344587.76322074
1650499200000,2022-04-21 00:00:00,FTM/USD,1.1765,1.21,1.1005,1.1161,424164.58982243453,380041.74341227
1650412800000,2022-04-20 00:00:00,FTM/USD,1.1858,1.2291,1.1602,1.176,302855.2641612439,257529.98653167
1650326400000,2022-04-19 00:00:00,FTM/USD,1.1423,1.1903,1.1345,1.1865,135527.37325590878,114224.50337624
1650240000000,2022-04-18 00:00:00,FTM/USD,1.1145,1.1461,1.0602,1.1415,496848.4833181364,435259.29331418
1650153600000,2022-04-17 00:00:00,FTM/USD,1.1562,1.1665,1.1071,1.1162,160223.774907421,143543.96605216
1650067200000,2022-04-16 00:00:00,FTM/USD,1.1796,1.183,1.139,1.156,330748.5966305109,286114.70296757
1649980800000,2022-04-15 00:00:00,FTM/USD,1.153,1.1842,1.1503,1.1785,162599.27282841562,137971.38127146
1649894400000,2022-04-14 00:00:00,FTM/USD,1.1935,1.2226,1.1367,1.1521,239335.8712062495,207738.79976239
1649808000000,2022-04-13 00:00:00,FTM/USD,1.1646,1.2058,1.1434,1.1926,285549.25541643763,239434.22389438
