https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1654387200000,2022-06-05 00:00:00,DOT/USD,9.4508,9.5594,9.2512,9.3431,487272.0034102317,52153.14011519
1654300800000,2022-06-04 00:00:00,DOT/USD,9.3797,9.5647,9.1492,9.4401,467466.3342264739,49519.21422723
1654214400000,2022-06-03 00:00:00,DOT/USD,9.8876,9.9163,9.2163,9.3756,890347.0414675884,94964.27337638
1654128000000,2022-06-02 00:00:00,DOT/USD,9.4655,10.062,9.3003,9.892,1747400.5452963153,176647.85132393
1654041600000,2022-06-01 00:00:00,DOT/USD,10.349,10.759,9.2573,9.467,2643276.5421205894,279209.52171972
1653955200000,2022-05-31 00:00:00,DOT/USD,10.469,10.646,9.9682,10.353,1379232.6994802163,133220.58335557
1653868800000,2022-05-30 00:00:00,DOT/USD,9.9858,10.795,9.9218,10.47,2084929.5671124228,199133.67403175
1653782400000,2022-05-29 00:00:00,DOT/USD,9.6639,10.033,9.332,9.9896,1381887.7987452077,138332.64582618
1653696000000,2022-05-28 00:00:00,DOT/USD,9.122,9.795,8.9654,9.6606,1306545.5005708714,135244.75711352
1653609600000,2022-05-27 00:00:00,DOT/USD,9.128,10.005,8.5773,9.1069,2799382.332161258,307391.35514404
1653523200000,2022-05-26 00:00:00,DOT/USD,9.8682,9.9976,8.831,9.1474,2082240.973421466,227632.00181707
1653436800000,2022-05-25 00:00:00,DOT/USD,10.176,10.339,9.7817,9.864,625645.5110586627,63427.16048851
1653350400000,2022-05-24 00:00:00,DOT/USD,9.8836,10.258,9.5626,10.188,660897.3795399194,64870.17859638
1653264000000,2022-05-23 00:00:00,DOT/USD,10.15,10.731,9.8162,9.8761,918113.5389717184,92963.16754303
1653177600000,2022-05-22 00:00:00,DOT/USD,9.9876,10.334,9.8703,10.164,494388.1827450535,48641.10416618
1653091200000,2022-05-21 00:00:00,DOT/USD,9.6673,10.084,9.463,9.9897,298366.96498997736,29867.45998278
1653004800000,2022-05-20 00:00:00,DOT/USD,10.026,10.254,9.434,9.6707,950432.1740127936,98279.56342486
1652918400000,2022-05-19 00:00:00,DOT/USD,9.4796,10.38,9.232,10.033,1402200.6037453248,139758.85614924
1652832000000,2022-05-18 00:00:00,DOT/USD,11.03,11.172,9.4388,9.466,2206680.1623921664,233116.43380437
