https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZMT
1658102400000,2022-07-18 00:00:00,ZMT/USD,0.56561,0.61779,0.51543,0.56994,178337.9056628827,312906.45622852
1658016000000,2022-07-17 00:00:00,ZMT/USD,0.56811,0.57909,0.5633,0.56919,121685.9661531862,213787.95508211
1657929600000,2022-07-16 00:00:00,ZMT/USD,0.56915,0.57821,0.56084,0.56892,20577.60892743633,36169.60016775
1657843200000,2022-07-15 00:00:00,ZMT/USD,0.56768,0.58261,0.55663,0.56915,56066.45585414079,98509.10279213
1657756800000,2022-07-14 00:00:00,ZMT/USD,0.57009,0.64959,0.55663,0.56779,65636.36147824893,115599.71376433
1657670400000,2022-07-13 00:00:00,ZMT/USD,0.5794,0.59473,0.555,0.5706,55997.15427500216,98137.31909394
1657584000000,2022-07-12 00:00:00,ZMT/USD,0.59052,0.59497,0.57175,0.57943,29087.100658856325,50199.50754855
1657497600000,2022-07-11 00:00:00,ZMT/USD,0.5944,0.59972,0.58535,0.59506,13463.937411753472,22626.18460618
1657411200000,2022-07-10 00:00:00,ZMT/USD,0.61295,0.64,0.53575,0.59441,25847.519647929345,43484.3284062
1657324800000,2022-07-09 00:00:00,ZMT/USD,0.61674,0.61873,0.60541,0.61294,18584.69942907323,30320.58509654
1657238400000,2022-07-08 00:00:00,ZMT/USD,0.6129,0.62143,0.60598,0.61675,101300.80749674048,164249.38386176
1657152000000,2022-07-07 00:00:00,ZMT/USD,0.60877,0.61885,0.59234,0.61285,134672.47332431635,219747.8556324
1657065600000,2022-07-06 00:00:00,ZMT/USD,0.60171,0.64,0.58905,0.61287,105502.53952025056,172145.05444915
1656979200000,2022-07-05 00:00:00,ZMT/USD,0.60489,0.615,0.59057,0.60143,84806.87273001185,141008.71710758
1656892800000,2022-07-04 00:00:00,ZMT/USD,0.60222,0.62,0.5922,0.6049,98843.31796871475,163404.39406301
1656806400000,2022-07-03 00:00:00,ZMT/USD,0.605,0.63299,0.58123,0.59999,50924.463598902104,84875.52059018
1656720000000,2022-07-02 00:00:00,ZMT/USD,0.62881,0.63333,0.57123,0.60964,85283.83761762745,139892.1291543
1656633600000,2022-07-01 00:00:00,ZMT/USD,0.63561,0.65083,0.61937,0.63333,94405.93878912214,149062.79315542
1656547200000,2022-06-30 00:00:00,ZMT/USD,0.69093,0.72,0.61118,0.63581,196770.17210886997,309479.51763714
1656460800000,2022-06-29 00:00:00,ZMT/USD,0.71902,0.72101,0.6842,0.68691,102857.53930457719,149739.46995178
1656374400000,2022-06-28 00:00:00,ZMT/USD,0.69314,0.75536,0.68004,0.71916,137258.63961189069,190859.66907488
1656288000000,2022-06-27 00:00:00,ZMT/USD,0.73424,0.7538,0.6789,0.69799,97129.85561991652,139156.51459178
1656201600000,2022-06-26 00:00:00,ZMT/USD,0.73622,0.75625,0.72655,0.73429,98375.38897602021,133973.48319604
1656115200000,2022-06-25 00:00:00,ZMT/USD,0.73196,0.758,0.71651,0.73577,136206.34017470307,185120.81244778
1656028800000,2022-06-24 00:00:00,ZMT/USD,0.72252,0.73456,0.698,0.7327,79980.52779120822,109158.62944071
1655942400000,2022-06-23 00:00:00,ZMT/USD,0.71136,0.74104,0.69598,0.72218,41879.20214833624,57989.97777332
1655856000000,2022-06-22 00:00:00,ZMT/USD,0.72937,0.74629,0.69537,0.71695,139192.3864109577,194145.17945597
1655769600000,2022-06-21 00:00:00,ZMT/USD,0.72375,0.75537,0.69815,0.72936,151888.80341618965,208249.4288365
1655683200000,2022-06-20 00:00:00,ZMT/USD,0.6671,0.779,0.62501,0.71697,207107.91382121015,288865.52271533
1655596800000,2022-06-19 00:00:00,ZMT/USD,0.5969,0.66686,0.5813,0.66686,74937.76815157812,112374.06374888
1655510400000,2022-06-18 00:00:00,ZMT/USD,0.72379,0.74811,0.302,0.5969,271462.5738421389,454787.35775195
1655424000000,2022-06-17 00:00:00,ZMT/USD,0.90748,0.95243,0.684,0.72379,556654.1922576674,769082.45797492
1655337600000,2022-06-16 00:00:00,ZMT/USD,0.94406,0.99919,0.84529,0.90636,110445.2850906167,121855.86862904001
1655251200000,2022-06-15 00:00:00,ZMT/USD,0.94636,0.9903,0.85902,0.94406,71472.09601511397,75707.15422231
1655164800000,2022-06-14 00:00:00,ZMT/USD,0.8802,0.97057,0.84529,0.94637,128311.0051067606,135582.28294088
1655078400000,2022-06-13 00:00:00,ZMT/USD,1.101,1.101,0.85161,0.88071,150127.976283355,170462.44085267
1654992000000,2022-06-12 00:00:00,ZMT/USD,1.1602,1.1848,1.0556,1.1008,203771.820836459,185112.48259126
1654905600000,2022-06-11 00:00:00,ZMT/USD,1.2787,1.2892,1.1245,1.1584,79124.77638548947,68305.22823333
1654819200000,2022-06-10 00:00:00,ZMT/USD,1.3504,1.3511,1.2645,1.2803,82697.76216302605,64592.48782553
1654732800000,2022-06-09 00:00:00,ZMT/USD,1.3111,1.4788,1.25,1.3504,490871.86969070346,363501.08833731
1654646400000,2022-06-08 00:00:00,ZMT/USD,1.3697,1.4037,1.25,1.3204,99324.21218138673,75222.82049484
1654560000000,2022-06-07 00:00:00,ZMT/USD,1.4546,1.5649,1.32,1.38,232441.10137945498,168435.58070975
1654473600000,2022-06-06 00:00:00,ZMT/USD,1.4693,1.4801,1.405,1.4496,91748.71380057072,63292.43501695
1654387200000,2022-06-05 00:00:00,ZMT/USD,1.4818,1.5021,1.4251,1.4786,26523.212587765775,17938.05801959
1654300800000,2022-06-04 00:00:00,ZMT/USD,1.4764,1.5788,1.4311,1.4818,72423.71980802523,48875.50263735
1654214400000,2022-06-03 00:00:00,ZMT/USD,1.477,1.5147,1.4163,1.4786,69037.87212149137,46691.37841302
1654128000000,2022-06-02 00:00:00,ZMT/USD,1.5185,1.5378,1.3919,1.4798,71484.40379553143,48306.80078087
1654041600000,2022-06-01 00:00:00,ZMT/USD,1.5708,1.6019,1.476,1.5185,54170.43034082465,35673.6452689
1653955200000,2022-05-31 00:00:00,ZMT/USD,1.5889,1.6021,1.4148,1.5827,97330.81269705282,61496.69090608
1653868800000,2022-05-30 00:00:00,ZMT/USD,1.492,1.6021,1.0499,1.6021,117589.4143227827,73397.05032319
1653782400000,2022-05-29 00:00:00,ZMT/USD,1.4806,1.5015,1.35,1.492,25386.041206740843,17014.77292677
1653696000000,2022-05-28 00:00:00,ZMT/USD,1.5662,1.6021,1.4364,1.4806,54011.480488784844,36479.45460542
1653609600000,2022-05-27 00:00:00,ZMT/USD,1.6184,1.6416,1.5089,1.5642,95334.65704620298,60947.86922785
1653523200000,2022-05-26 00:00:00,ZMT/USD,1.7216,1.7216,1.552,1.6148,84633.76497522685,52411.29859749
1653436800000,2022-05-25 00:00:00,ZMT/USD,1.7134,1.76,1.641,1.7217,66310.73144343702,38514.68400037
1653350400000,2022-05-24 00:00:00,ZMT/USD,1.7871,1.7914,1.62,1.7092,66807.47492122908,39086.98509316
1653264000000,2022-05-23 00:00:00,ZMT/USD,1.7853,1.8288,1.7481,1.7876,27047.885713506355,15130.83783481
1653177600000,2022-05-22 00:00:00,ZMT/USD,1.7769,1.7901,1.735,1.7864,40110.5054086161,22453.26097661
1653091200000,2022-05-21 00:00:00,ZMT/USD,1.7908,1.7909,1.725,1.7769,28224.64954734604,15884.20819818
1653004800000,2022-05-20 00:00:00,ZMT/USD,1.7759,1.8269,1.7528,1.7785,43908.04220297222,24688.24413999
1652918400000,2022-05-19 00:00:00,ZMT/USD,1.8002,1.8037,1.7101,1.7746,42755.559490692816,24093.06857359
1652832000000,2022-05-18 00:00:00,ZMT/USD,1.8491,1.8601,1.7318,1.8001,18999.60616119812,10554.7503812
1652745600000,2022-05-17 00:00:00,ZMT/USD,1.845,1.8947,1.8159,1.8487,41963.057787387224,22698.68436598
1652659200000,2022-05-16 00:00:00,ZMT/USD,1.8245,1.8924,1.8245,1.8351,27844.76737417813,15173.43325932
1652572800000,2022-05-15 00:00:00,ZMT/USD,1.7509,1.8412,1.7509,1.8245,59203.98399415924,32449.42942952
1652486400000,2022-05-14 00:00:00,ZMT/USD,1.8733,1.8783,1.71,1.7652,100789.72518677918,57098.19011261
1652400000000,2022-05-13 00:00:00,ZMT/USD,1.6006,1.9568,1.592,1.8762,292170.0384160427,155724.35690014
1652313600000,2022-05-12 00:00:00,ZMT/USD,1.743,1.7829,1.3908,1.6006,338820.2135441953,211683.25224553
1652227200000,2022-05-11 00:00:00,ZMT/USD,2.0184,2.2263,1.5497,1.7413,478757.9555744092,274942.83327078
1652140800000,2022-05-10 00:00:00,ZMT/USD,2.0166,2.1681,1.82,2.0179,106128.05514410867,52593.31738149
1652054400000,2022-05-09 00:00:00,ZMT/USD,2.3116,2.3591,1.93,2.0166,212809.60380193003,105528.91193193
1651968000000,2022-05-08 00:00:00,ZMT/USD,2.4101,2.4125,2.2601,2.3093,78384.7776235441,33943.08995087
1651881600000,2022-05-07 00:00:00,ZMT/USD,2.2577,2.6212,2.2473,2.4104,397669.2172924911,164980.59130953
1651795200000,2022-05-06 00:00:00,ZMT/USD,2.4579,2.4579,2.2,2.2596,212224.5390589374,93921.28653697
1651708800000,2022-05-05 00:00:00,ZMT/USD,2.5258,2.6016,2.4171,2.459,289896.0255529289,117891.8363371
1651622400000,2022-05-04 00:00:00,ZMT/USD,2.8184,2.9077,2.0834,2.5258,1678289.6113319434,664458.63145615
1651536000000,2022-05-03 00:00:00,ZMT/USD,2.8387,2.9077,2.776,2.8344,207197.23693096353,73100.91621894
1651449600000,2022-05-02 00:00:00,ZMT/USD,2.8321,2.8805,2.815,2.8387,61133.13581983711,21535.60989884
1651363200000,2022-05-01 00:00:00,ZMT/USD,2.8324,2.9333,2.792,2.8486,128790.51224320932,45211.86275476
1651276800000,2022-04-30 00:00:00,ZMT/USD,2.8291,2.9033,2.802,2.8324,180945.0817139783,63884.01416254
1651190400000,2022-04-29 00:00:00,ZMT/USD,2.878,2.9529,2.7234,2.8503,736898.4037050656,258533.62933904
1651104000000,2022-04-28 00:00:00,ZMT/USD,2.8515,2.915,2.8412,2.8792,58766.76622775344,20410.7968282
1651017600000,2022-04-27 00:00:00,ZMT/USD,2.8495,2.9529,2.8335,2.8412,130006.18517011689,45757.49161274
1650931200000,2022-04-26 00:00:00,ZMT/USD,2.8498,3.0205,2.811,2.8494,395375.0030998154,138757.28332274
1650844800000,2022-04-25 00:00:00,ZMT/USD,2.8272,2.8603,2.795,2.8494,160814.1851772376,56437.91155234
1650758400000,2022-04-24 00:00:00,ZMT/USD,2.8263,2.8568,2.807,2.8263,68200.31404863833,24130.59974123
1650672000000,2022-04-23 00:00:00,ZMT/USD,2.8538,2.8628,2.8093,2.8257,97132.52076651306,34374.67557296
1650585600000,2022-04-22 00:00:00,ZMT/USD,2.8333,2.9199,2.7723,2.8328,300987.30148929526,106250.81244327
1650499200000,2022-04-21 00:00:00,ZMT/USD,2.8559,2.8663,2.805,2.8333,198336.2097179085,70001.8387456
1650412800000,2022-04-20 00:00:00,ZMT/USD,2.8766,2.9362,2.781,2.8559,102054.99913812791,35734.79433388
1650326400000,2022-04-19 00:00:00,ZMT/USD,2.8381,2.8774,2.8236,2.8545,122074.37932258732,42765.59093452
1650240000000,2022-04-18 00:00:00,ZMT/USD,2.881,2.9111,2.8127,2.8381,299221.9545487505,105430.37755849
1650153600000,2022-04-17 00:00:00,ZMT/USD,2.9147,2.9344,2.881,2.881,58575.00292556213,20331.48313973
1650067200000,2022-04-16 00:00:00,ZMT/USD,2.9092,2.987,2.88,2.9147,169265.6573434677,58073.09752066
1649980800000,2022-04-15 00:00:00,ZMT/USD,2.9037,2.9996,2.8718,2.9099,153559.9858430588,52771.56804119
1649894400000,2022-04-14 00:00:00,ZMT/USD,2.924,2.9584,2.881,2.9037,105029.48458394551,36170.91455176
1649808000000,2022-04-13 00:00:00,ZMT/USD,2.8678,3.1055,2.8537,2.924,195905.9514909805,66999.29941552
1649721600000,2022-04-12 00:00:00,ZMT/USD,2.9283,2.9997,2.732,2.8679,472772.85376129276,164849.83917197
1649635200000,2022-04-11 00:00:00,ZMT/USD,3.0867,3.1124,2.895,2.9283,230943.26508834332,78865.98541418
1649548800000,2022-04-10 00:00:00,ZMT/USD,2.9126,3.0888,2.85,3.062,743923.816543283,242953.56516763
1649462400000,2022-04-09 00:00:00,ZMT/USD,2.891,2.9388,2.8629,2.9349,169978.5271248563,57916.29259084
1649376000000,2022-04-08 00:00:00,ZMT/USD,2.8488,2.9176,2.7,2.8909,433987.98287406494,150122.10137814
1649289600000,2022-04-07 00:00:00,ZMT/USD,2.8087,2.8775,2.751,2.8352,220908.53170608793,77916.38392568
1649203200000,2022-04-06 00:00:00,ZMT/USD,2.9092,2.9233,2.774,2.838,283675.258930307,99956.04613471
1649116800000,2022-04-05 00:00:00,ZMT/USD,2.8964,2.9288,2.861,2.896,143483.01971889343,49545.24161564
1649030400000,2022-04-04 00:00:00,ZMT/USD,2.9281,3.0415,2.8843,2.9146,62226.257347260056,21349.84469473
1648944000000,2022-04-03 00:00:00,ZMT/USD,2.8768,2.9515,2.8519,2.9281,239062.12859227153,81644.11344977
1648857600000,2022-04-02 00:00:00,ZMT/USD,2.8882,2.9588,2.762,2.9,196624.20782816698,67801.45097523
1648771200000,2022-04-01 00:00:00,ZMT/USD,2.8874,2.9177,2.849,2.9087,174872.83394847607,60120.61537748
1648684800000,2022-03-31 00:00:00,ZMT/USD,2.8984,2.979,2.8718,2.905,96740.92408056649,33301.5229193
1648598400000,2022-03-30 00:00:00,ZMT/USD,2.9,2.9333,2.8406,2.9161,221126.17477525753,75829.42106761
1648512000000,2022-03-29 00:00:00,ZMT/USD,2.8761,2.9362,2.8536,2.9,216338.546937165,74599.49894385
1648425600000,2022-03-28 00:00:00,ZMT/USD,2.9175,2.9333,2.805,2.8761,356019.3240469258,123785.44697574
1648339200000,2022-03-27 00:00:00,ZMT/USD,2.8963,2.9175,2.8585,2.9175,55635.00498370298,19069.41044857
1648252800000,2022-03-26 00:00:00,ZMT/USD,2.89,2.9176,2.8128,2.8963,59285.387202221624,20469.3530374
1648166400000,2022-03-25 00:00:00,ZMT/USD,2.9037,2.9789,2.8618,2.89,172267.2227899883,59608.03556747
