https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1648684800000,2022-03-31 00:00:00,SOL/USD,120.8,129.49,119.91,122.86,11230805.638413627,91411.40841945
1648598400000,2022-03-30 00:00:00,SOL/USD,111.52,125.56,107.13,120.24,11533347.555606805,95919.39084836
1648512000000,2022-03-29 00:00:00,SOL/USD,105.78,115.65,105.57,111.7,8563994.68954828,76669.6033084
1648425600000,2022-03-28 00:00:00,SOL/USD,107.03,113.82,105.19,105.59,6659754.859424837,63071.83312269
1648339200000,2022-03-27 00:00:00,SOL/USD,101.81,107.38,98.779,106.99,4339746.278059668,40562.16728722
1648252800000,2022-03-26 00:00:00,SOL/USD,98.61,103.45,97.718,101.88,2925585.8824312477,28715.99806077
1648166400000,2022-03-25 00:00:00,SOL/USD,102.33,104.82,97.159,98.544,3972578.9647044754,40312.74318786
1648080000000,2022-03-24 00:00:00,SOL/USD,94.9,103.74,93.441,102.35,5641892.580079641,55123.52301006
1647993600000,2022-03-23 00:00:00,SOL/USD,90.365,96.26,89.22,94.9,3033952.0095391395,31969.98956311
1647907200000,2022-03-22 00:00:00,SOL/USD,88.652,93.916,88.023,90.447,4584918.466730957,50691.76939789
1647820800000,2022-03-21 00:00:00,SOL/USD,88.658,91.248,86.767,88.67,1658186.2962929152,18700.6461745
1647734400000,2022-03-20 00:00:00,SOL/USD,92.413,92.491,87.903,88.659,1639628.6808284773,18493.65186646
1647648000000,2022-03-19 00:00:00,SOL/USD,89.791,94.558,89.302,92.366,1957806.7863461059,21196.18459548
1647561600000,2022-03-18 00:00:00,SOL/USD,87.847,92.257,84.5,89.864,3291429.2568849474,36626.78332686
1647475200000,2022-03-17 00:00:00,SOL/USD,87.869,91.021,86.641,87.914,3018623.9319616742,34336.10041588
1647388800000,2022-03-16 00:00:00,SOL/USD,82.9,88.007,81.615,87.881,4051117.825346024,46097.76658602
1647302400000,2022-03-15 00:00:00,SOL/USD,81.318,85.97,78.772,82.908,2560404.056053163,30882.47281388
1647216000000,2022-03-14 00:00:00,SOL/USD,78.66,82.269,77.974,81.358,1710046.6848861717,21018.78960749
1647129600000,2022-03-13 00:00:00,SOL/USD,81.29,83.309,77.704,78.869,1639070.9567163873,20782.19524422
1647043200000,2022-03-12 00:00:00,SOL/USD,80.73,82.7,80.615,81.464,957922.1064526878,11758.83956659
1646956800000,2022-03-11 00:00:00,SOL/USD,82.92,84.281,80.054,80.704,3579056.7734953905,44347.94772868
1646870400000,2022-03-10 00:00:00,SOL/USD,88.071,88.62,80.809,82.861,4392316.575732691,53008.24966791
1646784000000,2022-03-09 00:00:00,SOL/USD,82.228,89.896,82.006,88.17,4887009.884985227,55427.12810463
1646697600000,2022-03-08 00:00:00,SOL/USD,81.845,85.04,81.331,82.371,4177135.210116299,50711.23587326
1646611200000,2022-03-07 00:00:00,SOL/USD,84.656,86.716,80.0,81.686,5694396.259609507,69710.79817361
1646524800000,2022-03-06 00:00:00,SOL/USD,89.55,89.994,84.116,84.521,2093558.47281406,24769.68413547
1646438400000,2022-03-05 00:00:00,SOL/USD,88.36,91.23,85.996,89.613,2325346.2726012054,25948.76047673
1646352000000,2022-03-04 00:00:00,SOL/USD,95.65,95.978,87.016,88.139,7104702.514893756,80607.93195854
1646265600000,2022-03-03 00:00:00,SOL/USD,100.77,101.8,94.186,95.48,4749679.777283025,49745.28463849
1646179200000,2022-03-02 00:00:00,SOL/USD,98.691,106.42,96.822,100.68,10797802.058585435,107248.72922711
