https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SRM
1652745600000,2022-05-17 00:00:00,SRM/USD,1.2147,1.282,1.1994,1.2614,33722.850956731556,26734.46246768
1652659200000,2022-05-16 00:00:00,SRM/USD,1.3504,1.3504,1.202,1.2104,90904.02247549267,75102.46404122
1652572800000,2022-05-15 00:00:00,SRM/USD,1.3041,1.3605,1.2698,1.3592,192751.44213867237,141812.42064352
1652486400000,2022-05-14 00:00:00,SRM/USD,1.1998,1.3175,1.1998,1.3133,76908.32355289614,58561.12354595
1652400000000,2022-05-13 00:00:00,SRM/USD,1.0394,1.2155,1.0394,1.1992,129204.38672527495,107742.15037131
1652313600000,2022-05-12 00:00:00,SRM/USD,1.1615,1.198,0.9739,1.0374,83222.33214267228,80222.02828482
1652227200000,2022-05-11 00:00:00,SRM/USD,1.4597,1.4755,1.1211,1.1548,162097.8844867171,140368.79501794
1652140800000,2022-05-10 00:00:00,SRM/USD,1.4136,1.5722,1.3904,1.4516,213187.35218657902,146863.70362812
1652054400000,2022-05-09 00:00:00,SRM/USD,1.7028,1.7129,1.4447,1.4467,158932.0634379916,109858.34204603
1651968000000,2022-05-08 00:00:00,SRM/USD,1.7202,1.7256,1.6677,1.6889,145480.5537321694,86139.23484645
1651881600000,2022-05-07 00:00:00,SRM/USD,1.7707,1.7921,1.6918,1.7236,144959.75170239588,84102.89609097
1651795200000,2022-05-06 00:00:00,SRM/USD,1.8157,1.8161,1.71,1.7672,153072.87487240857,86618.87441852
1651708800000,2022-05-05 00:00:00,SRM/USD,2.0338,2.0402,1.7692,1.8099,159062.10887084506,87884.47365647
1651622400000,2022-05-04 00:00:00,SRM/USD,1.8175,2.028,1.8158,2.028,86035.2950480946,42423.71550695
1651536000000,2022-05-03 00:00:00,SRM/USD,1.8536,1.8908,1.8016,1.8222,90058.51495397274,49422.95848643
1651449600000,2022-05-02 00:00:00,SRM/USD,1.9082,1.9358,1.7952,1.8606,126892.35155791653,68199.69448453
1651363200000,2022-05-01 00:00:00,SRM/USD,1.8189,1.9165,1.7686,1.8952,121793.19692975865,64264.03383799
1651276800000,2022-04-30 00:00:00,SRM/USD,1.9941,2.0218,1.7843,1.8259,154007.26173385105,84345.94541533
1651190400000,2022-04-29 00:00:00,SRM/USD,2.166,2.1936,1.9662,1.9869,84266.71926684615,42411.1526835
1651104000000,2022-04-28 00:00:00,SRM/USD,2.141,2.2587,2.1287,2.1591,107313.60498015986,49702.93408372
1651017600000,2022-04-27 00:00:00,SRM/USD,2.1024,2.1612,2.1001,2.1336,89170.37309531063,41793.3882149
1650931200000,2022-04-26 00:00:00,SRM/USD,2.2755,2.2935,2.0688,2.0877,84299.42434265061,40379.08911369
1650844800000,2022-04-25 00:00:00,SRM/USD,2.2946,2.2946,2.12,2.2799,79857.85881108524,35026.91293964
1650758400000,2022-04-24 00:00:00,SRM/USD,2.378,2.3829,2.3023,2.3133,39264.35089144309,16973.30691715
1650672000000,2022-04-23 00:00:00,SRM/USD,2.4398,2.4405,2.3491,2.3576,34537.94273499657,14649.61941593
1650585600000,2022-04-22 00:00:00,SRM/USD,2.4371,2.5433,2.4012,2.4375,112595.74705370062,46193.12699639
1650499200000,2022-04-21 00:00:00,SRM/USD,2.4318,2.6462,2.3853,2.4393,189192.53451055608,77560.17484957
1650412800000,2022-04-20 00:00:00,SRM/USD,2.4691,2.5091,2.3697,2.4157,109457.16091502937,45310.74260671
1650326400000,2022-04-19 00:00:00,SRM/USD,2.3833,2.4809,2.355,2.4758,28601.751719482127,11552.52917016
1650240000000,2022-04-18 00:00:00,SRM/USD,2.3589,2.3629,2.2307,2.3601,38416.19217044913,16277.3578113
1650153600000,2022-04-17 00:00:00,SRM/USD,2.4873,2.4873,2.3545,2.3589,23288.81327042606,9872.74291849
1650067200000,2022-04-16 00:00:00,SRM/USD,2.4833,2.4866,2.4296,2.4866,3783.7774472886904,1521.66711465
1649980800000,2022-04-15 00:00:00,SRM/USD,2.4535,2.4582,2.3911,2.4389,5663.230885518414,2322.04308726
1649894400000,2022-04-14 00:00:00,SRM/USD,2.5596,2.5675,2.4074,2.4318,19670.893838990098,8089.0261695
1649808000000,2022-04-13 00:00:00,SRM/USD,2.4092,2.5627,2.4092,2.5465,23402.41780820746,9190.03251844
1649721600000,2022-04-12 00:00:00,SRM/USD,2.2717,2.3889,2.2454,2.3626,32502.33856559966,13757.02131787
1649635200000,2022-04-11 00:00:00,SRM/USD,2.5549,2.5549,2.2448,2.2702,28076.637949248303,12367.47332801
1649548800000,2022-04-10 00:00:00,SRM/USD,2.6637,2.6757,2.5605,2.5605,9592.440606895321,3746.31540984
1649462400000,2022-04-09 00:00:00,SRM/USD,2.6322,2.6707,2.6053,2.646,28629.897781035597,10820.0671886
1649376000000,2022-04-08 00:00:00,SRM/USD,2.6893,2.7586,2.5925,2.6147,44256.63272717096,16926.08434129
1649289600000,2022-04-07 00:00:00,SRM/USD,2.5367,2.7088,2.5002,2.7088,35129.0863221129,12968.50499192
1649203200000,2022-04-06 00:00:00,SRM/USD,2.8527,2.8527,2.5312,2.5334,47680.25858048015,18820.65942231
1649116800000,2022-04-05 00:00:00,SRM/USD,3.0729,3.1287,2.9412,2.9477,17831.628304035414,6049.33619569
1649030400000,2022-04-04 00:00:00,SRM/USD,3.1665,3.196,2.9839,3.1187,10590.009498271893,3395.64866716
1648944000000,2022-04-03 00:00:00,SRM/USD,3.2918,3.3668,3.2473,3.2816,5046.519727186448,1537.82293003
1648857600000,2022-04-02 00:00:00,SRM/USD,3.395,3.5238,3.3308,3.3605,14769.169152983246,4394.93204969
1648771200000,2022-04-01 00:00:00,SRM/USD,3.2759,3.4199,3.1161,3.4199,66369.21115032479,19406.76954014
1648684800000,2022-03-31 00:00:00,SRM/USD,3.4633,3.5822,3.2,3.2,36762.971180960005,11488.42849405
1648598400000,2022-03-30 00:00:00,SRM/USD,3.3104,3.6881,3.2016,3.5239,35539.77837697168,10085.35383438
1648512000000,2022-03-29 00:00:00,SRM/USD,3.2967,3.5194,3.1946,3.3187,49815.72085553803,15010.61284706
1648425600000,2022-03-28 00:00:00,SRM/USD,3.0655,3.4748,3.0376,3.3672,785725.1142691884,233346.73148883
1648339200000,2022-03-27 00:00:00,SRM/USD,2.9398,3.1191,2.8769,3.1191,9956.590460715934,3192.13569963
1648252800000,2022-03-26 00:00:00,SRM/USD,3.1053,3.1071,3.0079,3.0323,6661.822411316913,2196.95360331
1648166400000,2022-03-25 00:00:00,SRM/USD,2.9925,3.2676,2.9925,3.1079,79993.88131186791,25738.88519961
1648080000000,2022-03-24 00:00:00,SRM/USD,3.1756,3.1789,2.8833,3.0806,70953.29947290583,23032.29873171
1647993600000,2022-03-23 00:00:00,SRM/USD,2.4852,3.1244,2.4852,3.1244,76368.66964472669,24442.66727843
1647907200000,2022-03-22 00:00:00,SRM/USD,2.4654,2.5941,2.4015,2.5019,58039.925747115485,23198.33956078
1647820800000,2022-03-21 00:00:00,SRM/USD,2.6068,2.6617,2.4575,2.4575,29754.152699870872,12107.48838245
1647734400000,2022-03-20 00:00:00,SRM/USD,2.7495,2.9631,2.5744,2.5871,75449.711589624,29163.8172431
1647648000000,2022-03-19 00:00:00,SRM/USD,2.2522,2.6722,2.2232,2.6423,130928.8621946484,49551.09646696
1647561600000,2022-03-18 00:00:00,SRM/USD,1.8841,2.1891,1.8587,2.1684,40970.83281773649,18894.49954701
1647475200000,2022-03-17 00:00:00,SRM/USD,1.8966,1.9074,1.8612,1.888,9036.94243520192,4786.51612034
1647388800000,2022-03-16 00:00:00,SRM/USD,1.8365,1.8734,1.7989,1.8727,10949.034695663173,5846.65707036
1647302400000,2022-03-15 00:00:00,SRM/USD,1.801,1.8285,1.7584,1.8188,7291.1738294924435,4008.78262013
1647216000000,2022-03-14 00:00:00,SRM/USD,1.7507,1.8054,1.7507,1.7729,5641.246802978968,3181.93175192
