https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SAN
1649808000000,2022-04-13 00:00:00,SAN/USD,0.20011,0.30943,0.19693,0.27072,123171.13043841982,454976.10238778003
1649721600000,2022-04-12 00:00:00,SAN/USD,0.20616,0.21072,0.162,0.19665,10212.80963946218,51933.94172114
1649635200000,2022-04-11 00:00:00,SAN/USD,0.22588,0.26645,0.2063,0.21734,57224.315331153164,263293.98790445
1649548800000,2022-04-10 00:00:00,SAN/USD,0.235,0.235,0.22123,0.22589,213.88227355866002,946.8425940000001
1649462400000,2022-04-09 00:00:00,SAN/USD,0.22482,0.22482,0.2206,0.2206,1875.6837247009119,8502.64607752
1649376000000,2022-04-08 00:00:00,SAN/USD,0.23663,0.24223,0.2244,0.22618,451.04999043741356,1994.20811052
1649289600000,2022-04-07 00:00:00,SAN/USD,0.23582,0.24205,0.2244,0.2244,3511.17606061992,15646.9521418
1649203200000,2022-04-06 00:00:00,SAN/USD,0.25101,0.2584,0.23961,0.23961,4514.28590975322,18840.13985123
1649116800000,2022-04-05 00:00:00,SAN/USD,0.25482,0.25482,0.25102,0.25482,159.7500826355526,626.9134394299999
1649030400000,2022-04-04 00:00:00,SAN/USD,0.25483,0.25839,0.25481,0.25482,1320.879208535574,5183.5774607
1648944000000,2022-04-03 00:00:00,SAN/USD,0.25291,0.25842,0.25291,0.25483,397.9280162342145,1561.54305315
1648857600000,2022-04-02 00:00:00,SAN/USD,0.25793,0.25793,0.25291,0.25793,369.5688512605111,1432.82615927
1648771200000,2022-04-01 00:00:00,SAN/USD,0.25101,0.25793,0.25101,0.25292,54.092959050263595,213.87379033
1648684800000,2022-03-31 00:00:00,SAN/USD,0.25101,0.25634,0.25101,0.25101,1469.2255334008048,5853.25498347
1648598400000,2022-03-30 00:00:00,SAN/USD,0.25501,0.25501,0.25101,0.25163,985.5843840000001,3916.8
1648512000000,2022-03-29 00:00:00,SAN/USD,0.24682,0.25788,0.24023,0.252,1137.40202700684,4513.50010717
1648425600000,2022-03-28 00:00:00,SAN/USD,0.2372,0.25841,0.237,0.24023,4289.929162613817,17857.591319209998
1648339200000,2022-03-27 00:00:00,SAN/USD,0.22222,0.23495,0.219,0.23495,5000.676345201475,21284.0023205
1648252800000,2022-03-26 00:00:00,SAN/USD,0.21874,0.22279,0.21874,0.22279,434.6959691112317,1951.14668123
