https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZIL
1656633600000,2022-07-01 00:00:00,ZIL/USD,0.038795,0.041285,0.037168,0.040616,3222.2779067992547,79335.18580853
1656547200000,2022-06-30 00:00:00,ZIL/USD,0.039639,0.039639,0.035214,0.038645,14340.57223606378,371084.80362437
1656460800000,2022-06-29 00:00:00,ZIL/USD,0.041412,0.041943,0.03864,0.040052,5137.990891849106,128283.00439052
1656374400000,2022-06-28 00:00:00,ZIL/USD,0.045237,0.045365,0.041056,0.041159,5043.787822294671,122543.98363164
1656288000000,2022-06-27 00:00:00,ZIL/USD,0.045606,0.047347,0.043874,0.04523,10413.655784478997,230237.80200042
1656201600000,2022-06-26 00:00:00,ZIL/USD,0.0483,0.050976,0.045611,0.045611,20490.478994541627,449244.23920856
1656115200000,2022-06-25 00:00:00,ZIL/USD,0.044361,0.051085,0.044276,0.048836,67642.95256561255,1385104.27892564
1656028800000,2022-06-24 00:00:00,ZIL/USD,0.041592,0.049155,0.041592,0.045987,21614.717234264735,470017.98843727
1655942400000,2022-06-23 00:00:00,ZIL/USD,0.040016,0.041994,0.039209,0.041192,11018.690837726002,267495.89332215
1655856000000,2022-06-22 00:00:00,ZIL/USD,0.040031,0.041729,0.03756,0.03849,13318.650298020679,346028.8464022
1655769600000,2022-06-21 00:00:00,ZIL/USD,0.034517,0.045204,0.034269,0.041306,37876.36421264129,916970.03371523
1655683200000,2022-06-20 00:00:00,ZIL/USD,0.033079,0.034964,0.032609,0.033858,33373.06182461121,985677.29412875
1655596800000,2022-06-19 00:00:00,ZIL/USD,0.031598,0.034432,0.031104,0.033653,8236.12260797872,244736.65373009
1655510400000,2022-06-18 00:00:00,ZIL/USD,0.032584,0.033295,0.029699,0.031825,9793.728644787623,307736.95663119
1655424000000,2022-06-17 00:00:00,ZIL/USD,0.032431,0.03413,0.032431,0.033577,11987.921727991301,357027.77877688
1655337600000,2022-06-16 00:00:00,ZIL/USD,0.0376,0.0376,0.032679,0.032827,25519.744565960238,777401.05906602
1655251200000,2022-06-15 00:00:00,ZIL/USD,0.033028,0.037175,0.030248,0.037046,34583.35810459154,933524.75583306
1655164800000,2022-06-14 00:00:00,ZIL/USD,0.033792,0.035383,0.030516,0.033452,28059.51465556624,838799.31410876
1655078400000,2022-06-13 00:00:00,ZIL/USD,0.037235,0.037235,0.031061,0.032945,104194.33416594757,3162675.19095303
1654992000000,2022-06-12 00:00:00,ZIL/USD,0.0405,0.040557,0.037284,0.037426,57863.55765043987,1546079.13350184
1654905600000,2022-06-11 00:00:00,ZIL/USD,0.046072,0.046412,0.040666,0.041608,60560.78102166526,1455508.09992466
1654819200000,2022-06-10 00:00:00,ZIL/USD,0.048701,0.048701,0.04496,0.045609,90591.89120993348,1986272.25350114
1654732800000,2022-06-09 00:00:00,ZIL/USD,0.048887,0.049605,0.048375,0.04871,85167.19248523086,1748453.96192221
1654646400000,2022-06-08 00:00:00,ZIL/USD,0.049471,0.050206,0.048501,0.049201,44597.61909808847,906437.24920405
1654560000000,2022-06-07 00:00:00,ZIL/USD,0.050465,0.051013,0.048122,0.049834,61702.3279555613,1238157.24115185
1654473600000,2022-06-06 00:00:00,ZIL/USD,0.051374,0.053287,0.050701,0.051484,23724.27700499727,460808.73679196
