https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TSD
1656374400000,2022-06-28 00:00:00,TSD/USD,1.0008,1.0016,0.99983,1.0008,1152.4624282162079,1151.54119526
1656288000000,2022-06-27 00:00:00,TSD/USD,1.001,1.0017,1.0007,1.0009,899.9725069740358,899.16326004
1656201600000,2022-06-26 00:00:00,TSD/USD,1.0006,1.0016,0.99881,1.0012,5002.77376535864,4996.7776322
1656115200000,2022-06-25 00:00:00,TSD/USD,1.0002,1.001,0.99882,1.0006,1150.735957638048,1150.04593008
1656028800000,2022-06-24 00:00:00,TSD/USD,1.0001,1.0012,0.99777,0.99923,2864.4969381486458,2866.70430046
1655942400000,2022-06-23 00:00:00,TSD/USD,1.0002,1.0005,0.9982,1.0001,2063.832714495186,2063.62635186
1655856000000,2022-06-22 00:00:00,TSD/USD,0.99861,1.001,0.99828,1.0002,1538.555078055714,1538.24742857
1655769600000,2022-06-21 00:00:00,TSD/USD,1.0008,1.0014,0.99844,1.0004,2951.616232903392,2950.43605848
1655683200000,2022-06-20 00:00:00,TSD/USD,1.0007,1.0016,0.99861,1.0008,3833.4295435310637,3830.36525133
1655596800000,2022-06-19 00:00:00,TSD/USD,1.002,1.0021,0.99911,1.0007,1972.6254915036989,1971.24561957
1655510400000,2022-06-18 00:00:00,TSD/USD,0.9988,1.0021,0.99811,1.0019,6314.540813622846,6302.56593834
1655424000000,2022-06-17 00:00:00,TSD/USD,1.0021,1.0024,0.9969,0.9988,101969.77379893155,102092.28454038
1655337600000,2022-06-16 00:00:00,TSD/USD,1.0012,1.003,1.0005,1.002,2015.10011362542,2011.07795771
1655251200000,2022-06-15 00:00:00,TSD/USD,1.0017,1.0029,1.0008,1.0011,2695.2379000356,2692.2763959999997
1655164800000,2022-06-14 00:00:00,TSD/USD,1.0023,1.0027,1.0005,1.0008,7828.1061932214,7821.848714250001
1655078400000,2022-06-13 00:00:00,TSD/USD,1.0027,1.0055,0.99949,1.0013,89246.37703296539,89130.50737338
1654992000000,2022-06-12 00:00:00,TSD/USD,1.0021,1.0029,1.0013,1.0018,2858.325956896118,2853.19021451
1654905600000,2022-06-11 00:00:00,TSD/USD,1.0011,1.0062,1.0009,1.0021,3948.475238254734,3940.2008165400002
1654819200000,2022-06-10 00:00:00,TSD/USD,1.0009,1.002,1.0005,1.0018,2898.35188190014,2893.1442223
1654732800000,2022-06-09 00:00:00,TSD/USD,1.0018,1.002,1.0007,1.0016,1983.9377738206401,1980.76854415
1654646400000,2022-06-08 00:00:00,TSD/USD,1.0013,1.002,1.0004,1.0009,1849.0421006031809,1847.37945909
1654560000000,2022-06-07 00:00:00,TSD/USD,1.0014,1.0015,1.0,1.0013,3949.5899026725224,3944.46210194
1654473600000,2022-06-06 00:00:00,TSD/USD,1.0017,1.002,1.0002,1.0014,2123.616621640776,2120.64771484
1654387200000,2022-06-05 00:00:00,TSD/USD,1.002,1.002,1.0001,1.0018,5962.041520069753,5951.3291276400005
1654300800000,2022-06-04 00:00:00,TSD/USD,1.002,1.0033,1.0005,1.0008,14056.749259839647,14045.51284956
1654214400000,2022-06-03 00:00:00,TSD/USD,1.0012,1.0023,1.0004,1.0011,11502.88037860472,11490.24111338
1654128000000,2022-06-02 00:00:00,TSD/USD,1.0021,1.0029,1.001,1.0011,915.8857132205341,914.87934594
1654041600000,2022-06-01 00:00:00,TSD/USD,1.0003,1.0023,0.99965,1.0011,2081.786795510853,2079.49934623
1653955200000,2022-05-31 00:00:00,TSD/USD,1.0014,1.0015,0.99962,1.0015,2107.0991029021798,2103.94318812
1653868800000,2022-05-30 00:00:00,TSD/USD,1.0017,1.002,0.99969,1.0013,2505.1445136401608,2501.89205397
1653782400000,2022-05-29 00:00:00,TSD/USD,1.0016,1.0021,1.0002,1.0008,1970.007390735696,1968.43264462
1653696000000,2022-05-28 00:00:00,TSD/USD,1.0018,1.0019,1.0001,1.0016,2042.213468304352,2038.95114647
1653609600000,2022-05-27 00:00:00,TSD/USD,1.0015,1.0019,0.99982,1.0001,3949.204514973401,3948.80963401
1653523200000,2022-05-26 00:00:00,TSD/USD,1.0011,1.0018,0.99962,1.0012,3782.0535418606883,3777.52051724
1653436800000,2022-05-25 00:00:00,TSD/USD,1.001,1.0017,0.9997,0.99999,1006.2761442179293,1006.28620708
1653350400000,2022-05-24 00:00:00,TSD/USD,1.0012,1.0016,0.99995,1.0014,1443.8175902201283,1441.79907152
1653264000000,2022-05-23 00:00:00,TSD/USD,1.0009,1.0016,0.99993,1.0013,951.1652743343182,949.93036486
1653177600000,2022-05-22 00:00:00,TSD/USD,1.0012,1.0021,0.99986,1.0014,5805.636328861596,5797.51980114
1653091200000,2022-05-21 00:00:00,TSD/USD,1.0017,1.0017,1.0,1.001,1450.1986524925899,1448.74990259
1653004800000,2022-05-20 00:00:00,TSD/USD,1.0021,1.0202,0.952,1.0012,104206.30540005298,104081.4077108
1652918400000,2022-05-19 00:00:00,TSD/USD,1.0017,1.021,1.0,1.0007,3237.8459279848885,3235.58102127
1652832000000,2022-05-18 00:00:00,TSD/USD,1.0017,1.0027,0.99997,1.0003,22311.145232838997,22304.45389667
1652745600000,2022-05-17 00:00:00,TSD/USD,1.002,1.0484,0.971,1.0002,2051.492368050324,2051.08215162
1652659200000,2022-05-16 00:00:00,TSD/USD,1.0017,1.0026,0.99965,1.0019,2147.4875726996756,2143.41508404
1652572800000,2022-05-15 00:00:00,TSD/USD,1.0014,1.0026,1.0002,1.0016,2110.3515883014084,2106.98041963
1652486400000,2022-05-14 00:00:00,TSD/USD,1.0025,1.0031,1.0009,1.0024,2261.488142498256,2256.07356594
1652400000000,2022-05-13 00:00:00,TSD/USD,1.0063,1.0072,0.9999,1.0012,2396.906577714676,2394.03373723
1652313600000,2022-05-12 00:00:00,TSD/USD,1.0071,1.0605,0.9979,1.0062,40545.192168279165,40295.36093051
1652227200000,2022-05-11 00:00:00,TSD/USD,1.0017,1.0076,1.0005,1.0075,151651.50381216715,150522.58442895
1652140800000,2022-05-10 00:00:00,TSD/USD,1.001,1.0019,1.0003,1.0016,4391.196989847072,4384.18229817
1652054400000,2022-05-09 00:00:00,TSD/USD,1.0016,1.0018,1.0,1.0009,1079.4454140881019,1078.47478678
1651968000000,2022-05-08 00:00:00,TSD/USD,1.001,1.0014,1.0008,1.001,646.8063895793499,646.16022935
1651881600000,2022-05-07 00:00:00,TSD/USD,1.0009,1.0012,1.0008,1.001,11591.977872775298,11580.3974753
