https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EUT
1655164800000,2022-06-14 00:00:00,EUT/USD,1.0416,1.04751835,1.0394,1.04349278,922352.1596350607,883908.52079979
1655078400000,2022-06-13 00:00:00,EUT/USD,1.04999816,1.05257089,1.0395,1.0418,2601961.450165135,2497563.30405561
1654992000000,2022-06-12 00:00:00,EUT/USD,1.0517,1.0528,1.0484,1.05,388311.649253682,369820.61833684
1654905600000,2022-06-11 00:00:00,EUT/USD,1.0515,1.0524,1.0504,1.0512,96546.38793678633,91843.97634778
1654819200000,2022-06-10 00:00:00,EUT/USD,1.0611,1.06405845,1.0482,1.0519,379942.2983532112,361196.21480484
1654732800000,2022-06-09 00:00:00,EUT/USD,1.07175772,1.075,1.0597,1.06119501,80852.72740072574,76190.26346602
1654646400000,2022-06-08 00:00:00,EUT/USD,1.06979705,1.0737,1.0661,1.0719,344262.39978390635,321170.25821803
1654560000000,2022-06-07 00:00:00,EUT/USD,1.06879964,1.07039931,1.0644,1.0699,118457.88073763592,110718.64729193
1654473600000,2022-06-06 00:00:00,EUT/USD,1.06929249,1.0738,1.0639,1.0683,438915.2984935362,410853.97219277
1654387200000,2022-06-05 00:00:00,EUT/USD,1.06908935,1.07026853,1.06244707,1.06929249,439121.8582668045,410665.80226969
1654300800000,2022-06-04 00:00:00,EUT/USD,1.06959318,1.07037573,1.0644,1.06859624,77401.37843492773,72432.76322489
1654214400000,2022-06-03 00:00:00,EUT/USD,1.07229395,1.0755,1.0639,1.06730986,179007.93929832045,167718.80969817
1654128000000,2022-06-02 00:00:00,EUT/USD,1.06359521,1.07433486,1.05890684,1.0725,54597.0261434598,50906.31808248
1654041600000,2022-06-01 00:00:00,EUT/USD,1.07179204,1.07249767,1.0567,1.06221039,50295.660455250785,47349.99857726
1653955200000,2022-05-31 00:00:00,EUT/USD,1.07379116,1.0767,1.06090356,1.07070776,104138.57820186688,97261.43966853
1653868800000,2022-05-30 00:00:00,EUT/USD,1.0711,1.07849207,1.06790938,1.0756,361035.49316601903,335659.62547975
1653782400000,2022-05-29 00:00:00,EUT/USD,1.07279081,1.0735,1.0594,1.0694,2282202.212120074,2134095.95298305
1653696000000,2022-05-28 00:00:00,EUT/USD,1.0729,1.0736,1.0716,1.07279081,29195.35123142957,27214.39348593
1653609600000,2022-05-27 00:00:00,EUT/USD,1.0738,1.07655927,1.0696,1.0729,252831.30330660057,235652.25399068
1653523200000,2022-05-26 00:00:00,EUT/USD,1.0691,1.0738,1.0665,1.0734,287338.37709331233,267689.93580520997
1653436800000,2022-05-25 00:00:00,EUT/USD,1.074,1.0742,1.0647,1.0691,114098.0556236132,106723.46424433
1653350400000,2022-05-24 00:00:00,EUT/USD,1.0669,1.07525037,1.0642,1.074,1044549.8761008692,972579.02802688
1653264000000,2022-05-23 00:00:00,EUT/USD,1.05661395,1.0692937,1.05590377,1.06729341,147487.96197660032,138188.76851924
1653177600000,2022-05-22 00:00:00,EUT/USD,1.0561,1.0579,1.054,1.057,26542.89279483919,25111.53528367
1653091200000,2022-05-21 00:00:00,EUT/USD,1.0556,1.0576,1.05392131,1.056,1107904.5552945957,1049152.04099867
1653004800000,2022-05-20 00:00:00,EUT/USD,1.05842273,1.0679,1.0521,1.0548,188557.5295986926,178761.40462523
1652918400000,2022-05-19 00:00:00,EUT/USD,1.0454,1.0618,1.0449,1.05874013,150864.1391584553,142494.02179405
1652832000000,2022-05-18 00:00:00,EUT/USD,1.0536,1.0573,1.0436,1.0456,87132.62584573959,83332.65670021
1652745600000,2022-05-17 00:00:00,EUT/USD,1.0446,1.0567,1.0419,1.05479789,96880.08652164221,91847.0613566
1652659200000,2022-05-16 00:00:00,EUT/USD,1.0418,1.0496,1.0371,1.043,285520.88959672145,273749.65445515
1652572800000,2022-05-15 00:00:00,EUT/USD,1.0429,1.0434,1.0382,1.0394,170651.88472862833,164183.07170351
1652486400000,2022-05-14 00:00:00,EUT/USD,1.0406,1.04304825,1.0359,1.0429,569872.3381111316,546430.47090913
1652400000000,2022-05-13 00:00:00,EUT/USD,1.0407,1.046,1.0356,1.0405,790209.1530525689,759451.37246763
1652313600000,2022-05-12 00:00:00,EUT/USD,1.0537,1.0819,1.0384,1.04152174,7257495.292067444,6968164.95838814
1652227200000,2022-05-11 00:00:00,EUT/USD,1.0543,1.0608,1.0516,1.0538,2346569.824519504,2226769.61901642
1652140800000,2022-05-10 00:00:00,EUT/USD,1.0575,1.05943234,1.0534,1.0543,254035.32054111105,240951.6461549
1652054400000,2022-05-09 00:00:00,EUT/USD,1.0545,1.0599,1.0507,1.05741298,573786.2808214118,542632.15193501
1651968000000,2022-05-08 00:00:00,EUT/USD,1.055,1.057,1.0539,1.0543,142014.3512353986,134700.1339613
1651881600000,2022-05-07 00:00:00,EUT/USD,1.0546,1.0554,1.0542,1.0547,122276.84222151873,115935.18746707
1651795200000,2022-05-06 00:00:00,EUT/USD,1.05418143,1.06,1.04859886,1.05472343,265016.5111317147,251266.35437663
1651708800000,2022-05-05 00:00:00,EUT/USD,1.0625,1.0643,1.0494,1.0542,115246.98635197822,109321.74763041
1651622400000,2022-05-04 00:00:00,EUT/USD,1.0531,1.06340033,1.051,1.06224336,309486.0035535619,291351.31854678
1651536000000,2022-05-03 00:00:00,EUT/USD,1.0515,1.05770348,1.0495,1.0527,226156.09286639947,214834.32399202
1651449600000,2022-05-02 00:00:00,EUT/USD,1.0542,1.05605764,1.0492,1.051,196687.73261243763,187143.41828014998
1651363200000,2022-05-01 00:00:00,EUT/USD,1.05477935,1.0565,1.0508,1.054,1538636.671493426,1459807.08870344
1651276800000,2022-04-30 00:00:00,EUT/USD,1.0548,1.0551,1.0543,1.05446301,39570.11857057909,37526.32211402
1651190400000,2022-04-29 00:00:00,EUT/USD,1.05053666,1.0594,1.05043164,1.0548,730854.649102488,692884.57442405
