https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LYM
1659484800000,2022-08-03 00:00:00,LYM/USD,0.0031522,0.0031522,0.0031383,0.0031383,57.629575773000006,18363.31
1659398400000,2022-08-02 00:00:00,LYM/USD,0.0031779,0.0031779,0.0031779,0.0031779,199.5723965758149,62800.087031
1659312000000,2022-08-01 00:00:00,LYM/USD,0.0031824,0.0031824,0.0031824,0.0031824,50.005051200000004,15713.0
1659225600000,2022-07-31 00:00:00,LYM/USD,0.0036375,0.0036375,0.0033827,0.0033827,455.20208359643533,134567.67777114
1659139200000,2022-07-30 00:00:00,LYM/USD,0.0037071,0.0037073,0.0036831,0.0037073,54.280186811713044,14641.433607129999
1659052800000,2022-07-29 00:00:00,LYM/USD,0.003555,0.0036282,0.0035044,0.0035044,1174.4300352699404,335130.13219665
1658966400000,2022-07-28 00:00:00,LYM/USD,0.0034467,0.0035,0.0034467,0.0034939,628.9323688669953,180008.69196800003
1658880000000,2022-07-27 00:00:00,LYM/USD,0.0032536,0.0034533,0.0032536,0.0034533,177.0998116359875,51284.22425969
1658793600000,2022-07-26 00:00:00,LYM/USD,0.0035353,0.0035738,0.003173,0.003173,851.2750153019664,268287.1148131
1658707200000,2022-07-25 00:00:00,LYM/USD,0.0040044,0.0040148,0.0035808,0.0035808,370.9090935979689,103582.74508433
1658620800000,2022-07-24 00:00:00,LYM/USD,0.0048885,0.005108,0.0036786,0.0043339,863.532892914051,199250.76557236
1658534400000,2022-07-23 00:00:00,LYM/USD,0.0027587,0.0038447,0.0027587,0.0038447,2992.9321403294757,778456.61308541
1658448000000,2022-07-22 00:00:00,LYM/USD,0.0025281,0.0027587,0.0024953,0.0027587,2477.564251723,898091.22112698
1658361600000,2022-07-21 00:00:00,LYM/USD,0.0028363,0.0028363,0.0026024,0.0026155,258.65481086570867,98893.06475462
1658275200000,2022-07-20 00:00:00,LYM/USD,0.0028091,0.0028644,0.0027825,0.0028029,177.59484152708578,63361.10511509
1658188800000,2022-07-19 00:00:00,LYM/USD,0.0028106,0.0028453,0.0027947,0.0027947,156.00223224489503,55820.74363792
1658102400000,2022-07-18 00:00:00,LYM/USD,0.0026317,0.0027231,0.0025868,0.0026563,359.4401003661056,135316.07889399
1658016000000,2022-07-17 00:00:00,LYM/USD,0.0027073,0.0027392,0.0026804,0.0027392,227.88383898933066,83193.57439739
1657929600000,2022-07-16 00:00:00,LYM/USD,0.0025069,0.0025911,0.0024966,0.0025829,158.97986317910625,61550.91686829
1657756800000,2022-07-14 00:00:00,LYM/USD,0.0024169,0.0024393,0.0023229,0.0023823,196.32463903135059,82409.70450042
1657670400000,2022-07-13 00:00:00,LYM/USD,0.0023758,0.0023758,0.0023758,0.0023758,87.18607147805113,36697.5635483
1657584000000,2022-07-12 00:00:00,LYM/USD,0.0023928,0.0024002,0.0023891,0.0023891,200.04843510961663,83733.80566306
1657497600000,2022-07-11 00:00:00,LYM/USD,0.0023968,0.0024169,0.0023485,0.0024169,131.43108860379425,54380.02755753
1657324800000,2022-07-09 00:00:00,LYM/USD,0.0024216,0.0024699,0.0023956,0.0023964,552.8938049361788,230718.49646811
1657152000000,2022-07-07 00:00:00,LYM/USD,0.0023984,0.002497,0.0023984,0.002497,756.2738806949665,302872.99987784
1657065600000,2022-07-06 00:00:00,LYM/USD,0.0024048,0.0024152,0.0024043,0.0024051,196.5295228796766,81713.65967306
1656979200000,2022-07-05 00:00:00,LYM/USD,0.0024132,0.0024132,0.0024102,0.0024102,52.5491576605944,21802.820372000002
1656806400000,2022-07-03 00:00:00,LYM/USD,0.0022816,0.0024013,0.0022816,0.0023765,180.34624000256508,75887.33010838
1656633600000,2022-07-01 00:00:00,LYM/USD,0.0022938,0.0022938,0.0022938,0.0022938,79.3078591315554,34574.879733
1656547200000,2022-06-30 00:00:00,LYM/USD,0.0023163,0.0023163,0.0023,0.0023,8.284787312506001,3602.0814402200003
1656460800000,2022-06-29 00:00:00,LYM/USD,0.0023849,0.0023924,0.0023781,0.0023781,378.90203695451555,159329.73254048
1656201600000,2022-06-26 00:00:00,LYM/USD,0.0026787,0.0026787,0.0024951,0.0024951,33.429673128107375,13398.12958523
1656115200000,2022-06-25 00:00:00,LYM/USD,0.0024045,0.0024045,0.002396,0.002396,5.74987073759264,2399.77910584
1656028800000,2022-06-24 00:00:00,LYM/USD,0.0024068,0.0024869,0.0024021,0.0024869,541.8524626645404,217882.69036332
1655942400000,2022-06-23 00:00:00,LYM/USD,0.0027773,0.0028345,0.0024898,0.0026682,403.8932703471502,151372.93694143998
1655856000000,2022-06-22 00:00:00,LYM/USD,0.0024009,0.0025383,0.0023821,0.0025064,737.1888982173193,294122.60541706
1655769600000,2022-06-21 00:00:00,LYM/USD,0.0024107,0.0025181,0.0024107,0.0025059,106.45052893481385,42479.95887099
1655683200000,2022-06-20 00:00:00,LYM/USD,0.0025164,0.002531,0.0023854,0.0024175,388.21372149995193,160584.78655634
1655596800000,2022-06-19 00:00:00,LYM/USD,0.0025409,0.0025423,0.0025298,0.0025298,49.782475951939645,19678.4235718
1655424000000,2022-06-17 00:00:00,LYM/USD,0.0024718,0.0024718,0.0024718,0.0024718,25.9539,10500.0
1655337600000,2022-06-16 00:00:00,LYM/USD,0.0025639,0.0025639,0.0024815,0.0024815,2.8259256598826754,1138.79736445
1655251200000,2022-06-15 00:00:00,LYM/USD,0.002408,0.0027269,0.002408,0.0027269,309.0816797429538,113345.43978252
1655164800000,2022-06-14 00:00:00,LYM/USD,0.0024749,0.0024749,0.0024432,0.0024432,4.744453518168768,1941.90140724
1655078400000,2022-06-13 00:00:00,LYM/USD,0.0025694,0.0026594,0.0025694,0.0026288,36.78572078529987,13993.35087694
1654992000000,2022-06-12 00:00:00,LYM/USD,0.0027323,0.0027337,0.0026747,0.0026833,867.2707703104935,323210.51328979
1654905600000,2022-06-11 00:00:00,LYM/USD,0.0034219,0.0034219,0.0027483,0.0028022,522.0446758263746,186298.14996302
