https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CRV
1657411200000,2022-07-10 00:00:00,CRV/USD,1.0153,1.0212,0.95,0.95568,13103.759208368663,13711.45070355
1657324800000,2022-07-09 00:00:00,CRV/USD,1.0092,1.0536,1.0064,1.0149,26095.00222249913,25711.89498719
1657238400000,2022-07-08 00:00:00,CRV/USD,1.0511,1.0667,0.98718,1.0073,22855.94208967422,22690.30287866
1657152000000,2022-07-07 00:00:00,CRV/USD,0.96331,1.0581,0.93819,1.053,11604.340295437498,11020.2661875
1657065600000,2022-07-06 00:00:00,CRV/USD,0.95944,1.0003,0.91765,0.95908,40294.31990382315,42013.51284963
1656979200000,2022-07-05 00:00:00,CRV/USD,0.8645,1.0094,0.82925,0.95594,30831.204150863443,32252.23774595
1656892800000,2022-07-04 00:00:00,CRV/USD,0.79599,0.87882,0.77596,0.8634,8796.308911924181,10187.98808423
1656806400000,2022-07-03 00:00:00,CRV/USD,0.77881,0.81319,0.75318,0.79734,8479.771067539523,10635.07546033
1656720000000,2022-07-02 00:00:00,CRV/USD,0.7466,0.7985,0.72842,0.77654,14121.18451737201,18184.74839335
1656633600000,2022-07-01 00:00:00,CRV/USD,0.68225,0.82812,0.66726,0.7466,32014.15460725937,42879.92848548
1656547200000,2022-06-30 00:00:00,CRV/USD,0.70923,0.71599,0.63715,0.68455,5595.756734884711,8174.35795031
1656460800000,2022-06-29 00:00:00,CRV/USD,0.69718,0.72554,0.68452,0.70648,7050.678271416476,9980.01114174
1656374400000,2022-06-28 00:00:00,CRV/USD,0.73553,0.77357,0.69028,0.69808,3252.6217917116705,4659.38258038
1656288000000,2022-06-27 00:00:00,CRV/USD,0.75015,0.79217,0.72044,0.73461,16988.03917035094,23125.24900335
1656201600000,2022-06-26 00:00:00,CRV/USD,0.81775,0.84921,0.74856,0.74856,7109.415643313563,9497.45597322
1656115200000,2022-06-25 00:00:00,CRV/USD,0.84144,0.85084,0.78286,0.82014,9953.70853217717,12136.59683978
1656028800000,2022-06-24 00:00:00,CRV/USD,0.82858,0.87049,0.79817,0.84389,5768.252991661183,6835.31383434
1655942400000,2022-06-23 00:00:00,CRV/USD,0.6952,0.83519,0.6952,0.83046,23793.35449560759,28650.81339933
1655856000000,2022-06-22 00:00:00,CRV/USD,0.71027,0.78,0.68123,0.69476,21500.120722576212,30946.11192725
1655769600000,2022-06-21 00:00:00,CRV/USD,0.69988,0.79004,0.68745,0.74004,22815.383201543325,30829.93243817
1655683200000,2022-06-20 00:00:00,CRV/USD,0.6427,0.73183,0.60684,0.70073,27216.479397072417,38840.18009372
1655596800000,2022-06-19 00:00:00,CRV/USD,0.58182,0.66221,0.55294,0.64696,7253.3100114887275,11211.3732093
1655510400000,2022-06-18 00:00:00,CRV/USD,0.65709,0.67615,0.53747,0.58347,5290.2171774750595,9066.81950653
1655424000000,2022-06-17 00:00:00,CRV/USD,0.66624,0.69521,0.65038,0.66173,3296.420047214219,4981.51821319
1655337600000,2022-06-16 00:00:00,CRV/USD,0.78,0.78651,0.64872,0.66113,24642.33616286667,37273.05698254
1655251200000,2022-06-15 00:00:00,CRV/USD,0.73127,0.77087,0.60645,0.76676,36673.49717408766,47829.17363202
