https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CLO
1653004800000,2022-05-20 00:00:00,CLO/USD,0.0037336,0.0037978,0.0035969,0.0036499,20791.249591785334,5696388.8303201
1652918400000,2022-05-19 00:00:00,CLO/USD,0.0037231,0.0037574,0.0037003,0.0037336,3840.427886858164,1028612.56879638
1652832000000,2022-05-18 00:00:00,CLO/USD,0.0038571,0.0038808,0.003723,0.0037574,9791.600540650752,2605951.06740053
1652745600000,2022-05-17 00:00:00,CLO/USD,0.0038821,0.0039286,0.0038104,0.0038571,9443.166770691401,2448255.62487138
1652659200000,2022-05-16 00:00:00,CLO/USD,0.0040707,0.0040826,0.0038402,0.0039052,8133.662761621746,2082777.51757189
1652572800000,2022-05-15 00:00:00,CLO/USD,0.0038339,0.0040707,0.0038249,0.0040707,4762.126275839461,1169854.3925711699
1652486400000,2022-05-14 00:00:00,CLO/USD,0.0039873,0.0040517,0.0036,0.0040074,9946.249151022823,2481970.64206788
1652400000000,2022-05-13 00:00:00,CLO/USD,0.0039991,0.00467,0.0037774,0.0039,21468.458658625757,5504732.98939122
1652313600000,2022-05-12 00:00:00,CLO/USD,0.0035225,0.0042785,0.0035223,0.0040143,33800.803932364215,8420099.12870593
1652227200000,2022-05-11 00:00:00,CLO/USD,0.004682,0.00477,0.0033501,0.0035224,33255.07617219816,9441027.75726725
1652140800000,2022-05-10 00:00:00,CLO/USD,0.0046,0.0047741,0.0042122,0.004682,18717.80791674181,3997823.13471632
1652054400000,2022-05-09 00:00:00,CLO/USD,0.0050911,0.0051582,0.0046,0.0046,12807.221314513363,2784178.54663334
1651968000000,2022-05-08 00:00:00,CLO/USD,0.0053102,0.0053111,0.0051067,0.0051068,6475.123550662261,1267941.48011715
1651881600000,2022-05-07 00:00:00,CLO/USD,0.0053762,0.0054342,0.0053042,0.0053094,13324.374166814761,2509581.9050768
1651795200000,2022-05-06 00:00:00,CLO/USD,0.0055016,0.0055107,0.005211,0.0053797,20687.067342967373,3845394.23071312
1651708800000,2022-05-05 00:00:00,CLO/USD,0.0057472,0.006054,0.0054883,0.0055,46987.56811394833,8543194.20253606
1651622400000,2022-05-04 00:00:00,CLO/USD,0.0056704,0.0057702,0.0056241,0.0057404,25954.53818231143,4521381.46859303
