https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XDC
1659571200000,2022-08-04 00:00:00,XDC/USD,0.029081,0.029081,0.028337,0.028337,2113.279156967007,74576.67208833
1659484800000,2022-08-03 00:00:00,XDC/USD,0.02812,0.030292,0.027629,0.029453,298212.9944580383,10125046.49638537
1659398400000,2022-08-02 00:00:00,XDC/USD,0.029785,0.03051,0.027628,0.028375,140598.8641846701,4955026.05056106
1659312000000,2022-08-01 00:00:00,XDC/USD,0.029597,0.029735,0.028696,0.029688,66676.69923604409,2245914.14834425
1659225600000,2022-07-31 00:00:00,XDC/USD,0.02947,0.030378,0.029193,0.02964,144341.36815257545,4869816.73929067
1659139200000,2022-07-30 00:00:00,XDC/USD,0.02888,0.030145,0.028114,0.029466,45785.00138375414,1553824.79412727
1659052800000,2022-07-29 00:00:00,XDC/USD,0.029469,0.029707,0.028231,0.029064,19363.51541496643,666237.11171781
1658966400000,2022-07-28 00:00:00,XDC/USD,0.029148,0.029751,0.028209,0.02932,43040.76515119372,1467966.06927673
1658880000000,2022-07-27 00:00:00,XDC/USD,0.027196,0.029371,0.026516,0.029371,37169.28112742262,1265509.55457501
1658793600000,2022-07-26 00:00:00,XDC/USD,0.027748,0.027909,0.026243,0.027606,25234.69605458295,914101.86389129
1658707200000,2022-07-25 00:00:00,XDC/USD,0.028761,0.02938,0.027926,0.027926,20798.52228995509,744772.69533607
1658620800000,2022-07-24 00:00:00,XDC/USD,0.028992,0.029751,0.028564,0.029431,20344.09739261528,691247.2356568
1658534400000,2022-07-23 00:00:00,XDC/USD,0.028957,0.029109,0.028532,0.029109,4833.294524617276,166041.24238610998
1658448000000,2022-07-22 00:00:00,XDC/USD,0.030083,0.030083,0.029293,0.029293,915.6433435227075,31258.09386279
1658361600000,2022-07-21 00:00:00,XDC/USD,0.031075,0.031075,0.029446,0.029919,12959.379422752034,433148.81589465
1658275200000,2022-07-20 00:00:00,XDC/USD,0.030761,0.030982,0.02942,0.030964,20938.177054145843,676210.34278988
1658188800000,2022-07-19 00:00:00,XDC/USD,0.029882,0.030807,0.028814,0.030807,13278.294159370429,431015.48866719997
1658102400000,2022-07-18 00:00:00,XDC/USD,0.028778,0.030152,0.028778,0.029882,26606.72162906961,890392.9331728
1658016000000,2022-07-17 00:00:00,XDC/USD,0.027703,0.028734,0.027513,0.02868,13977.995905228017,487377.82096332
1657929600000,2022-07-16 00:00:00,XDC/USD,0.027199,0.027716,0.026954,0.027628,7415.90935079565,268420.05757910997
1657843200000,2022-07-15 00:00:00,XDC/USD,0.027293,0.027515,0.026906,0.027083,4550.106444059601,168005.99800833
1657756800000,2022-07-14 00:00:00,XDC/USD,0.027281,0.027281,0.02657,0.02707,6898.573207465676,254842.00988052
1657670400000,2022-07-13 00:00:00,XDC/USD,0.02603,0.027493,0.025219,0.027281,11426.401447934946,418841.00465287
1657584000000,2022-07-12 00:00:00,XDC/USD,0.026284,0.026438,0.025966,0.025966,8125.635582923334,312933.66644548
1657497600000,2022-07-11 00:00:00,XDC/USD,0.026622,0.026622,0.026189,0.026315,4802.5000274665335,182500.47605801
1657411200000,2022-07-10 00:00:00,XDC/USD,0.027808,0.028049,0.026258,0.026674,8850.39949283788,331798.73632893
1657324800000,2022-07-09 00:00:00,XDC/USD,0.026565,0.027668,0.026565,0.027668,11886.45850992935,429610.32636726
1657238400000,2022-07-08 00:00:00,XDC/USD,0.026094,0.026852,0.025917,0.026609,11021.984382411953,414220.16544823
1657152000000,2022-07-07 00:00:00,XDC/USD,0.0255,0.025884,0.024042,0.025884,41724.27946888889,1611971.85399818
1657065600000,2022-07-06 00:00:00,XDC/USD,0.024911,0.025262,0.024878,0.025098,7129.635189463358,284071.84594244
1656979200000,2022-07-05 00:00:00,XDC/USD,0.025906,0.026027,0.024527,0.025306,14453.040560139294,571130.97921992
1656892800000,2022-07-04 00:00:00,XDC/USD,0.024899,0.026012,0.024792,0.025906,17431.884559546488,672889.8540703501
1656806400000,2022-07-03 00:00:00,XDC/USD,0.024139,0.024917,0.024061,0.024836,16865.195916120712,679062.48655664
1656720000000,2022-07-02 00:00:00,XDC/USD,0.024036,0.024334,0.023849,0.024043,20416.215152307865,849154.23001738
1656633600000,2022-07-01 00:00:00,XDC/USD,0.02373,0.024279,0.02327,0.023912,32087.868280809213,1341914.86620982
1656547200000,2022-06-30 00:00:00,XDC/USD,0.02431,0.02431,0.022234,0.023722,41642.76998413089,1755449.37122211
1656460800000,2022-06-29 00:00:00,XDC/USD,0.025238,0.025238,0.024288,0.024288,35967.86206033643,1480890.23634455
1656374400000,2022-06-28 00:00:00,XDC/USD,0.0259,0.026954,0.024433,0.02523,162998.99791690445,6460523.10411829
1656288000000,2022-06-27 00:00:00,XDC/USD,0.029106,0.029137,0.025531,0.02582,230397.39234378742,8923214.2658322
1656201600000,2022-06-26 00:00:00,XDC/USD,0.028885,0.029448,0.028632,0.028936,20105.840479458737,694838.28032412
1656115200000,2022-06-25 00:00:00,XDC/USD,0.029226,0.029355,0.028785,0.028938,14330.033714946456,495197.79234731
1656028800000,2022-06-24 00:00:00,XDC/USD,0.02932,0.030441,0.02926,0.029351,18240.00911783671,621444.21375206
1655942400000,2022-06-23 00:00:00,XDC/USD,0.029986,0.030335,0.028487,0.02934,25756.58777097612,877865.97719755
1655856000000,2022-06-22 00:00:00,XDC/USD,0.030559,0.031002,0.02883,0.029699,124417.4922833948,4189282.20759604
1655769600000,2022-06-21 00:00:00,XDC/USD,0.030765,0.032101,0.029901,0.030559,129984.50250829491,4253558.7718281
1655683200000,2022-06-20 00:00:00,XDC/USD,0.03099,0.032301,0.02977,0.030983,74322.05278996065,2398801.04541073
1655596800000,2022-06-19 00:00:00,XDC/USD,0.0296,0.031963,0.029199,0.03118,49413.66448928902,1584787.18695603
1655510400000,2022-06-18 00:00:00,XDC/USD,0.030596,0.030596,0.027937,0.029528,60877.26217960966,2061679.15807402
1655424000000,2022-06-17 00:00:00,XDC/USD,0.027887,0.0297,0.027887,0.029473,27714.1685909716,940323.97757173
1655337600000,2022-06-16 00:00:00,XDC/USD,0.030674,0.031103,0.027326,0.027748,104872.22261612018,3779451.58628082
1655251200000,2022-06-15 00:00:00,XDC/USD,0.02978,0.030784,0.02687,0.03032,121487.50246098847,4006843.74871334
1655164800000,2022-06-14 00:00:00,XDC/USD,0.02902,0.031274,0.02877,0.029933,87376.45775562385,2919067.84337099
1655078400000,2022-06-13 00:00:00,XDC/USD,0.03307,0.033221,0.02932,0.029943,215873.3288263981,7209475.63124597
1654992000000,2022-06-12 00:00:00,XDC/USD,0.034598,0.034598,0.032621,0.033284,51319.154845997204,1541856.59313776
1654905600000,2022-06-11 00:00:00,XDC/USD,0.03631,0.037929,0.033656,0.034149,358437.948353401,10496294.13316352
1654819200000,2022-06-10 00:00:00,XDC/USD,0.036953,0.037085,0.035278,0.036201,88367.56703209784,2441025.58029054
1654732800000,2022-06-09 00:00:00,XDC/USD,0.037372,0.037432,0.036465,0.037432,35349.87340159588,944375.75875176
1654646400000,2022-06-08 00:00:00,XDC/USD,0.03751,0.037825,0.03676,0.0374,42792.717086198885,1144190.29642243
1654560000000,2022-06-07 00:00:00,XDC/USD,0.038415,0.038415,0.03659,0.037939,52338.405107184626,1379540.97649344
1654473600000,2022-06-06 00:00:00,XDC/USD,0.037799,0.039057,0.037799,0.038126,28675.64776037982,752128.41001888
1654387200000,2022-06-05 00:00:00,XDC/USD,0.038214,0.038633,0.03737,0.03737,17220.981318855433,460823.69063033
1654300800000,2022-06-04 00:00:00,XDC/USD,0.037427,0.039562,0.037427,0.038354,56541.5202756586,1474201.39426549
