https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BMI
1654646400000,2022-06-08 00:00:00,BMI/USD,0.02375,0.02498,0.02375,0.02498,96.2527079840588,3853.1908720600004
1654560000000,2022-06-07 00:00:00,BMI/USD,0.02398,0.025,0.02362,0.02367,566.1215893838997,23917.26190891
1654473600000,2022-06-06 00:00:00,BMI/USD,0.02714,0.0272,0.02425,0.024651,217.39037591875328,8818.72442979
1654387200000,2022-06-05 00:00:00,BMI/USD,0.02618,0.02755,0.02505,0.02505,1711.8932763787127,68339.05294925
1654300800000,2022-06-04 00:00:00,BMI/USD,0.02536,0.02549,0.02536,0.02545,124.459669173337,4890.36028186
1654214400000,2022-06-03 00:00:00,BMI/USD,0.02713,0.02721,0.025001,0.02618,1283.745666621495,49035.35777775
1654128000000,2022-06-02 00:00:00,BMI/USD,0.02691,0.028498,0.026327,0.02714,601.015242830947,22144.99789355
1654041600000,2022-06-01 00:00:00,BMI/USD,0.028498,0.028498,0.02656,0.02716,158.5486394562112,5837.57877232
1653955200000,2022-05-31 00:00:00,BMI/USD,0.02768,0.0287,0.026543,0.026543,885.4943175478166,33360.74737399
1653868800000,2022-05-30 00:00:00,BMI/USD,0.0268,0.02787,0.02679,0.02759,234.8369802355751,8511.67017889
1653782400000,2022-05-29 00:00:00,BMI/USD,0.02582,0.02596,0.02506,0.02506,343.1905243862634,13694.75356689
1653696000000,2022-05-28 00:00:00,BMI/USD,0.0251,0.02587,0.0251,0.02587,61.4064896836963,2373.65634649
1653609600000,2022-05-27 00:00:00,BMI/USD,0.02578,0.026723,0.0239,0.0239,251.78850159632,10535.0837488
1653523200000,2022-05-26 00:00:00,BMI/USD,0.02793,0.02793,0.026429,0.026429,371.95221145017393,14073.6392391
1653350400000,2022-05-24 00:00:00,BMI/USD,0.028189,0.0305,0.02794,0.02801,125.21362100209471,4470.31849347
1653264000000,2022-05-23 00:00:00,BMI/USD,0.0281,0.0305,0.027298,0.03001,798.2077678598547,26598.05957547
1653177600000,2022-05-22 00:00:00,BMI/USD,0.027818,0.02932,0.027818,0.02836,955.8151657587051,33702.93250207
1653091200000,2022-05-21 00:00:00,BMI/USD,0.027879,0.02837,0.027679,0.02837,84.37692723438401,2974.1602832000003
1653004800000,2022-05-20 00:00:00,BMI/USD,0.0293,0.03009,0.02781,0.0288,2010.25871684064,69800.6498903
1652918400000,2022-05-19 00:00:00,BMI/USD,0.02788,0.028719,0.02713,0.028719,143.2598725929871,4988.33081211
1652832000000,2022-05-18 00:00:00,BMI/USD,0.02817,0.02817,0.02797,0.02797,12.862980786137198,459.88490476
1652745600000,2022-05-17 00:00:00,BMI/USD,0.02815,0.03029,0.02815,0.0293,892.586232794479,30463.69395203
1652659200000,2022-05-16 00:00:00,BMI/USD,0.030411,0.030411,0.0266,0.027939,842.7478719742207,30163.85239179
1652572800000,2022-05-15 00:00:00,BMI/USD,0.029644,0.03105,0.02899,0.03101,457.4563432165216,14751.89755616
1652486400000,2022-05-14 00:00:00,BMI/USD,0.02874,0.02876,0.02779,0.0278,994.1228116456899,35759.81336855
1652400000000,2022-05-13 00:00:00,BMI/USD,0.03,0.0309,0.02874,0.02901,582.5693503167575,20081.67357176
1652313600000,2022-05-12 00:00:00,BMI/USD,0.02789,0.03026,0.024438,0.02687,5431.996948513018,202158.4275591
1652227200000,2022-05-11 00:00:00,BMI/USD,0.04059,0.0408,0.02759,0.02781,2353.5157147941413,84628.39679231
1652140800000,2022-05-10 00:00:00,BMI/USD,0.04058,0.04189,0.040195,0.0405,268.36749642258,6626.35793636
1652054400000,2022-05-09 00:00:00,BMI/USD,0.04512,0.04512,0.04124,0.04124,1176.74588431223,28534.09030825
1651968000000,2022-05-08 00:00:00,BMI/USD,0.0455,0.04652,0.04364,0.04624,991.2238706051553,21436.50239198
1651881600000,2022-05-07 00:00:00,BMI/USD,0.04263,0.04837,0.039,0.04634,1996.7620908173426,43089.38478242
1651795200000,2022-05-06 00:00:00,BMI/USD,0.04219,0.04219,0.03956,0.042,308.79985962084004,7352.37761002
1651708800000,2022-05-05 00:00:00,BMI/USD,0.04469,0.04469,0.03907,0.04129,2630.328442723039,63703.764657859996
1651622400000,2022-05-04 00:00:00,BMI/USD,0.042859,0.044745,0.042859,0.044698,1083.9647559114776,24250.85587524
1651536000000,2022-05-03 00:00:00,BMI/USD,0.0477,0.0477,0.0425,0.0425,858.5494214101751,20201.16285671
1651449600000,2022-05-02 00:00:00,BMI/USD,0.047849,0.049282,0.04468,0.047437,2672.20939964595,56331.75368691
1651363200000,2022-05-01 00:00:00,BMI/USD,0.044,0.07,0.0415,0.047463,5007.407103128227,105501.27684993
1651276800000,2022-04-30 00:00:00,BMI/USD,0.045985,0.04719,0.04405,0.04405,140.722455364753,3194.60738626
1651190400000,2022-04-29 00:00:00,BMI/USD,0.04788,0.04989,0.044324,0.04597,1301.3366440120421,28308.38903659
1651104000000,2022-04-28 00:00:00,BMI/USD,0.04676,0.047399,0.04402,0.04609,578.9225253144213,12560.69701268
1651017600000,2022-04-27 00:00:00,BMI/USD,0.04728,0.050342,0.04714,0.04714,745.1033785450383,15806.18113163
1650931200000,2022-04-26 00:00:00,BMI/USD,0.05172,0.06,0.04714,0.0483,842.9624960368501,17452.6396695
1650844800000,2022-04-25 00:00:00,BMI/USD,0.052457,0.05564,0.05074,0.05222,875.606928248619,16767.65469645
1650758400000,2022-04-24 00:00:00,BMI/USD,0.05563,0.05588,0.052978,0.05363,243.3812314629322,4538.15460494
1650672000000,2022-04-23 00:00:00,BMI/USD,0.055877,0.058,0.05496,0.05496,292.73451631742637,5326.3194380899995
1650585600000,2022-04-22 00:00:00,BMI/USD,0.057344,0.059739,0.05611,0.0565,156.99005830368,2778.58510272
1650499200000,2022-04-21 00:00:00,BMI/USD,0.06436,0.06436,0.05664,0.05735,1237.9918848969498,21586.606537
1650412800000,2022-04-20 00:00:00,BMI/USD,0.06672,0.06672,0.06489,0.06603,66.11725283436,1001.321412
1650326400000,2022-04-19 00:00:00,BMI/USD,0.05976,0.06749,0.05976,0.06308,706.8661382263656,11205.86775882
1650240000000,2022-04-18 00:00:00,BMI/USD,0.055201,0.059759,0.05237,0.059759,807.8439927724345,13518.36531355
1650153600000,2022-04-17 00:00:00,BMI/USD,0.05957,0.05957,0.0552,0.05527,307.0629835464486,5555.68995018
1650067200000,2022-04-16 00:00:00,BMI/USD,0.05841,0.05928,0.0581,0.05928,55.3371386911512,933.48749479
1649980800000,2022-04-15 00:00:00,BMI/USD,0.060421,0.06215,0.05933,0.06014,1062.5387704298525,17667.75474609
1649894400000,2022-04-14 00:00:00,BMI/USD,0.06318,0.063926,0.06044,0.06044,180.6602202580104,2989.08372366
1649808000000,2022-04-13 00:00:00,BMI/USD,0.06384,0.07,0.062672,0.0652,327.77595229813596,5027.23853218
1649721600000,2022-04-12 00:00:00,BMI/USD,0.064596,0.06697,0.06363,0.06397,386.4446943129153,6041.03008149
1649635200000,2022-04-11 00:00:00,BMI/USD,0.0715,0.07521,0.06444,0.06444,1369.137447358747,21246.70154188
1649548800000,2022-04-10 00:00:00,BMI/USD,0.07088,0.076585,0.07001,0.07076,3242.2857723894117,45820.88429041
1649462400000,2022-04-09 00:00:00,BMI/USD,0.07536,0.075551,0.07039,0.07074,1143.3412346881805,16162.58460119
1649376000000,2022-04-08 00:00:00,BMI/USD,0.07799,0.08066,0.075203,0.075361,1434.1201328200916,19030.00401826
1649289600000,2022-04-07 00:00:00,BMI/USD,0.076009,0.080128,0.074211,0.07796,1642.0657397015132,21062.92636867
1649203200000,2022-04-06 00:00:00,BMI/USD,0.085,0.085,0.07601,0.0764,4482.802337821888,58675.42326992
1649116800000,2022-04-05 00:00:00,BMI/USD,0.09468,0.096159,0.085314,0.08544,2725.610309893536,31900.8697319
1649030400000,2022-04-04 00:00:00,BMI/USD,0.095501,0.097545,0.09021,0.09515,1562.6881085818475,16423.41680065
1648944000000,2022-04-03 00:00:00,BMI/USD,0.10016,0.1025,0.09477,0.09633,3055.861805033665,31722.84651753
1648857600000,2022-04-02 00:00:00,BMI/USD,0.091361,0.10359,0.091361,0.09945,4169.73947863122,41927.9987796
1648771200000,2022-04-01 00:00:00,BMI/USD,0.08674,0.09554,0.08674,0.09136,4696.704884996502,51408.76625434
1648684800000,2022-03-31 00:00:00,BMI/USD,0.10445,0.10742,0.08534,0.09547,7235.780550299235,75791.14434167
1648598400000,2022-03-30 00:00:00,BMI/USD,0.10035,0.10601,0.095995,0.10295,3261.1776772230123,31677.29652475
1648512000000,2022-03-29 00:00:00,BMI/USD,0.090234,0.10232,0.089,0.10211,2254.480808442557,22078.94239979
1648425600000,2022-03-28 00:00:00,BMI/USD,0.08994,0.195,0.085438,0.09453,10796.981643531606,114217.51447722
1648339200000,2022-03-27 00:00:00,BMI/USD,0.07928,0.083831,0.07928,0.083831,62.239354992532085,742.43841768
1648252800000,2022-03-26 00:00:00,BMI/USD,0.0775,0.08012,0.0775,0.08012,240.5388069535172,3002.23173931
1648166400000,2022-03-25 00:00:00,BMI/USD,0.07758,0.083831,0.076391,0.0779,625.563049863607,8030.33440133
1648080000000,2022-03-24 00:00:00,BMI/USD,0.083831,0.083831,0.07643,0.0778,813.5625979528099,10457.10280145
1647993600000,2022-03-23 00:00:00,BMI/USD,0.08115,0.08303,0.0791,0.07932,1085.1822549941915,13681.067259129999
1647907200000,2022-03-22 00:00:00,BMI/USD,0.082216,0.085689,0.080784,0.08101,1070.2843490939185,13211.75594487
1647820800000,2022-03-21 00:00:00,BMI/USD,0.08223,0.1,0.08119,0.0845,2205.4135374996404,26099.56849112
1647734400000,2022-03-20 00:00:00,BMI/USD,0.09393,0.177,0.08135,0.08249,4549.7537963510185,55155.21634563
1647648000000,2022-03-19 00:00:00,BMI/USD,0.08976,0.08976,0.08412,0.089179,416.5330088207422,4670.7521818000005
1647561600000,2022-03-18 00:00:00,BMI/USD,0.08832,0.08874,0.08832,0.08874,93.6958222932624,1055.84654376
1647475200000,2022-03-17 00:00:00,BMI/USD,0.08438,0.08602,0.0842,0.0842,7.638229755392,90.71531776
1647388800000,2022-03-16 00:00:00,BMI/USD,0.08533,0.08533,0.08533,0.08533,81.00062126163,949.263111
1647302400000,2022-03-15 00:00:00,BMI/USD,0.08029,0.08113,0.08029,0.08072,69.57280313574562,861.9029129800001
1647216000000,2022-03-14 00:00:00,BMI/USD,0.07859,0.079703,0.07474,0.07749,636.2700674912694,8210.99583806
1647129600000,2022-03-13 00:00:00,BMI/USD,0.07584,0.08007,0.07584,0.07862,704.1109958098248,8955.87631404
1647043200000,2022-03-12 00:00:00,BMI/USD,0.08718,0.09357,0.07708,0.079719,1537.1305675553872,19281.85962638
1646870400000,2022-03-10 00:00:00,BMI/USD,0.08864,0.08864,0.081751,0.08488,470.72631071876395,5545.78594155
1646784000000,2022-03-09 00:00:00,BMI/USD,0.089075,0.093091,0.08864,0.08864,289.36179108528,3264.4606395
1646697600000,2022-03-08 00:00:00,BMI/USD,0.086359,0.086359,0.08104,0.08428,2811.6726854963094,33361.09024082
1646611200000,2022-03-07 00:00:00,BMI/USD,0.0861,0.08762,0.084729,0.08537,87.7918906343404,1028.36934092
1646524800000,2022-03-06 00:00:00,BMI/USD,0.08658,0.08783,0.08577,0.08577,269.5894056855882,3143.16667466
1646352000000,2022-03-04 00:00:00,BMI/USD,0.09304,0.09304,0.0843,0.08679,141.15469096064822,1626.39348958
1646265600000,2022-03-03 00:00:00,BMI/USD,0.09906,0.10034,0.09411,0.09487,366.26625549636225,3860.71735529
1646179200000,2022-03-02 00:00:00,BMI/USD,0.11088,0.11088,0.09981,0.09983,60.0625063869092,601.64786524
1646092800000,2022-03-01 00:00:00,BMI/USD,0.10481,0.11082,0.10481,0.10996,522.3627809330517,4750.48000121
1646006400000,2022-02-28 00:00:00,BMI/USD,0.093156,0.105,0.093156,0.10395,2172.6468511773796,20900.88360921
1645920000000,2022-02-27 00:00:00,BMI/USD,0.09474,0.11813,0.0938,0.096799,759.3214590408869,7844.31098504
