https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAT
1659484800000,2022-08-03 00:00:00,DAT/USD,0.037,0.04,0.037,0.04,1919.5826223132,47989.56555783
1659398400000,2022-08-02 00:00:00,DAT/USD,0.033,0.033,0.033,0.033,5.174038683,156.789051
1659225600000,2022-07-31 00:00:00,DAT/USD,0.033,0.04,0.033,0.037,211.14276809963002,5706.56129999
1659139200000,2022-07-30 00:00:00,DAT/USD,0.038,0.038,0.03,0.0333,235.58585448983402,7074.65028498
1658966400000,2022-07-28 00:00:00,DAT/USD,0.0343,0.0382,0.034299,0.0382,289.774407061006,7585.71746233
1658880000000,2022-07-27 00:00:00,DAT/USD,0.034299,0.034299,0.034297,0.034299,593.0717433047965,17291.22549651
1658534400000,2022-07-23 00:00:00,DAT/USD,0.035987,0.035998,0.033298,0.033298,498.0844417562037,14958.389145180001
1658448000000,2022-07-22 00:00:00,DAT/USD,0.035999,0.035999,0.035999,0.035999,3.5389447292490006,98.306751
1658361600000,2022-07-21 00:00:00,DAT/USD,0.033301,0.035998,0.0333,0.035998,416.94576508364315,11582.47027845
1658188800000,2022-07-19 00:00:00,DAT/USD,0.0337,0.034,0.0319,0.032957,815.7210224372086,24751.07025631
1658102400000,2022-07-18 00:00:00,DAT/USD,0.0354,0.036,0.0336,0.036,5032.582482992039,139793.95786089
1658016000000,2022-07-17 00:00:00,DAT/USD,0.03495,0.035763,0.03495,0.035763,2906.2506358372934,81264.17347082999
1657756800000,2022-07-14 00:00:00,DAT/USD,0.031186,0.035,0.031186,0.035,2179.57852,62273.672
1657584000000,2022-07-12 00:00:00,DAT/USD,0.0286,0.0286,0.0286,0.0286,17.149060499999997,599.6175
1657497600000,2022-07-11 00:00:00,DAT/USD,0.0307,0.0307,0.0307,0.0307,22.8864867576,745.488168
1657324800000,2022-07-09 00:00:00,DAT/USD,0.03081,0.03081,0.0308,0.0308,1870.4725564555802,60729.62845635
1657238400000,2022-07-08 00:00:00,DAT/USD,0.030001,0.03283,0.03,0.032399,4065.899787799274,125494.60748168999
1657152000000,2022-07-07 00:00:00,DAT/USD,0.0296,0.0296,0.0296,0.0296,17.908,605.0
1657065600000,2022-07-06 00:00:00,DAT/USD,0.0291,0.0298,0.0291,0.0298,191.27582599718,6418.6518791
1656979200000,2022-07-05 00:00:00,DAT/USD,0.02813,0.02813,0.0271,0.0271,100.18462145,3696.8495
1656892800000,2022-07-04 00:00:00,DAT/USD,0.0289,0.03186,0.02813,0.02813,275.82027600000004,9805.2
1656806400000,2022-07-03 00:00:00,DAT/USD,0.0277,0.0289,0.0263,0.027664,175.3817752685835,6339.71136743
1656720000000,2022-07-02 00:00:00,DAT/USD,0.026001,0.027376,0.026,0.027376,50.64753613338,1850.07072375
1656633600000,2022-07-01 00:00:00,DAT/USD,0.0268,0.0268,0.0268,0.0268,2.68,100.0
1656547200000,2022-06-30 00:00:00,DAT/USD,0.027501,0.027501,0.027322,0.027322,84.91248319003726,3107.84288083
1656460800000,2022-06-29 00:00:00,DAT/USD,0.0295,0.0295,0.0295,0.0295,48.802370841675,1654.31765565
1656374400000,2022-06-28 00:00:00,DAT/USD,0.029211,0.029517,0.028922,0.029517,42.327378,1434.0
1656288000000,2022-06-27 00:00:00,DAT/USD,0.0283,0.0283,0.027322,0.027322,83.577998,3059.0
1656201600000,2022-06-26 00:00:00,DAT/USD,0.027857,0.031928,0.027857,0.031928,130.78458125607366,4096.234692309999
1656115200000,2022-06-25 00:00:00,DAT/USD,0.0274,0.0274,0.027076,0.027076,164.903649578556,6090.399231
1656028800000,2022-06-24 00:00:00,DAT/USD,0.0258,0.031002,0.0258,0.0276,6173.435606029751,223675.20311702
1655942400000,2022-06-23 00:00:00,DAT/USD,0.0257,0.0266,0.0257,0.0266,605.8384450131019,22775.88139147
1655856000000,2022-06-22 00:00:00,DAT/USD,0.02945,0.02945,0.02945,0.02945,19.09891450065,648.520017
1655683200000,2022-06-20 00:00:00,DAT/USD,0.025,0.025,0.025,0.025,55.83661922500001,2233.464769
1655596800000,2022-06-19 00:00:00,DAT/USD,0.024,0.0246,0.023,0.0243,87.01750781999999,3580.9674
1655510400000,2022-06-18 00:00:00,DAT/USD,0.0233,0.0237,0.023,0.023,3512.4193276401197,152713.88381044
1655424000000,2022-06-17 00:00:00,DAT/USD,0.0245,0.0245,0.0243,0.0243,121.5,5000.0
