https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SUN
1659571200000,2022-08-04 00:00:00,SUN/USD,0.0062159,0.0062715,0.0062012,0.0062484,38.33236230539435,6134.74846447
1659484800000,2022-08-03 00:00:00,SUN/USD,0.0062175,0.0064284,0.0060819,0.0062081,2165.6243357314584,348838.50706842
1659398400000,2022-08-02 00:00:00,SUN/USD,0.0062863,0.0063849,0.0060835,0.0062043,4426.479127621425,713453.43191358
1659312000000,2022-08-01 00:00:00,SUN/USD,0.0062834,0.006502,0.0061171,0.0063208,3415.425177645605,540346.97785812
1659225600000,2022-07-31 00:00:00,SUN/USD,0.0061496,0.0064813,0.0061299,0.0062836,8905.778343026746,1417305.10265242
1659139200000,2022-07-30 00:00:00,SUN/USD,0.0061847,0.006893,0.006108,0.006149,25881.248188939844,4209017.43193037
1659052800000,2022-07-29 00:00:00,SUN/USD,0.0061639,0.0064957,0.0060848,0.006209,28819.75604621564,4641609.92852563
1658966400000,2022-07-28 00:00:00,SUN/USD,0.0059652,0.0062608,0.005887,0.0061792,31477.399343395264,5094089.74355827
1658880000000,2022-07-27 00:00:00,SUN/USD,0.0058698,0.0061294,0.0057105,0.0059328,35411.435637296934,5968756.00682594
1658793600000,2022-07-26 00:00:00,SUN/USD,0.0055875,0.0058806,0.0054691,0.0058671,18778.899528591624,3200712.36702828
1658707200000,2022-07-25 00:00:00,SUN/USD,0.0058789,0.0059177,0.0055973,0.0056287,1466.1557022203008,260478.5656049
1658620800000,2022-07-24 00:00:00,SUN/USD,0.0058834,0.0060067,0.0058193,0.0058645,1850.598477080974,315559.46407724
1658534400000,2022-07-23 00:00:00,SUN/USD,0.00597,0.006144,0.0057639,0.0058782,9085.777070573995,1545673.34738083
1658448000000,2022-07-22 00:00:00,SUN/USD,0.0059588,0.0061746,0.0058797,0.0059634,2127.14330522017,356699.7526948
1658361600000,2022-07-21 00:00:00,SUN/USD,0.005858,0.0060487,0.0057213,0.0059598,20930.392933951272,3511928.74491615
1658275200000,2022-07-20 00:00:00,SUN/USD,0.0060641,0.0061807,0.0058071,0.0058693,9428.0401348161,1606331.27201133
1658188800000,2022-07-19 00:00:00,SUN/USD,0.0059239,0.0061169,0.0057827,0.0060615,4423.2967190355985,729736.3225333
1658102400000,2022-07-18 00:00:00,SUN/USD,0.0056476,0.0059982,0.0056299,0.0059221,3026.7724764032214,511097.83293143
1658016000000,2022-07-17 00:00:00,SUN/USD,0.0057815,0.0058823,0.0056302,0.0056479,2817.1437740197666,498794.91032415
1657929600000,2022-07-16 00:00:00,SUN/USD,0.0056865,0.005844,0.0055961,0.0058001,1118.210208023628,192791.53946029
1657843200000,2022-07-15 00:00:00,SUN/USD,0.0056871,0.0057812,0.0056274,0.0056968,1246.340728855976,218779.09157
1657756800000,2022-07-14 00:00:00,SUN/USD,0.0055852,0.0057354,0.0055096,0.0056869,13202.581195527668,2321577.8711649
1657670400000,2022-07-13 00:00:00,SUN/USD,0.0056714,0.0056714,0.0053765,0.0055486,16180.75124434301,2916186.28921584
1657584000000,2022-07-12 00:00:00,SUN/USD,0.0055101,0.0058375,0.0054972,0.0056732,5334.318940944266,940266.32957489
1657497600000,2022-07-11 00:00:00,SUN/USD,0.0056786,0.0056864,0.0054978,0.0055428,13686.644100899608,2469265.37145479
1657411200000,2022-07-10 00:00:00,SUN/USD,0.0059069,0.0059387,0.0056065,0.0056626,25766.063484582355,4550217.83007494
1657324800000,2022-07-09 00:00:00,SUN/USD,0.0059281,0.0061675,0.0058972,0.0059055,1797.6064449477742,304395.30013509
1657238400000,2022-07-08 00:00:00,SUN/USD,0.0060892,0.0063556,0.0058837,0.005934,1669.846785919469,281403.23321865
1657152000000,2022-07-07 00:00:00,SUN/USD,0.0061067,0.006202,0.0057949,0.0061186,25975.158054801956,4245278.01372895
1657065600000,2022-07-06 00:00:00,SUN/USD,0.006183,0.0064166,0.0060145,0.0060971,22567.754822862917,3701391.6161557
1656979200000,2022-07-05 00:00:00,SUN/USD,0.0060028,0.0063049,0.0058924,0.0061868,25021.99287222704,4044415.99408855
