https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AMP
1659571200000,2022-08-04 00:00:00,AMP/USD,1.2195,1.2351,1.2109,1.2351,166.50281440154103,134.80917691000002
1659484800000,2022-08-03 00:00:00,AMP/USD,1.2757,1.2815,1.2016,1.2195,2386.907701525755,1957.28388809
1659398400000,2022-08-02 00:00:00,AMP/USD,1.2395,1.3454,1.1198,1.269,17428.53777392772,13734.07231988
1659312000000,2022-08-01 00:00:00,AMP/USD,1.3583,1.3941,1.1644,1.24,3366.3158512472,2714.77084778
1659225600000,2022-07-31 00:00:00,AMP/USD,1.7732,1.7759,1.3119,1.3583,3836.3070012909325,2824.34440204
1659139200000,2022-07-30 00:00:00,AMP/USD,1.2409,1.9,1.2052,1.7219,14503.140615015982,8422.75429178
1659052800000,2022-07-29 00:00:00,AMP/USD,1.0747,1.2765,1.0705,1.2707,2726.475989488983,2145.64884669
1658966400000,2022-07-28 00:00:00,AMP/USD,1.0599,1.1098,1.0439,1.0756,1984.480410564368,1844.99852228
1658880000000,2022-07-27 00:00:00,AMP/USD,1.0792,1.1082,1.0022,1.0889,2604.3832768854973,2391.75615473
1658793600000,2022-07-26 00:00:00,AMP/USD,1.0827,1.0908,1.0194,1.0758,2378.8282536984243,2211.21793428
1658707200000,2022-07-25 00:00:00,AMP/USD,1.157,1.1855,1.0491,1.0839,7384.877863845016,6813.24648385
1658620800000,2022-07-24 00:00:00,AMP/USD,1.1598,1.3455,1.1108,1.1581,4913.437693330249,4242.6713525
1658534400000,2022-07-23 00:00:00,AMP/USD,1.1327,1.1831,1.1066,1.1598,1541.817362641872,1329.38210264
1658448000000,2022-07-22 00:00:00,AMP/USD,1.1741,1.2081,1.1175,1.1381,2558.936208487548,2248.42826508
1658361600000,2022-07-21 00:00:00,AMP/USD,1.1426,1.1884,1.0839,1.1491,3698.732452565204,3218.80815644
1658275200000,2022-07-20 00:00:00,AMP/USD,1.1654,1.2001,1.125,1.1426,3130.4598530464405,2739.7688194
1658188800000,2022-07-19 00:00:00,AMP/USD,1.1963,1.214,1.128,1.1659,3120.943232284849,2676.85327411
1658102400000,2022-07-18 00:00:00,AMP/USD,1.1037,1.214,1.1013,1.2134,2512.958463589688,2071.00582132
1658016000000,2022-07-17 00:00:00,AMP/USD,1.129,1.1499,1.0948,1.1023,1544.448681086991,1401.11465217
1657929600000,2022-07-16 00:00:00,AMP/USD,1.0663,1.1619,1.0268,1.1278,3475.1437334845637,3081.34752038
1657843200000,2022-07-15 00:00:00,AMP/USD,1.1156,1.1286,1.0673,1.068,1181.2515897044402,1106.04081433
1657756800000,2022-07-14 00:00:00,AMP/USD,1.0457,1.1316,1.0337,1.1119,2510.66170252663,2257.9923577
1657670400000,2022-07-13 00:00:00,AMP/USD,0.98047,1.0542,0.95,1.0451,6626.115456281775,6340.17362576
1657584000000,2022-07-12 00:00:00,AMP/USD,0.99891,1.0185,0.96016,0.98105,4695.201118906067,4785.89380654
1657497600000,2022-07-11 00:00:00,AMP/USD,1.0788,1.0904,0.99803,0.99957,15144.58074770089,15151.09571886
1657411200000,2022-07-10 00:00:00,AMP/USD,1.1187,1.1587,1.0629,1.0904,27574.723242879776,25288.63100044
1657324800000,2022-07-09 00:00:00,AMP/USD,1.1468,1.1759,1.1021,1.1176,2763.3783248797436,2472.60050544
1657238400000,2022-07-08 00:00:00,AMP/USD,1.2336,1.2588,1.0877,1.1513,5305.113490063002,4607.93319731
1657152000000,2022-07-07 00:00:00,AMP/USD,1.0928,1.2354,1.0698,1.2325,19983.7348797333,16213.98367524
1657065600000,2022-07-06 00:00:00,AMP/USD,1.0525,1.1023,1.0392,1.0928,4097.771481269888,3749.79088696
1656979200000,2022-07-05 00:00:00,AMP/USD,1.0512,1.1374,1.0398,1.0525,4282.377688173725,4068.76739969
1656892800000,2022-07-04 00:00:00,AMP/USD,0.9888,1.0806,0.97404,1.0684,2226.895632338412,2084.32762293
1656806400000,2022-07-03 00:00:00,AMP/USD,0.9806,1.0148,0.9589,0.9888,2199.596627483232,2224.51115239
1656720000000,2022-07-02 00:00:00,AMP/USD,0.94337,0.9938,0.93371,0.9806,2823.779458213038,2879.64456273
1656633600000,2022-07-01 00:00:00,AMP/USD,0.9179,0.98009,0.91,0.94336,1797.9726472273278,1905.92419355
1656547200000,2022-06-30 00:00:00,AMP/USD,0.93025,0.96493,0.88142,0.91603,2958.190811602954,3229.36018646
1656460800000,2022-06-29 00:00:00,AMP/USD,0.99534,1.0341,0.91674,0.94913,28720.600468849454,30259.92273856
1656374400000,2022-06-28 00:00:00,AMP/USD,0.87283,1.0442,0.84719,1.0016,135876.40575966742,135659.35079839
1656288000000,2022-06-27 00:00:00,AMP/USD,0.86706,0.90332,0.85286,0.87283,5441.596394348074,6234.42869098
1656201600000,2022-06-26 00:00:00,AMP/USD,0.88297,0.90332,0.85923,0.86554,15833.317092366293,18292.99292045
1656115200000,2022-06-25 00:00:00,AMP/USD,0.87787,0.88934,0.85208,0.88297,17649.435745190138,19988.71506981
1656028800000,2022-06-24 00:00:00,AMP/USD,0.8451,0.88934,0.83816,0.88067,32290.344792788474,36665.65772967
1655942400000,2022-06-23 00:00:00,AMP/USD,0.79864,0.84442,0.7939,0.84152,22731.022045350393,27011.86192289
1655856000000,2022-06-22 00:00:00,AMP/USD,0.79386,0.82689,0.78363,0.79864,38438.69298593829,48130.18755126
1655769600000,2022-06-21 00:00:00,AMP/USD,0.78967,0.84067,0.78518,0.79633,40566.17511266409,50941.41262123
1655683200000,2022-06-20 00:00:00,AMP/USD,0.83011,0.86907,0.77416,0.79256,21661.230029230566,27330.71316901
