https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ODE
1649980800000,2022-04-15 00:00:00,ODE/USD,0.001788,0.0018,0.0015923,0.0015923,230.59997963419391,144821.94287144
1649808000000,2022-04-13 00:00:00,ODE/USD,0.00179,0.00179,0.0015922,0.0015922,8.50810126336139,5343.61340495
1649635200000,2022-04-11 00:00:00,ODE/USD,0.0016123,0.0016123,0.0015805,0.0015805,4.752129128608785,3006.7251683699997
1649548800000,2022-04-10 00:00:00,ODE/USD,0.0017201,0.00183,0.0015666,0.0016123,450.4294293995814,279370.73088109
1649462400000,2022-04-09 00:00:00,ODE/USD,0.0017098,0.0018499,0.0017097,0.0017102,167.98654546578163,98226.25743525999
1649376000000,2022-04-08 00:00:00,ODE/USD,0.0018,0.00185,0.0018,0.00185,480.4459823187165,259700.53098309
1649289600000,2022-04-07 00:00:00,ODE/USD,0.00172,0.0017888,0.0016001,0.0017097,126.32825267795108,73889.13416269
1649203200000,2022-04-06 00:00:00,ODE/USD,0.0016301,0.0016801,0.00163,0.00168,38.2034958234048,22740.17608536
1649116800000,2022-04-05 00:00:00,ODE/USD,0.0016001,0.0016943,0.0016001,0.0016123,7.008076530039621,4346.6330894
1649030400000,2022-04-04 00:00:00,ODE/USD,0.0018165,0.0018165,0.0018,0.0018,185.445494078472,103025.27448804
1648944000000,2022-04-03 00:00:00,ODE/USD,0.001566,0.001818,0.001566,0.0018165,250.49838341661905,137901.66992382
1648857600000,2022-04-02 00:00:00,ODE/USD,0.0015324,0.0018288,0.0015324,0.0015654,285.7436939902669,182537.17515668
1648771200000,2022-04-01 00:00:00,ODE/USD,0.0015234,0.00185,0.0015184,0.0015324,388.6235854965748,253604.53243055
1648684800000,2022-03-31 00:00:00,ODE/USD,0.001656,0.00185,0.0015234,0.00185,928.0124871250761,501628.37141896
1648598400000,2022-03-30 00:00:00,ODE/USD,0.0017175,0.00178,0.0017153,0.00178,77.6020057574934,43596.63244803
1648512000000,2022-03-29 00:00:00,ODE/USD,0.001506,0.00175,0.0015059,0.0016502,139.9365538057948,84799.75385153
1648425600000,2022-03-28 00:00:00,ODE/USD,0.00173,0.00175,0.001506,0.0017397,291.05484397046524,167301.74396187
1648339200000,2022-03-27 00:00:00,ODE/USD,0.0016961,0.00173,0.0016961,0.00173,20.67005241275,11948.007175
1648252800000,2022-03-26 00:00:00,ODE/USD,0.0013127,0.0013127,0.0013127,0.0013127,0.5561126323116,423.640308
1648166400000,2022-03-25 00:00:00,ODE/USD,0.001669,0.00175,0.0013123,0.0013124,71.35037318029761,54366.33128642
1648080000000,2022-03-24 00:00:00,ODE/USD,0.00157,0.0017,0.0012611,0.0012617,157.82837711765188,125091.84205251001
1647993600000,2022-03-23 00:00:00,ODE/USD,0.00157,0.00157,0.00157,0.00157,1.57,1000.0
1647907200000,2022-03-22 00:00:00,ODE/USD,0.001413,0.0014134,0.001413,0.0014134,42.8582184774178,30322.780867
1647820800000,2022-03-21 00:00:00,ODE/USD,0.001413,0.001413,0.001413,0.001413,46.962341615020414,33235.91055557
1647734400000,2022-03-20 00:00:00,ODE/USD,0.0013987,0.0013987,0.0012611,0.0012611,12.2133267248435,9684.661585
1647648000000,2022-03-19 00:00:00,ODE/USD,0.001262,0.0013987,0.0012611,0.0012611,127.51284425559855,101112.39731631
1647561600000,2022-03-18 00:00:00,ODE/USD,0.0013987,0.0013987,0.0013922,0.0013987,9.164443417910402,6552.11511969
1647475200000,2022-03-17 00:00:00,ODE/USD,0.0012613,0.0014134,0.0012613,0.001262,95.34593751715435,75551.45603578
1647388800000,2022-03-16 00:00:00,ODE/USD,0.001262,0.001262,0.0012612,0.0012612,50.397552000000005,39960.0
1647302400000,2022-03-15 00:00:00,ODE/USD,0.0017,0.0017,0.0012611,0.0012611,16.649126040450202,13202.066482
1647216000000,2022-03-14 00:00:00,ODE/USD,0.0016692,0.0017,0.00125,0.00125,230.26987575116252,184215.90060093
1647129600000,2022-03-13 00:00:00,ODE/USD,0.0014159,0.0016692,0.0013022,0.0016692,190.9863179446429,114417.87559588
1647043200000,2022-03-12 00:00:00,ODE/USD,0.0012,0.0014159,0.001185,0.00135,143.9096211087165,106599.71933979
1646956800000,2022-03-11 00:00:00,ODE/USD,0.0012,0.0012,0.0012,0.0012,0.48,400.0
1646870400000,2022-03-10 00:00:00,ODE/USD,0.0013254,0.0013254,0.0011654,0.00117,616.5208752040728,526940.91897784
1646784000000,2022-03-09 00:00:00,ODE/USD,0.0013299,0.00134,0.0011111,0.0011111,120.33380936757283,108301.51144593
1646697600000,2022-03-08 00:00:00,ODE/USD,0.00135,0.0013654,0.0010654,0.00109,334.6606466830809,307028.11622301
1646611200000,2022-03-07 00:00:00,ODE/USD,0.00139,0.00139,0.001054,0.0013654,859.0013219743528,629120.64008668
1646524800000,2022-03-06 00:00:00,ODE/USD,0.0013005,0.0013987,0.0013002,0.0013987,54.41851902021327,38906.49819133
1646438400000,2022-03-05 00:00:00,ODE/USD,0.0014464,0.0015668,0.0013,0.00135,1278.5556359226196,947078.24883157
1646265600000,2022-03-03 00:00:00,ODE/USD,0.0014402,0.00145,0.001435,0.00145,77.592886752936,53512.33569168
1646179200000,2022-03-02 00:00:00,ODE/USD,0.001435,0.0015778,0.001435,0.0014402,106.32566552640614,73827.01397473
1646092800000,2022-03-01 00:00:00,ODE/USD,0.001502,0.0015934,0.0014201,0.001585,858.1831110674392,541440.44862299
1646006400000,2022-02-28 00:00:00,ODE/USD,0.00159,0.00175,0.0015,0.0015,4631.67537577584,3087783.58385056
1645920000000,2022-02-27 00:00:00,ODE/USD,0.00169,0.00179,0.001565,0.00159,2592.0198124348467,1630201.13989613
1645833600000,2022-02-26 00:00:00,ODE/USD,0.0018,0.00185,0.00165,0.00173,1161.0623145314507,671134.28585633
1645747200000,2022-02-25 00:00:00,ODE/USD,0.0018025,0.00185,0.00177,0.00185,645.1103227114689,348708.28254673997
1645660800000,2022-02-24 00:00:00,ODE/USD,0.00183,0.0019099,0.00183,0.0019,449.04315390444305,236338.50205497
1645574400000,2022-02-23 00:00:00,ODE/USD,0.00203,0.00203,0.00173,0.0017603,637.4268095489958,362112.59986877
1645488000000,2022-02-22 00:00:00,ODE/USD,0.00199,0.002,0.00199,0.002,83.414999682,41707.499841
1645401600000,2022-02-21 00:00:00,ODE/USD,0.00194,0.00199,0.00194,0.00199,163.1375964498466,81978.69168334
1645315200000,2022-02-20 00:00:00,ODE/USD,0.0019401,0.00196,0.00194,0.00196,387.89704483879996,197906.65553
1645228800000,2022-02-19 00:00:00,ODE/USD,0.00197,0.00197,0.00194,0.00194,9.0735242791968,4677.07437072
1645142400000,2022-02-18 00:00:00,ODE/USD,0.00194,0.002,0.00194,0.002,354.51948034711995,177259.74017355999
1645056000000,2022-02-17 00:00:00,ODE/USD,0.00227,0.00227,0.00191,0.0019301,961.8334008555174,498333.45466842
1644969600000,2022-02-16 00:00:00,ODE/USD,0.00223,0.0023,0.00223,0.00226,235.33181958912,104129.123712
1644883200000,2022-02-15 00:00:00,ODE/USD,0.00195,0.002,0.00195,0.002,776.9676675000401,388483.83375002
1644796800000,2022-02-14 00:00:00,ODE/USD,0.00186,0.0019989,0.00186,0.00192,583.5836010552192,303949.79221626
1644710400000,2022-02-13 00:00:00,ODE/USD,0.0018,0.00187,0.001623,0.00187,1401.4900165854258,749459.90191734
1644624000000,2022-02-12 00:00:00,ODE/USD,0.00214,0.00214,0.001827,0.0018272,1426.6540077575914,780787.00074299
1644537600000,2022-02-11 00:00:00,ODE/USD,0.00212,0.00217,0.00212,0.00217,15.2284688796744,7017.72759432
1644451200000,2022-02-10 00:00:00,ODE/USD,0.00235,0.00235,0.0020705,0.00212,625.4822176906885,295038.78192957
1644364800000,2022-02-09 00:00:00,ODE/USD,0.00237,0.0024,0.00231,0.00235,967.353982469047,411639.99254002
1644278400000,2022-02-08 00:00:00,ODE/USD,0.00172,0.0024871,0.00167,0.00243,9046.724032137678,3722931.7004681802
1644192000000,2022-02-07 00:00:00,ODE/USD,0.00163,0.0017202,0.00162,0.00172,1128.53931242012,656127.507221
1644105600000,2022-02-06 00:00:00,ODE/USD,0.00167,0.00167,0.00164,0.00164,216.04027328619998,131731.873955
1644019200000,2022-02-05 00:00:00,ODE/USD,0.00155,0.00167,0.00155,0.00165,1047.336643992144,634749.4812073599
1643932800000,2022-02-04 00:00:00,ODE/USD,0.0016,0.0016,0.00152,0.00154,581.761404653506,377767.1458789
1643846400000,2022-02-03 00:00:00,ODE/USD,0.00156,0.00176,0.00156,0.00169,425.4848644361952,251766.19197408
1643760000000,2022-02-02 00:00:00,ODE/USD,0.0015106,0.00159,0.0015106,0.00159,305.336676401763,192035.6455357
1643673600000,2022-02-01 00:00:00,ODE/USD,0.00176,0.00179,0.00172,0.00172,1661.9537815469016,966252.19857378
1643587200000,2022-01-31 00:00:00,ODE/USD,0.00151,0.001836,0.00151,0.0017575,109.48855017407668,62297.89483589
1643500800000,2022-01-30 00:00:00,ODE/USD,0.00144,0.0015,0.00144,0.0015,549.79567089045,366530.4472603
