https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume APE
1654732800000,2022-06-09 00:00:00,APE/USD,5.7065,5.9261,5.6564,5.7249,12698.665969557465,2218.1463378500002
1654646400000,2022-06-08 00:00:00,APE/USD,6.0379,6.1182,5.6852,5.7121,41705.25242664434,7301.21188821
1654560000000,2022-06-07 00:00:00,APE/USD,6.3798,6.3798,5.8482,6.0466,127673.68973589256,21114.95546851
1654473600000,2022-06-06 00:00:00,APE/USD,6.1013,6.437,6.0834,6.3891,129925.77122737841,20335.53571354
1654387200000,2022-06-05 00:00:00,APE/USD,6.2069,6.2545,6.049,6.0933,94165.86006180782,15454.00030555
1654300800000,2022-06-04 00:00:00,APE/USD,6.1283,6.226,6.0194,6.1929,91314.70438051615,14745.06360195
1654214400000,2022-06-03 00:00:00,APE/USD,6.3938,6.484,6.0042,6.1283,80740.84517101239,13175.08039277
1654128000000,2022-06-02 00:00:00,APE/USD,6.1051,6.484,5.9954,6.4035,99003.23711896865,15460.80067447
1654041600000,2022-06-01 00:00:00,APE/USD,6.7785,7.0298,5.9617,6.106,166720.70623438386,27304.40652381
1653955200000,2022-05-31 00:00:00,APE/USD,7.2089,7.334,6.5601,6.7675,231882.46296095048,34264.12456017
1653868800000,2022-05-30 00:00:00,APE/USD,6.2371,7.4516,6.1558,7.2199,378974.83312793873,52490.31608858
1653782400000,2022-05-29 00:00:00,APE/USD,6.2248,6.3492,5.9794,6.233,54893.46949047152,8806.90991344
1653696000000,2022-05-28 00:00:00,APE/USD,6.0776,6.3923,6.0435,6.2405,75293.30664461385,12065.26827091
1653609600000,2022-05-27 00:00:00,APE/USD,6.3874,6.4668,5.8019,6.0744,235628.54929072194,38790.42362879
1653523200000,2022-05-26 00:00:00,APE/USD,7.3354,7.4429,6.2348,6.3753,206560.16726439926,32400.07015582
1653436800000,2022-05-25 00:00:00,APE/USD,7.496,7.7293,7.263,7.3322,54446.760949483556,7425.70592039
1653350400000,2022-05-24 00:00:00,APE/USD,7.7609,7.8855,7.0151,7.5051,212995.1390807996,28380.0534411
1653264000000,2022-05-23 00:00:00,APE/USD,8.0182,8.4931,7.6065,7.7471,209283.31752623216,27014.4076527
1653177600000,2022-05-22 00:00:00,APE/USD,8.0351,8.1805,7.7653,8.0256,105710.26518642587,13171.633919760001
1653091200000,2022-05-21 00:00:00,APE/USD,7.7642,8.2186,7.5884,8.0331,41662.46251780861,5186.3492945200005
1653004800000,2022-05-20 00:00:00,APE/USD,8.0442,8.365,7.5363,7.7543,200722.98858281795,25885.37825243
1652918400000,2022-05-19 00:00:00,APE/USD,8.009,8.2844,7.4428,8.0761,290294.0926857629,35944.83633013
1652832000000,2022-05-18 00:00:00,APE/USD,8.8567,9.0652,7.6367,7.9533,586243.5372759466,73710.72853733
1652745600000,2022-05-17 00:00:00,APE/USD,8.0987,9.2651,8.0985,8.8704,1264084.712816188,142505.94255233
1652659200000,2022-05-16 00:00:00,APE/USD,9.079,9.0793,7.84,8.0764,629173.7902800969,77902.75249865
1652572800000,2022-05-15 00:00:00,APE/USD,8.6413,9.181,8.073,9.0977,743539.0375036951,81728.24312779
1652486400000,2022-05-14 00:00:00,APE/USD,8.5692,9.1396,7.265,8.6585,1298132.6094426815,149925.80810102
1652400000000,2022-05-13 00:00:00,APE/USD,7.815,9.7838,7.692,8.5573,2302557.083419103,269075.18532938
1652313600000,2022-05-12 00:00:00,APE/USD,5.7146,8.9777,5.3846,7.7765,10442422.233927395,1342817.75013533
1652227200000,2022-05-11 00:00:00,APE/USD,8.9885,9.4008,5.202,5.6756,1690794.2121743544,297905.80946056
1652140800000,2022-05-10 00:00:00,APE/USD,8.0588,10.201,7.6214,9.04,1807990.028926375,199998.89700513
1652054400000,2022-05-09 00:00:00,APE/USD,11.281,11.632,7.9487,8.0134,2092486.2748853406,261123.40266121
1651968000000,2022-05-08 00:00:00,APE/USD,12.342,12.505,11.088,11.234,323246.31438557256,28773.9286439
1651881600000,2022-05-07 00:00:00,APE/USD,13.272,13.311,12.135,12.361,1516451.9196956728,122680.35916962
1651795200000,2022-05-06 00:00:00,APE/USD,13.694,13.875,12.382,13.259,1651404.0152690322,124549.66553051
1651708800000,2022-05-05 00:00:00,APE/USD,15.62,16.739,12.9,13.7,3217950.3710990427,234886.88840139
1651622400000,2022-05-04 00:00:00,APE/USD,14.157,17.614,13.986,15.595,3711117.361345305,237968.41047421
1651536000000,2022-05-03 00:00:00,APE/USD,15.07,15.78,13.886,14.147,1372045.4231647027,96984.90302995
1651449600000,2022-05-02 00:00:00,APE/USD,15.881,17.34,14.226,15.04,3154266.1975691486,209725.14611497
1651363200000,2022-05-01 00:00:00,APE/USD,19.985,20.306,15.553,15.897,5282536.789331484,332297.71587919
1651276800000,2022-04-30 00:00:00,APE/USD,19.165,25.402,19.165,19.969,7127003.491523779,356903.37480714
1651190400000,2022-04-29 00:00:00,APE/USD,23.678,24.45,18.422,19.15,3683626.5193906683,192356.47620839
1651104000000,2022-04-28 00:00:00,APE/USD,19.394,27.334,19.138,23.694,2624682.2691615312,110774.13139029
1651017600000,2022-04-27 00:00:00,APE/USD,18.061,19.926,17.861,19.426,812155.9797687538,41807.67938684
1650931200000,2022-04-26 00:00:00,APE/USD,19.34,19.537,17.423,18.088,1452303.9883886506,80291.02102989
1650844800000,2022-04-25 00:00:00,APE/USD,16.846,19.6,16.23,19.374,1708970.4957046919,88209.481558
1650758400000,2022-04-24 00:00:00,APE/USD,16.684,17.88,15.927,16.818,1040277.2816838393,61854.99355951
1650672000000,2022-04-23 00:00:00,APE/USD,15.349,18.441,15.198,16.712,2397366.4422094817,143451.79764298
1650585600000,2022-04-22 00:00:00,APE/USD,14.293,15.454,13.724,15.375,996214.8012642037,64794.45861881
1650499200000,2022-04-21 00:00:00,APE/USD,16.759,16.771,14.076,14.305,1933469.5427747222,135160.40145227
1650412800000,2022-04-20 00:00:00,APE/USD,13.389,17.511,12.983,16.736,3064204.101765488,183090.58925463
1650326400000,2022-04-19 00:00:00,APE/USD,11.873,13.538,11.689,13.413,384272.3373703205,28649.24605758
1650240000000,2022-04-18 00:00:00,APE/USD,11.714,11.913,10.905,11.869,221870.87467127296,18693.30817013
1650153600000,2022-04-17 00:00:00,APE/USD,11.664,12.093,11.475,11.728,341487.09206164797,29117.248641
1650067200000,2022-04-16 00:00:00,APE/USD,12.233,12.284,11.319,11.676,231160.89522593422,19797.95265724
1649980800000,2022-04-15 00:00:00,APE/USD,12.243,12.607,12.008,12.225,260383.53939590623,21299.26702625
1649894400000,2022-04-14 00:00:00,APE/USD,13.26,13.563,11.943,12.268,589631.4420288018,48062.55640926
1649808000000,2022-04-13 00:00:00,APE/USD,11.614,13.441,11.472,13.266,678865.4037828472,51173.33060326
1649721600000,2022-04-12 00:00:00,APE/USD,10.953,12.11,10.709,11.595,258092.4577733613,22258.94418054
1649635200000,2022-04-11 00:00:00,APE/USD,12.053,12.209,10.673,10.944,659254.3750240532,60238.88660673
1649548800000,2022-04-10 00:00:00,APE/USD,10.974,12.39,10.837,12.079,466058.4961393641,38584.19539195
1649462400000,2022-04-09 00:00:00,APE/USD,10.776,11.049,10.606,10.97,197056.25729840633,17963.19574279
1649376000000,2022-04-08 00:00:00,APE/USD,11.174,11.601,10.676,10.794,192728.44426345106,17855.14584616
1649289600000,2022-04-07 00:00:00,APE/USD,10.651,11.282,10.641,11.189,104818.04767652464,9367.95492685
1649203200000,2022-04-06 00:00:00,APE/USD,11.618,12.031,10.542,10.651,409883.9050731124,38483.13820985
1649116800000,2022-04-05 00:00:00,APE/USD,11.962,12.783,11.54,11.637,244492.72739589954,21009.94477923
1649030400000,2022-04-04 00:00:00,APE/USD,12.404,12.409,11.144,11.939,140445.4691234382,11763.58732921
1648944000000,2022-04-03 00:00:00,APE/USD,12.436,12.91,11.9,12.385,456365.7204432295,36848.26164257
1648857600000,2022-04-02 00:00:00,APE/USD,12.806,13.817,12.37,12.429,370454.78777373006,29805.67928021
