https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume JST
1659571200000,2022-08-04 00:00:00,JST/USD,0.032981,0.033111,0.03267,0.03282,13411.200330877935,408628.89490792
1659484800000,2022-08-03 00:00:00,JST/USD,0.033571,0.0339,0.032173,0.0328,57162.51215289747,1742759.51685663
1659398400000,2022-08-02 00:00:00,JST/USD,0.032133,0.034336,0.030706,0.033487,212801.26988590113,6354742.73257984
1659312000000,2022-08-01 00:00:00,JST/USD,0.030513,0.034219,0.030414,0.032189,156786.17510747627,4870799.81072653
1659225600000,2022-07-31 00:00:00,JST/USD,0.03014,0.032154,0.029839,0.030513,108231.83934643828,3547073.02941167
1659139200000,2022-07-30 00:00:00,JST/USD,0.030198,0.031189,0.029757,0.03014,72217.33052139556,2396062.72466475
1659052800000,2022-07-29 00:00:00,JST/USD,0.030766,0.030959,0.029566,0.030199,70733.52767100095,2342247.34828971
1658966400000,2022-07-28 00:00:00,JST/USD,0.030242,0.030939,0.029639,0.030759,63513.50000077399,2064875.32106941
1658880000000,2022-07-27 00:00:00,JST/USD,0.028423,0.030242,0.027891,0.030242,50094.49825706369,1656454.54193055
1658793600000,2022-07-26 00:00:00,JST/USD,0.027803,0.028423,0.027192,0.028422,37949.57889652013,1335218.45389206
1658707200000,2022-07-25 00:00:00,JST/USD,0.030409,0.030495,0.027804,0.027804,44125.32663028156,1587013.6178349
1658620800000,2022-07-24 00:00:00,JST/USD,0.030409,0.030893,0.030177,0.030319,35974.66802710157,1186538.73897891
1658534400000,2022-07-23 00:00:00,JST/USD,0.031006,0.031506,0.02976,0.030395,58965.99461502287,1939989.95278904
1658448000000,2022-07-22 00:00:00,JST/USD,0.0301,0.032109,0.030081,0.031004,57096.722853557025,1841592.14467672
1658361600000,2022-07-21 00:00:00,JST/USD,0.0301,0.030265,0.029308,0.0301,120693.11803269088,4009738.14062096
1658275200000,2022-07-20 00:00:00,JST/USD,0.031493,0.031951,0.029851,0.0301,131560.9889713383,4370796.97579197
1658188800000,2022-07-19 00:00:00,JST/USD,0.03031,0.031752,0.029568,0.031414,42511.170956680486,1353255.58530211
1658102400000,2022-07-18 00:00:00,JST/USD,0.029018,0.030599,0.028824,0.030311,13176.42959340315,434707.84841817
1658016000000,2022-07-17 00:00:00,JST/USD,0.029252,0.029944,0.028844,0.029018,55881.00909098889,1925736.06351192
1657929600000,2022-07-16 00:00:00,JST/USD,0.02886,0.029493,0.028165,0.029464,31827.715996791077,1080223.86630434
1657843200000,2022-07-15 00:00:00,JST/USD,0.027982,0.029135,0.027844,0.028828,38868.03306575566,1348273.65983612
1657756800000,2022-07-14 00:00:00,JST/USD,0.02774,0.028118,0.026934,0.027923,30690.614387273585,1099115.93980853
1657670400000,2022-07-13 00:00:00,JST/USD,0.027329,0.027832,0.026329,0.027827,46800.01814880389,1681820.46748855
1657584000000,2022-07-12 00:00:00,JST/USD,0.027322,0.029079,0.027229,0.027329,54201.66242932148,1983302.07579207
1657497600000,2022-07-11 00:00:00,JST/USD,0.029191,0.029274,0.027235,0.027239,30019.565627770968,1102080.31233786
1657411200000,2022-07-10 00:00:00,JST/USD,0.030313,0.030513,0.028937,0.029345,8452.579223675426,288041.54791874
1657324800000,2022-07-09 00:00:00,JST/USD,0.029897,0.030617,0.029769,0.030244,2005.723818273845,66318.07361043
1657238400000,2022-07-08 00:00:00,JST/USD,0.030447,0.030508,0.029273,0.029799,3459.9977991621777,116111.20504588
1657152000000,2022-07-07 00:00:00,JST/USD,0.029647,0.030557,0.02908,0.030396,2601.819558065131,85597.43249326
1657065600000,2022-07-06 00:00:00,JST/USD,0.028955,0.031189,0.028517,0.029707,8663.840973715915,291643.0798706
1656979200000,2022-07-05 00:00:00,JST/USD,0.029171,0.029668,0.028186,0.029191,3329.256795120531,114050.79631121
1656892800000,2022-07-04 00:00:00,JST/USD,0.028356,0.030299,0.027926,0.029113,4449.199404354379,152825.17790521
