https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FCL
1654214400000,2022-06-03 00:00:00,FCL/USD,0.03559,0.036729,0.03131,0.031738,9817.437661851649,309327.54621751996
1654128000000,2022-06-02 00:00:00,FCL/USD,0.034199,0.036425,0.033517,0.035591,2379.888594485906,66867.70797353
1654041600000,2022-06-01 00:00:00,FCL/USD,0.03982,0.040849,0.033949,0.03455,3906.7347997368106,113074.81330642
1653955200000,2022-05-31 00:00:00,FCL/USD,0.04517,0.0461,0.038045,0.039401,6625.382872218534,168152.65785687
1653868800000,2022-05-30 00:00:00,FCL/USD,0.040179,0.049187,0.040147,0.04477,15481.514625729842,345801.08612307
1653782400000,2022-05-29 00:00:00,FCL/USD,0.042658,0.042658,0.038804,0.040341,3311.837051549599,82096.05739941
1653696000000,2022-05-28 00:00:00,FCL/USD,0.03898,0.045279,0.03889,0.041641,1442.3329285542811,34637.32687866
1653609600000,2022-05-27 00:00:00,FCL/USD,0.043153,0.043153,0.038351,0.03898,5049.054681194345,129529.36585927001
1653523200000,2022-05-26 00:00:00,FCL/USD,0.047681,0.048309,0.04209,0.042231,7283.675094399795,172472.23827046
1653436800000,2022-05-25 00:00:00,FCL/USD,0.044086,0.057603,0.041828,0.047681,9072.82638345723,190281.79743414
1653350400000,2022-05-24 00:00:00,FCL/USD,0.04124,0.045482,0.036117,0.043979,14695.11670742169,334139.40079178
1653264000000,2022-05-23 00:00:00,FCL/USD,0.042479,0.04488,0.03934,0.039951,7483.381061182033,187313.9861626
1653177600000,2022-05-22 00:00:00,FCL/USD,0.043,0.043999,0.041472,0.042479,678.1459998179097,15964.26469121
1653091200000,2022-05-21 00:00:00,FCL/USD,0.04547,0.046039,0.041182,0.042651,3785.7745402843757,88761.68296838
1653004800000,2022-05-20 00:00:00,FCL/USD,0.048301,0.048925,0.044145,0.045547,12318.771425931145,270462.84993372
1652918400000,2022-05-19 00:00:00,FCL/USD,0.043472,0.048277,0.043472,0.047499,3490.7777157773085,73491.60436592999
1652832000000,2022-05-18 00:00:00,FCL/USD,0.051361,0.053157,0.043796,0.044171,10777.59489019224,243997.07704585
1652745600000,2022-05-17 00:00:00,FCL/USD,0.047069,0.052339,0.04511,0.051311,6202.622571167287,120882.90173973
