https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FTT
1659484800000,2022-08-03 00:00:00,FTT/USD,29.189,29.901,28.942,29.183,6470.707458807131,221.72865911000002
1659398400000,2022-08-02 00:00:00,FTT/USD,31.016,31.031,29.08,29.083,4089.10923771132,140.60135604
1659312000000,2022-08-01 00:00:00,FTT/USD,30.25,30.703,30.188,30.496,7448.53225060224,244.24620444
1659225600000,2022-07-31 00:00:00,FTT/USD,31.289,31.447,30.781,31.024,10085.062675253439,325.07293305999997
1659139200000,2022-07-30 00:00:00,FTT/USD,31.0,31.292,31.0,31.015,112.44992274765,3.62566251
1659052800000,2022-07-29 00:00:00,FTT/USD,30.084,31.2,29.896,30.806,19009.329788930878,617.06582448
1658966400000,2022-07-28 00:00:00,FTT/USD,29.321,30.568,29.027,30.192,1861.8482479512,61.66693985
1658880000000,2022-07-27 00:00:00,FTT/USD,27.287,28.961,27.043,28.96,1282.90352156,44.29915475
1658793600000,2022-07-26 00:00:00,FTT/USD,27.01,27.01,26.636,26.636,615.89053549784,23.12248594
1658707200000,2022-07-25 00:00:00,FTT/USD,28.003,28.003,27.412,27.412,2569.60728837736,93.74023378
1658620800000,2022-07-24 00:00:00,FTT/USD,28.421,29.549,28.421,29.223,4714.43410249056,161.32615072
1658534400000,2022-07-23 00:00:00,FTT/USD,29.751,29.751,28.108,28.28,2681.188794508,94.8086561
1658448000000,2022-07-22 00:00:00,FTT/USD,29.686,30.598,29.562,29.562,14311.22039936862,484.10866651
1658361600000,2022-07-21 00:00:00,FTT/USD,28.145,29.743,27.884,29.434,1930.77238419132,65.59666998
1658275200000,2022-07-20 00:00:00,FTT/USD,29.156,30.098,28.54,28.811,4426.6408876798805,153.64412508
1658188800000,2022-07-19 00:00:00,FTT/USD,30.061,30.061,28.303,29.116,9572.139533236641,328.75874204
1658102400000,2022-07-18 00:00:00,FTT/USD,28.907,29.951,28.907,28.933,2002.9635057323899,69.22764683
1658016000000,2022-07-17 00:00:00,FTT/USD,28.451,28.468,27.735,27.769,1182.2569939749098,42.57470539
1657929600000,2022-07-16 00:00:00,FTT/USD,26.467,28.328,26.467,27.963,5956.43067503874,213.01114598
1657843200000,2022-07-15 00:00:00,FTT/USD,25.767,26.912,25.767,26.903,515.49958756144,19.16141648
1657756800000,2022-07-14 00:00:00,FTT/USD,27.3,29.658,24.634,25.772,3906.36288764004,151.57391307
1657670400000,2022-07-13 00:00:00,FTT/USD,24.498,40.513,23.589,24.838,2227.17066335368,89.66787436
1657584000000,2022-07-12 00:00:00,FTT/USD,24.793,29.877,23.7,23.7,2552.69238852,107.7085396
1657497600000,2022-07-11 00:00:00,FTT/USD,25.562,25.954,24.799,24.799,804.68896449193,32.44844407
1657411200000,2022-07-10 00:00:00,FTT/USD,26.442,26.455,25.631,25.775,1040.96786265,40.386725999999996
1657324800000,2022-07-09 00:00:00,FTT/USD,27.474,27.489,27.235,27.37,467.61218028,17.084844
1657238400000,2022-07-08 00:00:00,FTT/USD,27.859,27.859,27.088,27.216,905.0030092656001,33.2526091
1657152000000,2022-07-07 00:00:00,FTT/USD,26.11,27.524,26.11,27.524,2715.03087741004,98.64230771
1657065600000,2022-07-06 00:00:00,FTT/USD,25.362,25.676,24.969,25.551,421.89653448126,16.51193826
1656979200000,2022-07-05 00:00:00,FTT/USD,25.177,25.177,24.506,25.141,564.24761672912,22.44332432
1656892800000,2022-07-04 00:00:00,FTT/USD,24.382,25.774,23.951,25.774,1050.39560791844,40.75407806
1656806400000,2022-07-03 00:00:00,FTT/USD,24.452,24.452,23.86,23.86,72.5297976446,3.03980711
1656720000000,2022-07-02 00:00:00,FTT/USD,24.448,24.701,24.342,24.646,706.6265058147401,28.67104219
1656633600000,2022-07-01 00:00:00,FTT/USD,24.269,24.925,24.269,24.925,189.88550113475003,7.6182748700000005
1656547200000,2022-06-30 00:00:00,FTT/USD,24.193,24.219,23.145,23.395,2139.03728927305,91.43138659
1656460800000,2022-06-29 00:00:00,FTT/USD,25.925,25.925,25.004,25.004,111.91897442124001,4.47604281
1656374400000,2022-06-28 00:00:00,FTT/USD,27.487,27.487,25.824,26.043,814.21359888321,31.264201470000003
1656288000000,2022-06-27 00:00:00,FTT/USD,27.55,28.0,26.686,26.975,1769.54085125675,65.59929013
1656201600000,2022-06-26 00:00:00,FTT/USD,28.5,28.5,27.221,27.221,3784.85804859008,139.04184448
1656115200000,2022-06-25 00:00:00,FTT/USD,26.655,27.911,26.655,27.911,3601.3255971979,129.0288989
1656028800000,2022-06-24 00:00:00,FTT/USD,25.568,26.896,25.478,26.713,1159.07002765181,43.38973637
1655942400000,2022-06-23 00:00:00,FTT/USD,25.519,26.024,25.458,25.963,2867.5909839140204,110.44913854
1655856000000,2022-06-22 00:00:00,FTT/USD,25.598,26.182,25.241,25.415,101.97448419340002,4.012373960000001
1655769600000,2022-06-21 00:00:00,FTT/USD,26.658,27.51,26.653,27.472,2228.64094306352,81.12408791
1655683200000,2022-06-20 00:00:00,FTT/USD,24.303,26.096,24.266,26.07,6154.7161099479,236.08423897
1655596800000,2022-06-19 00:00:00,FTT/USD,21.851,25.047,21.851,25.024,7574.884932967039,302.70480071
1655510400000,2022-06-18 00:00:00,FTT/USD,24.397,24.397,21.445,22.837,1672.3120142575199,73.22818296
1655424000000,2022-06-17 00:00:00,FTT/USD,23.329,24.465,23.329,24.243,1651.3362430316097,68.11600227
1655337600000,2022-06-16 00:00:00,FTT/USD,25.441,25.441,23.742,23.845,1773.5167291141502,74.37688107000001
1655251200000,2022-06-15 00:00:00,FTT/USD,23.924,24.712,22.031,24.625,2642.56192793375,107.31215951
1655164800000,2022-06-14 00:00:00,FTT/USD,24.302,24.698,22.755,23.389,26065.30579797973,1114.42583257
1655078400000,2022-06-13 00:00:00,FTT/USD,27.946,27.946,24.076,24.406,48163.83513532456,1973.44239676
1654992000000,2022-06-12 00:00:00,FTT/USD,27.251,29.227,26.922,27.974,42302.85169353074,1512.22033651
1654905600000,2022-06-11 00:00:00,FTT/USD,27.653,27.653,26.776,27.388,5085.68147571644,185.69013713
1654819200000,2022-06-10 00:00:00,FTT/USD,28.196,28.52,27.489,27.73,3598.6921007061,129.77613057
1654732800000,2022-06-09 00:00:00,FTT/USD,28.373,28.984,28.151,28.623,12773.654977902419,446.27240254
1654646400000,2022-06-08 00:00:00,FTT/USD,26.427,28.275,26.427,28.151,9434.682603258,335.145558
1654560000000,2022-06-07 00:00:00,FTT/USD,25.76,26.251,25.27,26.251,4842.96381974423,184.48683173
1654473600000,2022-06-06 00:00:00,FTT/USD,26.692,27.254,26.692,27.024,1092.46222755216,40.42563009
1654387200000,2022-06-05 00:00:00,FTT/USD,25.76,26.199,25.76,26.199,205.43477254686002,7.84132114
1654300800000,2022-06-04 00:00:00,FTT/USD,25.731,25.865,25.703,25.797,1800.45875818593,69.79333869
1654214400000,2022-06-03 00:00:00,FTT/USD,26.467,26.467,25.888,26.138,3124.7814521407404,119.54937073
1654128000000,2022-06-02 00:00:00,FTT/USD,26.782,27.008,26.782,27.005,774.7484196056,28.68907312
1654041600000,2022-06-01 00:00:00,FTT/USD,28.919,28.919,26.784,26.784,2389.97666902464,89.23150646
1653955200000,2022-05-31 00:00:00,FTT/USD,29.009,29.405,28.556,29.144,4579.48089311792,157.13288818
1653868800000,2022-05-30 00:00:00,FTT/USD,27.389,29.003,27.389,29.003,873.43554767534,30.11535178
1653782400000,2022-05-29 00:00:00,FTT/USD,26.851,27.186,26.823,27.174,124.93322560025999,4.59752799
1653696000000,2022-05-28 00:00:00,FTT/USD,27.002,27.133,26.774,27.133,1849.47724404754,68.16338938
1653609600000,2022-05-27 00:00:00,FTT/USD,27.549,27.549,26.4,26.582,2549.5522034801,95.91273055
1653523200000,2022-05-26 00:00:00,FTT/USD,29.264,29.264,27.35,28.076,11038.4409192102,393.16287645
1653436800000,2022-05-25 00:00:00,FTT/USD,29.802,29.829,28.761,29.036,4723.79501335644,162.68752629
1653350400000,2022-05-24 00:00:00,FTT/USD,29.994,29.994,29.045,29.045,3626.3311713453,124.85216634
1653264000000,2022-05-23 00:00:00,FTT/USD,30.468,30.948,30.123,30.123,4172.36212911114,138.51084318
1653177600000,2022-05-22 00:00:00,FTT/USD,30.101,30.567,30.013,30.567,389.43067215534,12.74023202
1653091200000,2022-05-21 00:00:00,FTT/USD,29.817,30.261,29.6,30.042,8155.104911016121,271.45679086
