https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KSM
1657152000000,2022-07-07 00:00:00,KSM/USD,51.328,53.204,51.017,52.538,1611.82279141356,30.67918062
1657065600000,2022-07-06 00:00:00,KSM/USD,50.434,52.095,49.554,51.265,3675.3681377267,71.69351678
1656979200000,2022-07-05 00:00:00,KSM/USD,51.618,52.086,48.905,50.361,2439.5446660110297,48.441148229999996
1656892800000,2022-07-04 00:00:00,KSM/USD,49.535,51.812,48.396,51.595,2478.0959155605497,48.02976869
1656806400000,2022-07-03 00:00:00,KSM/USD,48.731,49.838,47.482,49.508,1828.3519809308,36.9304351
1656720000000,2022-07-02 00:00:00,KSM/USD,48.532,49.672,47.447,48.802,959.8699004221601,19.66865908
1656633600000,2022-07-01 00:00:00,KSM/USD,48.407,50.129,46.364,48.244,2403.87623786296,49.827465339999996
1656547200000,2022-06-30 00:00:00,KSM/USD,48.875,49.247,45.024,48.326,10341.94239929508,214.00369158
1656460800000,2022-06-29 00:00:00,KSM/USD,50.268,50.993,48.114,48.985,6582.87659536875,134.38555875
1656374400000,2022-06-28 00:00:00,KSM/USD,52.981,54.983,49.832,50.265,9915.90097246245,197.27247533
1656288000000,2022-06-27 00:00:00,KSM/USD,52.679,55.889,52.4,52.82,4072.9668742176,77.11031568
1656201600000,2022-06-26 00:00:00,KSM/USD,57.388,58.614,52.311,52.486,3960.5068610009002,75.45834815
1656115200000,2022-06-25 00:00:00,KSM/USD,57.29,58.237,54.104,57.396,2543.22073524696,44.31006926
1656028800000,2022-06-24 00:00:00,KSM/USD,54.224,57.99,54.044,57.234,4158.75874219866,72.66238149
1655942400000,2022-06-23 00:00:00,KSM/USD,51.844,54.492,51.844,54.022,1183.2060722088002,21.9023004
1655856000000,2022-06-22 00:00:00,KSM/USD,52.899,54.823,51.141,51.843,14672.56623795039,283.01923573
1655769600000,2022-06-21 00:00:00,KSM/USD,53.184,57.289,52.272,54.25,9339.3569266025,172.15404473
1655683200000,2022-06-20 00:00:00,KSM/USD,50.929,53.955,48.911,53.303,12860.380148658189,241.26934973
1655596800000,2022-06-19 00:00:00,KSM/USD,48.335,51.862,46.169,50.749,38545.58485379044,759.53387956
1655510400000,2022-06-18 00:00:00,KSM/USD,48.827,49.509,44.238,48.479,12676.18625844565,261.47788235
1655424000000,2022-06-17 00:00:00,KSM/USD,48.991,50.818,48.484,48.9,20976.467210418,428.96660962
1655337600000,2022-06-16 00:00:00,KSM/USD,58.202,58.637,48.261,49.082,31754.03156441032,646.95879476
1655251200000,2022-06-15 00:00:00,KSM/USD,51.056,57.912,47.094,57.912,27120.48951177,468.30517875
1655164800000,2022-06-14 00:00:00,KSM/USD,46.239,52.249,43.332,51.153,26903.15591854494,525.93505598
1655078400000,2022-06-13 00:00:00,KSM/USD,50.945,51.715,43.218,46.305,78636.0300328197,1698.21898354
1654992000000,2022-06-12 00:00:00,KSM/USD,57.089,57.513,50.968,50.968,23323.2861705064,457.6064623
1654905600000,2022-06-11 00:00:00,KSM/USD,58.629,60.54,55.563,56.907,37823.51418175583,664.65486112
1654819200000,2022-06-10 00:00:00,KSM/USD,66.489,67.647,58.289,58.616,26024.1890995108,443.97756755
1654732800000,2022-06-09 00:00:00,KSM/USD,66.426,68.348,65.641,66.438,15439.31533057212,232.38681674
1654646400000,2022-06-08 00:00:00,KSM/USD,67.223,69.168,65.04,66.512,26452.72330570512,397.71354501
1654560000000,2022-06-07 00:00:00,KSM/USD,70.189,70.21,65.697,67.377,49643.78840111034,736.80615642
1654473600000,2022-06-06 00:00:00,KSM/USD,67.764,73.113,67.687,70.254,55075.24445179231,783.94460745
1654387200000,2022-06-05 00:00:00,KSM/USD,68.767,69.257,67.284,67.93,16204.059301328101,238.54054617
1654300800000,2022-06-04 00:00:00,KSM/USD,68.563,70.137,66.742,68.697,21181.622177435762,308.33402008
1654214400000,2022-06-03 00:00:00,KSM/USD,73.463,73.558,67.616,68.243,25174.208047606728,368.89070011
1654128000000,2022-06-02 00:00:00,KSM/USD,72.853,74.27,70.672,73.384,35527.24704147616,484.12797124
1654041600000,2022-06-01 00:00:00,KSM/USD,79.856,87.518,70.343,72.939,187937.34368920582,2576.63724056
1653955200000,2022-05-31 00:00:00,KSM/USD,77.978,82.72,73.722,79.892,196313.40621756593,2457.23484476
