https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MIR
1659484800000,2022-08-03 00:00:00,MIR/USD,0.22852,0.23836,0.22851,0.23835,356.5320982545,1495.83427
1659398400000,2022-08-02 00:00:00,MIR/USD,0.22146,0.22827,0.22015,0.22827,1215.669305751476,5325.57631643
1659312000000,2022-08-01 00:00:00,MIR/USD,0.24322,0.2604,0.22893,0.23267,649.0520242979985,2789.58191558
1659225600000,2022-07-31 00:00:00,MIR/USD,0.23618,0.27639,0.23618,0.24492,2965.901920679381,12109.67630524
1659139200000,2022-07-30 00:00:00,MIR/USD,0.21931,0.21931,0.21733,0.21733,500.5104771012,2302.99764
1659052800000,2022-07-29 00:00:00,MIR/USD,0.21571,0.21581,0.21501,0.21501,197.349231020589,917.8607089
1658966400000,2022-07-28 00:00:00,MIR/USD,0.21713,0.21713,0.21243,0.21243,57.769409488378194,271.94562673999997
1658880000000,2022-07-27 00:00:00,MIR/USD,0.22529,0.22529,0.20367,0.20948,13679.312527805534,65301.28187801
1658793600000,2022-07-26 00:00:00,MIR/USD,0.1865,0.18723,0.1865,0.18723,202.48394624496058,1081.47169922
1658707200000,2022-07-25 00:00:00,MIR/USD,0.2004,0.2004,0.19879,0.19879,44.6364359287982,224.54065058
1658620800000,2022-07-24 00:00:00,MIR/USD,0.2098,0.2098,0.2098,0.2098,368.93653090741196,1758.51539994
1658534400000,2022-07-23 00:00:00,MIR/USD,0.21229,0.21789,0.2073,0.2098,534.367002657518,2547.03051791
1658448000000,2022-07-22 00:00:00,MIR/USD,0.21883,0.22651,0.21251,0.21578,294.4469525168616,1364.57017572
1658361600000,2022-07-21 00:00:00,MIR/USD,0.28243,0.28508,0.22,0.23493,481.04077838048306,2047.59195667
1658275200000,2022-07-20 00:00:00,MIR/USD,0.19421,0.29328,0.19421,0.27381,8466.809046196237,30922.205347490002
1658102400000,2022-07-18 00:00:00,MIR/USD,0.17726,0.18484,0.17726,0.18484,64.5806813833248,349.38693672
1658016000000,2022-07-17 00:00:00,MIR/USD,0.17939,0.17978,0.17691,0.17691,160.6863386971296,908.29426656
