https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1656201600000,2022-06-26 00:00:00,MKR/USD,1035.8,1096.1,997.1,999.0,90091.54396431,90.18172569
1656115200000,2022-06-25 00:00:00,MKR/USD,1053.7,1083.9,999.11,1033.6,50444.66443263999,48.8048224
1656028800000,2022-06-24 00:00:00,MKR/USD,977.39,1079.0,963.25,1051.6,118216.63957289999,112.41597525
1655942400000,2022-06-23 00:00:00,MKR/USD,880.62,983.5,880.62,978.4,219511.616083856,224.35774334
1655856000000,2022-06-22 00:00:00,MKR/USD,901.2,947.08,871.0,881.2,52489.941323568004,59.56643364
1655769600000,2022-06-21 00:00:00,MKR/USD,900.94,962.99,881.79,911.97,82124.9776183257,90.05227981
1655683200000,2022-06-20 00:00:00,MKR/USD,907.03,950.0,861.02,899.67,47935.521297162595,53.28122678
1655596800000,2022-06-19 00:00:00,MKR/USD,731.5,907.97,706.12,903.33,141869.7323476875,157.05194375
1655510400000,2022-06-18 00:00:00,MKR/USD,763.03,784.81,658.65,733.3,26889.184512114996,36.66873655
1655424000000,2022-06-17 00:00:00,MKR/USD,735.84,784.5,729.95,767.51,68214.3292395186,88.87744686
1655337600000,2022-06-16 00:00:00,MKR/USD,829.65,839.99,716.96,734.9,25181.603605837,34.26534713
1655251200000,2022-06-15 00:00:00,MKR/USD,786.4,828.85,683.62,828.85,240891.2013955095,290.63304747
1655164800000,2022-06-14 00:00:00,MKR/USD,758.13,819.19,693.57,791.73,74161.73472793109,93.67048707
1655078400000,2022-06-13 00:00:00,MKR/USD,917.21,920.93,720.12,763.51,66998.1562327385,87.75020135
1654992000000,2022-06-12 00:00:00,MKR/USD,989.0,998.58,902.69,916.82,44135.0160548052,48.13923786
1654905600000,2022-06-11 00:00:00,MKR/USD,1047.4,1078.8,956.5,988.79,194311.8122266871,196.51474249
1654819200000,2022-06-10 00:00:00,MKR/USD,1138.3,1143.5,1040.1,1045.7,171257.51389697203,163.77308396
1654732800000,2022-06-09 00:00:00,MKR/USD,1159.1,1176.9,1123.2,1135.3,201757.847820504,177.71324568
1654646400000,2022-06-08 00:00:00,MKR/USD,1157.4,1179.6,1130.5,1155.9,7309.560229518001,6.32369602
1654560000000,2022-06-07 00:00:00,MKR/USD,1207.2,1216.5,1118.7,1155.8,26594.088352963998,23.00924758
