https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SNT
1659571200000,2022-08-04 00:00:00,SNT/USD,0.031778,0.032034,0.031774,0.03201,169.5370960940646,5296.37913446
1659484800000,2022-08-03 00:00:00,SNT/USD,0.03229,0.03259,0.031188,0.031781,3159.5603831703593,99416.6446358
1659398400000,2022-08-02 00:00:00,SNT/USD,0.034,0.035051,0.031246,0.03225,7151.315733043545,221746.22428042
1659312000000,2022-08-01 00:00:00,SNT/USD,0.03225,0.03396,0.03225,0.033855,6202.165217760992,183197.90925301999
1659225600000,2022-07-31 00:00:00,SNT/USD,0.031288,0.033374,0.03128,0.0322,5485.633915217848,170361.30171484
1659139200000,2022-07-30 00:00:00,SNT/USD,0.031354,0.032535,0.031161,0.031347,4563.2807324933865,145573.12446146
1659052800000,2022-07-29 00:00:00,SNT/USD,0.03133,0.031827,0.03063,0.0313,2292.221340536542,73233.90864334
1658966400000,2022-07-28 00:00:00,SNT/USD,0.030426,0.031632,0.029961,0.03137,2642.798912665346,84246.06033361
1658880000000,2022-07-27 00:00:00,SNT/USD,0.028794,0.030426,0.028323,0.03039,1493.2278925715943,49135.50156537
1658793600000,2022-07-26 00:00:00,SNT/USD,0.02886,0.02931,0.027921,0.028748,4007.458832463785,139399.5697949
1658707200000,2022-07-25 00:00:00,SNT/USD,0.030762,0.030762,0.02851,0.028619,3555.567135767581,124237.9934927
1658620800000,2022-07-24 00:00:00,SNT/USD,0.030926,0.03115,0.030496,0.03082,1950.1987018241493,63277.05067567
1658534400000,2022-07-23 00:00:00,SNT/USD,0.030955,0.031205,0.030124,0.030871,3918.6666935780463,126936.82399592
1658448000000,2022-07-22 00:00:00,SNT/USD,0.030865,0.03174,0.030485,0.030955,3642.2106474065254,117661.4649461
1658361600000,2022-07-21 00:00:00,SNT/USD,0.030545,0.03092,0.029693,0.03092,6237.288651557664,201723.43633757
1658275200000,2022-07-20 00:00:00,SNT/USD,0.032156,0.033141,0.030553,0.0306,6337.203638387237,207098.15811723
1658188800000,2022-07-19 00:00:00,SNT/USD,0.031151,0.0325,0.030477,0.032237,8980.775829426168,278585.96734889003
1658102400000,2022-07-18 00:00:00,SNT/USD,0.029686,0.031572,0.02963,0.031344,4897.063630036549,156236.07803843
1658016000000,2022-07-17 00:00:00,SNT/USD,0.030482,0.03063,0.029547,0.029645,2926.3605873544852,98713.46221469001
1657929600000,2022-07-16 00:00:00,SNT/USD,0.02986,0.030528,0.029246,0.030467,2816.1902024658234,92434.11568142001
1657843200000,2022-07-15 00:00:00,SNT/USD,0.029418,0.030494,0.028883,0.029906,5466.037963175364,182773.95717165
1657756800000,2022-07-14 00:00:00,SNT/USD,0.029142,0.02984,0.028236,0.029517,6103.146022583007,206767.15189833
1657670400000,2022-07-13 00:00:00,SNT/USD,0.028154,0.029493,0.027593,0.029083,3371.085218676131,115912.56812145001
1657584000000,2022-07-12 00:00:00,SNT/USD,0.027804,0.029422,0.027365,0.028157,12112.565484718309,430179.54628399
1657497600000,2022-07-11 00:00:00,SNT/USD,0.02997,0.02997,0.02773,0.02773,4289.739904499777,154696.71491164
1657411200000,2022-07-10 00:00:00,SNT/USD,0.03134,0.03134,0.029731,0.029966,2885.7004971962474,96299.15561624
1657324800000,2022-07-09 00:00:00,SNT/USD,0.030609,0.031433,0.030351,0.031391,2973.423247140063,94722.15753369
1657238400000,2022-07-08 00:00:00,SNT/USD,0.030828,0.03107,0.029954,0.030552,9155.899979859169,299682.50785085
1657152000000,2022-07-07 00:00:00,SNT/USD,0.030271,0.03091,0.029693,0.030843,7998.439566942438,259327.54812899
1657065600000,2022-07-06 00:00:00,SNT/USD,0.03061,0.03066,0.029368,0.030279,4697.997352233795,155156.95208672
1656979200000,2022-07-05 00:00:00,SNT/USD,0.03194,0.03465,0.02937,0.03042,7113.988106268778,233858.91210614
1656892800000,2022-07-04 00:00:00,SNT/USD,0.03003,0.037979,0.02921,0.031939,22285.17212177075,697741.6989189
1656806400000,2022-07-03 00:00:00,SNT/USD,0.029577,0.03025,0.02891,0.030048,5273.794324548961,175512.32443254
1656720000000,2022-07-02 00:00:00,SNT/USD,0.028782,0.03036,0.02806,0.029464,11120.310652449694,377420.26379479
1656633600000,2022-07-01 00:00:00,SNT/USD,0.02769,0.02964,0.027065,0.028725,5927.807968229013,206364.07200101
1656547200000,2022-06-30 00:00:00,SNT/USD,0.028776,0.028782,0.025921,0.02774,4229.251006844769,152460.38236643
1656460800000,2022-06-29 00:00:00,SNT/USD,0.029855,0.029979,0.028105,0.028702,7016.520634906208,244461.03529044
1656374400000,2022-06-28 00:00:00,SNT/USD,0.03044,0.03161,0.02965,0.029789,7338.379087849781,246345.26462284
1656288000000,2022-06-27 00:00:00,SNT/USD,0.029379,0.03096,0.029101,0.03057,3968.93042236548,129830.893764
1656201600000,2022-06-26 00:00:00,SNT/USD,0.030272,0.03044,0.029301,0.029442,2940.4953411587735,99874.17095166
1656115200000,2022-06-25 00:00:00,SNT/USD,0.030334,0.03041,0.029095,0.03034,3753.5184031659182,123715.17479123
1656028800000,2022-06-24 00:00:00,SNT/USD,0.029626,0.030582,0.029155,0.030244,3297.0082007227293,109013.62917348
1655942400000,2022-06-23 00:00:00,SNT/USD,0.028041,0.029703,0.028041,0.02966,2744.903451135048,92545.6322028
1655856000000,2022-06-22 00:00:00,SNT/USD,0.02976,0.02987,0.027736,0.028043,3148.091817726312,112259.45218865
1655769600000,2022-06-21 00:00:00,SNT/USD,0.028032,0.03049,0.027623,0.028843,3750.616728072219,130035.59713179
1655683200000,2022-06-20 00:00:00,SNT/USD,0.027479,0.028205,0.026453,0.028188,4849.487672203395,172040.85682572
1655596800000,2022-06-19 00:00:00,SNT/USD,0.02641,0.02783,0.02486,0.027777,6583.135174859892,236999.50228102
1655510400000,2022-06-18 00:00:00,SNT/USD,0.0271,0.03027,0.024927,0.02653,11145.82328233107,420121.49575315
1655424000000,2022-06-17 00:00:00,SNT/USD,0.02572,0.027397,0.02572,0.027112,6520.115916686681,240488.19403536
1655337600000,2022-06-16 00:00:00,SNT/USD,0.029271,0.03068,0.02547,0.02604,6513.64538133509,250139.99160273
1655251200000,2022-06-15 00:00:00,SNT/USD,0.027409,0.029,0.023812,0.029,5067.334229986421,174735.66310298
1655164800000,2022-06-14 00:00:00,SNT/USD,0.027599,0.02816,0.023925,0.027417,6685.1313089566665,243831.6121004
1655078400000,2022-06-13 00:00:00,SNT/USD,0.031,0.03252,0.02702,0.027638,10297.12161754302,372571.15629
1654992000000,2022-06-12 00:00:00,SNT/USD,0.034269,0.03613,0.03128,0.03128,12343.071996293991,394599.48837257
1654905600000,2022-06-11 00:00:00,SNT/USD,0.036576,0.03737,0.03341,0.034042,5271.229504149537,154844.88291374
1654819200000,2022-06-10 00:00:00,SNT/USD,0.03926,0.0393,0.036161,0.03655,4787.050545444121,130972.65514211
1654732800000,2022-06-09 00:00:00,SNT/USD,0.039509,0.040011,0.03918,0.039301,1342.7624525113747,34166.11415769
1654646400000,2022-06-08 00:00:00,SNT/USD,0.040743,0.04115,0.039271,0.039483,2004.7702923358077,50775.53104718
1654560000000,2022-06-07 00:00:00,SNT/USD,0.04275,0.04275,0.03897,0.040677,3633.2094935893247,89318.52136562
1654473600000,2022-06-06 00:00:00,SNT/USD,0.04498,0.04498,0.04219,0.04279,4906.967394147529,114675.56424743
1654387200000,2022-06-05 00:00:00,SNT/USD,0.04212,0.04557,0.04038,0.045569,6684.187259521165,146682.77248834
1654300800000,2022-06-04 00:00:00,SNT/USD,0.04273,0.04383,0.041243,0.042088,5717.1711879769955,135838.50950335
1654214400000,2022-06-03 00:00:00,SNT/USD,0.042343,0.044333,0.041028,0.04273,1858.1326303854607,43485.43483233
1654128000000,2022-06-02 00:00:00,SNT/USD,0.038238,0.04769,0.038238,0.042451,52666.83134871026,1240649.95756779
1654041600000,2022-06-01 00:00:00,SNT/USD,0.03794,0.0422,0.036804,0.038382,10092.169125539223,262940.15750975
1653955200000,2022-05-31 00:00:00,SNT/USD,0.037942,0.040772,0.03671,0.03794,6124.6064478798025,161428.74137796
1653868800000,2022-05-30 00:00:00,SNT/USD,0.03541,0.038628,0.035222,0.037977,5516.517881549494,145259.44338809
1653782400000,2022-05-29 00:00:00,SNT/USD,0.0349,0.035529,0.03363,0.03541,1062.415620973496,30003.26520682
1653696000000,2022-05-28 00:00:00,SNT/USD,0.03448,0.035133,0.034097,0.0349,1125.220393401327,32241.27201723
1653609600000,2022-05-27 00:00:00,SNT/USD,0.036468,0.036468,0.034113,0.03446,4447.899337922077,129074.26981782001
1653523200000,2022-05-26 00:00:00,SNT/USD,0.039852,0.04463,0.03448,0.03656,34898.27213738908,954547.92498329
1653436800000,2022-05-25 00:00:00,SNT/USD,0.035382,0.04235,0.03423,0.03967,24837.219982464063,626095.78982768
1653350400000,2022-05-24 00:00:00,SNT/USD,0.03454,0.03632,0.03247,0.035152,5161.197809459728,146825.15388768
1653264000000,2022-05-23 00:00:00,SNT/USD,0.036495,0.037767,0.03435,0.034625,4793.338391566322,138435.76582141
1653177600000,2022-05-22 00:00:00,SNT/USD,0.034322,0.03814,0.033952,0.036558,8080.935100279271,221044.23382787
1653091200000,2022-05-21 00:00:00,SNT/USD,0.0322,0.0349,0.03208,0.034286,2539.6390036105727,74072.18700375
1653004800000,2022-05-20 00:00:00,SNT/USD,0.033531,0.03437,0.031411,0.032227,1614.5864490037209,50100.42662996
1652918400000,2022-05-19 00:00:00,SNT/USD,0.03204,0.03374,0.030231,0.033561,6721.653348116194,200281.67659236
1652832000000,2022-05-18 00:00:00,SNT/USD,0.035771,0.037096,0.03189,0.03189,2949.2181440746745,92480.97033787
1652745600000,2022-05-17 00:00:00,SNT/USD,0.03411,0.035836,0.03405,0.035715,1887.4270159696493,52846.89950916
1652659200000,2022-05-16 00:00:00,SNT/USD,0.03662,0.03704,0.03309,0.03403,2390.1612315617654,70236.88602885
1652572800000,2022-05-15 00:00:00,SNT/USD,0.03437,0.036672,0.033002,0.036672,1874.2072788439489,51107.3101779
1652486400000,2022-05-14 00:00:00,SNT/USD,0.03202,0.03555,0.03085,0.03445,8922.235643124734,258990.87498185
1652400000000,2022-05-13 00:00:00,SNT/USD,0.028492,0.03366,0.028377,0.03197,3682.9091165304208,115198.90886864
1652313600000,2022-05-12 00:00:00,SNT/USD,0.032033,0.032791,0.025792,0.028527,13600.248350225627,476750.03856787
1652227200000,2022-05-11 00:00:00,SNT/USD,0.04059,0.041057,0.030693,0.03182,11209.555590220005,352280.1882533
1652140800000,2022-05-10 00:00:00,SNT/USD,0.038976,0.042657,0.03683,0.040511,16383.569658436669,404422.74094534
1652054400000,2022-05-09 00:00:00,SNT/USD,0.045862,0.046494,0.038931,0.038931,9986.821300963531,256526.19508781002
1651968000000,2022-05-08 00:00:00,SNT/USD,0.04775,0.04775,0.045253,0.04575,15097.038994507815,329989.92337722
1651881600000,2022-05-07 00:00:00,SNT/USD,0.05026,0.05026,0.04699,0.047783,8245.770985553287,172567.04236974
1651795200000,2022-05-06 00:00:00,SNT/USD,0.052374,0.052376,0.048865,0.05034,19135.414016715724,380123.44093595
1651708800000,2022-05-05 00:00:00,SNT/USD,0.058248,0.058248,0.051639,0.052299,10637.218336060389,203392.38486511
1651622400000,2022-05-04 00:00:00,SNT/USD,0.053525,0.058152,0.052787,0.058152,4056.3340022149155,69753.98958273
1651536000000,2022-05-03 00:00:00,SNT/USD,0.05458,0.056695,0.053214,0.053553,20338.626215680666,379785.00206675
1651449600000,2022-05-02 00:00:00,SNT/USD,0.054545,0.055234,0.052672,0.054555,7383.736868190739,135344.82390598
